VariableName,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1_cn,awakeDes1_tw,awakeDes1,awakeDes1_vn,awakeDes1_en,awakeDes1_th,awakeDes1_in,awakeDes1_ph,awakeDes1_ma,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2
74106,641,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,1,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
74107,641,,7,,,,,Attribute Enhanced.  ,Thuộc tính được tăng cường.,Attribute Enhanced.  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan.  ,Pinahusay ang Katangian.  ,Atribut Ditingkatkan.  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
74108,641,,8,,,,,Attribute Enhanced.  ,Thuộc tính được tăng cường.,Attribute Enhanced.  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan.  ,Pinahusay ang Katangian.  ,Atribut Ditingkatkan.  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
79101,691,,1,,,,,Attribute Enhanced.  ,Thuộc tính được tăng cường.,Attribute Enhanced.  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan.  ,Pinahusay ang Katangian.  ,Atribut Ditingkatkan.  ,1,,{star=8;advance=13;goodFeel=100},,
79102,691,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
79103,691,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
79104,691,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8},,
79105,691,,5,,,,,Attribute Enhanced.  ,Thuộc tính được tăng cường.,Attribute Enhanced.  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan.  ,Pinahusay ang Katangian.  ,Atribut Ditingkatkan.  ,1,,{star=10;goodFeel=200;advance=15;zawakeStage=408},,
79106,691,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,1,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
79107,691,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=250;advance=16;zawakeStage=608},,
79108,691,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=12},,
80101,701,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
80102,701,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
80103,701,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
80104,701,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
80105,701,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
80106,701,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
80107,701,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
80108,701,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
81101,711,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
81102,711,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
81103,711,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
81104,711,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
81105,711,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
81106,711,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
81107,711,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
81108,711,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
82101,721,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
82102,721,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
82103,721,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
82104,721,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
82105,721,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
82106,721,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,1,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
82107,721,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
82108,721,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
83101,731,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
83102,731,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
83103,731,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
83104,731,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
83105,731,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
83106,731,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
83107,731,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
83108,731,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
84101,741,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
84102,741,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
84103,741,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
84104,741,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
84105,741,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
84106,741,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
84107,741,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
84108,741,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
85101,751,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
85102,751,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
85103,751,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
85104,751,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
85105,751,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
85106,751,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,1,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
85107,751,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
85108,751,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
86101,761,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
86102,761,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
86103,761,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=180;advance=15;zawakeStage=208},,
86104,761,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=160;equipStarSum=12},,
86105,761,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=10;goodFeel=260;advance=17;zawakeStage=408},,
86106,761,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,1,,{effort=11;equipStarSum=18;equipAwakeSum=6;zawakeStage=508},,
86107,761,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=350;advance=19;zawakeStage=608},,
86108,761,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=160;equipStarSum=24},,
87101,771,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
87102,771,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
87103,771,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
87104,771,,4,,,,,Passive Skill Enhanced!  ,Kỹ năng bị động được tăng cường!,Passive Skill Enhanced!  ,ทักษะแบบพาสซีฟได้รับการเพิ่มพูน!  ,Keterampilan Pasif Ditingkatkan!  ,Pinahusay ang Passive na Kasanayan!  ,Kemahiran Pasif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
87105,771,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
87106,771,,6,,,,,Ultimate Skill Enhanced!  ,Kỹ năng chiêu cuối được tăng cường!,Ultimate Skill Enhanced!  ,ทักษะสุดท้ายได้รับการเพิ่มพูน!  ,Keterampilan Ultimatum Ditingkatkan!  ,Pinahusay ang Ultimate na Kasanayan!  ,Kemahiran Akhir Ditingkatkan!  ,1,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
87107,771,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
87108,771,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
88101,781,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติได้รับการเพิ่มพูนแล้ว  ,Atribut Ditingkatkan  ,Pinahusay ang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
88102,781,,2,,,,,Basic Attack Enhanced!  ,Tấn công cơ bản được tăng cường!,Basic Attack Enhanced!  ,การโจมตีพื้นฐานได้รับการเพิ่มพูน!  ,Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Atake!  ,Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
88103,781,,3,,,,,Minor Skill Enhanced!  ,Kỹ năng nhỏ được tăng cường!,Minor Skill Enhanced!  ,ทักษะเล็กน้อยได้รับการเพิ่มพูน!  ,Keterampilan Kecil Ditingkatkan!  ,Pinahusay ang Maliit na Kasanayan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
