VariableName,sceneName_cn,sceneName_tw,sceneName,sceneName_vn,sceneName_th,sceneName_in,sceneName_en,sceneName_ma,sceneName_ph,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_ma,gateDesc_ph,gateDesc_th,gateDesc_in,gateDesc_en,gateDesc_vn,gateDesc_kr
100089,,,Level 89,Cấp 89,Level 89,Level 89,Level 89,Level 89,Level 89,,,<{level=104;unitId=231911;advance=13};{level=143;unitId=230863;advance=13};{level=104;unitId=230163;advance=13};{level=104;unitId=231931;advance=13};{level=104;unitId=230552;advance=13}>,<{level=143;unitId=251089;advance=14}>,config/portrait/jinglingtouxiang2/img_1241.png,,22,,,battle/scene/bg_grass.jpg,,,,,,143,413,413,,,,5,<<9;0;5%>;<10;0;5%>>,{gold=105000;451=30;452=20},<<gold;105000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=3700},<<gold;3700;0>;<451;1;1>;<452;1;1>>,107251,,,,,,,,,
100090,,,Level 90,Cấp 90,Level 90,Level 90,Level 90,Level 90,Level 90,,,<{level=105;unitId=231931;advance=13};{level=145;unitId=230883;advance=13};{level=105;unitId=230242;advance=13};{level=105;unitId=232013;advance=13};{level=105;unitId=230593;advance=13}>,<{level=145;unitId=251090;advance=14}>,config/portrait/jinglingtouxiang2/img_1253.png,,22,,,battle/scene/bg_night.jpg,,,,,,145,417,417,,,,5,<<9;1;20%>;<10;0;20%>;<22;0;20%>>,{rmb=200;451=30;gold=105000},<<gold;105000;1>;<451;30;1>;<rmb;200;1>>,{gold=3700;452=2;libs=<110;111;112>},<<gold;3700;0>;<451;1;1>;<452;1;1>>,154444,,,Monsters' attacks have a chance to poison; killing aura units restores some HP to heroes.,Monsters' attacks have a chance to poison; killing aura units restores some HP to heroes.,Monsters' attacks have a chance to poison; killing aura units restores some HP to heroes.,Monsters' attacks have a chance to poison; killing aura units restores some HP to heroes.,Monsters' attacks have a chance to poison; killing aura units restores some HP to heroes.,"Quái vật tấn công có xác suất gây độc, tiêu diệt đơn vị trong hào quang sẽ hồi phục một ít máu cho anh hùng",
100091,,,Level 91,Cấp 91,Level 91,Level 91,Level 91,Level 91,Level 91,,,<{level=106;unitId=232013;advance=13};{level=147;unitId=230972;advance=13};{level=106;unitId=230273;advance=13};{level=106;unitId=232073;advance=13};{level=106;unitId=230692;advance=13}>,<{level=147;unitId=251091;advance=14}>,config/portrait/jinglingtouxiang2/img_1293.png,,22,,,battle/scene/bg_sd.jpg,,,,,,147,421,421,,,,3,<<9;1;4%>;<10;1;4%>>,{gold=110000;451=30;452=20},<<gold;110000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=3800},<<gold;3800;0>;<451;1;1>;<452;1;1>>,154444,,,,,,,,,
100092,,,Level 92,Cấp 92,Level 92,Level 92,Level 92,Level 92,Level 92,,,<{level=107;unitId=232023;advance=13};{level=149;unitId=231071;advance=13};{level=107;unitId=230333;advance=13};{level=107;unitId=232593;advance=13};{level=107;unitId=230793;advance=13}>,<{level=149;unitId=251092;advance=14}>,config/portrait/jinglingtouxiang2/img_1303.png,,22,,,battle/scene/bg_tower.jpg,,,,,,149,425,425,,,,4,<<9;0;4%>;<10;0;4%>;<17;0;4%>>,{502=1;451=30;gold=110000},<<gold;110000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=3800},<<gold;3800;0>;<451;1;1>;<452;1;1>>,154444,,,,,,,,,
100093,,,Level 93,Cấp 93,Level 93,Level 93,Level 93,Level 93,Level 93,,,<{level=108;unitId=232033;advance=14};{level=151;unitId=231032;advance=14};{level=108;unitId=230402;advance=14};{level=108;unitId=232612;advance=14};{level=108;unitId=231221;advance=14}>,<{level=151;unitId=251093;advance=15}>,config/portrait/jinglingtouxiang2/img_1313.png,,22,,,battle/scene/bg_grass.jpg,,,,,,151,429,429,,,,5,<<27;0;5%>;<26;0;5%>>,{rmb=100;451=30;gold=110000},<<gold;110000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=3800},<<gold;3800;0>;<451;1;1>;<452;1;1>>,154444,,,,,,,,,
100094,,,Level 94,Cấp 94,Level 94,Level 94,Level 94,Level 94,Level 94,,,<{level=109;unitId=232073;advance=14};{level=153;unitId=231082;advance=14};{level=109;unitId=230493;advance=14};{level=109;unitId=232633;advance=14};{level=109;unitId=231903;advance=14}>,<{level=153;unitId=251094;advance=15}>,config/portrait/jinglingtouxiang2/img_1393.png,,22,,,battle/scene/bg_night.jpg,,,,,,153,433,433,,,,5,<<1;0;5%>>,{gold=110000;451=30;452=20},<<gold;110000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=3800},<<gold;3800;0>;<451;1;1>;<452;1;1>>,154444,,,,,,,,,
100095,,,Level 95,Cấp 95,Level 95,Level 95,Level 95,Level 95,Level 95,,,<{level=110;unitId=232242;advance=14};{level=155;unitId=231221;advance=14};{level=110;unitId=230503;advance=14};{level=110;unitId=232683;advance=14};{level=110;unitId=231931;advance=14}>,<{level=155;unitId=251095;advance=15}>,config/portrait/jinglingtouxiang2/img_1381.png,,22,,,battle/scene/bg_sd.jpg,,,,,,155,437,437,,,,5,<<27;0;10%>;<22;0;10%>;<26;1;10%>>,{gold=110000;451=30;519=1},<<gold;110000;1>;<451;30;1>;<519;1;1>>,{gold=3800;452=1;libs=<110;111;112>},<<gold;3800;0>;<451;1;1>;<452;1;1>>,171602,,,Randomly greatly increases one unit’s magic defense.,Randomly greatly increases one unit’s magic defense.,Randomly greatly increases one unit’s magic defense.,Randomly greatly increases one unit’s magic defense.,Randomly greatly increases one unit’s magic defense.,Ngẫu nhiên một đơn vị tăng cường phòng thủ pháp thuật đáng kể,
100096,,,Level 96,Cấp 96,Level 96,Level 96,Level 96,Level 96,Level 96,,,<{level=111;unitId=232593;advance=14};{level=157;unitId=231253;advance=14};{level=111;unitId=230552;advance=14};{level=111;unitId=232843;advance=14};{level=111;unitId=232013;advance=14}>,<{level=157;unitId=251096;advance=15}>,config/portrait/jinglingtouxiang2/img_1423.png,,22,,,battle/scene/bg_tower.jpg,,,,,,157,441,441,,,,3,<<13;1;4%>>,{gold=115000;451=30;452=20},<<gold;115000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=3900},<<gold;3900;0>;<451;1;1>;<452;1;1>>,171602,,,,,,,,,
100097,,,Level 97,Cấp 97,Level 97,Level 97,Level 97,Level 97,Level 97,,,<{level=112;unitId=232612;advance=14};{level=159;unitId=231293;advance=14};{level=112;unitId=230593;advance=14};{level=112;unitId=232963;advance=14};{level=112;unitId=232073;advance=14}>,<{level=159;unitId=251097;advance=15}>,config/portrait/jinglingtouxiang2/img_1503.png,,22,,,battle/scene/bg_grass.jpg,,,,,,159,445,445,,,,4,<<13;0;4%>;<24;0;4%>>,{502=1;451=30;gold=115000},<<gold;115000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=3900},<<gold;3900;0>;<451;1;1>;<452;1;1>>,171602,,,,,,,,,
100098,,,Level 98,Cấp 98,Level 98,Level 98,Level 98,Level 98,Level 98,,,<{level=113;unitId=232633;advance=15};{level=161;unitId=231303;advance=15};{level=113;unitId=230603;advance=15};{level=113;unitId=233283;advance=15};{level=113;unitId=232593;advance=15}>,<{level=161;unitId=251098;advance=16}>,config/portrait/jinglingtouxiang2/img_1612.png,,22,,,battle/scene/bg_night.jpg,,,,,,161,449,449,,,,5,<<27;0;5%>;<26;0;5%>>,{rmb=100;451=30;gold=115000},<<gold;115000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=3900},<<gold;3900;0>;<451;1;1>;<452;1;1>>,171602,,,,,,,,,
100099,,,Level 99,Cấp 99,Level 99,Level 99,Level 99,Level 99,Level 99,,,<{level=114;unitId=232683;advance=15};{level=163;unitId=231394;advance=15};{level=114;unitId=230611;advance=15};{level=114;unitId=232633;advance=15};{level=114;unitId=232612;advance=15}>,<{level=163;unitId=251099;advance=16}>,config/portrait/jinglingtouxiang2/img_1772.png,,22,,,battle/scene/bg_sd.jpg,,,,,,163,453,453,,,,5,<<1;0;5%>>,{gold=115000;451=30;452=20},<<gold;115000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=3900},<<gold;3900;0>;<451;1;1>;<452;1;1>>,171602,,,,,,,,,
100100,,,Level 100,Cấp 100,Level 100,Level 100,Level 100,Level 100,Level 100,,,<{level=115;unitId=232723;advance=15};{level=165;unitId=231612;advance=15};{level=115;unitId=230632;advance=15};{level=115;unitId=230013;advance=15};{level=115;unitId=232633;advance=15}>,<{level=165;unitId=251100;advance=16}>,config/portrait/jinglingtouxiang2/img_1813.png,,22,,,battle/scene/bg_tower.jpg,,,,,,165,457,457,,,,5,<<27;0;20%>;<22;0;20%>;<26;1;20%>>,{941=1;451=30;gold=115000},<<gold;115000;1>;<451;30;1>;<941;1;1>>,{gold=3900;452=2;libs=<110;111;112>},<<gold;3900;0>;<451;1;1>;<452;1;1>>,193052,,,All monsters receive reduced magic damage but are vulnerable to physical attacks.,All monsters receive reduced magic damage but are vulnerable to physical attacks.,All monsters receive reduced magic damage but are vulnerable to physical attacks.,All monsters receive reduced magic damage but are vulnerable to physical attacks.,All monsters receive reduced magic damage but are vulnerable to physical attacks.,"Toàn bộ quái vật nhận sát thương pháp thuật giảm, nhưng dễ bị tấn công vật lý gây thương tích nặng",
100101,,,Level 101,Cấp 101,Level 101,Level 101,Level 101,Level 101,Level 101,,,<{level=116;unitId=232843;advance=16};{level=167;unitId=231772;advance=16};{level=116;unitId=230641;advance=16};{level=116;unitId=230044;advance=16};{level=116;unitId=232683;advance=16}>,<{level=167;unitId=251101;advance=17}>,config/portrait/jinglingtouxiang2/img_1841.png,,22,,,battle/scene/bg_grass.jpg,,,,,,167,461,461,,,,3,<<1;1;4%>>,{gold=120000;451=30;452=20},<<gold;120000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4000},<<gold;4000;0>;<451;1;1>;<452;1;1>>,193052,,,,,,,,,
100102,,,Level 102,Cấp 102,Level 102,Level 102,Level 102,Level 102,Level 102,,,<{level=117;unitId=232963;advance=16};{level=169;unitId=231813;advance=16};{level=117;unitId=230692;advance=16};{level=117;unitId=230053;advance=16};{level=117;unitId=232843;advance=16}>,<{level=169;unitId=251102;advance=17}>,config/portrait/jinglingtouxiang2/img_1893.png,,22,,,battle/scene/bg_night.jpg,,,,,,169,465,465,,,,4,<<1;0;4%>;<28;0;4%>>,{502=1;451=30;gold=120000},<<gold;120000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=4000},<<gold;4000;0>;<451;1;1>;<452;1;1>>,193052,,,,,,,,,
100103,,,Level 103,Cấp 103,Level 103,Level 103,Level 103,Level 103,Level 103,,,<{level=118;unitId=233003;advance=16};{level=171;unitId=231841;advance=16};{level=118;unitId=230712;advance=16};{level=118;unitId=230082;advance=16};{level=118;unitId=232963;advance=16}>,<{level=171;unitId=251103;advance=17}>,config/portrait/jinglingtouxiang2/img_1911.png,,22,,,battle/scene/bg_sd.jpg,,,,,,171,469,469,,,,5,<<1;0;7%>>,{rmb=100;451=30;gold=120000},<<gold;120000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=4000},<<gold;4000;0>;<451;1;1>;<452;1;1>>,193052,,,,,,,,,
100104,,,Level 104,Cấp 104,Level 104,Level 104,Level 104,Level 104,Level 104,,,<{level=119;unitId=233152;advance=16};{level=173;unitId=231903;advance=16};{level=119;unitId=230731;advance=16};{level=119;unitId=230163;advance=16};{level=119;unitId=233283;advance=16}>,<{level=173;unitId=251104;advance=17}>,config/portrait/jinglingtouxiang2/img_1941.png,,22,,,battle/scene/bg_tower.jpg,,,,,,173,473,473,,,,5,<<27;0;7%>;<26;0;7%>>,{gold=120000;451=30;452=20},<<gold;120000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4000},<<gold;4000;0>;<451;1;1>;<452;1;1>>,193052,,,,,,,,,
100105,,,Level 105,Cấp 105,Level 105,Level 105,Level 105,Level 105,Level 105,,,<{level=120;unitId=233161;advance=16};{level=175;unitId=231911;advance=16};{level=120;unitId=230741;advance=16};{level=120;unitId=230242;advance=16};{level=120;unitId=233293;advance=16}>,<{level=175;unitId=251105;advance=17}>,config/portrait/jinglingtouxiang2/img_1951.png,,22,,,battle/scene/bg_grass.jpg,,,,,,175,477,477,,,,5,<<1;1;10%>;<13;0;10%>;<13;0;10%>>,{gold=120000;451=30;519=1},<<gold;120000;1>;<451;30;1>;<519;1;1>>,{gold=4000;452=1;libs=<110;111;112>},<<gold;4000;0>;<451;1;1>;<452;1;1>>,231660,,,The boss seems to be sleeping.,The boss seems to be sleeping.,The boss seems to be sleeping.,The boss seems to be sleeping.,The boss seems to be sleeping.,Thủ lĩnh dường như đang ngủ say,
100106,,,Level 106,Cấp 106,Level 106,Level 106,Level 106,Level 106,Level 106,,,<{level=121;unitId=233181;advance=17};{level=177;unitId=231931;advance=17};{level=121;unitId=230793;advance=17};{level=121;unitId=230273;advance=17};{level=121;unitId=233342;advance=17}>,<{level=177;unitId=251106;advance=18}>,config/portrait/jinglingtouxiang2/img_2023.png,,22,,,battle/scene/bg_night.jpg,,,,,,177,481,481,,,,3,<<7;1;4%>;<8;1;4%>>,{gold=125000;451=30;452=20},<<gold;125000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4100},<<gold;4100;0>;<451;1;1>;<452;1;1>>,231660,,,,,,,,,
100107,,,Level 107,Cấp 107,Level 107,Level 107,Level 107,Level 107,Level 107,,,<{level=122;unitId=233251;advance=17};{level=179;unitId=232013;advance=17};{level=122;unitId=230863;advance=17};{level=122;unitId=230333;advance=17};{level=122;unitId=233432;advance=17}>,<{level=179;unitId=251107;advance=18}>,config/portrait/jinglingtouxiang2/img_2033.png,,22,,,battle/scene/bg_sd.jpg,,,,,,179,485,485,,,,4,<<7;0;4%>;<8;0;4%>;<14;0;4%>>,{502=1;451=30;gold=125000},<<gold;125000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=4100},<<gold;4100;0>;<451;1;1>;<452;1;1>>,231660,,,,,,,,,
100108,,,Level 108,Cấp 108,Level 108,Level 108,Level 108,Level 108,Level 108,,,<{level=123;unitId=233283;advance=17};{level=181;unitId=232023;advance=17};{level=123;unitId=230883;advance=17};{level=123;unitId=230402;advance=17};{level=123;unitId=233472;advance=17}>,<{level=181;unitId=251108;advance=18}>,config/portrait/jinglingtouxiang2/img_2233.png,,22,,,battle/scene/bg_tower.jpg,,,,,,181,489,489,,,,5,<<1;0;7%>>,{rmb=100;451=30;gold=125000},<<gold;125000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=4100},<<gold;4100;0>;<451;1;1>;<452;1;1>>,231660,,,,,,,,,
100109,,,Level 109,Cấp 109,Level 109,Level 109,Level 109,Level 109,Level 109,,,<{level=124;unitId=233293;advance=17};{level=183;unitId=232033;advance=17};{level=124;unitId=230972;advance=17};{level=124;unitId=230493;advance=17};{level=124;unitId=233511;advance=17}>,<{level=183;unitId=251109;advance=18}>,config/portrait/jinglingtouxiang2/img_2242.png,,22,,,battle/scene/bg_grass.jpg,,,,,,183,493,493,,,,5,<<27;0;7%>;<26;0;7%>>,{gold=125000;451=30;452=20},<<gold;125000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4100},<<gold;4100;0>;<451;1;1>;<452;1;1>>,231660,,,,,,,,,
100110,,,Level 110,Cấp 110,Level 110,Level 110,Level 110,Level 110,Level 110,,,<{level=125;unitId=233342;advance=17};{level=185;unitId=232073;advance=17};{level=125;unitId=231071;advance=17};{level=125;unitId=230503;advance=17};{level=125;unitId=233543;advance=17}>,<{level=185;unitId=251110;advance=18}>,config/portrait/jinglingtouxiang2/img_2401.png,,22,,,battle/scene/bg_night.jpg,,,,,,185,497,497,,,,5,<<1;1;20%>;<13;0;20%>;<13;0;20%>>,{501=1;451=30;gold=125000},<<gold;125000;1>;<451;30;1>;<501;1;1>>,{gold=4100;452=2;libs=<110;111;112>},<<gold;4100;0>;<451;1;1>;<452;1;1>>,257403,,,All monsters receive reduced physical damage but are vulnerable to special attacks.,All monsters receive reduced physical damage but are vulnerable to special attacks.,All monsters receive reduced physical damage but are vulnerable to special attacks.,All monsters receive reduced physical damage but are vulnerable to special attacks.,All monsters receive reduced physical damage but are vulnerable to special attacks.,"Toàn bộ quái vật nhận sát thương vật lý giảm, nhưng dễ bị tấn công đặc biệt gây thương tích nặng",
100111,,,Level 111,Cấp 111,Level 111,Level 111,Level 111,Level 111,Level 111,,,<{level=126;unitId=233432;advance=17};{level=187;unitId=232242;advance=17};{level=126;unitId=231032;advance=17};{level=126;unitId=230552;advance=17};{level=126;unitId=233683;advance=17}>,<{level=187;unitId=251111;advance=18}>,config/portrait/jinglingtouxiang2/img_2493.png,,22,,,battle/scene/bg_sd.jpg,,,,,,187,501,501,,,,3,<<9;1;4%>;<10;1;4%>>,{gold=130000;451=30;452=20},<<gold;130000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4200},<<gold;4200;0>;<451;1;1>;<452;1;1>>,257403,,,,,,,,,
100112,,,Level 112,Cấp 112,Level 112,Level 112,Level 112,Level 112,Level 112,,,<{level=127;unitId=233472;advance=17};{level=189;unitId=232593;advance=17};{level=127;unitId=231082;advance=17};{level=127;unitId=230593;advance=17};{level=127;unitId=233772;advance=17}>,<{level=189;unitId=251112;advance=18}>,config/portrait/jinglingtouxiang2/img_2723.png,,22,,,battle/scene/bg_tower.jpg,,,,,,189,505,505,,,,4,<<9;0;4%>;<10;0;4%>;<17;0;4%>>,{502=1;451=30;gold=130000},<<gold;130000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=4200},<<gold;4200;0>;<451;1;1>;<452;1;1>>,257403,,,,,,,,,
100113,,,Level 113,Cấp 113,Level 113,Level 113,Level 113,Level 113,Level 113,,,<{level=128;unitId=233511;advance=17};{level=191;unitId=232612;advance=17};{level=128;unitId=231221;advance=17};{level=128;unitId=230603;advance=17};{level=128;unitId=232633;advance=17}>,<{level=191;unitId=251113;advance=18}>,config/portrait/jinglingtouxiang2/img_3003.png,,22,,,battle/scene/bg_grass.jpg,,,,,,191,509,509,,,,5,<<9;0;7%>;<10;0;7%>>,{rmb=100;451=30;gold=130000},<<gold;130000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=4200},<<gold;4200;0>;<451;1;1>;<452;1;1>>,257403,,,,,,,,,
100114,,,Level 114,Cấp 114,Level 114,Level 114,Level 114,Level 114,Level 114,,,<{level=129;unitId=233543;advance=17};{level=193;unitId=232633;advance=17};{level=129;unitId=231253;advance=17};{level=129;unitId=230611;advance=17};{level=129;unitId=230013;advance=17}>,<{level=193;unitId=251114;advance=18}>,config/portrait/jinglingtouxiang2/img_3021.png,,22,,,battle/scene/bg_night.jpg,,,,,,193,513,513,,,,5,<<9;0;7%>;<10;0;7%>;<22;0;7%>>,{gold=130000;451=30;452=20},<<gold;130000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4200},<<gold;4200;0>;<451;1;1>;<452;1;1>>,257403,,,,,,,,,
100115,,,Level 115,Cấp 115,Level 115,Level 115,Level 115,Level 115,Level 115,,,<{level=130;unitId=233592;advance=17};{level=195;unitId=232683;advance=17};{level=130;unitId=231293;advance=17};{level=130;unitId=230632;advance=17};{level=130;unitId=230044;advance=17}>,<{level=195;unitId=251115;advance=18}>,config/portrait/jinglingtouxiang2/img_3143.png,,22,,,battle/scene/bg_sd.jpg,,,,,,195,517,517,,,,5,<<9;1;10%>;<10;1;10%>;<13;0;10%>>,{gold=130000;451=30;519=1},<<gold;130000;1>;<451;30;1>;<519;1;1>>,{gold=4200;452=1;libs=<110;111;112>},<<gold;4200;0>;<451;1;1>;<452;1;1>>,274561,,,"Heroes are imprisoned, seemingly related to the aura unit.","Heroes are imprisoned, seemingly related to the aura unit.","Heroes are imprisoned, seemingly related to the aura unit.","Heroes are imprisoned, seemingly related to the aura unit.","Heroes are imprisoned, seemingly related to the aura unit.","Anh hùng bị giam cầm, dường như liên quan đến đơn vị trong hào quang",
100116,,,Level 116,Cấp 116,Level 116,Level 116,Level 116,Level 116,Level 116,,,<{level=131;unitId=233663;advance=17};{level=197;unitId=232723;advance=17};{level=131;unitId=231303;advance=17};{level=131;unitId=230641;advance=17};{level=131;unitId=230053;advance=17}>,<{level=197;unitId=251116;advance=18}>,config/portrait/jinglingtouxiang2/img_3152.png,,22,,,battle/scene/bg_tower.jpg,,,,,,197,521,521,,,,3,<<13;1;4%>>,{gold=135000;451=30;452=20},<<gold;135000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4300},<<gold;4300;0>;<451;1;1>;<452;1;1>>,274561,,,,,,,,,
100117,,,Level 117,Cấp 117,Level 117,Level 117,Level 117,Level 117,Level 117,,,<{level=132;unitId=233683;advance=17};{level=199;unitId=232843;advance=17};{level=132;unitId=231394;advance=17};{level=132;unitId=230692;advance=17};{level=132;unitId=230082;advance=17}>,<{level=199;unitId=251117;advance=18}>,config/portrait/jinglingtouxiang2/img_3161.png,,22,,,battle/scene/bg_grass.jpg,,,,,,199,525,525,,,,4,<<13;0;4%>;<24;0;4%>>,{502=1;451=30;gold=135000},<<gold;135000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=4300},<<gold;4300;0>;<451;1;1>;<452;1;1>>,274561,,,,,,,,,
100118,,,Level 118,Cấp 118,Level 118,Level 118,Level 118,Level 118,Level 118,,,<{level=133;unitId=233772;advance=17};{level=201;unitId=232963;advance=17};{level=133;unitId=231612;advance=17};{level=133;unitId=230712;advance=17};{level=133;unitId=230163;advance=17}>,<{level=201;unitId=251118;advance=18}>,config/portrait/jinglingtouxiang2/img_3171.png,,22,,,battle/scene/bg_night.jpg,,,,,,201,529,529,,,,5,<<9;0;7%>;<10;0;7%>>,{rmb=100;451=30;gold=135000},<<gold;135000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=4300},<<gold;4300;0>;<451;1;1>;<452;1;1>>,274561,,,,,,,,,
100119,,,Level 119,Cấp 119,Level 119,Level 119,Level 119,Level 119,Level 119,,,<{level=134;unitId=230013;advance=17};{level=203;unitId=233003;advance=17};{level=134;unitId=231772;advance=17};{level=134;unitId=230731;advance=17};{level=134;unitId=230242;advance=17}>,<{level=203;unitId=251119;advance=18}>,config/portrait/jinglingtouxiang2/img_3181.png,,22,,,battle/scene/bg_sd.jpg,,,,,,203,533,533,,,,5,<<9;0;7%>;<10;0;7%>;<22;0;7%>>,{gold=135000;451=30;452=20},<<gold;135000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4300},<<gold;4300;0>;<451;1;1>;<452;1;1>>,274561,,,,,,,,,
100120,,,Level 120,Cấp 120,Level 120,Level 120,Level 120,Level 120,Level 120,,,<{level=135;unitId=230044;advance=17};{level=205;unitId=233152;advance=17};{level=135;unitId=231813;advance=17};{level=135;unitId=230741;advance=17};{level=135;unitId=230273;advance=17}>,<{level=205;unitId=251120;advance=18}>,config/portrait/jinglingtouxiang2/img_3251.png,,22,,,battle/scene/bg_tower.jpg,,,,,,205,537,537,,,,5,<<9;1;20%>;<10;1;20%>;<13;0;20%>>,{501=1;451=30;gold=135000},<<gold;135000;1>;<451;30;1>;<501;1;1>>,{gold=4300;452=2;libs=<110;111;112>},<<gold;4300;0>;<451;1;1>;<452;1;1>>,287432,,,All heroes' attack increases; killing aura units grants defense increase.,All heroes' attack increases; killing aura units grants defense increase.,All heroes' attack increases; killing aura units grants defense increase.,All heroes' attack increases; killing aura units grants defense increase.,All heroes' attack increases; killing aura units grants defense increase.,"Toàn bộ anh hùng tăng cường tấn công, tiêu diệt đơn vị trong hào quang sẽ nhận tăng cường phòng thủ",
100121,,,Level 121,Cấp 121,Level 121,Level 121,Level 121,Level 121,Level 121,,,<{level=136;unitId=230053;advance=17};{level=207;unitId=233161;advance=17};{level=136;unitId=231841;advance=17};{level=136;unitId=230793;advance=17};{level=136;unitId=230333;advance=17}>,<{level=207;unitId=251121;advance=18}>,config/portrait/jinglingtouxiang2/img_3303.png,,22,,,battle/scene/bg_grass.jpg,,,,,,207,541,541,,,,3,<<1;1;5%>>,{gold=140000;451=30;452=20},<<gold;140000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4400},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,,,,,
100122,,,Level 122,Cấp 122,Level 122,Level 122,Level 122,Level 122,Level 122,,,<{level=137;unitId=230082;advance=17};{level=209;unitId=233181;advance=17};{level=137;unitId=231903;advance=17};{level=137;unitId=230863;advance=17};{level=137;unitId=230402;advance=17}>,<{level=209;unitId=251122;advance=18}>,config/portrait/jinglingtouxiang2/img_3353.png,,22,,,battle/scene/bg_night.jpg,,,,,,209,545,545,,,,4,<<1;0;5%>;<28;0;5%>>,{502=1;451=30;gold=140000},<<gold;140000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=4400},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,,,,,
100123,,,Level 123,Cấp 123,Level 123,Level 123,Level 123,Level 123,Level 123,,,<{level=138;unitId=230163;advance=17};{level=211;unitId=233251;advance=17};{level=138;unitId=231911;advance=17};{level=138;unitId=230883;advance=17};{level=138;unitId=230493;advance=17}>,<{level=211;unitId=251123;advance=18}>,config/portrait/jinglingtouxiang2/img_3592.png,,22,,,battle/scene/bg_sd.jpg,,,,,,211,549,549,,,,5,<<7;0;7%>;<8;0;7%>>,{rmb=100;451=30;gold=140000},<<gold;140000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=4400},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,,,,,
100124,,,Level 124,Cấp 124,Level 124,Level 124,Level 124,Level 124,Level 124,,,<{level=139;unitId=230242;advance=17};{level=213;unitId=233283;advance=17};{level=139;unitId=231931;advance=17};{level=139;unitId=230972;advance=17};{level=139;unitId=230503;advance=17}>,<{level=213;unitId=251124;advance=18}>,config/portrait/jinglingtouxiang2/img_3663.png,,22,,,battle/scene/bg_tower.jpg,,,,,,213,553,553,,,,5,<<1;0;7%>;<22;0;7%>>,{gold=140000;451=30;452=20},<<gold;140000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=4400},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,,,,,
