VariableName,_comment,weightList,cardWeightMap,specialWeightMap
501,,<<4011;100;1>;<4012;100;1>;<4013;100;1>;<4021;100;1>;<4022;100;1>;<4023;100;1>;<4031;60;1>;<4032;60;1>;<4033;60;1>;<4034;0;1>;<4041;60;1>;<4042;60;1>;<4043;60;1>;<4044;0;1>;<4051;60;1>;<4052;60;1>;<4053;60;1>;<4054;0;1>;<4054;0;1>>,,
502,,<<4011;100;1>;<4012;100;1>;<4013;100;1>;<4021;100;1>;<4022;100;1>;<4023;100;1>;<4031;30;1>;<4032;30;1>;<4033;30;1>;<4034;0;1>;<4041;30;1>;<4042;30;1>;<4043;30;1>;<4044;0;1>;<4051;30;1>;<4052;30;1>;<4053;30;1>;<4054;0;1>;<4061;10;1>;<4062;10;1>;<4063;10;1>;<4064;10;1>;<4065;0;1>;<4071;10;1>;<4072;10;1>;<4073;10;1>;<4074;10;1>;<4075;0;1>>,,
503,,<<4000;100;40>;<4000;150;50>;<4000;100;60>;<4000;20;100>>,,
504,,<<606;100;1>;<607;30;1>;<608;0;1>;<609;100;1>;<610;30;1>;<611;0;1>;<612;100;1>;<613;30;1>;<614;0;1>;<615;100;1>;<616;30;1>;<617;0;1>;<618;100;1>;<619;30;1>;<620;0;1>;<621;100;1>;<622;30;1>;<623;0;1>;<11;500;3>;<12;300;2>;<13;100;1>;<510;100;2>;<511;100;1>;<512;100;1>>,,
505,,<<606;100;1>;<607;30;1>;<608;0;1>;<609;100;1>;<610;30;1>;<611;0;1>;<612;100;1>;<613;30;1>;<614;0;1>;<615;100;1>;<616;30;1>;<617;0;1>;<618;100;1>;<619;30;1>;<620;0;1>;<621;100;1>;<622;30;1>;<623;0;1>;<13;300;3>>,,
506,,<<4000;100;40>;<4000;150;50>;<4000;100;60>;<4000;30;100>>,,
520,,<<503;4000;1>;<850;14224;20>;<850;14000;40>;<851;10000;6>;<851;10000;12>;<901;4000;5>;<902;2000;3>;<501;500;1>;<200;11;1>;<201;11;1>;<202;11;1>;<203;11;1>;<204;11;1>;<205;11;1>;<210;11;1>;<211;11;1>;<212;11;1>;<213;11;1>;<214;11;1>;<215;11;1>;<220;12;1>;<221;12;1>;<222;12;1>;<223;12;1>;<224;12;1>;<225;12;1>;<230;12;1>;<231;12;1>;<232;12;1>;<233;12;1>;<234;12;1>;<235;12;1>>,,
521,,<<503;2000;1>;<850;13810;15>;<850;13752;30>;<851;10000;4>;<851;10000;8>;<901;3000;4>;<902;2000;2>;<501;300;1>;<200;5;1>;<201;5;1>;<202;5;1>;<203;5;1>;<204;5;1>;<205;5;1>;<210;6;1>;<211;6;1>;<212;6;1>;<213;6;1>;<214;6;1>;<215;6;1>;<220;6;1>;<221;6;1>;<222;6;1>;<223;6;1>;<224;6;1>;<225;6;1>;<230;6;1>;<231;6;1>;<232;6;1>;<233;6;1>;<234;6;1>;<235;6;1>>,,
522,,<<503;4000;1>;<850;14224;20>;<850;14000;40>;<851;10000;9>;<851;10000;18>;<901;4000;5>;<902;2000;3>;<501;500;1>;<200;11;1>;<201;11;1>;<202;11;1>;<203;11;1>;<204;11;1>;<205;11;1>;<210;11;1>;<211;11;1>;<212;11;1>;<213;11;1>;<214;11;1>;<215;11;1>;<220;12;1>;<221;12;1>;<222;12;1>;<223;12;1>;<224;12;1>;<225;12;1>;<230;12;1>;<231;12;1>;<232;12;1>;<233;12;1>;<234;12;1>;<235;12;1>>,,
523,,<<503;2000;1>;<850;13810;15>;<850;13752;30>;<851;10000;6>;<851;10000;12>;<901;3000;4>;<902;2000;2>;<501;300;1>;<200;5;1>;<201;5;1>;<202;5;1>;<203;5;1>;<204;5;1>;<205;5;1>;<210;6;1>;<211;6;1>;<212;6;1>;<213;6;1>;<214;6;1>;<215;6;1>;<220;6;1>;<221;6;1>;<222;6;1>;<223;6;1>;<224;6;1>;<225;6;1>;<230;6;1>;<231;6;1>;<232;6;1>;<233;6;1>;<234;6;1>;<235;6;1>>,,
524,,<<111;56;25>;<111;56;26>;<111;56;27>;<111;56;28>;<111;56;29>;<111;56;30>;<111;56;31>;<111;56;32>;<111;56;33>;<111;56;34>;<111;56;35>;<111;24;50>;<111;24;51>;<111;24;52>;<111;24;53>;<111;24;54>;<111;24;55>;<111;24;56>;<111;24;57>;<111;24;58>;<111;24;59>;<111;24;60>;<111;24;100>;<111;24;101>;<111;24;102>;<111;24;103>;<111;24;104>;<111;24;105>;<111;24;106>;<111;24;107>;<111;24;108>;<111;24;109>;<111;24;110>;<112;38;10>;<112;38;11>;<112;38;12>;<112;38;13>;<112;38;14>;<112;16;15>;<112;16;16>;<112;16;17>;<112;16;18>;<112;16;20>;<112;16;25>;<112;16;26>;<112;16;27>;<112;16;28>;<112;16;30>>,,
525,,<<111;56;15>;<111;56;16>;<111;56;17>;<111;56;18>;<111;56;19>;<111;56;20>;<111;56;21>;<111;56;22>;<111;56;23>;<111;56;24>;<111;56;25>;<111;24;40>;<111;24;41>;<111;24;42>;<111;24;43>;<111;24;44>;<111;24;45>;<111;24;46>;<111;24;47>;<111;24;48>;<111;24;49>;<111;24;50>;<111;24;90>;<111;24;91>;<111;24;92>;<111;24;93>;<111;24;94>;<111;24;95>;<111;24;96>;<111;24;97>;<111;24;98>;<111;24;99>;<111;24;100>;<112;38;5>;<112;38;6>;<112;38;7>;<112;38;8>;<112;38;9>;<112;16;10>;<112;16;11>;<112;16;12>;<112;16;13>;<112;16;15>;<112;16;20>;<112;16;21>;<112;16;22>;<112;16;23>;<112;16;25>>,,
530,,<<5511;100;1>;<5512;10;1>;<100;100;1>;<5514;330;1>;<5515;25;1>;<5516;25;1>;<5000;100;10>;<501;10;1>;<5518;300;1>>,,
531,,<<5511;100;1>;<5512;10;1>;<100;100;1>;<5514;580;1>;<5515;50;1>;<5516;50;1>;<5000;100;10>;<501;10;1>>,,
540,,<<900;20000;8>;<901;10000;5>;<902;4000;3>;<13;17000;15>;<13;8000;20>;<14;10000;8>;<14;6000;10>;<5512;20000;1>>,,
541,,<<900;20000;8>;<901;10000;5>;<902;4000;3>;<13;17000;15>;<13;8000;20>;<14;10000;8>;<14;6000;10>;<5512;20000;1>>,,
542,,<<6021;1800;1>;<6024;1180;1>;<529;1750;60>;<14;945;8>;<14;945;10>;<980;1200;1>;<981;600;1>;<982;180;1>;<983;20;1>>,,
543,,<<6022;1980;1>;<6025;1330;1>;<529;1410;50>;<14;1070;6>;<14;1070;8>;<980;800;1>;<981;800;1>;<982;100;1>;<983;0;1>>,,
544,,<<6021;1800;1>;<6024;1180;1>;<529;1750;120>;<14;945;8>;<14;945;10>;<980;1200;1>;<981;600;1>;<982;180;1>;<983;20;1>>,,
545,,<<6022;1980;1>;<6025;1330;1>;<529;1410;100>;<14;1070;6>;<14;1070;8>;<980;800;1>;<981;800;1>;<982;100;1>;<983;0;1>>,,
551,,<<606;500;3>;<609;500;3>;<612;500;3>;<615;500;3>;<618;500;3>;<621;500;3>;<606;500;6>;<609;500;6>;<612;500;6>;<615;500;6>;<618;500;6>;<621;500;6>;<606;500;15>;<609;500;15>;<612;500;15>;<615;500;15>;<618;500;15>;<621;500;15>;<607;630;3>;<610;630;3>;<613;630;3>;<616;630;3>;<619;630;3>;<622;630;3>;<607;630;6>;<610;630;6>;<613;630;6>;<616;630;6>;<619;630;6>;<622;630;6>;<607;630;15>;<610;630;15>;<613;630;15>;<616;630;15>;<619;630;15>;<622;630;15>;<608;200;3>;<611;200;3>;<614;200;3>;<617;200;3>;<620;200;3>;<623;200;3>;<608;200;6>;<611;200;6>;<614;200;6>;<617;200;6>;<620;200;6>;<623;200;6>>,,
552,,<<606;500;2>;<609;500;2>;<612;500;2>;<615;500;2>;<618;500;2>;<621;500;2>;<606;500;4>;<609;500;4>;<612;500;4>;<615;500;4>;<618;500;4>;<621;500;4>;<606;500;10>;<609;500;10>;<612;500;10>;<615;500;10>;<618;500;10>;<621;500;10>;<607;630;2>;<610;630;2>;<613;630;2>;<616;630;2>;<619;630;2>;<622;630;2>;<607;630;4>;<610;630;4>;<613;630;4>;<616;630;4>;<619;630;4>;<622;630;4>;<607;630;10>;<610;630;10>;<613;630;10>;<616;630;10>;<619;630;10>;<622;630;10>;<608;200;2>;<611;200;2>;<614;200;2>;<617;200;2>;<620;200;2>;<623;200;2>;<608;200;4>;<611;200;4>;<614;200;4>;<617;200;4>;<620;200;4>;<623;200;4>>,,
601,,<<535;100;60>;<535;100;57>;<535;100;54>;<535;100;52>;<535;100;50>;<535;100;48>;<535;100;46>;<535;100;43>;<535;100;40>>,,
602,,<<535;100;240>;<535;100;228>;<535;100;216>;<535;100;208>;<535;100;200>;<535;100;192>;<535;100;184>;<535;100;172>;<535;100;160>>,,
603,,<<535;100;600>;<535;100;570>;<535;100;540>;<535;100;520>;<535;100;500>;<535;100;480>;<535;100;460>;<535;100;430>;<535;100;400>>,,
604,,<<535;100;70>;<535;100;67>;<535;100;64>;<535;100;62>;<535;100;60>;<535;100;58>;<535;100;56>;<535;100;53>;<535;100;50>>,,
605,,<<535;100;280>;<535;100;268>;<535;100;256>;<535;100;248>;<535;100;240>;<535;100;232>;<535;100;224>;<535;100;212>;<535;100;200>>,,
606,,<<535;100;700>;<535;100;670>;<535;100;640>;<535;100;620>;<535;100;600>;<535;100;580>;<535;100;560>;<535;100;530>;<535;100;500>>,,
607,,<<535;100;80>;<535;100;77>;<535;100;74>;<535;100;72>;<535;100;70>;<535;100;68>;<535;100;66>;<535;100;63>;<535;100;60>>,,
608,,<<535;100;320>;<535;100;308>;<535;100;296>;<535;100;288>;<535;100;280>;<535;100;272>;<535;100;264>;<535;100;252>;<535;100;240>>,,
609,,<<535;100;800>;<535;100;770>;<535;100;740>;<535;100;720>;<535;100;700>;<535;100;680>;<535;100;660>;<535;100;630>;<535;100;600>>,,
611,,<<gold;100;9000>;<gold;100;8550>;<gold;100;8100>;<gold;100;7800>;<gold;100;7500>;<gold;100;7200>;<gold;100;6900>;<gold;100;6450>;<gold;100;6000>>,,
612,,<<gold;100;36000>;<gold;100;34200>;<gold;100;32400>;<gold;100;31200>;<gold;100;30000>;<gold;100;28800>;<gold;100;27600>;<gold;100;25800>;<gold;100;24000>>,,
613,,<<gold;100;90000>;<gold;100;85500>;<gold;100;81000>;<gold;100;78000>;<gold;100;75000>;<gold;100;72000>;<gold;100;69000>;<gold;100;64500>;<gold;100;60000>>,,
614,,<<gold;100;10500>;<gold;100;10050>;<gold;100;9600>;<gold;100;9300>;<gold;100;9000>;<gold;100;8700>;<gold;100;8400>;<gold;100;7950>;<gold;100;7500>>,,
615,,<<gold;100;42000>;<gold;100;40200>;<gold;100;38400>;<gold;100;37200>;<gold;100;36000>;<gold;100;34800>;<gold;100;33600>;<gold;100;31800>;<gold;100;30000>>,,
616,,<<gold;100;105000>;<gold;100;100500>;<gold;100;96000>;<gold;100;93000>;<gold;100;90000>;<gold;100;87000>;<gold;100;84000>;<gold;100;79500>;<gold;100;75000>>,,
621,,<<none;800;0>;<12;35;5>;<13;35;3>;<14;30;2>;<5000;16;2>;<930;16;2>;<5000;16;1>;<930;16;1>;<606;3;1>;<609;3;1>;<612;3;1>;<615;3;1>;<618;3;1>;<621;3;1>;<606;3;2>;<609;3;2>;<612;3;2>;<615;3;2>;<618;3;2>;<621;3;2>>,,
622,,<<none;500;0>;<12;0;10>;<13;35;6>;<14;30;4>;<5000;20;4>;<930;20;4>;<5000;20;3>;<930;20;3>;<607;3;1>;<610;3;1>;<613;3;1>;<616;3;1>;<619;3;1>;<622;3;1>;<607;3;2>;<610;3;2>;<613;3;2>;<616;3;2>;<619;3;2>;<622;3;2>;<2101;5;2>;<2102;5;2>;<451;5;3>;<452;5;3>;<850;5;5>;<851;5;5>;<529;20;50>>,,
623,,<<none;0;0>;<12;0;10>;<14;35;5>;<15;30;3>;<5000;20;8>;<930;20;8>;<5000;20;6>;<930;20;6>;<608;3;1>;<611;3;1>;<614;3;1>;<617;3;1>;<620;3;1>;<623;3;1>;<608;3;2>;<611;3;2>;<614;3;2>;<617;3;2>;<620;3;2>;<623;3;2>;<2102;5;3>;<2103;5;2>;<451;5;10>;<452;5;10>;<850;5;10>;<851;5;10>;<529;20;100>>,,
631,,<<none;0;0>;<12;35;5>;<13;35;3>;<14;30;2>;<5000;16;2>;<930;16;2>;<5000;16;1>;<930;16;1>;<606;3;1>;<609;3;1>;<612;3;1>;<615;3;1>;<618;3;1>;<621;3;1>;<606;3;2>;<609;3;2>;<612;3;2>;<615;3;2>;<618;3;2>;<621;3;2>>,,
632,,<<none;0;0>;<12;0;10>;<13;35;6>;<14;30;4>;<5000;20;4>;<930;20;4>;<5000;20;3>;<930;20;3>;<607;3;1>;<610;3;1>;<613;3;1>;<616;3;1>;<619;3;1>;<622;3;1>;<607;3;2>;<610;3;2>;<613;3;2>;<616;3;2>;<619;3;2>;<622;3;2>;<2101;5;2>;<2102;5;2>;<451;5;3>;<452;5;3>;<850;5;5>;<851;5;5>;<529;20;50>>,,
633,,<<none;0;0>;<12;0;10>;<14;35;5>;<15;30;3>;<5000;20;8>;<930;20;8>;<5000;20;6>;<930;20;6>;<608;3;1>;<611;3;1>;<614;3;1>;<617;3;1>;<620;3;1>;<623;3;1>;<608;3;2>;<611;3;2>;<614;3;2>;<617;3;2>;<620;3;2>;<623;3;2>;<2102;5;3>;<2103;5;2>;<451;5;10>;<452;5;10>;<850;5;10>;<851;5;10>;<529;20;100>>,,
700,,<<30403;100;1>>,,
701,,<<30426;100;1>>,,
702,,<<30418;100;1>>,,
703,,<<30406;100;1>>,,
704,,<<30407;100;1>>,,
705,,<<30408;100;1>>,,
706,,<<30409;100;1>>,,
707,,<<30410;100;1>>,,
708,,<<30412;100;1>>,,
709,,<<30413;100;1>>,,
710,,<<30414;100;1>>,,
711,,<<30415;100;1>>,,
712,,<<30416;100;1>>,,
713,,<<30417;100;1>>,,
714,,<<30419;100;1>>,,
715,,<<30420;100;1>>,,
750,,<<5201;100;1>;<5202;100;1>;<5203;100;1>;<5204;100;1>;<5205;100;1>>,,
911,,<<5001;100;1>;<5002;100;1>;<5003;100;1>>,,
912,,<<5004;100;1>;<5005;100;1>;<5006;100;1>>,,
913,,<<5007;100;1>;<5008;100;1>;<5009;100;1>>,,
914,,<<5010;100;1>;<5011;100;1>;<5012;100;1>>,,
915,,<<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
916,,<<5016;100;1>;<5017;100;1>;<5018;100;1>>,,
917,,<<5019;100;1>;<5020;100;1>;<5021;100;1>>,,
918,,<<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
919,,<<5025;100;1>;<5026;100;1>;<5027;100;1>>,,
920,,<<5028;100;1>;<5029;100;1>;<5030;100;1>>,,
921,,<<5031;100;1>;<5032;100;1>;<5033;100;1>>,,
922,,<<5034;100;1>;<5035;100;1>;<5036;100;1>>,,
923,,<<5037;100;1>;<5038;100;1>;<5039;100;1>>,,
924,,<<5040;100;1>;<5041;100;1>;<5042;100;1>>,,
925,,<<5043;100;1>;<5044;100;1>;<5045;100;1>>,,
926,,<<5046;100;1>;<5047;100;1>;<5048;100;1>>,,
927,,<<5049;100;1>;<5050;100;1>;<5051;100;1>>,,
931,,<<5001;100;20>;<5002;100;20>;<5003;100;20>>,,
932,,<<5004;100;20>;<5005;100;20>;<5006;100;20>>,,
933,,<<5007;100;20>;<5008;100;20>;<5009;100;20>>,,
934,,<<5010;100;20>;<5011;100;20>;<5012;100;20>>,,
935,,<<5013;100;20>;<5014;100;20>;<5015;100;20>>,,
936,,<<5016;100;20>;<5017;100;20>;<5018;100;20>>,,
937,,<<5019;100;20>;<5020;100;20>;<5021;100;20>>,,
938,,<<5022;100;20>;<5023;100;20>;<5024;100;20>>,,
939,,<<5025;100;20>;<5026;100;20>;<5027;100;20>>,,
940,,<<5028;100;20>;<5029;100;20>;<5030;100;20>>,,
941,,<<5031;100;20>;<5032;100;20>;<5033;100;20>>,,
942,,<<5034;100;20>;<5035;100;20>;<5036;100;20>>,,
943,,<<5037;100;20>;<5038;100;20>;<5039;100;20>>,,
944,,<<5040;100;20>;<5041;100;20>;<5042;100;20>>,,
945,,<<5043;100;20>;<5044;100;20>;<5045;100;20>>,,
946,,<<5046;100;20>;<5047;100;20>;<5048;100;20>>,,
947,,<<5049;100;20>;<5050;100;20>;<5051;100;20>>,,
971,,<<5001;100;1>;<5002;100;1>;<5003;100;1>>,,
972,,<<5004;100;1>;<5005;100;1>;<5006;100;1>>,,
973,,<<5007;100;1>;<5008;100;1>;<5009;100;1>>,,
974,,<<5010;100;1>;<5011;100;1>;<5012;100;1>>,,
975,,<<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
976,,<<5016;100;1>;<5017;100;1>;<5018;100;1>>,,
977,,<<5019;100;1>;<5020;100;1>;<5021;100;1>>,,
978,,<<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
979,,<<5025;100;1>;<5026;100;1>;<5027;100;1>>,,
981,,<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>>,,
982,,<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>>,,
983,,<<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
984,,<<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>>,,
985,,<<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>>,,
986,,<<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
987,,<<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>>,,
988,,<<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>;<5028;100;1>;<5029;100;1>;<5030;100;1>>,,
989,,<<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>;<5028;100;1>;<5029;100;1>;<5030;100;1>;<5031;100;1>;<5032;100;1>;<5033;100;1>>,,
1001,,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=43};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};100>;<{id=191};100>;<{id=231};100>;<{id=261};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=331};100>;<{id=351};100>;<{id=371};100>;<{id=391};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=491};100>;<{id=541};100>;<{id=551};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=632};100>;<{id=721};100>;<{id=731};100>;<{id=741};100>;<{id=751};100>;<{id=761};100>;<{id=771};100>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=881};100>;<{id=891};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};100>;<{id=1231};100>;<{id=1241};100>;<{id=1251};100>;<{id=1291};100>;<{id=1311};100>;<{id=1351};100>;<{id=1391};100>;<{id=1421};100>;<{id=1441};100>;<{id=1501};100>;<{id=1611};100>;<{id=1811};100>;<{id=1841};100>;<{id=1861};100>;<{id=1891};100>;<{id=1901};100>;<{id=2011};100>;<{id=2071};100>;<{id=2231};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};100>;<{id=2611};100>;<{id=2631};100>;<{id=2681};100>;<{id=2721};100>;<{id=2821};100>;<{id=2871};100>;<{id=2961};100>;<{id=3001};100>;<{id=3011};100>;<{id=3141};100>;<{id=3281};100>;<{id=3291};100>;<{id=3301};100>;<{id=3341};100>;<{id=3351};100>;<{id=3411};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};100>;<{id=3541};100>;<{id=3561};100>>,
1002,,<<20001;100;2>;<20011;100;2>;<20021;100;2>;<20031;100;2>;<20041;100;2>;<20051;100;2>;<20061;100;2>;<20071;100;2>;<20081;100;2>;<20091;100;2>;<20101;100;2>;<20111;100;2>;<20121;100;2>;<20131;100;2>;<20171;100;2>;<20191;100;2>;<20231;100;2>;<20261;100;2>;<20271;100;2>;<20281;100;2>;<20301;100;2>;<20331;100;2>;<20351;100;2>;<20371;100;2>;<20391;100;2>;<20451;100;2>;<20461;100;2>;<20471;100;2>;<20481;100;2>;<20491;100;2>;<20541;100;2>;<20551;100;2>;<20571;100;2>;<20591;100;2>;<20601;100;2>;<20631;100;2>;<20721;100;2>;<20731;100;2>;<20741;100;2>;<20751;100;2>;<20761;100;2>;<20771;100;2>;<20781;100;2>;<20791;100;2>;<20801;100;2>;<20881;100;2>;<20891;100;2>;<21071;100;2>;<21081;100;2>;<21171;100;2>;<21221;100;2>;<21231;100;2>;<21241;100;2>;<21251;100;2>;<21291;100;2>;<21311;100;2>;<21351;100;2>;<21391;100;2>;<21421;100;2>;<21441;100;2>;<21501;100;2>;<21611;100;2>;<21811;100;2>;<21841;100;2>;<21861;100;2>;<21891;100;2>;<21901;100;2>;<22011;100;2>;<22071;100;2>;<22231;100;2>;<22271;100;2>;<22301;100;2>;<22481;100;2>;<22591;100;2>;<22611;100;2>;<22631;100;2>;<22681;100;2>;<22721;100;2>;<22821;100;2>;<22871;100;2>;<22961;100;2>;<23001;100;2>;<23011;100;2>;<23141;100;2>;<23281;100;2>;<23291;100;2>;<23301;100;2>;<23341;100;2>;<23351;100;2>;<23411;100;2>;<23431;100;2>;<23471;100;2>;<23501;100;2>;<23511;100;2>;<23541;100;2>;<23561;100;2>>,,
1003,,<<gold;100;10000>;<gold;100;15000>;<gold;100;15000>>,,
1004,,<<900;100;1>;<901;100;1>;<902;100;1>>,,
1005,,<<12;50;15>;<13;100;10>;<12;50;20>>,,
1101,,<<502;100;1>;<502;100;1>;<521;100;1>>,,
1102,,<<501;100;1>>,,
1103,,<<20261;100;3>;<20331;100;3>;<20391;100;3>;<20491;0;3>;<20571;100;3>;<20591;100;3>;<20601;100;3>;<20631;100;3>;<20721;80;3>;<20731;80;3>;<20741;80;3>;<20751;0;3>;<20771;0;3>;<20881;100;3>;<21071;100;3>;<21171;100;3>;<21221;80;3>;<21231;80;3>;<21241;80;3>;<21251;100;3>;<21291;100;3>;<21301;0;3>;<21311;0;3>;<21391;100;3>;<21421;100;3>;<21501;100;3>;<21811;100;3>;<21841;100;3>;<21891;0;3>;<21901;0;3>;<22231;0;3>;<22721;0;3>;<22821;0;3>;<23001;0;3>;<23021;100;3>;<23141;100;3>;<23301;0;3>;<23351;100;3>;<23411;100;3>;<23541;100;3>;<20261;100;2>;<20331;100;2>;<20391;100;2>;<20491;0;2>;<20571;100;2>;<20591;100;2>;<20601;100;2>;<20631;100;2>;<20721;80;2>;<20731;80;2>;<20741;80;2>;<20751;0;2>;<20771;0;2>;<20881;100;2>;<21071;100;2>;<21171;100;2>;<21221;80;2>;<21231;80;2>;<21241;80;2>;<21251;100;2>;<21291;100;2>;<21301;0;2>;<21311;0;2>;<21391;100;2>;<21421;100;2>;<21501;100;2>;<21811;100;2>;<21841;100;2>;<21891;0;2>;<21901;0;2>;<22231;0;2>;<22721;0;2>;<22821;0;2>;<23001;0;2>;<23021;100;2>;<23141;100;2>;<23301;0;2>;<23351;100;2>;<23411;100;2>;<23541;100;2>>,,
1105,,<<502;150;1>;<502;100;2>;<521;100;1>>,,
1106,,<<501;100;1>>,,
1107,,<<5000;100;15>;<501;100;1>;<14;125;8>;<452;225;20>;<602;120;5>;<603;60;2>;<604;120;5>;<605;60;2>>,,
1111,,<<21971;200;1>;<21971;100;2>;<21971;100;3>>,,
1112,,<<21891;200;2>;<21891;100;3>;<21891;50;4>>,,
1113,,,<<{id=1971};100>>,
1114,,,<<{id=1261};100>>,
1115,,<<21261;200;1>;<21261;90;2>;<21261;55;3>>,,
1116,,,<<{id=3631};100>>,
1117,,<<23631;200;1>;<23631;100;2>;<23631;60;3>>,,
1118,,,<<{id=1981};100>>,
1119,,<<21981;200;1>;<21981;100;2>;<21981;60;3>>,,
1120,,,<<{id=2431};100>>,
1121,,<<22431;200;1>;<22431;100;2>;<22431;50;3>>,,
1150,,<<6151;100;1>>,,
1151,,<<6152;200;1>;<6152;100;2>;<6152;50;3>>,,
1152,,<<6153;100;1>>,,
1153,,<<6154;200;1>;<6154;100;2>;<6154;50;3>>,,
1154,,<<6155;100;1>>,,
1155,,<<6156;200;1>;<6156;100;2>;<6156;50;3>>,,
1156,,<<6157;100;1>>,,
1157,,<<6158;200;1>;<6158;100;2>;<6158;50;3>>,,
1158,,<<6159;100;1>>,,
1159,,<<6160;200;1>;<6160;100;2>;<6160;50;3>>,,
1160,,<<6161;100;1>>,,
1161,,<<6162;200;1>;<6162;100;2>;<6162;50;3>>,,
1162,,<<6163;100;1>>,,
1163,,<<6164;200;1>;<6164;100;2>;<6164;50;3>>,,
1164,red,<<6165;100;1>>,,
1165,mảnh-red,<<23211;200;1>;<23211;100;2>;<23211;50;3>;<23353;200;1>;<23353;100;2>;<23353;50;3>>,,
1166,,<<6167;100;1>>,,
1167,,<<6168;200;1>;<6168;100;2>;<6168;50;3>>,,
1168,,<<6169;100;1>>,,
1169,,<<6170;200;1>;<6170;100;2>;<6170;50;3>>,,
1170,,<<6171;100;1>>,,
1171,,<<6172;200;1>;<6172;100;2>;<6172;50;3>>,,
1172,,<<6173;100;1>>,,
1173,,<<6174;200;1>;<6174;100;2>;<6174;50;3>>,,
1174,,<<6175;100;1>>,,
1175,,<<6176;200;1>;<6176;100;2>;<6176;50;3>>,,
1176,,<<6177;100;1>>,,
1177,,<<6178;200;1>;<6178;100;2>;<6178;50;3>>,,
1178,,<<6179;100;1>>,,
1179,,<<6180;200;1>;<6180;100;2>;<6180;50;3>>,,
1180,,<<6181;100;1>>,,
1181,,<<6182;200;1>;<6182;100;2>;<6182;50;3>>,,
1182,,<<6183;100;1>>,,
1183,,<<6184;200;1>;<6184;100;2>;<6184;50;3>>,,
1184,,<<6185;100;1>>,,
1185,,<<6186;200;1>;<6186;100;2>;<6186;50;3>>,,
1186,,<<6187;100;1>>,,
1187,,<<6188;200;1>;<6188;100;2>;<6188;50;3>>,,
1200,,,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=1391};80>;<{id=3351};80>>,
