VariableName,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
1155,limit_box_rmb10_1772,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1156,limit_box_rmb10_1772,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1161,limit_box_rmb1_1851,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1162,limit_box_rmb1_1851,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1171,limit_box_rmb10_1851,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1172,limit_box_rmb10_1851,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1173,limit_box_rmb10_1851,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1174,limit_box_rmb10_1851,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1175,limit_box_rmb10_1851,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1176,limit_box_rmb10_1851,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1181,limit_box_rmb1_1941,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1182,limit_box_rmb1_1941,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1191,limit_box_rmb10_1941,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1192,limit_box_rmb10_1941,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1193,limit_box_rmb10_1941,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1194,limit_box_rmb10_1941,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1195,limit_box_rmb10_1941,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1196,limit_box_rmb10_1941,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1201,limit_box_rmb1_2031,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1202,limit_box_rmb1_2031,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1211,limit_box_rmb10_2031,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1212,limit_box_rmb10_2031,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1213,limit_box_rmb10_2031,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1214,limit_box_rmb10_2031,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1215,limit_box_rmb10_2031,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1216,limit_box_rmb10_2031,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1221,limit_box_rmb1_4001,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1222,limit_box_rmb1_4001,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1231,limit_box_rmb10_4001,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1232,limit_box_rmb10_4001,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1233,limit_box_rmb10_4001,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1234,limit_box_rmb10_4001,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1235,limit_box_rmb10_4001,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1236,limit_box_rmb10_4001,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1241,limit_box_rmb1_2231,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1242,limit_box_rmb1_2231,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1251,limit_box_rmb10_2231,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1252,limit_box_rmb10_2231,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1253,limit_box_rmb10_2231,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1254,limit_box_rmb10_2231,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1255,limit_box_rmb10_2231,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1256,limit_box_rmb10_2231,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1261,limit_box_rmb1_2301,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1262,limit_box_rmb1_2301,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1271,limit_box_rmb10_2301,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1272,limit_box_rmb10_2301,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1273,limit_box_rmb10_2301,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1274,limit_box_rmb10_2301,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1275,limit_box_rmb10_2301,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1276,limit_box_rmb10_2301,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1281,limit_box_rmb1_2391,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1282,limit_box_rmb1_2391,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1291,limit_box_rmb10_2391,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1292,limit_box_rmb10_2391,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1293,limit_box_rmb10_2391,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1294,limit_box_rmb10_2391,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1295,limit_box_rmb10_2391,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1296,limit_box_rmb10_2391,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1301,limit_box_rmb1_2491,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1302,limit_box_rmb1_2491,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1311,limit_box_rmb10_2491,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1312,limit_box_rmb10_2491,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1313,limit_box_rmb10_2491,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1314,limit_box_rmb10_2491,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1315,limit_box_rmb10_2491,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1316,limit_box_rmb10_2491,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1321,limit_box_rmb1_2591,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1322,limit_box_rmb1_2591,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1331,limit_box_rmb10_2591,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1332,limit_box_rmb10_2591,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1333,limit_box_rmb10_2591,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1334,limit_box_rmb10_2591,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1335,limit_box_rmb10_2591,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1336,limit_box_rmb10_2591,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1341,limit_box_rmb1_2681,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1342,limit_box_rmb1_2681,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1351,limit_box_rmb10_2681,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1352,limit_box_rmb10_2681,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1353,limit_box_rmb10_2681,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1354,limit_box_rmb10_2681,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1355,limit_box_rmb10_2681,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1356,limit_box_rmb10_2681,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1361,limit_box_rmb1_2741,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1362,limit_box_rmb1_2741,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1371,limit_box_rmb10_2741,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1372,limit_box_rmb10_2741,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1373,limit_box_rmb10_2741,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1374,limit_box_rmb10_2741,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1375,limit_box_rmb10_2741,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1376,limit_box_rmb10_2741,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1381,limit_box_rmb1_2861,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1382,limit_box_rmb1_2861,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1391,limit_box_rmb10_2861,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1392,limit_box_rmb10_2861,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1393,limit_box_rmb10_2861,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1394,limit_box_rmb10_2861,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1395,limit_box_rmb10_2861,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
