VariableName,name,name_ma,name_en,name_in,name_th,name_ph,name_vn,icon,languages,unlockDesc,unlockDesc_ma,unlockDesc_en,unlockDesc_vn,unlockDesc_th,unlockDesc_in,unlockDesc_ph
556,New Avatar-57,Avatar Baharu-57,New Avatar-57,Avatar Baru-57,อวาตาร์ใหม่-57,Bagong Avatar-57,Avatar mới-57,config/portrait/frame/icon_new57.png,,,,,,,,
557,New Avatar-58,Avatar Baharu-58,New Avatar-58,Avatar Baru-58,อวาตาร์ใหม่-58,Bagong Avatar-58,Avatar mới-58,config/portrait/frame/icon_new58.png,,,,,,,,
558,New Avatar-59,Avatar Baharu-59,New Avatar-59,Avatar Baru-59,อวาตาร์ใหม่-59,Bagong Avatar-59,Avatar mới-59,config/portrait/frame/icon_new59.png,,,,,,,,
559,New Avatar-60,Avatar Baharu-60,New Avatar-60,Avatar Baru-60,อวาตาร์ใหม่-60,Bagong Avatar-60,Avatar mới-60,config/portrait/frame/icon_new60.png,,,,,,,,
560,New Avatar-61,Avatar Baharu-61,New Avatar-61,Avatar Baru-61,อวาตาร์ใหม่-61,Bagong Avatar-61,Avatar mới-61,config/portrait/frame/icon_new61.png,,,,,,,,
561,New Avatar-62,Avatar Baharu-62,New Avatar-62,Avatar Baru-62,อวาตาร์ใหม่-62,Bagong Avatar-62,Avatar mới-62,config/portrait/frame/icon_new62.png,,,,,,,,
562,New Avatar-63,Avatar Baharu-63,New Avatar-63,Avatar Baru-63,อวาตาร์ใหม่-63,Bagong Avatar-63,Avatar mới-63,config/portrait/frame/icon_new63.png,,,,,,,,
563,New Avatar-64,Avatar Baharu-64,New Avatar-64,Avatar Baru-64,อวาตาร์ใหม่-64,Bagong Avatar-64,Avatar mới-64,config/portrait/frame/icon_new64.png,,,,,,,,
564,New Avatar-65,Avatar Baharu-65,New Avatar-65,Avatar Baru-65,อวาตาร์ใหม่-65,Bagong Avatar-65,Avatar mới-65,config/portrait/frame/icon_new65.png,,,,,,,,
565,New Avatar-66,Avatar Baharu-66,New Avatar-66,Avatar Baru-66,อวาตาร์ใหม่-66,Bagong Avatar-66,Avatar mới-66,config/portrait/frame/icon_new66.png,,,,,,,,
566,New Avatar-67,Avatar Baharu-67,New Avatar-67,Avatar Baru-67,อวาตาร์ใหม่-67,Bagong Avatar-67,Avatar mới-67,config/portrait/frame/icon_new67.png,,,,,,,,
567,New Avatar-68,Avatar Baharu-68,New Avatar-68,Avatar Baru-68,อวาตาร์ใหม่-68,Bagong Avatar-68,Avatar mới-68,config/portrait/frame/icon_new68.png,,,,,,,,
568,New Avatar-69,Avatar Baharu-69,New Avatar-69,Avatar Baru-69,อวาตาร์ใหม่-69,Bagong Avatar-69,Avatar mới-69,config/portrait/frame/icon_new69.png,,,,,,,,
569,New Avatar-70,Avatar Baharu-70,New Avatar-70,Avatar Baru-70,อวาตาร์ใหม่-70,Bagong Avatar-70,Avatar mới-70,config/portrait/frame/icon_new70.png,,,,,,,,
570,New Avatar-71,Avatar Baharu-71,New Avatar-71,Avatar Baru-71,อวาตาร์ใหม่-71,Bagong Avatar-71,Avatar mới-71,config/portrait/frame/icon_new71.png,,,,,,,,
571,New Avatar-72,Avatar Baharu-72,New Avatar-72,Avatar Baru-72,อวาตาร์ใหม่-72,Bagong Avatar-72,Avatar mới-72,config/portrait/frame/icon_new72.png,,,,,,,,
572,New Avatar-73,Avatar Baharu-73,New Avatar-73,Avatar Baru-73,อวาตาร์ใหม่-73,Bagong Avatar-73,Avatar mới-73,config/portrait/frame/icon_new73.png,,,,,,,,
573,New Avatar-74,Avatar Baharu-74,New Avatar-74,Avatar Baru-74,อวาตาร์ใหม่-74,Bagong Avatar-74,Avatar mới-74,config/portrait/frame/icon_new74.png,,,,,,,,
574,New Avatar-75,Avatar Baharu-75,New Avatar-75,Avatar Baru-75,อวาตาร์ใหม่-75,Bagong Avatar-75,Avatar mới-75,config/portrait/frame/icon_new75.png,,,,,,,,
575,New Avatar-76,Avatar Baharu-76,New Avatar-76,Avatar Baru-76,อวาตาร์ใหม่-76,Bagong Avatar-76,Avatar mới-76,config/portrait/frame/icon_new76.png,,,,,,,,
576,New Avatar-77,Avatar Baharu-77,New Avatar-77,Avatar Baru-77,อวาตาร์ใหม่-77,Bagong Avatar-77,Avatar mới-77,config/portrait/frame/icon_new77.png,,,,,,,,
577,New Avatar-78,Avatar Baharu-78,New Avatar-78,Avatar Baru-78,อวาตาร์ใหม่-78,Bagong Avatar-78,Avatar mới-78,config/portrait/frame/icon_new78.png,,,,,,,,
578,New Avatar-79,Avatar Baharu-79,New Avatar-79,Avatar Baru-79,อวาตาร์ใหม่-79,Bagong Avatar-79,Avatar mới-79,config/portrait/frame/icon_new79.png,,,,,,,,
579,New Avatar-80,Avatar Baharu-80,New Avatar-80,Avatar Baru-80,อวาตาร์ใหม่-80,Bagong Avatar-80,Avatar mới-80,config/portrait/frame/icon_new80.png,,,,,,,,
580,New Avatar-81,Avatar Baharu-81,New Avatar-81,Avatar Baru-81,อวาตาร์ใหม่-81,Bagong Avatar-81,Avatar mới-81,config/portrait/frame/icon_new81.png,,,,,,,,
581,New Avatar-82,Avatar Baharu-82,New Avatar-82,Avatar Baru-82,อวาตาร์ใหม่-82,Bagong Avatar-82,Avatar mới-82,config/portrait/frame/icon_new82.png,,,,,,,,
582,New Avatar-83,Avatar Baharu-83,New Avatar-83,Avatar Baru-83,อวาตาร์ใหม่-83,Bagong Avatar-83,Avatar mới-83,config/portrait/frame/icon_new83.png,,,,,,,,
583,New Avatar-84,Avatar Baharu-84,New Avatar-84,Avatar Baru-84,อวาตาร์ใหม่-84,Bagong Avatar-84,Avatar mới-84,config/portrait/frame/icon_new84.png,,,,,,,,
584,New Avatar-85,Avatar Baharu-85,New Avatar-85,Avatar Baru-85,อวาตาร์ใหม่-85,Bagong Avatar-85,Avatar mới-85,config/portrait/frame/icon_new85.png,,,,,,,,
585,New Avatar-86,Avatar Baharu-86,New Avatar-86,Avatar Baru-86,อวาตาร์ใหม่-86,Bagong Avatar-86,Avatar mới-86,config/portrait/frame/icon_new86.png,,,,,,,,
586,New Avatar-87,Avatar Baharu-87,New Avatar-87,Avatar Baru-87,อวาตาร์ใหม่-87,Bagong Avatar-87,Avatar mới-87,config/portrait/frame/icon_new87.png,,,,,,,,
587,New Avatar-88,Avatar Baharu-88,New Avatar-88,Avatar Baru-88,อวาตาร์ใหม่-88,Bagong Avatar-88,Avatar mới-88,config/portrait/frame/icon_new88.png,,,,,,,,
588,New Avatar-89,Avatar Baharu-89,New Avatar-89,Avatar Baru-89,อวาตาร์ใหม่-89,Bagong Avatar-89,Avatar mới-89,config/portrait/frame/icon_new89.png,,,,,,,,
589,New Avatar-90,Avatar Baharu-90,New Avatar-90,Avatar Baru-90,อวาตาร์ใหม่-90,Bagong Avatar-90,Avatar mới-90,config/portrait/frame/icon_new90.png,,,,,,,,
590,New Avatar-91,Avatar Baharu-91,New Avatar-91,Avatar Baru-91,อวาตาร์ใหม่-91,Bagong Avatar-91,Avatar mới-91,config/portrait/frame/icon_new91.png,,,,,,,,
591,New Avatar-92,Avatar Baharu-92,New Avatar-92,Avatar Baru-92,อวาตาร์ใหม่-92,Bagong Avatar-92,Avatar mới-92,config/portrait/frame/icon_new92.png,,,,,,,,
592,New Avatar-93,Avatar Baharu-93,New Avatar-93,Avatar Baru-93,อวาตาร์ใหม่-93,Bagong Avatar-93,Avatar mới-93,config/portrait/frame/icon_new93.png,,,,,,,,
593,New Avatar-94,Avatar Baharu-94,New Avatar-94,Avatar Baru-94,อวาตาร์ใหม่-94,Bagong Avatar-94,Avatar mới-94,config/portrait/frame/icon_new94.png,,,,,,,,
594,New Avatar-95,Avatar Baharu-95,New Avatar-95,Avatar Baru-95,อวาตาร์ใหม่-95,Bagong Avatar-95,Avatar mới-95,config/portrait/frame/icon_new95.png,,,,,,,,
595,New Avatar-96,Avatar Baharu-96,New Avatar-96,Avatar Baru-96,อวาตาร์ใหม่-96,Bagong Avatar-96,Avatar mới-96,config/portrait/frame/icon_new96.png,,,,,,,,
596,New Avatar-97,Avatar Baharu-97,New Avatar-97,Avatar Baru-97,อวาตาร์ใหม่-97,Bagong Avatar-97,Avatar mới-97,config/portrait/frame/icon_new97.png,,,,,,,,
597,New Avatar-98,Avatar Baharu-98,New Avatar-98,Avatar Baru-98,อวาตาร์ใหม่-98,Bagong Avatar-98,Avatar mới-98,config/portrait/frame/icon_new98.png,,,,,,,,
598,New Avatar-99,Avatar Baharu-99,New Avatar-99,Avatar Baru-99,อวาตาร์ใหม่-99,Bagong Avatar-99,Avatar mới-99,config/portrait/frame/icon_new99.png,,,,,,,,
599,New Avatar-100,Avatar Baharu-100,New Avatar-100,Avatar Baru-100,อวาตาร์ใหม่-100,Bagong Avatar-100,Avatar mới-100,config/portrait/frame/icon_new100.png,,,,,,,,
