VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,extraOverlayLimit
74133,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,,,,buffDamage,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{damageType=0;processId=3}>,,,,,,,,,,,,,,,,,,,
74134,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,Mega Blastoise,,,,buffDamage,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{damageType=0;processId=3}>,,,,,,,,,,,,,,,,,,,
74161,Câm lặng/Sợ hãi,Câm lặng/Sợ hãi,Silence/Fear,เงียบ/กลัว,Diam/Takut,Tahimik / Takot,Bisu / Takut,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74162,Giảm sát thương nhận vào,Giảm sát thương nhận vào,Reduce incoming damage,ลดความเสียหายที่ได้รับ,Kurangi kerusakan masuk,Pagbawas ng natanggap na pinsala,Pengurangan kerosakan diterima,,,,addHP,,,,,,,,,,2,3,,,,1,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,
74163,Đốt cháy,Đốt cháy,Burn,เผาไหม้,Terbakar,Pagsunog,Pembakaran,,,,buffDamage,,,2,1510,,,,,,2,5,,,battle/buff_icon/logo_zs.png,,buff/zhuoshao/zhuoshao.skel,<zhuoshao_loop_top>,,,,,,,,,,,,,,,,,battle/txt/txt_zs1.png,,,<{damageType=2;processId=15}>,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
76111,Tăng pháp công,Tăng pháp công,Increase magic attack,เพิ่มพลังเวท,Tingkatkan serangan sihir,Pagtaas ng mahikang lakas,Peningkatan serangan sihir,,,,specialDamage,,,,1212,,,,,,1,1,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,,
76112,Lá chắn thường,Lá chắn thường,Normal shield,โล่ปกติ,Perisai normal,Karaniwang kalasag,Perisai biasa,,,,silence,,,2,24,,,,,,1,1,,,battle/buff_icon/logo_cm.png,,buff/chenmo/chenmo.skel,<chenmo_loop>,,,1,,{y=-320;x=0},,,,,,,,,,,,battle/txt/txt_cm.png,,,<0>,,,,,,,,,,,,,,,,,,,
76113,Tăng nộ khí,Tăng nộ khí,Increase rage,เพิ่มพลังโกรธ,Tingkatkan energi amarah,Pagtaas ng enerhiya,Peningkatan tenaga,,,,addMp1,,,2,109,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,,,,,,,,,,,,,,,,
76114,Giảm nộ khí,Giảm nộ khí,Reduce rage,ลดพลังโกรธ,Kurangi energi amarah,Pagbawas ng enerhiya,Pengurangan tenaga,,,,addMp1,,,,109,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
76115,Bỏ qua kháng phép,Bỏ qua kháng phép,Ignore magic resistance,ละเลยการต้านเวท,Abaikan resistensi sihir,Paglabas ng depensa sa mahika,Mengabaikan pertahanan sihir,,,,specialDefenceIgnore,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76116,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical level,เพิ่มระดับคริติคอล,Tingkatkan level kritikal,Pagtaas ng antas ng kritikal na hit,Peningkatan tahap serangan kritikal,,,,strike,,,,1222,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
76117,Giảm phòng thủ vật lý,Giảm phòng thủ vật lý,Reduce physical defense,ลดการป้องกันกายภาพ,Kurangi pertahanan fisik,Pagbawas ng pisikal na depensa,Pengurangan pertahanan fizikal,,,,shield,,,2,11,,,,,,1,1,,,battle/buff_icon/logo_hd.png,1,buff/hudun/hudun.skel,<hudun_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_hd.png,,,,,,,,,,,,,,,,,,,,,,
76118,Hạ gục kẻ địch giảm nộ khí,Hạ gục kẻ địch giảm nộ khí,Killing enemy reduces rage,ฆ่าศัตรูลดโกรธ,Bunuh musuh kurangi amarah,Pagpatay sa kalaban ay nagpapabawas ng enerhiya,Membunuh musuh mengurangkan tenaga,,,,defence,,,,,,,,,,1,1,,,battle/buff_icon/logo_wf_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_wfjd.png,,,,,,,,,,,,,,,,,,,,,,
76119,Giảm pháp phòng,Giảm pháp phòng,Reduce magic defense,ลดการป้องกันเวท,Kurangi pertahanan sihir,Pagbawas ng mahikang depensa,Pengurangan pertahanan sihir,,,,specialDefence,,,,,,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,
76120,Xóa hiệu ứng bất lợi không phải khống chế,Xóa hiệu ứng bất lợi không phải khống chế,Remove non-CC negative effects,ลบดีบัฟที่ไม่ใช่ควบคุม,Hapus efek negatif non-kontrol,Alisin ang mga negatibong epekto na hindi kontrolado,Padamkan kesan negatif bukan kawalan,,,,addMp1,,,,109,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
76121,Tăng sát thương chí mạng,Tăng sát thương chí mạng,Increase critical damage,เพิ่มความเสียหายคริติคอล,Tingkatkan kerusakan kritikal,Pagtaas ng pinsala ng kritikal na hit,Peningkatan kerosakan serangan kritikal,,,,strikeDamage,,,,,,,,,,2,3,,,battle/buff_icon/logo_bjsh_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,
76122,Giảm hồi máu (không có hiệu ứng đặc biệt),Giảm hồi máu (không có hiệu ứng đặc biệt),Reduce healing (no special effect),ลดการฟื้นฟู (ไม่มีผลพิเศษ),Kurangi penyembuhan (tanpa efek spesial),Pagbawas ng pagpapagaling (walang espesyal na epekto),Pengurangan pemulihan (tanpa kesan khas),,,,cure,,,2,1123,,,,,,1,1,,,battle/buff_icon/logo_jl1.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_jl1.png,,,,,,,,,,,,,,,,,,,,,,
76123,Giảm sát thương chí mạng,Giảm sát thương chí mạng,Reduce critical damage,ลดความเสียหายคริติคอล,Kurangi kerusakan kritikal,Pagbawas ng pinsala ng kritikal na hit,Pengurangan kerosakan serangan kritikal,,,,,,,,10007,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76124,Giảm nộ khí,Giảm nộ khí,Reduce rage,ลดพลังโกรธ,Kurangi energi amarah,Pagbawas ng enerhiya,Pengurangan tenaga,,,,addMp1,,,,109,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
76125,Dấu ấn giấc mơ,Dấu ấn giấc mơ,Dream mark,เครื่องหมายความฝัน,Tanda mimpi,Tattoo ng panaginip,Tatu mimpi,,,,strikeDamage,,,,,,,,,,2,3,,,battle/buff_icon/logo_bjsh_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshjd.png,,,,,,,,,,,,,,,,,,,,,,
76126,Giảm sát thương chí mạng,Giảm sát thương chí mạng,Reduce critical damage,ลดความเสียหายคริติคอล,Kurangi kerusakan kritikal,Pagbawas ng pinsala ng kritikal na hit,Pengurangan kerosakan serangan kritikal,,,,,,,,10005,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77111,Tăng pháp công,Tăng pháp công,Increase magic attack,เพิ่มพลังเวท,Tingkatkan serangan sihir,Pagtaas ng mahikang lakas,Peningkatan serangan sihir,,,,specialDamage,,,,1212,,,,,,1,1,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,,
77112,Tăng nộ khí,Tăng nộ khí,Increase rage,เพิ่มพลังโกรธ,Tingkatkan energi amarah,Pagtaas ng enerhiya,Peningkatan tenaga,,,,addMp1,,,2,109,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,,,,,,,,,,,,,,,,
77113,Bỏ qua kháng phép,Bỏ qua kháng phép,Ignore magic resistance,ละเลยการต้านเวท,Abaikan resistensi sihir,Paglabas ng depensa sa mahika,Mengabaikan pertahanan sihir,,,,specialDefenceIgnore,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77114,Giấc mơ,Giấc mơ,Dream,ความฝัน,Mimpi,Panaginip,Mimpi,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77115,Giấc mơ,Giấc mơ,Dream,ความฝัน,Mimpi,Panaginip,Mimpi,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77116,Ẩn thân trong bóng tối,Ẩn thân trong bóng tối,Hidden in the shadows,ซ่อนตัวในความมืด,Bersembunyi dalam bayangan,Nagtatago sa dilim,Menyembunyikan dalam kegelapan,,,,sleepy,,,2,22,,,,,,1,1,,,battle/buff_icon/logo_sm.png,,buff/shuimian/shuimian.skel,<shuimian_loop>,,,1,,{y=-300;x=0},,,,,,,,,,,,battle/txt/txt_sm.png,,,,,,,,,,,,,,,,,,,,,,
77117,Ẩn thân trong bóng tối,Ẩn thân trong bóng tối,Stealth in the shadows,ซ่อนตัวในเงามืด,Menyelinap dalam bayang-bayang,Nagtatago sa kadiliman,Bersembunyi dalam bayang,,,,silence,,,2,24,,,,,,1,1,,,battle/buff_icon/logo_cm.png,,buff/chenmo/chenmo.skel,<chenmo_loop>,,,1,,{y=-320;x=0},,,,,,,,,,,,battle/txt/txt_cm.png,,,<0>,,,,,,,,,,,,,,,,,,,
77118,Ẩn thân trong bóng tối,Ẩn thân trong bóng tối,Stealth in the shadows,ซ่อนตัวในเงามืด,Menyelinap dalam bayang-bayang,Nagtatago sa kadiliman,Bersembunyi dalam bayang,,,,confusion,,,2,23,,,,,,1,1,,,battle/buff_icon/logo_hl.png,,buff/hunluan/hunluan.skel,<hunluan_loop>,,,1,,{y=-280;x=0},,,,,,,,,,,,battle/txt/txt_hl.png,,,,,,,,,,,,,,,,,,,,,,
77119,Ẩn thân trong bóng tối,Ẩn thân trong bóng tối,Stealth in the shadows,ซ่อนตัวในเงามืด,Menyelinap dalam bayang-bayang,Nagtatago sa kadiliman,Bersembunyi dalam bayang,,,,sneer,,,2,25,,,,,,1,1,,,battle/buff_icon/logo_cf.png,,buff/chaofeng/beichaofeng.skel,<beichaofeng_loop>,,,1,,{y=-300;x=0},,,,,,,,,,,,battle/txt/txt_tx.png,,,,,,,,,,,,,,,,,,,,,,
77120,Tăng nộ khí,Tăng nộ khí,Increase rage,เพิ่มความโกรธ,Meningkatkan amarah,Dagdag galit,Tingkatkan kemarahan,,,,addMp1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,,
77121,Trúng độc,Trúng độc,Poisoned,ถูกพิษ,Keracunan,Nalason,Diracun,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77122,Bắt đầu trận với nộ khí đầy,Bắt đầu trận với nộ khí đầy,Start battle with full rage,เริ่มการต่อสู้ด้วยความโกรธเต็ม,Mulai pertempuran dengan amarah penuh,Simulan ang laban na may buong galit,Mula pertempuran dengan kemarahan penuh,,,,damageDodge,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77123,Hồi máu liên tục,Hồi máu liên tục,Continuous healing,การฟื้นฟูต่อเนื่อง,Penyembuhan berkelanjutan,Tuloy-tuloy na pagpapagaling,Penyembuhan berterusan,,,,,,,,,,,,<77122>,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78001,Giảm hồi chiêu kỹ năng nhỏ,Giảm hồi chiêu kỹ năng nhỏ,Reduce small skill cooldown,ลดเวลาคูลดาวน์ทักษะเล็กน้อย,Mengurangi waktu cooldown keterampilan kecil,Bawas cooldown ng maliit na kasanayan,Kurangkan cooldown kemahiran kecil,,,,addMp1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,,
78002,Hồi nộ nhanh,Hồi nộ nhanh,Fast rage regeneration,การฟื้นฟูความโกรธอย่างรวดเร็ว,Regenerasi amarah cepat,Mabilis na pag-recover ng galit,Pemulihan kemarahan cepat,,,,updSkillSpellRoundOnce,,,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;onSkillType=2;triggerPoint=8}>,,,,,,,,1,,,,,,,
78003,Tăng khắc chế 100%,Tăng khắc chế 100%,Increase counter 100%,เพิ่มการตอบโต้ 100%,Meningkatkan konter 100%,100% dagdag na counter,Tingkat balas 100%,,,,mp1Recover,,,,,,,,,,1,1,,,battle/buff_icon/logo_nqhf_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqhftg.png,,,,,,,,,,,,,,,1,,,,,,,
78004,Tăng giới hạn máu,Tăng giới hạn máu,Increase health limit,เพิ่มขีดจำกัดสุขภาพ,Meningkatkan batas kesehatan,Dagdag limitasyon ng HP,Tingkat had nyawa,,,,natureRestraint,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
78005,Loại bỏ cấp độ chí mạng,Loại bỏ cấp độ chí mạng,Remove critical hit level,ลบระดับการโจมตีคริติคอล,Menghapus level serangan kritikal,Tanggal antas ng critical,Buang tahap kritikal,,,,addHpMax,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
79121,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical hit level,เพิ่มระดับการโจมตีคริติคอล,Meningkatkan level serangan kritikal,Dagdag antas ng critical,Tingkat tahap kritikal,,,,strike,,,2,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
79131,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical hit level,เพิ่มระดับการโจมตีคริติคอล,Meningkatkan level serangan kritikal,Dagdag antas ng critical,Tingkat tahap kritikal,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
79132,Ekans,Ekans,Ekans,เอคานส์,Ekans,Ekans,Ekans,,,,,,,2,,,,,<79131>,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79161,Tăng sát thương chí mạng,Tăng sát thương chí mạng,Increase critical hit damage,เพิ่มความเสียหายจากการโจมตีคริติคอล,Meningkatkan kerusakan serangan kritikal,Dagdag critical damage,Tingkat kerosakan kritikal,,,,strikeDamage,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,
79221,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical hit level,เพิ่มระดับการโจมตีคริติคอล,Meningkatkan level serangan kritikal,Dagdag antas ng critical,Tingkat tahap kritikal,,,,strike,,,2,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
79231,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical hit level,เพิ่มระดับการโจมตีคริติคอล,Meningkatkan level serangan kritikal,Dagdag antas ng critical,Tingkat tahap kritikal,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
79232,Ekans,Ekans,Ekans,เอคานส์,Ekans,Ekans,Ekans,,,,,,,2,,,,,<79231>,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79261,Tăng sát thương chí mạng,Tăng sát thương chí mạng,Increase critical hit damage,เพิ่มความเสียหายจากการโจมตีคริติคอล,Meningkatkan kerusakan serangan kritikal,Dagdag critical damage,Tingkat kerosakan kritikal,,,,strikeDamage,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,
79321,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical hit level,เพิ่มระดับการโจมตีคริติคอล,Meningkatkan level serangan kritikal,Dagdag antas ng critical,Tingkat tahap kritikal,,,,strike,,,2,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
79331,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical hit level,เพิ่มระดับการโจมตีคริติคอล,Meningkatkan level serangan kritikal,Dagdag antas ng critical,Tingkat tahap kritikal,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
79332,Ekans,Ekans,Ekans,เอคานส์,Ekans,Ekans,Ekans,,,,,,,2,,,,,<79341>,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79333,Tăng nộ khí,Tăng nộ khí,Increase rage,เพิ่มความโกรธ,Meningkatkan amarah,Dagdag galit,Tingkatkan kemarahan,,,,addMp1,,,2,109,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,,,,,,,,,,,,,,,,
79361,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase critical hit level,เพิ่มระดับการโจมตีคริติคอล,Meningkatkan level serangan kritikal,Dagdag antas ng critical,Tingkat tahap kritikal,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
79362,Tăng sát thương chí mạng,Tăng sát thương chí mạng,Increase critical hit damage,เพิ่มความเสียหายจากการโจมตีคริติคอล,Meningkatkan kerusakan serangan kritikal,Dagdag critical damage,Tingkat kerosakan kritikal,,,,strikeDamage,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,
81221,Pichu,Pichu,Pichu,พิคชู,Pichu,Pichu,Pichu,,,,damage,,,2,1302,,,,,,1,1,,,battle/buff_icon/logo_wg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgjd.png,,,,,,,,,,,,,,,,,,,,,,
81222,Pichu,Pichu,Pichu,พิคชู,Pichu,Pichu,Pichu,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{effectFuncs=<castBuff>;funcArgs=<<{caster=2;value=4000;lifeRound=1;holder=2;cfgId=81223}>>;nodeId=1;triggerPoint=1}>,,,,,,,,,,,,,,,
81223,Pichu,Pichu,Pichu,พิคชู,Pichu,Pichu,Pichu,,,,suckBlood,,,,,,,,,,,,,,battle/buff_icon/logo_xx.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81224,Pichu,Pichu,Pichu,พิคชู,Pichu,Pichu,Pichu,,,,damage,,,2,1302,,,,,,1,1,,,battle/buff_icon/logo_wg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgjd.png,,,,,,,,,,,,,,,,,,,,,,
81225,Pichu,Pichu,Pichu,พิคชู,Pichu,Pichu,Pichu,,,,damage,,,,,,,,,,1,1,,,battle/buff_icon/logo_wg_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,,,,,,,,
81226,Pichu,Pichu,Pichu,พิคชู,Pichu,Pichu,Pichu,,,,damage,,,,1202,,,,,,1,1,,,battle/buff_icon/logo_wg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wgtg.png,,,,,,,,,,,,,,,,,,,,,,
91221,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,,,,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{delSelfWhenTriggered=2;nodeId=0;triggerPoint=1}>,,,,,,,,,,,,,,,
91222,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,silence,,,2,27,,,,,,1,1,,,battle/buff_icon/logo_mb.png,,buff/mabi/mabi.skel,<mabi_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_mb.png,,,<0;1>,,,,,,,,,,,,,,,,,,,
91223,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,defence,,,2,1303,,,,,,1,1,,,battle/buff_icon/logo_wf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wfjd.png,,,,,,,,,,,,,,,,,,,,,,
91224,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,controlPerVal,,,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_kzltg.png,,,,,,,,,,,,,,,,,,,,,,
91225,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,defenceIgnore,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91226,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,immuneControlVal,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_mkljd.png,,,,,,,,,,,,,,,,,,,,,,
91227,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,silence,,,2,27,,,,,,1,1,,,battle/buff_icon/logo_mb.png,,buff/mabi/mabi.skel,<mabi_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_mb.png,,,<0;1>,,,,,,,,,,,,,,,,,,,
91228,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{delSelfWhenTriggered=2;nodeId=0;triggerPoint=1}>,,,,,,,,,,,,,,,
91229,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,,,,2,,,,<91228>,<91228>,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{delSelfWhenTriggered=2;nodeId=0;triggerPoint=1}>,,,,,,,,,,,,,,,
91230,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,stun,,,2,21,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{y=-320;x=0},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,,
91231,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,controlPerVal,,,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_kzltg.png,,,,,,,,,,,,,,,,,,,,,,
91232,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,addMp1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,,
91233,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,พิคาชูของแอช,Pikachu Ash,Pikachu ni Ash,Pikachu Ash,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,<{effectFuncs=<castBuff>;funcArgs=<<{cfgId=91232;caster=8;value=100;lifeRound=1;holder=2;prob=self2:hasBuffGroup(27) and self:flagZ4() and 1 or 0}>>;nodeId=1;triggerPoint=8}>,,,,,TRUE,,,1,,,,,,,
94101,Beldum,Beldum,Beldum,เบลดัม,Beldum,Beldum,Beldum,,,,silence,,,2,27,,,,,,1,1,,,battle/buff_icon/logo_mb.png,,buff/mabi/mabi.skel,<mabi_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_mb.png,,,<0;1>,,,,,,,,,,,,,,,,,,,
94201,Beldum,Beldum,Beldum,เบลดัม,Beldum,Beldum,Beldum,,,,speed,,,2,1211,,,,,,1,1,,,battle/buff_icon/logo_sd_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sdtg.png,,,,,,,,,,,,,,,,,,,,,,
