VariableName,markID,level,addType,addScene,natureType,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_in,desc_th,desc_ph,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
57002,572,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
57003,572,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
57004,572,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
57005,572,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
57006,572,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
57007,572,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
57008,572,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
57009,572,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
57010,572,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
57011,572,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
57012,572,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
57013,572,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
59001,593,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
59002,593,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
59003,593,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
59004,593,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
59005,593,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
59006,593,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
59007,593,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
59008,593,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
59009,593,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
59010,593,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
59011,593,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
59012,593,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
59013,593,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
60001,603,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
60002,603,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
60003,603,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
60004,603,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
60005,603,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
60006,603,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
60007,603,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
60008,603,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
60009,603,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
60010,603,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
60011,603,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
60012,603,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
60013,603,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
61001,611,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
61002,611,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
61003,611,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
61004,611,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
61005,611,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
61006,611,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
61007,611,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
61008,611,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
61009,611,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
61010,611,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
61011,611,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
61012,611,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
61013,611,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
63001,631,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
63002,631,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
63003,631,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
63004,631,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
63005,631,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
63006,631,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
63007,631,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
63008,631,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
63009,631,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
63010,631,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
63011,631,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
63012,631,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
63013,631,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
64001,641,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
64002,641,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
64003,641,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
64004,641,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
64005,641,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
64006,641,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
64007,641,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
64008,641,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
64009,641,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
64010,641,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
64011,641,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
64012,641,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
64013,641,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
69001,692,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
69002,692,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
69003,692,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
69004,692,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
69005,692,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
69006,692,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.50%,10,0.50%,,,,,,,,
69007,692,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
69008,692,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
69009,692,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.50%,8,0.50%,,,,,,,,
69010,692,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
69011,692,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
69012,692,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.50%,,,,,,,,,,
69013,692,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
70001,701,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
70002,701,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
70003,701,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
70004,701,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
70005,701,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
70006,701,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
70007,701,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
70008,701,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
70009,701,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
70010,701,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
70011,701,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
70012,701,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
70013,701,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
71001,712,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
71002,712,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
71003,712,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
71004,712,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
71005,712,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
71006,712,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
71007,712,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
71008,712,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
71009,712,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
71010,712,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
71011,712,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
71012,712,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
71013,712,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
72001,721,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
72002,721,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
72003,721,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
72004,721,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
72005,721,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
72006,721,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
72007,721,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
72008,721,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
72009,721,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
72010,721,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
72011,721,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
72012,721,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
72013,721,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
73001,731,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
73002,731,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
73003,731,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
73004,731,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
73005,731,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
73006,731,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
73007,731,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
73008,731,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
73009,731,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
73010,731,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
73011,731,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
73012,731,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
73013,731,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
74001,741,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
74002,741,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
74003,741,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
74004,741,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
74005,741,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
74006,741,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
74007,741,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
74008,741,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
74009,741,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.60%,,,,,,,,,,
74010,741,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
74011,741,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
74012,741,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
74013,741,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
75001,751,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
75002,751,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
75003,751,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
75004,751,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
75005,751,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
75006,751,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
75007,751,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
75008,751,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
75009,751,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.60%,8,0.60%,,,,,,,,
75010,751,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
75011,751,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
75012,751,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.60%,10,0.60%,,,,,,,,
75013,751,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
76001,761,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
76002,761,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
76003,761,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
76004,761,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
76005,761,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
