VariableName,name_vn,name_th,name,name_en,name_ph,name_in,name_ma,name_tw,languages,drawlanguages,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction_cn,introduction_th,introduction,introduction_vn,introduction_in,introduction_en,introduction_ph,introduction_ma,location_th,location_cn,location,location_vn,location_in,location_en,location_ph,location_ma,megaIndexID
2361,Bankai: Kenpachi,Bankai: Kenpachi,Bankai: Kenpachi,Bankai: Kenpachi,Bankai: Kenpachi,Bankai: Kenpachi,Bankai: Kenpachi,,,,2361,,<7>,,,,,,,,2361,52361,,0,,<7;8;9;12>,3,<120;120;150;100;100;90;680>,,4,21,4,<609;610;611;604;605>,,,4,2361,,,23613,<23611;23612;23613;23616;61101;61102>,2361,,<11024;11124;11224;11324>,22361,4,4,{drawcard=hong_effect_loop},2361,6,4,4,4,<23611;23612;23613;23614>,,,,,"หัวหน้าหน่วยที่ 11 ของโงเทย์ 13 เคนพาจิ รุ่นที่ 11 กัปตันคนแรกในโซลโซไซตี้ที่ไม่รู้จัก ""บังคาย"" การต่อสู้คือความชอบ เป็นหนึ่งในห้าพลังต่อสู้พิเศษ  ","Captain of the 11th Division of Gotei 13, the 11th Kenpachi, the first captain in Soul Society unaware of ""Bankai,"" fighting is his hobby, one of the five special combat powers.  ","Đội trưởng của Đội 11 thuộc Gotei 13, Kenpachi thế hệ thứ 11, đội trưởng đầu tiên ở Soul Society không biết ""Bankai"", chiến đấu là sở thích của anh, một trong năm sức mạnh chiến đấu đặc biệt","Kapten Divisi 11 Gotei 13, Kenpachi ke-11, kapten pertama di Soul Society yang tidak tahu ""Bankai,"" bertarung adalah hobinya, salah satu dari lima kekuatan tempur khusus.  ","Captain of the 11th Division of Gotei 13, the 11th Kenpachi, the first captain in Soul Society unaware of ""Bankai,"" fighting is his hobby, one of the five special combat powers.  ","Kapitan ng Ikalabing-isang Dibisyon ng Gotei 13, ika-11 na Kenpachi, ang unang kapitan sa Soul Society na hindi alam ang ""Bankai,"" ang pakikipaglaban ang kanyang libangan, isa sa limang espesyal na lakas sa labanan.  ","Ketua pasukan Divisyen 11 Gotei 13, Kenpachi ke-11, ketua pertama di Soul Society yang tidak mengetahui ""Bankai,"" bertarung adalah hobinya, salah satu daripada lima kuasa pertempuran istimewa.  ","เทพเจ้าดาบแห่งอวกาศ, การตอบโต้แนวหลัง",,"Space Sword God, Rearline Counter","Thần Kiếm Không Gian,Khắc Tinh Hàng Sau","Dewa Pedang Ruang, Counter Garis Belakang","Space Sword God, Rearline Counter","Space Sword God, Rearline Counter","Dewa Pedang Ruang, Kontra Garis Belakang",
2381,Albedo,Albedo,Albedo,Albedo,Albedo,Albedo,Albedo,,,,2381,,<7>,,,,,,,,2381,52381,,2,,<11;12;15;16>,3,<110;100;160;110;80;110;670>,,4,21,4,<606;607;608;604;605>,,,4,2381,,,23813,<23811;23812;23813;23816;61101;61102>,2381,,<11014;11114;11214;11314>,22381,4,4,{drawcard=hong_effect_loop},2381,109,4,4,4,<23811;23812;23813;23814>,,,,,ผู้ดูแลสูงสุดของสุสานนาซาริค ถูกสร้างโดยสมาชิกของ Ainz Ooal Gown – Rubedo หลังข้ามโลกกลายเป็นผู้ช่วยทรงพลังของไอนซ์ นอกจากเรื่องการทหาร เธอยังบริหารนาซาริคได้อย่างสมบูรณ์แบบ มีพลังป้องกันแข็งแกร่งที่สุดในบรรดาผู้ดูแลและมีสมบัติโลกระดับโลก  ,"Chief guardian of the Nazarick Underground Tomb, created by a member of Ainz Ooal Gown – Rubedo, after crossing to the other world became Ainz’s powerful assistant. Besides military, she perfectly manages Nazarick, has the strongest defense among guardians and possesses a world-class treasure.  ","Tổng quản các hộ vệ của Lăng Mộ Ngầm Nazarick, được tạo ra bởi một thành viên của hội Ainz Ooal Gown – Rubedo, sau khi xuyên không đến dị giới trở thành trợ thủ đắc lực của Ainz. Ngoài quân sự, cô còn quản lý hoàn hảo Nazarick, có sức phòng thủ mạnh nhất trong số các hộ vệ và sở hữu một món bảo vật cấp thế giới.","Pengawas utama Makam Bawah Tanah Nazarick, dibuat oleh anggota Ainz Ooal Gown – Rubedo, setelah menyeberang dunia menjadi asisten kuat Ainz. Selain militer, dia mengelola Nazarick dengan sempurna, memiliki pertahanan terkuat di antara pengawas dan memiliki harta kelas dunia.  ","Chief guardian of the Nazarick Underground Tomb, created by a member of Ainz Ooal Gown – Rubedo, after crossing to the other world became Ainz’s powerful assistant. Besides military, she perfectly manages Nazarick, has the strongest defense among guardians and possesses a world-class treasure.  ","Pangunahing tagapagbantay ng Lalim ng Libingan ng Nazarick, nilikha ng miyembro ng Ainz Ooal Gown – Rubedo, matapos tumawid sa ibang mundo ay naging malakas na katulong ni Ainz. Bukod sa militar, mahusay niyang pinamamahalaan ang Nazarick, may pinakamalakas na depensa sa mga tagapagbantay at may isang pambihirang kayamanang pang-mundo.  ","Pengurus utama Pengawal Makam Nazarick, dicipta oleh seorang ahli Ainz Ooal Gown – Rubedo, selepas menyeberang ke dunia lain menjadi pembantu kuat Ainz. Selain daripada ketenteraan, dia menguruskan Nazarick dengan sempurna, mempunyai pertahanan terkuat di kalangan pengawal dan memiliki harta dunia.  ",ร่างปีศาจ & ยิ่งตียิ่งแรง,,Demonic Body & Get Stronger with Each Hit,Ma thân ác quỷ & càng đánh càng mạnh,Tubuh Iblis & Semakin Kuat dengan Setiap Serangan,Demonic Body & Get Stronger with Each Hit,Demonic Body & Get Stronger with Each Hit,Tubuh Iblis & Semakin Kuat dengan Setiap Serangan,
2391,Demon Slayer Daki,Demon Slayer Daki,Demon Slayer Daki,Demon Slayer Daki,Demon Slayer Daki,Demon Slayer Daki,Demon Slayer Daki,,,,2391,,<7>,,,,,,,,2391,52391,,2,,<24;23;14;16>,3,<150;90;100;120;100;120;680>,,4,21,4,<621;622;623;604;605>,,,4,2391,,,23913,<23911;23912;23913;23916;61151;61152>,2391,,<11024;11124;11224;11324>,22391,4,4,{drawcard=hong_effect_loop},2391,7,4,4,4,<23911;23912;23913;23914>,,,,,สมาชิกกลุ่มสิบสองจันทราปีศาจ ขุนนางจันทราที่ 6 เกลียดกินคนแก่และคนหน้าตาไม่ดี เธอคิดว่าน้ำเนื้อคนแก่มากเกินไป ส่วนคนหน้าตาไม่ดีสกปรกเกินกว่าจะกลืนได้  ,"Member of the Twelve Demon Moons, upper moon six, hates eating old and ugly people. She thinks old people’s meat is too dry, and ugly people are too filthy to swallow.  ","Thành viên Thập Nhị Quỷ Nguyệt, thượng huyền lục, ghét ăn người già và người xấu xí. Cô cho rằng thịt người già quá khô, còn người xấu xí thì bẩn thỉu không thể nuốt nổi.","Anggota Dua Belas Bulan Setan, bulan atas keenam, benci makan orang tua dan orang jelek. Dia menganggap daging orang tua terlalu kering, dan orang jelek terlalu kotor untuk ditelan.  ","Member of the Twelve Demon Moons, upper moon six, hates eating old and ugly people. She thinks old people’s meat is too dry, and ugly people are too filthy to swallow.  ","Kasapi ng Labindalawang Demon Moon, mataas na buwan anim, ayaw kumain ng matatanda at pangit na tao. Iniisip niyang masyadong tuyo ang laman ng matatanda, at marumi ang mga pangit para lunukin.  ","Ahli Dua Belas Bulan Iblis, bulan atas keenam, membenci makan orang tua dan orang hodoh. Dia berpendapat daging orang tua terlalu kering, dan orang hodoh terlalu kotor untuk ditelan.  ",ปีศาจตื่นขึ้นมา & พื้นที่รักษา,,Awakened Demon & Healing Ground,Ác quỷ thức tỉnh & vùng đất băng bó,Iblis yang Terbangun & Tanah Penyembuhan,Awakened Demon & Healing Ground,Awakened Demon & Healing Ground,Iblis Bangkit & Tanah Penyembuhan,
2401,Tsukino Usagi,Tsukino Usagi,Tsukino Usagi,Tsukino Usagi,Tsukino Usagi,Tsukino Usagi,Tsukino Usagi,,,,2401,,<8>,,,,,,,,2401,52401,,2,,<24;23;14;16>,2,<120;85;70;120;75;130;600>,,4,21,4,<621;622;623;604;605>,,,4,2401,,,24013,<24011;24012;24013;24016;61151;61152>,2401,,<11024;11124;11224;11324>,22401,4,4,{drawcard=hong_effect_loop},2401,5,4,4,4,<24011;24012;24013;24014>,,,,,วันหนึ่งเธอพบแมวพูดได้ชื่อ ลูน่า และได้รับพลังแปลงร่างเป็นนักรบเซเลอร์  ,"One day, she met a talking cat named Luna and gained the power to transform into a Sailor Warrior.  ","Một ngày nọ, cô gặp một chú mèo tên Luna biết nói và nhận được khả năng biến thành Chiến Binh Thủy Thủ.","Suatu hari, dia bertemu kucing yang bisa bicara bernama Luna dan mendapatkan kekuatan berubah menjadi Prajurit Pelaut.  ","One day, she met a talking cat named Luna and gained the power to transform into a Sailor Warrior.  ","Isang araw, nakilala niya ang isang pusang nagsasalita na si Luna at nakuha ang kapangyarihang mag-transform bilang Sailor Warrior.  ","Suatu hari, dia bertemu seekor kucing yang boleh bercakap bernama Luna dan mendapat kuasa untuk berubah menjadi Pejuang Pelaut.  ",สาวเวทมนต์: ปกป้องเดือนใหม่,,Magical Girl: Protect New Moon,Thiếu nữ phép thuật: Bảo vệ trăng non,Gadis Sihir: Melindungi Bulan Baru,Magical Girl: Protect New Moon,Magical Girl: Protect New Moon,Gadis Sihir: Melindungi Bulan Baru,
2431,Boa Hancock,Boa Hancock,Boa Hancock,Boa Hancock,Boa Hancock,Boa Hancock,Boa Hancock,,,,2431,,<8>,,,,,,,,2431,52431,,2,,<6;7;18;19>,2,<90;125;90;100;135;110;650>,,4,21,4,<606;607;608;604;605>,,,4,2431,,,24313,<24311;24312;24313;24316;61101;61102>,2431,,<11014;11114;11214;11314>,22431,4,4,{drawcard=hong_effect_loop},2431,8,4,4,4,<24311;24312;24313;24314>,,,,,"จักรพรรดินีปัจจุบันของประเทศโจรสลัด Amazon Lily บนเกาะ Kuja และกัปตันโจรสลัด Kuja ด้วยความงดงามสุดยอด เธอถูกขนานนามว่า ""ผู้หญิงที่สวยที่สุดในโลก""  ","Current empress of the pirate nation Amazon Lily on Kuja Island, and captain of the Kuja pirate crew. With stunning beauty, she is called ""The Most Beautiful Woman in the World.""  ","Hoàng đế hiện tại của quốc gia hải tặc Amazon Lily trên đảo Kuja, đồng thời là thuyền trưởng của băng hải tặc Kuja. Với nhan sắc tuyệt thế, cô được mệnh danh là ""Người Phụ Nữ Đẹp Nhất Thế Giới"".","Ratu saat ini dari negara bajak laut Amazon Lily di Pulau Kuja, juga kapten kru bajak laut Kuja. Dengan kecantikan menakjubkan, dia dijuluki ""Wanita Tercantik di Dunia.""  ","Current empress of the pirate nation Amazon Lily on Kuja Island, and captain of the Kuja pirate crew. With stunning beauty, she is called ""The Most Beautiful Woman in the World.""  ","Kasulukuyang emperatris ng piratang bansa ng Amazon Lily sa Kuja Island, at kapitan ng Kuja pirate crew. Sa kanyang kahanga-hangang kagandahan, tinawag siyang ""Pinakamagandang Babae sa Mundo.""  ","Ratu semasa negara lanun Amazon Lily di Pulau Kuja, dan juga ketua kru lanun Kuja. Dengan kecantikan menakjubkan, dia digelar ""Wanita Tercantik di Dunia.""  ",ราชินีโจรสลัด & ควบคุมการแปรสภาพเป็นหิน,,Pirate Queen & Petrification Control,Nữ hoàng hải tặc & kiểm soát hóa đá,Ratu Bajak Laut & Kontrol Petrifikasi,Pirate Queen & Petrification Control,Pirate Queen & Petrification Control,Ratu Lanun & Kawalan Petrifikasi,
2461,Madara,Madara,Madara,Madara,Madara,Madara,Madara,,,,2461,,,,,,,,,,2461,52461,,0,,<7;8;9;12>,2,<136;117;197;130;60;130;780>,,5,21,4,<606;607;608;604;605>,,,4,2461,,,24613,<24611;24612;24613;24616;61101;61102>,2461,,<11014;11114;11214;11314>,22461,3,4,{drawcard=hong_effect_loop},2461,,4,4,4,<41611;41612;41613;41614>,,,,,เทพนินจาแห่งโลกนินจามาดาระ,"The ninja god of the ninja world, Madara","Vị thần ninja của thế giới ninja, Madara","The ninja god of the ninja world, Madara","The ninja god of the ninja world, Madara","The ninja god of the ninja world, Madara","The ninja god of the ninja world, Madara",เทพนินจาแห่งโลกนินจามาดาระ,,"The ninja god of the ninja world, Madara","Vị thần ninja của thế giới ninja, Madara","The ninja god of the ninja world, Madara","The ninja god of the ninja world, Madara","The ninja god of the ninja world, Madara","The ninja god of the ninja world, Madara",
2493,Gilgamesh,Gilgamesh,Gilgamesh,Gilgamesh,Gilgamesh,Gilgamesh,Gilgamesh,,,,2493,,<8>,1,,,,,,,,52491,,1,,<24;23;14;16>,2,<100;120;60;100;150;130;660>,,4,21,4,<606;607;608;604;605>,,,4,2493,,,24933,<24931;24932;24933;24936;61151;61152>,2493,,<11014;11114;11214;11314>,22493,4,4,{drawcard=hong_effect_loop},2491,3,4,4,4,<24911;24912;24913;24914>,,,,,วีรบุรุษโบราณที่สุดในประวัติศาสตร์มนุษย์ มีสายเลือดเทพสองในสามและมนุษย์หนึ่งในสาม ด้วยนิสัยหยิ่งยโส เคยเป็นเผด็จการที่คิดว่าไม่มีใครสู้ได้  ,"The oldest hero in human history, bearing two-thirds divine blood and one-third human blood. Proud and arrogant, he was once a tyrant who thought no one could defeat him.  ","Anh hùng cổ xưa nhất trong lịch sử loài người, mang trong mình hai phần ba dòng máu thần thánh và một phần ba dòng máu con người. Với tính cách kiêu ngạo, ông từng là bạo chúa tự cho rằng không ai có thể đánh bại mình.","Pahlawan tertua dalam sejarah manusia, membawa dua pertiga darah dewa dan sepertiga darah manusia. Dengan sifat sombong, dia pernah menjadi tiran yang mengira tidak ada yang bisa mengalahkannya.  ","The oldest hero in human history, bearing two-thirds divine blood and one-third human blood. Proud and arrogant, he was once a tyrant who thought no one could defeat him.  ","Pinakamatandang bayani sa kasaysayan ng tao, may dalawang-katlong dugo ng diyos at isang-katlong dugo ng tao. Mapagmataas at mayabang, minsan siyang naging tirano na naniwalang walang makakatalo sa kanya.  ","Wira tertua dalam sejarah manusia, mengandungi dua pertiga darah dewa dan satu pertiga darah manusia. Dengan sifat sombong, dia pernah menjadi pemerintah zalim yang menganggap tiada siapa boleh mengalahkannya.  ",ความเสียหายรุนแรง: ดาบไม่มีที่สิ้นสุด,,Violent Damage: Endless Sword,Sát thương bạo lực: Kiếm vô tận,Kerusakan Kekerasan: Pedang Tak Terbatas,Violent Damage: Endless Sword,Violent Damage: Endless Sword,Kerusakan Kekerasan: Pedang Tak Terbatas,4023
2593,Leonardo,Leonardo,Leonardo,Leonardo,Leonardo,Leonardo,Leonardo,,,,2593,,<7>,,,,,,,,,52591,,1,,<11;12;15;16>,,<85;25;135;130;60;80;515>,,2,11,2,<621;622;623;602;603>,,,2,2593,,,25933,<25931;25932;25933;25936;61151;61152>,2593,,<11022;11122;11222;11322>,22593,2,2,,2591,17,2,2,2,<25911;25912;25913>,,,,,นักเดินทางข้ามเวลาที่ไม่เคยล้มเหลว กลายเป็นซอมบี้ พลังลดลง ฉันยังมีน้องชายสามคน ใครเห็นพวกเขาบ้างไหม?,"A time traveler who never fails, turned into a zombie, power weakened. I still have three younger brothers, has anyone seen them?","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Ta còn ba người em trai, có ai nhìn thấy họ không?","Pengembara waktu yang tak pernah gagal, berubah menjadi zombie, kekuatan menurun. Aku masih punya tiga adik laki-laki, siapa yang melihat mereka?","A time traveler who never fails, turned into a zombie, power weakened. I still have three younger brothers, has anyone seen them?","Isang manlalakbay sa oras na hindi kailanman nabibigo, naging zombie, humina ang kapangyarihan. May tatlong kapatid pa akong lalaki, may nakakita ba sa kanila?","Pengembara masa yang tidak pernah gagal, berubah menjadi zombi, kekuatan berkurangan. Saya masih ada tiga adik lelaki, ada siapa yang nampak mereka?",การต้านทานความเสียหายระดับสูง: การแปรสภาพที่แข็งแกร่ง,,Top-tier Damage Resistance: Hardened Petrification,Chịu sát thương hàng đầu: Hóa đá cứng cáp,Ketahanan Kerusakan Teratas: Petrifikasi Keras,Top-tier Damage Resistance: Hardened Petrification,Top-tier Damage Resistance: Hardened Petrification,Ketahanan Kerusakan Tertinggi: Petrifikasi Keras,
2612,Hanamichi,Hanamichi,Hanamichi,Hanamichi,Hanamichi,Hanamichi,Hanamichi,,,,2612,,<7>,,,,,,,,,52611,,1,,<7;8;9;12>,,<110;88;135;60;50;65;508>,,2,11,2,<621;622;623;602;603>,,,2,2612,,,26123,<26121;26122;26123;26126;61151;61152>,2612,,<11022;11122;11222;11322>,22612,2,2,,2611,16,2,2,2,<26111;26112;26113>,,,,,การเดินทางข้ามเวลาไม่สำเร็จ กลายเป็นซอมบี้ พลังอ่อนลง ไก่ของคุณสวยเกินไป! ขอโทษช่องผิด  ,"Time travel failed, turned into a zombie, strength weakened. Your chicken is too beautiful! Sorry, wrong channel.  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Gà của ngươi quá đẹp! Xin lỗi, lộn kênh rồi.","Perjalanan waktu gagal, berubah menjadi zombie, kekuatan berkurang. Ayammu terlalu cantik! Maaf, saluran salah  ","Time travel failed, turned into a zombie, strength weakened. Your chicken is too beautiful! Sorry, wrong channel.  ",,,นักฆ่ารถถัง & การป้องกันทางกายภาพ,,Tank Assassin & Physical Defense,Sát thủ xe tăng phòng thủ vật lý,Pembunuh Tank & Pertahanan Fisik,Tank Assassin & Physical Defense,Tank Assassin & Physical Defense,Pembunuh Tank & Pertahanan Fizikal,
2633,Calabash Zombie,Calabash Zombie,Calabash Zombie,Calabash Zombie,Calabash Zombie,Calabash Zombie,Calabash Zombie,,,,2633,,<7>,,,,,,,,,52631,,1,,<11;12;15;16>,,<105;45;140;95;55;65;505>,,2,11,2,<621;622;623;602;603>,,,2,2633,,,26333,<26331;26332;26333;26336;61151;61152>,2633,,<11022;11122;11222;11322>,22633,2,2,,2631,18,2,2,2,<26311;26312;26313>,,,,,การเดินทางข้ามเวลาไม่สำเร็จ กลายเป็นซอมบี้ พลังอ่อนลง ปีศาจ! ฉันเรียกเธอ กล้าตอบไหม?  ,"Time travel failed, turned into a zombie, strength weakened. Demon! I call you, do you dare answer?  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Yêu quái! Ta gọi một tiếng ngươi dám trả lời không?","Perjalanan waktu gagal, berubah menjadi zombie, kekuatan berkurang. Setan! Aku panggil kamu, berani jawab?  ","Time travel failed, turned into a zombie, strength weakened. Demon! I call you, do you dare answer?  ",,,เพิ่มความเสียหายเมื่อถูกทำให้ช็อค,,Increase Damage when Stunned,Tăng sát thương khi làm choáng,Tingkatkan Kerusakan Saat Stun,Increase Damage when Stunned,Increase Damage when Stunned,Tingkatkan Kerusakan Ketika Dibekukan,
2683,Himura Kenshin,Himura Kenshin,Himura Kenshin,Himura Kenshin,Himura Kenshin,Himura Kenshin,Himura Kenshin,,,,2683,,<7>,,,,,,,,,52681,,1,,<8;9;13;12>,,<60;112;100;89;55;69;485>,,,11,,<621;622;623;602;603>,,,,2683,,,26833,<26831;26832;26833;26836;61101;61102>,2683,,<11021;11121;11212;11321>,22683,,2,,2681,19,,,,<26811;26812;26813>,,,,,"การเดินทางข้ามเวลาไม่สำเร็จ กลายเป็นซอมบี้ พลังอ่อนลง ทายาทรุ่นที่ 14 ของสำนักฟันกระสุนบิน เคยถูกเรียกว่า ""นักฆ่าหัว""  ","Time travel failed, turned into a zombie, strength weakened. 14th generation heir of the Flying Sword style, once called ""Headhunter Assassin"".  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Truyền nhân đời thứ 14 của phi thiên ngự kiếm lưu, từng được gọi là ""Sát Thủ Lấy Đầu"".","Perjalanan waktu gagal, berubah menjadi zombie, kekuatan berkurang. Pewaris generasi ke-14 dari aliran Pedang Terbang, pernah disebut ""Pembunuh Kepala"".  ","Time travel failed, turned into a zombie, strength weakened. 14th generation heir of the Flying Sword style, once called ""Headhunter Assassin"".  ",,,ความเสียหายจากพิษ,,Poison Damage,Sát thương hệ độc,Kerusakan Racun,Poison Damage,Poison Damage,Kerusakan Racun,
2723,Edward Eldric,Edward Eldric,Edward Eldric,Edward Eldric,Edward Eldric,Edward Eldric,Edward Eldric,,,,2723,,<7>,,,,,,,,,52721,,1,,<7;8;9;12>,,<95;92;117;80;65;70;519>,,3,11,3,<615;616;617;602;603>,,,3,2723,,,27233,<27231;27232;27233;27236;61101;61102>,2723,,<11043;11143;11243;11343>,22723,3,3,{drawcard=huang_effect_loop},2721,,3,3,3,<27211;27212;27213;27214>,,,,,"อัจฉริยะที่อายุน้อยที่สุดในประวัติศาสตร์ที่ได้รับตำแหน่ง ""นักเล่นแร่แปรธาตุแห่งชาติ"" ชื่อเล่น ""นักเล่นแร่แปรธาตุเหล็ก"" ไม่ใช่แค่เพราะมีแขนและขาเป็นเครื่องจักร แต่ยังเพราะหัวใจที่แข็งแกร่งเหมือนเหล็ก  ","The youngest genius in history to achieve the title of National Alchemist. The nickname ""Steel Alchemist"" is not only because of the mechanical arms and legs, but also because of a heart as tough as steel.  ","Thiên tài trẻ nhất trong lịch sử đạt được danh hiệu Nhà Giả Kim Quốc Gia. Biệt danh ""Nhà Giả Kim Thép"" không chỉ vì sở hữu cánh tay và chân máy móc, mà còn bởi trái tim cứng rắn như thép.","Jenius termuda dalam sejarah yang meraih gelar Ahli Kimia Nasional. Julukan ""Ahli Kimia Baja"" bukan hanya karena memiliki lengan dan kaki mekanik, tetapi juga karena hati yang sekeras baja.  ","The youngest genius in history to achieve the title of National Alchemist. The nickname ""Steel Alchemist"" is not only because of the mechanical arms and legs, but also because of a heart as tough as steel.  ",,,ความเสียหายที่แท้จริงกระจาย & ทำให้ตาบอดเป้าหมายเดียว,,True Damage Spread & Blind Single Target,Sát thương chuẩn lan tỏa & làm mù đơn thể,Kerusakan Sebenarnya Menyebar & Membutakan Target Tunggal,True Damage Spread & Blind Single Target,True Damage Spread & Blind Single Target,Kerusakan Sebenar Menyebar & Membutakan Sasaran Tunggal,
2843,Marid Jinn,Marid Jinn,Marid Jinn,Marid Jinn,Marid Jinn,Marid Jinn,Marid Jinn,,,,2843,,<8>,,,,,,,,,52841,,1,,<22;24;18;20>,,<70;65;55;95;95;110;490>,,,11,,<621;622;623;602;603>,,,,2843,,,28433,<28431;28432;28433;28436;61101;61102>,2843,,<11021;11121;11212;11321>,22843,,2,,2841,19,,,,<28411;28412;28413>,,,,,การเดินทางข้ามเวลาไม่สำเร็จ กลายเป็นซอมบี้ พลังอ่อนลง ปรากฏตัวบ่อยครั้งในทะเลทราย สามารถให้พรกับผู้มาเยือน มาเถอะ! ขอพรสิ!  ,"Time travel failed, turned into a zombie, strength weakened. Occasionally appears in the desert, can grant visitors' wishes. Come on, make a wish!  ","Xuyên không thất bại, hóa thành thây ma, sức mạnh giảm sút. Thỉnh thoảng xuất hiện trong sa mạc, có thể đáp ứng điều ước của du khách. Nào, hãy ước đi!","Perjalanan waktu gagal, berubah menjadi zombie, kekuatan berkurang. Terkadang muncul di gurun, bisa mengabulkan permintaan pengunjung. Ayo, buat permintaan!  ","Time travel failed, turned into a zombie, strength weakened. Occasionally appears in the desert, can grant visitors' wishes. Come on, make a wish!  ",,,อาณาจักรอวกาศ & การสนับสนุนพลังพิเศษ,,Space Realm & Superpower Support,Không gian chiều & hỗ trợ siêu năng,Ruang Dimensi & Dukungan Kekuatan Super,Space Realm & Superpower Support,Space Realm & Superpower Support,Ruang Dimensi & Sokongan Kuasa Super,
2963,McCree,McCree,McCree,McCree,McCree,McCree,McCree,,,,2963,,<7>,,,,,,,,,52961,,1,,<15;16;11;12>,,<60;90;100;115;70;85;520>,,2,11,2,<621;622;623;602;603>,,,2,2963,,,29633,<29631;29632;29633;29636;61151;61152>,2963,,<11022;11122;11222;11322>,22963,2,2,,2961,17,2,2,2,<29611;29612;29613>,,,,,การเดินทางข้ามเวลาไม่สำเร็จ กลายเป็นซอมบี้ พลังอ่อนลง ถึงเวลาบ่ายแล้ว!  ,"Time travel failed, turned into a zombie, strength weakened. Noon has arrived!  ","Xuyên không thất bại, hóa thành thây ma, sức mạnh giảm sút. Giờ Ngọ đã đến!","Perjalanan waktu gagal, berubah menjadi zombie, kekuatan berkurang. Waktu tengah hari sudah tiba!  ","Time travel failed, turned into a zombie, strength weakened. Noon has arrived!  ",,,การเสริมสนับสนุน: การฟื้นฟูความโกรธสำหรับแนวหลัง,,Support Enhancement: Rage Regeneration for Backline,Hỗ trợ tăng cường: Hồi nộ hàng sau,Peningkatan Dukungan: Pemulihan Rage Garis Belakang,Support Enhancement: Rage Regeneration for Backline,Support Enhancement: Rage Regeneration for Backline,Peningkatan Sokongan: Pemulihan Kebangkitan untuk Garis Belakang,
3003,Ayanami Rei,Ayanami Rei,Ayanami Rei,Ayanami Rei,Ayanami Rei,Ayanami Rei,Ayanami Rei,,,,3003,,<7>,,,,,,,,,53001,,2,,<7;8;9;12>,,<76;97;147;90;60;70;540>,,3,11,3,<609;610;611;602;603>,,,3,3003,,,30033,<30031;30032;30033;30036;61101;61102>,3003,,<11003;11103;11203;11303>,23003,3,3,{drawcard=huang_effect_loop},3001,,3,3,3,<30011;30012;30013;30014>,,,,,"บรรพบุรุษของสาวๆ ""สามไม่มี"" เป็นนักบินของ EVA Unit-00 และเป็นผู้ที่เหมาะสมคนแรก  ","The ancestor of the ""three no"" girls, the pilot of EVA Unit-00 and the First Compatible Person.  ","Tổ tiên của các cô gái ""ba không"", là phi công của EVA Unit-00 và là Người Thích Hợp Đầu Tiên.","Nenek moyang gadis ""tiga tidak"", pilot EVA Unit-00 dan Orang Yang Sesuai Pertama.  ","The ancestor of the ""three no"" girls, the pilot of EVA Unit-00 and the First Compatible Person.  ",,,การโจมตีหลายเป้าหมาย & การเพิ่มความเสียหาย,,Multitarget Attack & Damage Increase,Tấn công đa mục tiêu & tăng sát thương,Serangan Multi-Tujuan & Meningkatkan Kerusakan,Multitarget Attack & Damage Increase,Multitarget Attack & Damage Increase,Serangan Multi Sasaran & Meningkatkan Kerusakan,
3021,Lich King,Lich King,Lich King,Lich King,Lich King,Lich King,Lich King,,,,3021,,<8>,,,,,,,,,53021,,1,,<6;8;22;25>,,<100;105;80;100;95;135;615>,,4,21,4,<615;616;617;604;605>,,,4,3021,,,30213,<30211;30212;30213;30216;61151;61152>,3021,,<11044;11144;11244;11344>,23021,4,4,{drawcard=hong_effect_loop},3021,2,4,4,4,<30211;30212;30213;30214>,,,,,หัวหน้าของ Scourge ใน Azeroth จากบัลลังก์น้ำแข็งบน Icecrown Citadel เขาครองกองทัพซอมบี้ผ่านหมวกมงกุฎที่ปกครอง  ,"The leader of Scourge in Azeroth, from the Frozen Throne atop Icecrown Citadel, he rules the undead army through the Helm of Domination.  ","Thủ lĩnh của Scourge tại Azeroth, từ Ngai Vàng Băng Giá trên đỉnh Icecrown Citadel, hắn cai trị đội quân thây ma thông qua Mũ Báu Thống Trị.","Pemimpin Scourge di Azeroth, dari Takhta Es di atas Icecrown Citadel, dia menguasai pasukan undead melalui Helm Penguasa.  ","The leader of Scourge in Azeroth, from the Frozen Throne atop Icecrown Citadel, he rules the undead army through the Helm of Domination.  ",,,แนวหน้าระบบน้ำแข็ง: แช่แข็งทั้งหมด,,Frontline Ice System: Freeze All,Hàng trước hệ băng: Đóng băng toàn bộ,Sistem Es Garis Depan: Bekukan Semua,Frontline Ice System: Freeze All,Frontline Ice System: Freeze All,Sistem Es Garis Depan: Bekukan Semua,
