VariableName,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder ,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control,confuseIt,zOrder
57311,57311,,,,<0.5;0.5>,,<0;966.7>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
57321,57321,,,,<0.5;0.5>,,<0;500>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
57331,57331,,,,<0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05>,,<0;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;133.3;700;2566.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
57332,57332,,,,,,,,,,,,,,,<90;212192>,,,,,,
57333,57333,,,,,,,,,,,,1,koudai_juqiantanglang_jietouquanshou/hero_juqiantanglang_jietouquanshou.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;aniName=skill2_hou;offsetX=0;lastTime=12266.6;zorder=-3},,,,,,,
57411,57411,,,,<0.3;0.3;0.4>,,<0;300;300>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
57421,57421,,,,<0.25;0.25;0.25;0.25>,,<0;50;50;50>,,,,,,,,,,,,,{lifeBar={show=True}},,
57431,57431,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;100;100;100;100;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
57511,57511,,,,<0.3;0.3;0.4>,,<0;300;300>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
57521,57521,,,,<0.25;0.25;0.25;0.25>,,<0;50;50;50>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
57531,57531,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;100;100;100;100;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
59111,59111,,,,<0.5;0.5>,,<0;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
59121,59121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
59131,59131,,,,<0.15;0.15;0.15;0.15;0.2;0.2>,,<0;100;100;133.3;133.3;133.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
59211,59211,,,,<0.3;0.3;0.4>,,<0;200;533.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
59221,59221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
59231,59231,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;166.6;166.6;166.6;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
59311,73111,,,,<0.3;0.3;0.4>,,<0;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
59321,73121,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,,,,,,1,mofashijiangshi/effect_mofashijiangshi_1.json,{scale=0.7;screenPos=1;offsetY=150;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill1_loop;lastTime=1000},,,,,{lifeBar={show=True}},,
59331,73131,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;200;200;200;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,mofashijiangshi/effect_mofashijiangshi_2.json,{scale=0.3;screenPos=1;offsetY=150;addTolayer=1;aniLoop=True;zorder=99;offsetX=50;delay=0;aniName=skill2_loop;lastTime=1500},,,,,,,
60111,60111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
60121,60121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
60131,60131,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;266.6;266.6;266.6;266.6;266.6;266.6;266.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
60211,60211,,,,<0.5;0.5>,,<0;500>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
60221,60221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
60231,60231,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;266.67;266.67;266.67;266.67;266.67;266.67>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
60311,60311,,,,<0.3;0.3;0.4>,,<0;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
60321,60321,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;150;150;150;150>,,,,,,1,linayinbasi/effect_linayinbasi_1.json,{scale=0.3;screenPos=1;offsetY=100;addTolayer=1;aniLoop=False;zorder=99;offsetX=0;delay=0;aniName=skill1_loop;lastTime=600},,,,,{lifeBar={show=True}},,
60331,60331,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;60;60;60;100;100;100;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
61111,61111,,,,<0.5;0.5>,,<0;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
61121,61121,,,,<0.25;0.25;0.25;0.25>,,<0;50;50;50>,,,,,,,,,,,,,{lifeBar={show=True}},,
61131,61131,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;150;150;150;200;200;200;300>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,sanliakeman/effect_sanliakeman_2.json,{scale=0.3;screenPos=1;offsetY=150;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill2_loop;lastTime=1500},,,,,,,
63211,63211,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
63221,63221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
63231,63231,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;100;100;100;100;133.3;133.3;133.3;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,zaomentanzhilang/effect_zaomentanzhilang.json,{scale=0.3;screenPos=1;offsetY=300;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill2_loop;lastTime=1500},,,,,,,
64111,64111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
64121,64121,,,,,<1>,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
64131,64131,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;100;100;100;100;133.3;133.3;133.3;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
65111,900111,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
65121,900121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
65131,900131,,,,<1>,,<0>,,,,,,,,,,,,,,,
65211,900111,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
65221,900121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
65231,900131,,,,<1>,,<0>,,,,,,,,,,,,,,,
65311,900111,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
65321,900121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
65331,900131,,,,<1>,,<0>,,,,,,,,,,,,,,,
69111,69111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
69121,69121,,,,<0.3;0.3;0.4>,,<0;100;100>,,,,,,,,,,,,,{lifeBar={show=True}},,
69131,69131,,,,<0.5;0.5>,,<0;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
69211,69211,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
69221,69221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
69231,69231,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;100;100;100;100;133.3;133.3;133.3;133.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
70111,70111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
70121,70121,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,,,,,,,,,,,,,{lifeBar={show=True}},,
70131,70131,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;100;100;200;200;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,bingzhang/effect_bingzhang.json,{scale=0.3;screenPos=1;offsetY=300;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill2_loop;lastTime=1500},,,,,,,
71111,71111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
71121,71121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
71131,71131,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
71211,71211,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
71221,71221,,,,<0.5;0.5>,,<0;700>,,,,,,,,,,,,,{lifeBar={show=True}},,
71231,71231,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;800>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
72111,72111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
72121,72121,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;200;200;200;200;200;200;200;200;200>,,,,,,1,yuanbanlin/effect_yuanbanlin_1.json,{scale=0.1;screenPos=1;offsetY=300;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill1_loop;lastTime=2000},,,,,{lifeBar={show=True}},,
72131,72131,,,,<0.1;0.1;0.1;0.2;0.2;0.3>,,<0;200;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
73111,59311,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
73121,59321,,,,<0.3;0.3;0.4>,,<0;633.33;666.67>,,,,,,1,yubanmeiqin/effect_yubanmeiqin.json,{scale=0.3;screenPos=1;offsetY=300;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill1_loop;lastTime=1500},,,,,{lifeBar={show=True}},,
73131,59331,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;133.3;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
74111,74111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
74121,74121,,,,<0.1;0.1;0.1;0.1;0.6>,,<0;100;100;100;400>,,,,,,,,,,,,,{lifeBar={show=True}},,
74131,74131,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;100;100;100;100;100;150;150;150>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,yihui/effect_yihui_2.json,{scale=0.3;screenPos=0;offsetY=0;addTolayer=1;aniLoop=True;zorder=99;offsetX=650;delay=0;aniName=skill2_loop;lastTime=1200},,,,,,,
75311,75311,,,,<0.5;0.5>,,<0;233.33>,,,,,,,,,,,,,{lifeBar={show=True}},,
75321,75321,,,,<0.6;0.4>,,<0;100>,,,,,,,,,,,,,{lifeBar={show=True}},,
75331,75331,,,,<0.3;0.3;0.4>,,<0;266.67;866.67>,,,,,,,,,,,,,{lifeBar={show=True}},,
75341,75341,,,,<1>,,<0>,,,,,,,,,,,,,,,
75342,75342,,,,,,,,,,<{absY=-200;absX=-200;delay=0;t=0};{absY=1000;absX=1500;delay=4800;t=500};{t=500;scale=0.5;delay=4800};{absY=600;absX=1500;delay=8233.33;t=0}>,<{hide=True;lastTime=4800;delay=0};{hide=True;lastTime=2866.67;delay=5333.33}>,,,,<90;149092;149093;149094;149095>,,,,,,
75343,75343,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=1;aniLoop=False;aniName=kuailong_skill2_qian;offsetX=0;lastTime=9833.33;zorder=-1},,,,,,,
75344,75344,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;aniName=kuailong_skill2;offsetX=0;lastTime=9833.33;zorder=-100},,,,,,,
75345,75345,,,,,,,,,,,,1,koudai_beijing/hailang.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;aniName=kuailong_skill2;offsetX=0;lastTime=9833.33;zorder=-200},,,,,,,
75346,75346,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;aniName=kuailong_skill2_hou;offsetX=0;lastTime=9833.33;zorder=-300},,,,,,,
76111,76111,,,,<0.5;0.5>,,<0;400>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
76121,76121,,,,<0.5;0.5>,,<0;800>,,,,,,,,,,,,,{lifeBar={show=True}},,
76131,76131,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
76211,76211,,,,<0.25;0.25;0.25;0.25>,,<0;200;200;400>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
76221,76221,,,,<0.025;0.175;0.1;0.1;0.2;0.2;0.2>,,<0;150;150;150;150;150;800>,,,,,,,,,,,,,{lifeBar={show=True}},,
76231,76231,,,,<0.1;0.1;0.1;0.2;0.1;0.4>,,<0;300;300;300;300;800>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
77111,77111,,,,<0.3;0.3;0.4>,,<0;50;50>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
77121,77121,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;100;100;100;100;200;200;200;200;200>,,,,,,1,xiaoyuan/effect_xiaoyuan_1.json,{scale=0.15;screenPos=1;offsetY=300;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill1_loop;lastTime=1500},,,,,{lifeBar={show=True}},,
77131,77131,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;100;100;100;100;100;100;100;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,xiaoyuan/effect_xiaoyuan_2.json,{scale=0.5;screenPos=0;offsetY=-200;addTolayer=1;aniLoop=True;zorder=99;offsetX=600;delay=0;aniName=skill2_loop;lastTime=1200},,,,,,,
78111,78111,,,,<0.5;0.5>,,<0;333>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
78121,78121,,,,<0.5;0.5>,,<0;67>,,,,,,,,,,,,,{lifeBar={show=True}},,
78131,78131,,,,,<0.2;0.3;0.5>,<0;134;400>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
78211,78211,,,,<0.5;0.5>,,<0;333>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
78221,78221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
78231,78231,,,,,<0.25;0.25;0.25;0.25>,<0;1050;600;750>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
78311,78311,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
78321,78321,,,,<0.3;0.3;0.4>,,<0;500;500>,,,,,,,,,,,,,{lifeBar={show=True}},,
78331,78331,,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,<0;200;200;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
78332,78332,,,,,,,,,,<{t=0;scale=1.2;delay=0;y=-280;x=-200};{t=1800;scale=1;delay=3100;y=-180;x=0}>,,,,,<90;154091;154092>,,,,,,
78333,78333,,,,,,,,,,,,1,koudai_beijing/huahai.skel,{scale=0.7;screenPos=0;offsetY=-30;addTolayer=-1;aniLoop=False;aniName=dazhukui_skill2;offsetX=-100;delay=0;zorder=30;lastTime=6533.3},,,,,,,
78334,78334,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;aniName=dazhukui_skill2;offsetX=0;delay=0;zorder=60;lastTime=6533.3},,,,,,,
79111,79111,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
79121,79121,,,,<0.25;0.25;0.25;0.25>,,<0;66.6;100;166.6>,,,,,,,,,,,,,{lifeBar={show=True}},,
79131,79131,,,,<0.25;0.25;0.25;0.25>,,<0;700;966.6;300>,,,,,,,,,,,,,,,
79211,79211,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
79221,79221,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;66.6;100;100;166.6;133.3;33.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
79231,79231,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;333.3;266.6;300;266.6;233.3>,,,,,,,,,,,,,,,
79311,79311,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
79321,79321,,,,<0.3;0.3;0.4>,,<0;100;100>,,,,,,,,,,,,,{lifeBar={show=True}},,
79331,79331,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;250;250;250;600>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,heiyiren/effect_heiyiren_2.json,{scale=0.6;screenPos=1;offsetY=200;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill2_loop;lastTime=1500},,,,,,,
80111,80111,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
80121,80121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
80131,80131,,,,<0.25;0.25;0.25;0.25>,,<0;80;80;80>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
80132,80132,,,,,,,,,,<{t=480;x=1300;delay=0;y=0;rot=20}>,,,,,,,,,,,
80211,80211,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
80221,80221,,,,<0.4;0.6>,,<0;90>,,,,,,,,,,,,,{lifeBar={show=True}},,
80222,80222,,,,,,,,,,<{t=150;x=20;delay=0;y=140;rot=30};{t=300;x=0;delay=150;y=0;rot=0}>,,,,,,,,,,,
80231,80231,,,,<0.1;0.1;0.4;0.1;0.1;0.1;0.1>,,<0;660;1950;1650;150;150;150>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
80232,80232,,,,,,,,,,<{t=170;x=20;delay=50;y=300;rot=30};{t=350;x=30;delay=220;y=350;rot=10};{t=900;x=30;delay=580;y=220;rot=-20};{t=900;x=30;delay=1480;y=250;rot=40};{t=320;x=0;delay=2380;y=0;rot=0}>,,,,,,,,,,,
80311,80311,,,,<0.5;0.5>,,<0;330>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
80321,80321,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
80322,80322,,,,,,,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=40;interval=0},,,<{t=90;x=420;delay=500;rot=-20};{t=280;x=0;delay=720;rot=0}>,,,,,,,,,{lifeBar={show=True}},,
80331,80331,,,,<0.3;0.3;0.4>,,<5;5;5>,{isRepeat=True;endT=100;beginT=0;count=1;disy=100;disx=10;interval=0},,,,,,,,,,,,,,
80332,80332,,,,,,,,,,<{absY=280;scale=0.8;delay=0;teamClose=5.7;t=1;absX=1280};{absY=-180;scale=1.9;delay=2278;teamClose=7;t=33;absX=1330};{absY=620;scale=1.4;t=10;delay=3383;teamClose=2;rot=40;absX=2200};{absY=960;scale=0.5;t=100;delay=3633;teamClose=1.5;rot=-20;absX=2140};{absY=1000;scale=0.05;delay=3733;t=830;rot=-150;absX=2175};{t=0;scale=1;x=0;delay=4686;y=0;rot=0;teamClose=1}>,<{hide=True;lastTime=50;delay=0};{hide=True;lastTime=1267;delay=2365};{hide=True;lastTime=10000;delay=4586}>,,,,<90;160093>,,,,,,<{zorder=999;lastTime=8052;delay=0}>
80333,80333,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{scale=1.2;screenPos=0;offsetY=-200;addTolayer=-1;aniLoop=False;aniName=dalie_skill2;offsetX=-600;lastTime=4900;zorder=-1},,,,,,,
86111,86111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
86121,86121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
86131,86131,,,,<0.1;0.1;0.1;0.1;0.1;0.5>,,<0;266.6;266.6;266.6;266.6;733.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
86132,86132,,,,,,,,,,,,,,,,,,,,,
86211,86211,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
86221,86221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
86231,86231,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
86232,86232,,,,,,,,,,,,,,,,,,,,,
86311,86311,,,,<0.3;0.7>,,<0;300>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
86321,86321,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;100>,,,,,,,,,,,,,{lifeBar={show=True}},,
86331,86331,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;250;250;250;600>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,1,yadianna/effect_yadianna_2.json,{scale=0.3;screenPos=1;offsetY=200;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill2_loop;lastTime=1500},,,,,,,
88111,88111,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
88121,88121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
88131,88131,,,,<0.25;0.25;0.25;0.25>,,<0;266.6;266.6;433.3>,,,,,,,,,,,,,,,
88211,88211,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
88221,88221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
88231,88231,,,,<0.25;0.25;0.25;0.25>,,<0;400;333.3;400>,,,,,,,,,,,,,,,
88311,88311,,,,<0.5;0.5>,,<0;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
88321,88321,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,,,,,,1,qiyazoudike/effect_qiyazoudike_1.json,{scale=0.7;screenPos=1;offsetY=150;addTolayer=1;aniLoop=True;zorder=99;offsetX=0;delay=0;aniName=skill1_loop;lastTime=1000},,,,,{lifeBar={show=True}},,
88331,88331,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;100;100;100;100;133.3;133.3;133.3;533.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
88411,88411,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
88421,88421,,,,<0.3;0.3;0.4>,,<0;400;933.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
88431,88431,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2>,,<0;566.6;700;233.3;266.6;300;300;300;300>,,,,,,,,,,,,,,,
88432,88432,,,,,,,,,,,,,,,<90;181191;181192>,,,,,,
88433,88433,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{scale=0.7;screenPos=0;offsetY=-150;addTolayer=-1;aniLoop=False;zorder=10;offsetX=0;delay=0;aniName=dianlongmega_skill2;lastTime=10100},,,,,,,
88434,88434,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{scale=0.7;screenPos=0;offsetY=-150;addTolayer=-1;aniLoop=False;zorder=1;offsetX=0;delay=0;aniName=dianlongmega_skill2;lastTime=10100},,,,,,,
