VariableName,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
31412,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),12) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),10) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),8) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),6) and (1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),4) and (1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),2) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32611,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32613,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32615,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuffGroup(36),attacker:damageRateAdd()+0.5,attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32711,,,"{strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),10),attacker:strike()*10000+500,attacker:strike()*10000)))>;init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:star(),11),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.3+0.003*(attacker:skillLv(32716) or 0)-0.003),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.3+0.003*(attacker:skillLv(32716) or 0)-0.003))))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32713,,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.2+0.002*(attacker:skillLv(32716) or 0)-0.002),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.2+0.002*(attacker:skillLv(32716) or 0)-0.002))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
32714,,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.05+0.0015*(attacker:skillLv(32716) or 0)-0.0015),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.05+0.0015*(attacker:skillLv(32716) or 0)-0.0015))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
33011,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
33012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33021,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
33022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33031,,,"{strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(more(attacker:star() , 10) and target:hasBuffGroup(1301,1311,1321),attacker:strike()*10000+1000,attacker:strike()*10000),ifElse(more(attacker:star() , 10) and target:hasBuffGroup(1301,1311,1321),attacker:strikeDamage()*10000+1500,attacker:strikeDamage()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
33032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33041,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3,1) and 1 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3),attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+2,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(33046) or 0)*10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
33042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33044,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
35111,,,"{reduce=<setValue(list(""defenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:defenceIgnore()*10000+(30+(attacker:skillLv(35116) or 0)*0.2-0.2)*100,attacker:defenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
35112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36111,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(target:hasBuffGroup(20),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
36112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36151,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
36152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36211,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
36212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36311,,,"{damageAdd=<setValue(list(""damageSub""),list(ifElse(more(target:damageSub(),attacker:damageAdd()),target:damageSub()*(5000+attacker:level()*50),target:damageSub()*10000)))>;damageDeepen=<setValue(list(""damageReduce""),list(ifElse(less(target:damageDeepen(),attacker:damageReduce()),attacker:damageReduce()*(5000+attacker:level()*50),attacker:damageReduce()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+(6000-attacker:level()*60)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
36312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36337,,,,,,,,,,,,,,,,,,,,,,10000,out,,,,,,,,,,,,,,,,,,,,
36338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,
36521,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
36522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39771,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
39772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40231,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,jump,,,,,,,,,
40232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,
40241,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
40242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41011,,,"{damageAdd=<setValue(list(""damageSub""),list(target:damageSub()*10000-5000))>;finalRate=<setValue(list(""finalDamageSub""),list(target:finalDamageSub()*10000-5000))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+5000))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
41012,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4101131))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41211,,,"{damageHit=<setValue(list(""damageHit""),list(attacker:damageHit()*10000+2500*attacker:getBuffOverlayCount(4121652)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,jump,,,jump,,,,,,
41212,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,jump,,,,,,
41221,,,"{damageHit=<setValue(list(""damageHit""),list(attacker:damageHit()*10000+2500*attacker:getBuffOverlayCount(4121652)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,jump,,,jump,,,,,,
41222,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,jump,,,,,,
41231,,,"{damageHit=<setValue(list(""damageHit""),list(attacker:damageHit()*10000+2500*attacker:getBuffOverlayCount(4121652)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
41232,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41241,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
41242,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41711,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
41712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41721,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,,,,,,,,,,,,,,,,,,,,,
41722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70481,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
70482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702271,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
702272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972212,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3651334,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3651335,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3651609,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,,,,,,,,,,,,,,,,,,,,,
