VariableName,type,_yyId,card,helditem,item,desc
50,6,,<3641;2351;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23641;22351;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
51,6,,<3211;2361;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23211;22361;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
52,6,,<1981;2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21981;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
53,6,,<3221;2391;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23221;22391;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
54,6,,<1971;2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21971;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
55,6,,<1961;2381;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21961;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
56,6,,<3241;2441;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23241;22441;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
57,6,,<2381;3631;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22381;23631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
58,12,,,,,<<rarityChip5;1.5>;<rarityChip4;8.5>;<rarityChip3;25>;<rarityChip2;50>;<normalItem;15>>
59,13,,,,,<<rarityChip6;0.85>;<rarityChip5;2.5>;<rarityChip4;10>;<rarityChip3;35>;<rarityChip2;40>;<normalItem;11.65>>
60,6,,<1961;1261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21961;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
61,6,,<3261;3641;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23261;23641;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
62,,,<1;11;21;31;41;51;61;71;81;91;101;111;121;1001;1011;1021;1031;1041;1051;1061;1071;1081;1091;1101;1111;1121;1131;1141;1151;1161;1171;1181;1191;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,,<<rarityCard2;24.1>;<rarityCard1;37>;<rarityCard0;38.9>>
63,6,,<1991;3211;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21991;23211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
64,6,,<3631;1261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23631;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
65,6,,<2361;2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22361;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
66,6,,<4171;3221;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;24171;23221;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
67,6,,<1981;1971;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21981;21971;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
68,6,,<2391;2381;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22391;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
69,6,,<3611;3241;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23611;23241;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
70,6,,<1961;3631;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21961;23631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
71,6,,<2441;2351;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22441;22351;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
72,6,,<1281;3261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21281;23261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
73,6,,<2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
80,6,,<3001;3011;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23001;23011;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
81,6,,<3021;3031;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23021;23031;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
82,6,,<3061;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
83,6,,<3041;3051;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23041;23051;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
84,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;210;211;212;213;214;220;221;222;223;224;230;231;232;233;234;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
85,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;210;211;212;213;214;220;221;222;223;224;230;231;232;233;234;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
86,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;210;211;212;213;214;220;221;222;223;224;230;231;232;233;234;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
87,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<502;501;521;200;201;202;203;204;210;211;212;213;214;220;221;222;223;224;230;231;232;233;234;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
88,6,,<3121;3061;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23041;23061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
89,6,,<3151;3141;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23151;23141;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
90,6,,<3121;3021;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23121;23021;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
91,6,,<3131;3061;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23131;23061;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
92,6,,<3031;3041;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23031;23041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
93,6,,<3061;3131;2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121;2131;2141;2151;2161;2171;2181;2191;2201;2211>,,<502;521;501;23031;23041;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
94,6,,<3211;3353;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003>,,<502;521;501;23211;23353;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
95,6,,<2233;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003>,,<22233;502;521;501;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
96,6,,<1503;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003>,,<21503;502;521;501;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
97,6,,<8004;8008;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003>,,<29008;28041;502;521;501;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
100,6,,<771;1231;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;20701;20721;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
101,6,,<771;1231;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;20771;21231;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
102,6,,<1393;1503;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21393;21503;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
103,6,,<1893;2233;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21893;22233;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
104,6,,<2401;3143;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;22401;23143;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
105,6,,<393;263;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;20393;20263;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
106,6,,<572;771;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;20572;20771;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
107,6,,<1313;721;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21313;20721;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
108,6,,<1941;701;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21941;20701;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
109,6,,<1951;1231;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21951;21231;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
110,6,,<3021;1393;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;23021;21393;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
111,6,,<3171;2233;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;23171;22233;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
112,6,,<1241;2401;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21241;22401;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
