VariableName,name_cn,languages,drawlanguages,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,desc_cn,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc,desc1_cn,desc1_tw,desc1,desc1_vn,desc1_th,desc1_en,desc1_ma,desc1_ph,desc1_in,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue
21941,,,,,Angewomon Fragment,Mảnh Angewomon,Angewomon Fragment,Angewomon ชิ้นส่วน,Fragmen Angewomon,Piraso ni Angewomon,Fragmen Angewomon,config/portrait/jinglingtouxiang/img_1941.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Angewomon#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Angewomon#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Angewomon#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Angewomon#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Angewomon#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Angewomon#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Angewomon#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},1941,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
21951,,,,,Angemon Fragment,Mảnh Angemon,Angemon Fragment,Angemon ชิ้นส่วน,Fragmen Angemon,Piraso ni Angemon,Fragmen Angemon,config/portrait/jinglingtouxiang/img_1951.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Angemon#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Angemon#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Angemon#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Angemon#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Angemon#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Angemon#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Angemon#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},1951,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
21961,,,,,Aqua Fragment,Mảnh Aqua,Aqua Fragment,Aqua ชิ้นส่วน,Fragmen Aqua,Piraso ni Aqua,Fragmen Aqua,config/portrait/jinglingtouxiang/img_1961.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Aqua#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Aqua#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Aqua#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Aqua#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Aqua#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Aqua#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Aqua#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},1961,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
21991,,,,,Tensa (Youth) Fragment,Mảnh Tensa (Youth),Tensa (Youth) Fragment,Tensa (Youth) ชิ้นส่วน,Fragmen Tensa (Youth),Piraso ni Tensa (Youth),Fragmen Tensa (Youth),config/portrait/jinglingtouxiang/TSZYQN.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Tensa (Youth)#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Tensa (Youth)#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Tensa (Youth)#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Tensa (Youth)#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Tensa (Youth)#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Tensa (Youth)#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Tensa (Youth)#C0x55504D#,,,,,,,,,,7,,0,499,{coin5=50},1991,120,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22013,,,,,Link Fragment,Mảnh Link,Link Fragment,Link ชิ้นส่วน,Fragmen Link,Piraso ni Link,Fragmen Link,config/portrait/jinglingtouxiang/img_2013.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Link#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Link#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Link#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Link#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Link#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Link#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Link#C0x55504D#,,,,,,,,,,,,,502,,2013,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
22023,,,,,Kratos Fragment,Mảnh Kratos,Kratos Fragment,Kratos ชิ้นส่วน,Fragmen Kratos,Piraso ni Kratos,Fragmen Kratos,config/portrait/jinglingtouxiang/img_2023.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Kratos#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kratos#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Kratos#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kratos#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kratos#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Kratos#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kratos#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},2023,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
22033,,,,,Kaneki Ken Fragment,Mảnh Kaneki Ken,Kaneki Ken Fragment,Kaneki Ken ชิ้นส่วน,Fragmen Kaneki Ken,Piraso ni Kaneki Ken,Fragmen Kaneki Ken,config/portrait/jinglingtouxiang/img_2033.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Kaneki Ken#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kaneki Ken#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Kaneki Ken#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kaneki Ken#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kaneki Ken#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Kaneki Ken#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kaneki Ken#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},2033,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
22073,,,,,Inuyasha Fragment,Mảnh Inuyasha,Inuyasha Fragment,Inuyasha ชิ้นส่วน,Fragmen Inuyasha,Piraso ni Inuyasha,Fragmen Inuyasha,config/portrait/jinglingtouxiang/img_2073.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Inuyasha#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Inuyasha#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Inuyasha#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Inuyasha#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Inuyasha#C0x55504D#,Kumpul %d serpihan untuk gabung trở thành #C0xE77421#Inuyasha#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Inuyasha#C0x55504D#,,,,,,,,,,,,,502,,2073,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
22233,,,,,Vegeta Fragment,Mảnh Vegeta,Vegeta Fragment,Vegeta ชิ้นส่วน,Fragmen Vegeta,Piraso ni Vegeta,Fragmen Vegeta,config/portrait/jinglingtouxiang/img_2233.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Vegeta#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Vegeta#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Vegeta#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Vegeta#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Vegeta#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Vegeta#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Vegeta#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2233,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22242,,,,,Hyuga Hinata Fragment,Mảnh Hyuga Hinata,Hyuga Hinata Fragment,Hyuga Hinata ชิ้นส่วน,Fragmen Hyuga Hinata,Piraso ni Hyuga Hinata,Fragmen Hyuga Hinata,config/portrait/jinglingtouxiang/img_2242.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Hinata Hyuga#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hinata Hyuga#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Hinata Hyuga#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Hinata Hyuga#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Hinata Hyuga#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Hinata Hyuga#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hinata Hyuga#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},2242,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
22351,,,,,Master Roshi Fragment,Mảnh Master Roshi,Master Roshi Fragment,Master Roshi ชิ้นส่วน,Fragmen Master Roshi,Piraso ni Master Roshi,Fragmen Master Roshi,config/portrait/jinglingtouxiang/img_2351.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Master Roshi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Master Roshi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Master Roshi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Master Roshi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Master Roshi#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Master Roshi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Master Roshi#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2351,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22361,,,,,Bankai: Kenpachi Fragment,Mảnh Bankai: Kenpachi,Bankai: Kenpachi Fragment,Bankai: Kenpachi ชิ้นส่วน,Fragmen Bankai: Kenpachi,Piraso ni Bankai: Kenpachi,Fragmen Bankai: Kenpachi,config/portrait/jinglingtouxiang/img_2361.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Bankai:Kenpachi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Bankai:Kenpachi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Bankai:Kenpachi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Bankai:Kenpachi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Bankai:Kenpachi#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Bankai:Kenpachi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Bankai:Kenpachi#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2361,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22381,,,,,Albedo Fragment,Mảnh Albedo,Albedo Fragment,Albedo ชิ้นส่วน,Fragmen Albedo,Piraso ni Albedo,Fragmen Albedo,config/portrait/jinglingtouxiang/img_2381.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Albedo#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Albedo#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Albedo#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Albedo#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Albedo#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Albedo#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Albedo#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2381,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22391,,,,,Demon Slayer Daki Fragment,Mảnh Demon Slayer Daki,Demon Slayer Daki Fragment,Demon Slayer Daki ชิ้นส่วน,Fragmen Demon Slayer Daki,Piraso ni Demon Slayer Daki,Fragmen Demon Slayer Daki,config/portrait/jinglingtouxiang/img_2391.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Demon Slayer Daki#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Demon Slayer Daki#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Demon Slayer Daki#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Demon Slayer Daki#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Demon Slayer Daki#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Demon Slayer Daki#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Demon Slayer Daki#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2391,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22401,,,,,Tsukino Usagi Fragment,Mảnh Tsukino Usagi,Tsukino Usagi Fragment,Tsukino Usagi ชิ้นส่วน,Fragmen Tsukino Usagi,Piraso ni Tsukino Usagi,Fragmen Tsukino Usagi,config/portrait/jinglingtouxiang/img_2401.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Tsukino Usagi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Tsukino Usagi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Tsukino Usagi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Tsukino Usagi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Tsukino Usagi#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Tsukino Usagi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Tsukino Usagi#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2401,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22431,,,,,Boa Hancock Fragment,Mảnh Boa Hancock,Boa Hancock Fragment,Boa Hancock ชิ้นส่วน,Fragmen Boa Hancock,Piraso ni Boa Hancock,Fragmen Boa Hancock,config/portrait/jinglingtouxiang/img_2431.png,,Thu thập đủ %d mảnh có thể thành #C0xE77421#Boa Hancock#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Boa Hancock#C0x55504D#,รวบรวมเศษ %d ชิ้น để hợp thành #C0xE77421#Boa Hancock#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Boa Hancock#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Boa Hancock#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Boa Hancock#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Boa Hancock#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2431,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22461,,,,,Madara Fragment,Mảnh Madara,Madara Fragment,Madara ชิ้นส่วน,Fragmen Madara,Piraso ni Madara,Fragmen Madara,config/portrait/jinglingtouxiang/img_2461.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Madara#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Madara#C0x55504D#,รวบรวมเศษ %d ชิ้น để hợp thành #C0xE77421#Madara#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Madara#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Madara#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Madara#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Madara#C0x55504D#,,,,,,,,,,7,,0,499,{coin5=50},2461,120,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22493,,,,,Gilgamesh Fragment,Mảnh Gilgamesh,Gilgamesh Fragment,Gilgamesh ชิ้นส่วน,Fragmen Gilgamesh,Piraso ni Gilgamesh,Fragmen Gilgamesh,config/portrait/jinglingtouxiang/img_2493.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Gilgamesh#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gilgamesh#C0x55504D#,รวบรวมเศษ %d ชิ้น để hợp thành #C0xE77421#Gilgamesh#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Gilgamesh#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Gilgamesh#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Gilgamesh#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gilgamesh#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},2493,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
22593,,,,,Leonardo Fragment,Mảnh Leonardo,Leonardo Fragment,Leonardo ชิ้นส่วน,Fragmen Leonardo,Piraso ni Leonardo,Fragmen Leonardo,config/portrait/jinglingtouxiang/img_2593.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Leonardo#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Leonardo#C0x55504D#,รวบรวมเศษ %d ชิ้น để hợp thành #C0xE77421#Leonardo#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Leonardo#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Leonardo#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Leonardo#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Leonardo#C0x55504D#,,,,,,,,,,,,,502,,2593,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
22612,,,,,Hanamichi Fragment,Mảnh Hanamichi,Hanamichi Fragment,Hanamichi ชิ้นส่วน,Fragmen Hanamichi,Piraso ni Hanamichi,Fragmen Hanamichi,config/portrait/jinglingtouxiang/img_2612.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Hanamichi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hanamichi#C0x55504D#,รวบรวมเศษ %d ชิ้น để hợp thành #C0xE77421#Hanamichi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Hanamichi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Hanamichi#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Hanamichi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hanamichi#C0x55504D#,,,,,,,,,,,,,502,,2612,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
22633,,,,,Calabash Zombie Fragment,Mảnh Calabash Zombie,Calabash Zombie Fragment,Calabash Zombie ชิ้นส่วน,Fragmen Calabash Zombie,Piraso ni Calabash Zombie,Fragmen Calabash Zombie,config/portrait/jinglingtouxiang/img_2633.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Calabash Zombie#C0x55504D#.,Collect %d fragments to synthesize #C0xE77421#Calabash Zombie#C0x55504D#,รวบรวมเศษ %d ชิ้น để hợp thành #C0xE77421#Calabash Zombie#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Calabash Zombie#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Calabash Zombie#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Calabash Zombie#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Calabash Zombie#C0x55504D#,,,,,,,,,,,,,502,,2633,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
22683,,,,,Himura Kenshin Fragment,Mảnh Himura Kenshin,Himura Kenshin Fragment,Himura Kenshin ชิ้นส่วน,Fragmen Himura Kenshin,Piraso ni Himura Kenshin,Fragmen Himura Kenshin,config/portrait/jinglingtouxiang/img_2683.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Kenshin#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kenshin#C0x55504D#,รวบรวมเศษ %d ชิ้น để hợp thành #C0xE77421#Kenshin#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kenshin#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kenshin#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Kenshin#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kenshin#C0x55504D#,,,,,,,,,,3,,,502,{coin5=2},2683,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,
22723,,,,,Edward Elric Fragment,Mảnh Edward Elric,Edward Elric Fragment,Edward Elric ชิ้นส่วน,Fragmen Edward Elric,Piraso ni Edward Elric,Fragmen Edward Elric,config/portrait/jinglingtouxiang/img_2723.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Edward Eldric#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Edward Eldric#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Edward Eldric#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Edward Eldric#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Edward Eldric#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Edward Eldric#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Edward Eldric#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},2723,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
22843,,,,,Marid Jinn Fragment,Mảnh Marid Jinn,Marid Jinn Fragment,Marid Jinn ชิ้นส่วน,Fragmen Marid Jinn,Piraso ni Marid Jinn,Fragmen Marid Jinn,config/portrait/jinglingtouxiang/img_2843.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Marid Jinn#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Marid Jinn#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Marid Jinn#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Marid Jinn#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Marid Jinn#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Marid Jinn#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Marid Jinn#C0x55504D#,,,,,,,,,,3,,,502,{coin5=2},2843,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,
22963,,,,,McCree Fragment,Mảnh McCree,McCree Fragment,McCree ชิ้นส่วน,Fragmen McCree,Piraso ni McCree,Fragmen McCree,config/portrait/jinglingtouxiang/img_2963.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#McCree#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#McCree#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#McCree#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#McCree#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#McCree#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#McCree#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#McCree#C0x55504D#,,,,,,,,,,,,,502,,2963,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
23003,,,,,Ayanami Rei Fragment,Mảnh Ayanami Rei,Ayanami Rei Fragment,Ayanami Rei ชิ้นส่วน,Fragmen Ayanami Rei,Piraso ni Ayanami Rei,Fragmen Ayanami Rei,config/portrait/jinglingtouxiang/img_3003.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Ayanami Rei#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Ayanami Rei#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Ayanami Rei#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Ayanami Rei#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Ayanami Rei#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Ayanami Rei#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Ayanami Rei#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},3003,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
23021,,,,,Lich King Fragment,Mảnh Lich King,Lich King Fragment,Lich King ชิ้นส่วน,Fragmen Lich King,Piraso ni Lich King,Fragmen Lich King,config/portrait/jinglingtouxiang/img_3021.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Lich King#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Lich King#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Lich King#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Lich King#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Lich King#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Lich King#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Lich King#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},3021,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
23143,,,,,Kirisame Marisa Fragment,Mảnh Kirisame Marisa,Kirisame Marisa Fragment,Kirisame Marisa ชิ้นส่วน,Fragmen Kirisame Marisa,Piraso ni Kirisame Marisa,Fragmen Kirisame Marisa,config/portrait/jinglingtouxiang/img_3143.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Kirisame Marisa#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kirisame Marisa#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Kirisame Marisa#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kirisame Marisa#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kirisame Marisa#C0x55504D#,Kumpul %d serpihan để gabung trở thành #C0xE77421#Kirisame Marisa#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kirisame Marisa#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},3143,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
