VariableName,typeID,star,gold,costCardNum,universalCards,costItems,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,curePowerC,natureRestraintC
1218,12,18,2240000,8,<9001>,,371.502,7.425,66.08283333,26.48283333,66.08283333,26.48283333,13103.905,314.28,2797.092,1120.932,2797.092,1120.932,,,,,,,,,,,,,,,,,,,,,,,,,
1219,12,19,2400000,8,<9001>,,396.2688,7.92,70.48833333,28.24833333,70.48833333,28.24833333,14004.517,335.88,2989.332,1197.972,2989.332,1197.972,,,,,,,,,,,,,,,,,,,,,,,,,
1220,12,20,2560000,9,<9001>,,421.0356,8.415,74.89383333,30.01383333,74.89383333,30.01383333,14905.129,357.48,3181.572,1275.012,3181.572,1275.012,,,,,,,,,,,,,,,,,,,,,,,,,
1221,12,21,2720000,9,<9001>,,445.8024,8.91,79.29933333,31.77933333,79.29933333,31.77933333,15805.741,379.08,3373.812,1352.052,3373.812,1352.052,,,,,,,,,,,,,,,,,,,,,,,,,
1222,12,22,2880000,10,<9001>,,470.5692,9.405,83.70483333,33.54483333,83.70483333,33.54483333,16706.353,400.68,3566.052,1429.092,3566.052,1429.092,,,,,,,,,,,,,,,,,,,,,,,,,
1223,12,23,3040000,10,<9001>,,495.336,9.9,88.11033333,35.31033333,88.11033333,35.31033333,17606.965,422.28,3758.292,1506.132,3758.292,1506.132,,,,,,,,,,,,,,,,,,,,,,,,,
1224,12,24,0,,,,520.1028,10.395,92.51583333,37.07583333,92.51583333,37.07583333,18507.577,443.88,3950.532,1583.172,3950.532,1583.172,,,,,,,,,,,,,,,,,,,,,,,,,
1301,13,,10000,,,,,,,,,,45.031,1.08,9.612,3.852,9.612,3.852,,,,,,,,,,,,,,,,,,,,,,,,,
1302,13,2,50000,,,,9.9072,0.198,1.762,0.706,1.762,0.706,360.245,8.64,76.896,30.816,76.896,30.816,,,,,,,,,,,,,,,,,,,,,,,,,
1303,13,3,200000,1,<9002>,,19.8132,0.396,3.524,1.412,3.524,1.412,675.459,16.2,144.18,57.78,144.18,57.78,,,,,,,,,,,,,,,,,,,,,,,,,
1304,13,4,300000,1,<9002>,,34.674,0.693,6.168,2.472,6.168,2.472,1260.857,30.24,269.136,107.856,269.136,107.856,,,,,,,,,,,,,,,,,,,,,,,,,
1305,13,5,400000,2,<9002>,,52.0104,1.04,9.252,3.708,9.252,3.708,1846.255,44.28,394.092,157.932,394.092,157.932,,,,,,,,,,,,,,,,,,,,,,,,,
1306,13,6,500000,2,<9002>,,74.3004,1.485,13.217,5.297,13.217,5.297,2521.714,60.48,538.272,215.712,538.272,215.712,,,,,,,,,,,,,,,,,,,,,,,,,
1307,13,7,600000,2,<9002>,,99.0672,1.98,17.622,7.062,17.622,7.062,3197.173,76.68,682.452,273.492,682.452,273.492,,,,,,,,,,,,,,,,,,,,,,,,,
1308,13,8,800000,3,<9002>,,123.834,2.475,22.028,8.828,22.028,8.828,4097.785,98.28,874.692,350.532,874.692,350.532,,,,,,,,,,,,,,,,,,,,,,,,,
1309,13,9,1000000,3,<9002>,,148.6008,2.97,26.433,10.593,26.433,10.593,4998.397,119.88,1066.932,427.572,1066.932,427.572,,,,,,,,,,,,,,,,,,,,,,,,,
1310,13,10,1200000,3,<9002>,,173.3676,3.465,30.839,12.359,30.839,12.359,5899.009,141.48,1259.172,504.612,1259.172,504.612,,,,,,,,,,,,,,,,,,,,,,,,,
1311,13,11,1600000,4,<9002>,,198.1344,3.96,35.244,14.124,35.244,14.124,6799.621,163.08,1451.412,581.652,1451.412,581.652,,,,,,,,,,,,,,,,,,,,,,,,,
1312,13,12,0,,,,222.9012,4.455,39.65,15.89,39.65,15.89,7700.233,184.68,1643.652,658.692,1643.652,658.692,,,,,,,,,,,,,,,,,,,,,,,,,
