VariableName,_beizhu,index,seatExtraFix,wave,hp,damage,specialDamage,defence,specialDefence,speed,hpself,damageself,specialDamageself,defenceself,specialDefenceself,speedself
Defaults,,,{},,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
VariableName,备注,索引,站位修正,波次,怪物血量修正,怪物攻击修正,怪物攻击修正,怪物防御修正,怪物防御修正,怪物速度修正,己方血量修正,己方攻击修正,己方攻击修正,己方防御修正,己方防御修正,己方攻击修正
600,,80131,{11=1},12,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
601,,80132,{11=1.1},1,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
602,,80132,{11=1.1},2,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
603,,80132,{11=1.1},3,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
604,,80132,{11=1.1},4,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
605,,80132,{11=1.1},5,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
606,,80132,{11=1.1},6,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
607,,80132,{11=1.1},7,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
608,,80132,{11=1.1},8,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
609,,80132,{11=1.1},9,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
610,,80132,{11=1.1},10,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
611,,80132,{11=1.1},11,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
612,,80132,{11=1.1},12,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
613,,80133,{11=1.1},1,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
614,,80133,{11=1.1},2,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
615,,80133,{11=1.1},3,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
616,,80133,{11=1.1},4,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
617,,80133,{11=1.1},5,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
618,,80133,{11=1.1},6,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
619,,80133,{11=1.1},7,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
620,,80133,{11=1.1},8,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
621,,80133,{11=1.1},9,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
622,,80133,{11=1.1},10,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
623,,80133,{11=1.1},11,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
624,,80133,{11=1.1},12,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
625,,80134,{11=2.7},1,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
626,,80134,{11=2.7},2,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
627,,80134,{11=2.7},3,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
628,,80134,{11=2.7},4,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
629,,80134,{11=2.7},5,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
630,,80134,{11=2.7},6,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
631,,80134,{11=2.7},7,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
632,,80134,{11=2.7},8,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
633,,80134,{11=2.7},9,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
634,,80134,{11=2.7},10,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
635,,80134,{11=2.7},11,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
636,,80134,{11=2.7},12,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
637,,80135,,1,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
638,,80135,,2,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
639,,80135,,3,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
640,,80135,,4,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
641,,80135,,5,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
642,,80135,,6,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
643,,80135,,7,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
644,,80135,,8,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
645,,80135,,9,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
646,,80135,,10,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
647,,80135,,11,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
648,,80135,,12,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
649,,80136,,1,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
650,,80136,,2,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
651,,80136,,3,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
652,,80136,,4,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
653,,80136,,5,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
654,,80136,,6,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
655,,80136,,7,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
656,,80136,,8,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
657,,80136,,9,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
658,,80136,,10,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
659,,80136,,11,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
660,,80136,,12,<2.54;2.16>,<1;1.12>,<1;1.12>,<1.33;1.14>,<1.33;1.14>,<0.93;0.93>,,,,,,
661,,80141,{11=1.3},1,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
662,,80141,{11=1.3},2,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
663,,80141,{11=1.3},3,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
664,,80141,{11=1.3},4,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
665,,80141,{11=1.3},5,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
666,,80141,{11=1.3},6,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
667,,80141,{11=1.3},7,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
668,,80141,{11=1.3},8,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
669,,80141,{11=1.3},9,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
670,,80141,{11=1.3},10,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
671,,80141,{11=1.3},11,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
672,,80141,{11=1.3},12,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
673,,80142,{11=1.1},1,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
674,,80142,{11=1.1},2,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
675,,80142,{11=1.1},3,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
676,,80142,{11=1.1},4,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
677,,80142,{11=1.1},5,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
678,,80142,{11=1.1},6,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
679,,80142,{11=1.1},7,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
680,,80142,{11=1.1},8,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
681,,80142,{11=1.1},9,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
682,,80142,{11=1.1},10,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
683,,80142,{11=1.1},11,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
684,,80142,{11=1.1},12,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
685,,80143,{11=1.1},1,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
686,,80143,{11=1.1},2,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
687,,80143,{11=1.1},3,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
688,,80143,{11=1.1},4,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
689,,80143,{11=1.1},5,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
690,,80143,{11=1.1},6,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
691,,80143,{11=1.1},7,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
692,,80143,{11=1.1},8,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
693,,80143,{11=1.1},9,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
694,,80143,{11=1.1},10,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
695,,80143,{11=1.1},11,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
696,,80143,{11=1.1},12,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
697,,80144,,1,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
698,,80144,,2,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
699,,80144,,3,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
700,,80144,,4,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
701,,80144,,5,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
702,,80144,,6,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
703,,80144,,7,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
704,,80144,,8,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
705,,80144,,9,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
706,,80144,,10,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
707,,80144,,11,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
708,,80144,,12,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
709,,80145,,1,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
710,,80145,,2,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
711,,80145,,3,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
712,,80145,,4,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
713,,80145,,5,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
714,,80145,,6,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
715,,80145,,7,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
716,,80145,,8,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
717,,80145,,9,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
718,,80145,,10,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
719,,80145,,11,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
720,,80145,,12,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
721,,80146,,1,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
722,,80146,,2,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
723,,80146,,3,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
724,,80146,,4,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
725,,80146,,5,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
726,,80146,,6,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
727,,80146,,7,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
728,,80146,,8,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
729,,80146,,9,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
730,,80146,,10,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
731,,80146,,11,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
732,,80146,,12,<3.04;2.58>,<1.2;1.34>,<1.2;1.34>,<1.6;1.37>,<1.6;1.37>,<0.95;0.95>,,,,,,
733,,80151,{11=1.1},1,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
734,,80151,{11=1.1},2,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
735,,80151,{11=1.1},3,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
736,,80151,{11=1.1},4,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
737,,80151,{11=1.1},5,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
738,,80151,{11=1.1},6,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
739,,80151,{11=1.1},7,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
740,,80151,{11=1.1},8,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
741,,80151,{11=1.1},9,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
742,,80151,{11=1.1},10,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
743,,80151,{11=1.1},11,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
744,,80151,{11=1.1},12,<1.78;1.51>,<0.7;0.78>,<0.7;0.78>,<0.93;0.8>,<0.93;0.8>,<0.89;0.89>,,,,,,
745,,80201,{8=1.1},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
746,,80201,{8=1.1},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
747,,80201,{8=1.1},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
748,,80201,{8=1.1},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
749,,80201,{8=1.1},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
750,,80201,{8=1.1},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
751,,80201,{8=1.1},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
752,,80201,{8=1.1},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
753,,80201,{8=1.1},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
754,,80201,{8=1.1},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
755,,80201,{8=1.1},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
756,,80201,{8=1.1},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
757,,80202,{11=1.3},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
758,,80202,{11=1.3},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
759,,80202,{11=1.3},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
760,,80202,{11=1.3},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
761,,80202,{11=1.3},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
762,,80202,{11=1.3},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
763,,80202,{11=1.3},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
764,,80202,{11=1.3},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
765,,80202,{11=1.3},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
766,,80202,{11=1.3},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
767,,80202,{11=1.3},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
768,,80202,{11=1.3},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
769,,80203,{11=1.1},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
770,,80203,{11=1.1},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
771,,80203,{11=1.1},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
772,,80203,{11=1.1},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
773,,80203,{11=1.1},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
774,,80203,{11=1.1},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
775,,80203,{11=1.1},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
