VariableName,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName_cn,roleName_tw,roleName,roleName_vn,roleName_kr,talkContent,talkContent_vn,talkContent_ma,talkContent_en,talkContent_ph,talkContent_th,talkContent_in,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
162,,,17,,,,,,,,,,,,,0.1,,,,,{y=100;x=-100},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the Hero Bag  ,Nhấn vào đây để vào Túi Anh Hùng,Klik di sini untuk masuk ke Beg Wira  ,Click here to enter the Hero Bag  ,Pindutin dito para pumasok sa Hero Bag  ,คลิกที่นี่เพื่อเข้าสู่กระเป๋าฮีโร่  ,Klik di sini untuk masuk ke Tas Pahlawan  ,,,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
163,,,17,,,,,,,,,,,,,0.1,,2,,,{y=0;x=-700},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to switch the shard bag  ,Bấm vào đây để chuyển đổi túi mảnh ghép,Klik di sini untuk bertukar beg kepingan  ,Click here to switch the shard bag  ,Pindutin dito para magpalit ng shard bag  ,คลิกที่นี่เพื่อเปลี่ยนกระเป๋าชิ้นส่วน  ,Klik di sini untuk mengganti tas pecahan  ,,,<btn2>,,effect/shouyindao.skel,150,,,,,,,,
164,,,17,,,,,,,,,,,,,0.1,,2,,,{y=400;x=-600},login/new_character/xiaozhushou.png,{y=400;x=0},,,,,,Click here to combine  ,Nhấn vào đây để tổng hợp,Klik di sini untuk gabungkan  ,Click here to combine  ,Pindutin dito para pag-isahin  ,คลิกที่นี่เพื่อรวม  ,Klik di sini untuk menggabungkan  ,,,<centerPanel;fragList;subList;fragItem1>,,effect/shouyindao.skel,,,,,,,,,
165,,,17,,,,,,,1,,,,,,0.1,,,,,{y=200;x=-600},login/new_character/xiaozhushou.png,{y=200;x=0},,,,,,Click here to confirm the merge  ,Bấm vào đây để xác nhận hợp nhất,Klik di sini untuk sahkan penggabungan  ,Click here to confirm the merge  ,Pindutin dito para kumpirmahin ang pagsasanib  ,คลิกที่นี่เพื่อยืนยันการรวม  ,Klik di sini untuk konfirmasi penggabungan  ,,,<btnOK>,,effect/shouyindao.skel,,,,,,,,,
166,,,17,,,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"We have recruited the first beauty from another world, the Love Paradise is open, let’s go check it out.  ","Chúng ta đã thu nạp được mỹ nữ dị giới đầu tiên, Thiên Đường Tình Ái đã mở, chúng ta cùng đi xem nào.","Kita telah memperoleh wanita cantik dari dunia lain yang pertama, Syurga Cinta telah dibuka, mari kita lihat bersama.  ","We have recruited the first beauty from another world, the Love Paradise is open, let’s go check it out.  ","Nakapag-recruit na tayo ng unang magandang babae mula sa ibang mundo, bukas na ang Love Paradise, tara na’t silipin.  ",เราได้เก็บหญิงงามจากต่างโลกคนแรกแล้ว สวรรค์แห่งรักเปิดแล้ว ไปดูกันเถอะ  ,"Kita telah merekrut wanita cantik dari dunia lain yang pertama, Surga Cinta telah dibuka, mari kita lihat.  ",,,,,,,,,,,,,,
167,,,17,,,,,,,,,,,1,,0.1,,2,,,{y=100;x=0},login/new_character/xiaozhushou.png,{y=100;x=0},,,,,,#C0xE77421#Click #C0x5B545B#here to return to the main interface,#C0xE77421#Nhấn vào #C0x5B545B#đây để quay lại giao diện chính,#C0xE77421#Klik #C0x5B545B#sini untuk kembali ke antara muka utama,#C0xE77421#Click #C0x5B545B#here to return to the main interface,#C0xE77421#Pindutin #C0x5B545B#dito para bumalik sa pangunahing interface,#C0xE77421#คลิก #C0x5B545B#ที่นี่เพื่อกลับสู่หน้าหลัก,#C0xE77421#Klik #C0x5B545B#di sini untuk kembali ke antarmuka utama,,,<rightTopClosePanel;back>,,effect/shouyindao.skel,,,,,,,,,
171,,,18,,city.view,,,finish(17) and not finish(19),,1,{30=10;31=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,20,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,20,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,20,,,,,,,,,,,1,,0.1,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Through breakthrough, the hero's combat power has increased significantly, let's continue fighting.  ","Thông qua đột phá, chiến lực của anh hùng đã được tăng lên đáng kể, chúng ta hãy tiếp tục chiến đấu nhé.","Melalui terobosan, kekuatan tempur wira telah meningkat dengan ketara, mari kita terus bertempur.  ","Through breakthrough, the hero's combat power has increased significantly, let's continue fighting.  ","Sa pamamagitan ng breakthrough, ang lakas sa laban ng bayani ay tumaas nang malaki, magpatuloy tayo sa laban.  ",ผ่านการบุกทะลวงแล้ว พลังการต่อสู้ของฮีโร่เพิ่มขึ้นอย่างมาก เรามาต่อสู้กันต่อเถอะ  ,"Melalui terobosan, kekuatan tempur pahlawan telah meningkat secara signifikan, mari kita lanjutkan bertarung.  ",,,,,effect/shouyindao.skel,,,,,,,,,
200,,,21,,,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Next, let's continue the adventure.  ","Tiếp theo, chúng ta hãy tiếp tục cuộc phiêu lưu.","Seterusnya, mari kita teruskan pengembaraan.  ","Next, let's continue the adventure.  ","Susunod, magpatuloy tayo sa paglalakbay.  ",ต่อไปเรามาเดินทางผจญภัยกันต่อ  ,"Selanjutnya, mari kita lanjutkan petualangan.  ",,,,,,,,,,,,,,
201,,,21,,,,,,,,,,,,,,,,,,{y=250;x=450},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the stage.  ,Bấm vào đây để vào màn chơi,Klik di sini untuk masuk ke peringkat.  ,Click here to enter the stage.  ,Pindutin dito para pumasok sa stage.  ,คลิกที่นี่เพื่อเข้าสู่ด่าน  ,Klik di sini untuk masuk ke level.  ,,,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
202,,,21,,,,,,,,,,,,,1,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"A treasure chest has appeared on the map, let's hurry and claim it.  ","Trên bản đồ xuất hiện rương báu, chúng ta nhanh đi nhận thôi.","Pada peta muncul peti harta karun, mari cepat ambil.  ","A treasure chest has appeared on the map, let's hurry and claim it.  ","May lumitaw na treasure chest sa mapa, dali na nating kunin.  ",บนแผนที่มีหีบสมบัติปรากฏขึ้น มารีบไปรับกันเถอะ  ,"Di peta muncul peti harta karun, ayo segera ambil.  ",,,,,,,,,,,,,,
203,,,21,,,,,,,,,,,,,,,2,,,{y=400;x=0},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to receive the gift box.,Bấm vào đây để nhận hộp quà,Klik di sini untuk menerima kotak hadiah.,Click here to receive the gift box.,Pindutin dito para tanggapin ang gift box.,คลิกที่นี่เพื่อรับกล่องของขวัญ,Klik di sini untuk menerima kotak hadiah.,,,<pageView;page1;box1>,,effect/shouyindao.skel,,,,,,,,,
204,,,21,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,21,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,21,,,,,,,,,,,,213,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,Keep fighting.  ,Tiếp tục chiến đấu đi.,Teruskan bertempur.  ,Keep fighting.  ,Magpatuloy sa pakikipaglaban.  ,ต่อสู้ต่อไป  ,Lanjutkan bertarung.  ,,,,,,,,,,,,,,
211,,,22,,,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Next, let's continue the adventure.  ","Tiếp theo, chúng ta hãy tiếp tục cuộc phiêu lưu.","Seterusnya, mari kita teruskan pengembaraan.  ","Next, let's continue the adventure.  ","Susunod, magpatuloy tayo sa paglalakbay.  ",ต่อไปเรามาเดินทางผจญภัยกันต่อ  ,"Selanjutnya, mari kita lanjutkan petualangan.  ",,,,,,,,,,,,,,
212,,,22,,,,,,,,,,,,,,,,,,{y=250;x=450},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the stage.  ,Nhấn vào đây để vào màn chơi,Klik di sini untuk masuk ke peringkat.  ,Click here to enter the stage.  ,Pindutin dito para pumasok sa stage.  ,คลิกที่นี่เพื่อเข้าสู่ด่าน  ,Klik di sini untuk masuk ke level.  ,,,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
213,,,22,,,,,,,,,,,,,1,,2,,,{y=300;x=0},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to select the stage you want to enter.  ,Nhấn vào đây để chọn màn chơi bạn muốn vào,Klik di sini untuk memilih peringkat yang anda mahu masuk.  ,Click here to select the stage you want to enter.  ,Pindutin dito para pumili ng stage na gusto mong pasukin.  ,คลิกที่นี่เพื่อเลือกด่านที่คุณต้องการเข้า  ,Klik di sini untuk memilih level yang ingin kamu masuki.  ,,,<pageView;page1;gate3>,,effect/shouyindao.skel,,,,,,,,,
214,,,22,,,,,,,,,,,,,0.1,,,,,{y=0;x=100},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here for us to start preparing for battle.  ,Nhấn vào đây để chúng ta bắt đầu chuẩn bị cho trận chiến.,Klik di sini untuk kita mula bersedia untuk pertempuran.  ,Click here for us to start preparing for battle.  ,Pindutin dito para magsimula tayo maghanda para sa laban.  ,คลิกที่นี่เพื่อเราเริ่มเตรียมตัวสำหรับการต่อสู้  ,Klik di sini untuk kita mulai mempersiapkan pertempuran.  ,,,<rightDown;btnChallenge>,,effect/shouyindao.skel,,,,,,,,,
215,,,22,,,,,,,,,,,,,0.1,,,,,{y=0;x=100},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Put the new heroes into the lineup and fight together.  ,Hãy đưa các anh hùng mới vào đội hình và cùng nhau chiến đấu.,Masukkan wira baru ke dalam barisan dan bertempur bersama-sama.  ,Put the new heroes into the lineup and fight together.  ,Ilagay ang mga bagong bayani sa lineup at lumaban nang sama-sama.  ,จัดฮีโร่ใหม่เข้าทีมและต่อสู้ไปด้วยกัน  ,Masukkan pahlawan baru ke dalam formasi dan bertarung bersama.  ,,,<list;item3>,,effect/shouyindao.skel,,,,,,,,,
216,,,22,,,,,,,3,,,,,,0.1,,,,,{y=150;x=0},login/new_character/xiaozhushou.png,,,,,,,"Your lineup is ready, click here to start the battle.","Đội hình của bạn đã sẵn sàng, hãy nhấp vào đây để bắt đầu trận chiến.","Barisan anda sudah siap, klik di sini untuk memulakan pertempuran.","Your lineup is ready, click here to start the battle.","Handa na ang iyong lineup, pindutin dito para simulan ang laban.",ทีมของคุณพร้อมแล้ว คลิกที่นี่เพื่อเริ่มการต่อสู้,"Formasi kamu sudah siap, klik di sini untuk memulai pertempuran.",,,<btnChallenge>,,effect/shouyindao.skel,,,,,,,,,
221,,,23,,battle.battle_end.win,4,,finish(22) and not finish(24),,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,23,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,<back>,,,,,,,,,,,
223,,,23,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,<dungeonsBtn>,,effect/shouyindao.skel,,,,,,,,,
230,,,24,,,,,,,,,,,,,,,,,,{y=400;x=-100},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the stage  ,Bấm vào đây để vào màn chơi,Klik di sini untuk masuk ke peringkat  ,Click here to enter the stage  ,Pindutin dito para pumasok sa stage  ,คลิกที่นี่เพื่อเข้าสู่ด่าน  ,Klik di sini untuk masuk ke level  ,,,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
231,,,24,,,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Oh wow, there is a new star chest to claim, clear dungeon levels to accumulate stars, enough stars let you claim the star chest.  ","Ôi chao, có rương sao mới để nhận rồi này, vượt ải phó bản có thể tích lũy sao, đủ sao là có thể nhận rương sao đó nha.","Wah, ada peti bintang baru untuk diterima, tamatkan tahap dungeon untuk mengumpul bintang, cukup bintang boleh dapat peti bintang itu.  ","Oh wow, there is a new star chest to claim, clear dungeon levels to accumulate stars, enough stars let you claim the star chest.  ","Naku, may bagong star chest na pwedeng kunin, tapusin ang dungeon stages para makalikom ng stars, kapag sapat na ang stars pwede mo nang kunin ang star chest.  ",โอ้โห มีหีบดาวใหม่ให้รับแล้วนะ เคลียร์ด่านดันเจี้ยนเพื่อสะสมดาว ครบดาวแล้วจะได้รับหีบดาวนั้น  ,"Wah, ada peti bintang baru untuk diterima, selesaikan level dungeon untuk mengumpulkan bintang, cukup bintang bisa mendapatkan peti bintang itu.  ",,,,,,,,,,,,,,
232,,,24,,,,,,,,,,,,,,,,,,{y=200;x=250},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to open the Star Chest  ,Nhấn vào đây để mở Rương Sao,Klik di sini untuk buka Peti Bintang  ,Click here to open the Star Chest  ,Pindutin dito para buksan ang Star Chest  ,คลิกที่นี่เพื่อเปิดหีบดาว  ,Klik di sini untuk buka Peti Bintang  ,,,<rightDown>,,effect/shouyindao.skel,,,,,,,,,
233,,,24,,,,,,,1,,,,,,0.2,,,,,{y=0;x=-650},login/new_character/xiaozhushou.png,{y=300;x=-400},,,,,,Click here to receive rewards  ,Bấm vào đây để nhận thưởng,Klik di sini untuk terima ganjaran  ,Click here to receive rewards  ,Pindutin dito para tanggapin ang reward  ,คลิกที่นี่เพื่อรับรางวัล  ,Klik di sini untuk terima hadiah  ,,,<btnGet>,,effect/shouyindao.skel,,,,,{width=6240;dx=0;height=2880;dy=0},,,,
234,,,24,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,24,,,,,,,,,,,,,0.1,,,,,{y=400;x=0},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to close the interface  ,Nhấn vào đây để đóng giao diện,Klik di sini untuk tutup antara muka  ,Click here to close the interface  ,Pindutin dito para isara ang interface  ,คลิกที่นี่เพื่อปิดหน้าต่าง  ,Klik di sini untuk tutup antarmuka  ,,,<title;btnClose>,,effect/shouyindao.skel,,,,,,,,,
236,,,24,,,,,,,,,,,,340,0.1,,2,,,{y=300;x=0},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to close the interface  ,Nhấn vào đây để đóng giao diện,Klik di sini untuk tutup antara muka  ,Click here to close the interface  ,Pindutin dito para isara ang interface  ,คลิกที่นี่เพื่อปิดหน้าต่าง  ,Klik di sini untuk tutup antarmuka  ,,,<rightTopClosePanel;back>,,effect/shouyindao.skel,,,,,,,,,
340,,,25,,city.view,,,finish(24),,,,,,,,,2,2,<888>,,,,,,,,,,"We are very glad that you have mastered the combat and development skills, taking a big step closer to the goal of saving the world.  ","Rất vui vì bạn đã nắm vững các kỹ năng chiến đấu và phát triển, tiến thêm một bước lớn nữa đến mục tiêu cứu thế giới.","Kami sangat gembira kerana anda telah menguasai kemahiran bertempur dan berkembang, melangkah satu tahap besar lagi ke matlamat menyelamatkan dunia.  ","We are very glad that you have mastered the combat and development skills, taking a big step closer to the goal of saving the world.  ","Masaya kami na na-master mo na ang mga kakayahan sa laban at pag-unlad, isa kang malaking hakbang na papalapit sa layunin na iligtas ang mundo.  ",เราดีใจมากที่คุณเชี่ยวชาญทักษะการต่อสู้และพัฒนา ก้าวไปอีกขั้นใหญ่สู่เป้าหมายช่วยโลก  ,"Kami sangat senang Anda telah menguasai keterampilan bertarung dan berkembang, melangkah lebih dekat ke tujuan menyelamatkan dunia.  ",,,,,,,,,,,,,,
341,,,25,,,,,,,,,,,,,,2,2,<888>,,,,,,,,,,"Next, we will continue the adventure, but before that, I want to give you a small graduation gift!","Tiếp theo, chúng ta sẽ tiếp tục lên đường cho cuộc phiêu lưu, trước khi đó, tôi xin tặng bạn một món quà nhỏ tốt nghiệp!","Seterusnya, kita akan terus memulakan pengembaraan, sebelum itu, saya mahu beri anda hadiah kecil untuk tamat pengajian!","Next, we will continue the adventure, but before that, I want to give you a small graduation gift!","Susunod, ipagpapatuloy natin ang paglalakbay, pero bago yan, gusto kong bigyan ka ng maliit na regalo para sa pagtatapos!",ต่อไปเราจะเดินทางผจญภัยต่อ แต่ก่อนอื่น ฉันมีของขวัญจบการศึกษาเล็กๆ ให้คุณ,"Selanjutnya, kita akan melanjutkan petualangan, tapi sebelum itu, saya ingin memberikan hadiah kecil kelulusan untuk Anda!",,,,,,,,,,,,,,
342,,,25,,,,,,,1,{rmb=50},,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,,,50,,all,,10202,,,1,{gold=30000},,,1,501,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Congratulations on unlocking the jewelry feature, upgrading jewelry can increase character attributes.","Chúc mừng bạn đã mở khóa tính năng trang sức, thông qua việc nâng cấp trang sức có thể tăng các thuộc tính của nhân vật.","Tahniah kerana membuka ciri barang kemas, menaik taraf barang kemas boleh meningkatkan atribut watak.","Congratulations on unlocking the jewelry feature, upgrading jewelry can increase character attributes.","Binabati kita sa pagbukas ng tampok na alahas, sa pamamagitan ng pag-upgrade ng alahas maaari mong pataasin ang mga katangian ng karakter.",ขอแสดงความยินดีที่คุณปลดล็อกฟีเจอร์เครื่องประดับ การอัปเกรดเครื่องประดับสามารถเพิ่มคุณสมบัติของตัวละครได้,"Selamat Anda telah membuka fitur perhiasan, melalui peningkatan perhiasan dapat meningkatkan atribut karakter.",,,,,,,,,,,,,,
501,,,51,,all,,10202,,,,,,,1,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Congratulations on unlocking the jewelry feature, upgrading jewelry can increase character attributes.","Chúc mừng bạn đã mở khóa tính năng trang sức, thông qua việc nâng cấp trang sức có thể tăng các thuộc tính của nhân vật.","Tahniah kerana membuka ciri barang kemas, menaik taraf barang kemas boleh meningkatkan atribut watak.","Congratulations on unlocking the jewelry feature, upgrading jewelry can increase character attributes.","Binabati kita sa pagbukas ng tampok na alahas, sa pamamagitan ng pag-upgrade ng alahas maaari mong pataasin ang mga katangian ng karakter.",ขอแสดงความยินดีที่คุณปลดล็อกฟีเจอร์เครื่องประดับ การอัปเกรดเครื่องประดับสามารถเพิ่มคุณสมบัติของตัวละครได้,"Selamat Anda telah membuka fitur perhiasan, melalui peningkatan perhiasan dapat meningkatkan atribut karakter.",,,,,,,,,,,,,,
502,,,51,,,,,,,,,,,,,0.1,,,,,{y=100;x=-100},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the Hero Bag,Bấm vào đây để vào Túi Anh Hùng,Klik di sini untuk masuk ke Beg Wira,Click here to enter the Hero Bag,Pindutin dito para pumasok sa Bag ng Bayani,คลิกที่นี่เพื่อเข้าสู่กระเป๋าฮีโร่,Klik di sini untuk masuk ke Tas Pahlawan,,,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
503,,,51,,,,,,,,,,,,,0.1,,2,,,{y=250;x=-700},login/new_character/xiaozhushou.png,{y=400;x=0},,,,,,Click here to enter the hero enhancement interface,Bấm vào đây để vào giao diện cường hóa anh hùng,Klik di sini untuk masuk ke antara muka peningkatan wira,Click here to enter the hero enhancement interface,Pindutin dito para pumasok sa interface ng pagpapalakas ng bayani,คลิกที่นี่เพื่อเข้าสู่หน้าจอเพิ่มพลังฮีโร่,Klik di sini untuk masuk ke antarmuka peningkatan pahlawan,,,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
504,,,51,,,,,,,,,,,,,0.1,,,,,{y=400;x=-300},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Press here to open the jewelry interface,Nhấn vào đây để mở giao diện trang sức,Tekan di sini untuk membuka antara muka barang kemas,Press here to open the jewelry interface,Pindutin dito para buksan ang interface ng alahas,กดที่นี่เพื่อเปิดหน้าจอเครื่องประดับ,Tekan di sini untuk membuka antarmuka perhiasan,,,<left;btnEquip>,,effect/shouyindao.skel,,,,,,,,,
505,,,51,,,,,,,1,,,,,514,0.1,,,,,{y=0;x=-100},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enhance jewelry,Bấm vào đây để cường hóa trang sức,Klik di sini untuk menaik taraf barang kemas,Click here to enhance jewelry,Pindutin dito para i-upgrade ang alahas,คลิกที่นี่เพื่ออัปเกรดเครื่องประดับ,Klik di sini untuk tingkatkan perhiasan,,,<strengthenPanel;btnStrengthen>,,effect/shouyindao.skel,,,,,,,,,
511,,,52,,all,,10202,,,,,,,,,0.1,,,,,{y=100;x=-100},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the Hero Bag,Bấm vào đây để vào Túi Anh Hùng,Klik di sini untuk masuk ke Beg Wira,Click here to enter the Hero Bag,Pindutin dito para pumasok sa Bag ng Bayani,คลิกที่นี่เพื่อเข้าสู่กระเป๋าฮีโร่,Klik di sini untuk masuk ke Tas Pahlawan,,,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
512,,,52,,,,,,,,,,,,,0.1,,2,,,{y=250;x=-700},login/new_character/xiaozhushou.png,{y=400;x=0},,,,,,Click here to enter the hero enhancement interface,Bấm vào đây để vào giao diện cường hóa anh hùng,Klik di sini untuk masuk ke antara muka peningkatan wira,Click here to enter the hero enhancement interface,Pindutin dito para pumasok sa interface ng pagpapalakas ng bayani,คลิกที่นี่เพื่อเข้าสู่หน้าจอเพิ่มพลังฮีโร่,Klik di sini untuk masuk ke antarmuka peningkatan pahlawan,,,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
513,,,52,,,,,,,,,,,,,0.1,,,,,{y=400;x=-300},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Press here to open the jewelry interface,Nhấn vào đây để mở giao diện trang sức,Tekan di sini untuk membuka antara muka barang kemas,Press here to open the jewelry interface,Pindutin dito para buksan ang interface ng alahas,กดที่นี่เพื่อเปิดหน้าจอเครื่องประดับ,Tekan di sini untuk membuka antarmuka perhiasan,,,<left;btnEquip;btn>,,effect/shouyindao.skel,,,,,,,,,
514,,,52,,,,,,,1,,,,,,0.1,,,,,{y=50;x=-400},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Press here to enhance jewelry once.,Nhấn vào đây để cường hóa trang sức một lần.,Tekan di sini untuk menaik taraf barang kemas sekali.,Press here to enhance jewelry once.,Pindutin dito para i-upgrade ang alahas ng isang beses.,กดที่นี่เพื่ออัปเกรดเครื่องประดับครั้งเดียว,Tekan di sini untuk tingkatkan perhiasan sekali.,,,<strengthenPanel;btnOne>,,effect/shouyindao.skel,,,,,,,,,
601,,,60,,all,,10204,,,,,,,1,,0.1,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Next, let's challenge the hard stages together.","Tiếp theo, chúng ta hãy cùng nhau thử thách những màn chơi khó.","Seterusnya, mari kita cuba cabaran tahap sukar bersama.","Next, let's challenge the hard stages together.","Sunod, subukan nating harapin ang mga mahihirap na yugto nang magkasama.",ต่อไป มาท้าทายด่านยากด้วยกัน,"Selanjutnya, mari kita coba tantangan level sulit bersama.",,,,,,,,,,,,,,
602,,,60,,,,,,,,,,,,,,,,,,{y=250;x=450},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the stage,Bấm vào đây để vào màn chơi,Klik di sini untuk masuk ke tahap,Click here to enter the stage,Pindutin dito para pumasok sa yugto,คลิกที่นี่เพื่อเข้าสู่ด่าน,Klik di sini untuk masuk ke level,,,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
603,,,60,,,,,,,,,,,,,1,,2,,,{y=100;x=-300},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Press here to switch to hard stage,Nhấn vào đây để chuyển sang màn chơi khó,Tekan di sini untuk bertukar ke tahap sukar,Press here to switch to hard stage,Pindutin dito para lumipat sa mahirap na yugto,กดที่นี่เพื่อเปลี่ยนไปด่านยาก,Tekan di sini untuk pindah ke level sulit,,,<leftDown;btnDiffect>,,effect/shouyindao.skel,150,,,,,,,,
604,,,60,,,,,,,1,,,,,,2,,2,,,{y=300;x=0},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Press here to select the stage you want to enter,Nhấn vào đây để chọn màn chơi bạn muốn vào,Tekan di sini untuk pilih tahap yang anda ingin masuk,Press here to select the stage you want to enter,Pindutin dito para piliin ang yugto na gusto mong pasukin,กดที่นี่เพื่อเลือกด่านที่คุณต้องการเข้า,Tekan di sini untuk pilih level yang ingin kamu masuki,,,<pageView;page1;gate1>,,effect/shouyindao.skel,,,,,,,,,
651,,,65,,all,,20101,,,,,,,1,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Clearing hard stages not only drops items, but also jewelry enhancement badges! Try upgrading your jewelry!","Vượt ải khó không chỉ có vật phẩm rơi ra, mà còn có huy hiệu cường hóa trang sức nữa đó! Thử nâng cấp trang sức xem sao!","Menyelesaikan tahap sukar bukan sahaja memberikan item, malah juga lencana peningkatan barang kemas! Cuba tingkatkan barang kemas anda!","Clearing hard stages not only drops items, but also jewelry enhancement badges! Try upgrading your jewelry!","Ang pagdaig sa mahihirap na yugto ay hindi lang naglalabas ng mga item, may mga badge din para sa pagpapalakas ng alahas! Subukan mong i-upgrade ang iyong alahas!",การผ่านด่านยากไม่เพียงแต่จะได้รับไอเทมเท่านั้น แต่ยังได้รับเหรียญเพิ่มพลังเครื่องประดับด้วย! ลองอัปเกรดเครื่องประดับดูสิ!,"Menyelesaikan tahap sulit tidak hanya mendapatkan item, tetapi juga lencana peningkatan perhiasan! Coba tingkatkan perhiasanmu!",,,,,,,,,,,,,,
652,,,65,,,,,,,,,,,,,0.1,,,,,{y=100;x=-100},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Press here to enter the Hero Bag,Nhấn vào đây để vào Túi Anh Hùng,Tekan di sini untuk masuk ke Beg Wira,Press here to enter the Hero Bag,Pindutin dito para pumasok sa Bag ng Bayani,กดที่นี่เพื่อเข้าสู่กระเป๋าฮีโร่,Tekan di sini untuk masuk ke Tas Pahlawan,,,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
653,,,65,,,,,,,,,,,,,0.1,,2,,,{y=250;x=-700},login/new_character/xiaozhushou.png,{y=400;x=0},,,,,,Click here to enter the hero enhancement interface,Bấm vào đây để vào giao diện cường hóa anh hùng,Klik di sini untuk masuk ke antara muka peningkatan wira,Click here to enter the hero enhancement interface,Pindutin dito para pumasok sa interface ng pagpapalakas ng bayani,คลิกที่นี่เพื่อเข้าสู่หน้าจอเพิ่มพลังฮีโร่,Klik di sini untuk masuk ke antarmuka peningkatan pahlawan,,,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
