VariableName,name,name_ma,name_en,name_th,name_ph,name_in,name_vn,icon,headIcon,treeID,attrDesc,attrDesc_ma,attrDesc_en,attrDesc_th,attrDesc_ph,attrDesc_in,attrDesc_vn,attrAddDesc1,attrAddDesc1_ma,attrAddDesc1_en,attrAddDesc1_th,attrAddDesc1_ph,attrAddDesc1_in,attrAddDesc1_vn,attrAddDesc2_cn,attrAddDesc2_en,attrAddDesc2,attrAddDesc2_vn,attrAddDesc2_th,attrAddDesc2_in,attrAddDesc2_ph,attrAddDesc2_ma,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
311,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cx.png,3,Increase damage reduction from all Wind skills for heroes,Tingkatkan pengurangan damage dari semua skill elemen Angin,Increase damage reduction from all Wind skills for heroes,เพิ่มลดความเสียหายจากสกิลธาตุลมของฮีโร่,Dagdag bawas pinsala mula sa lahat ng Wind na skill ng bayani,Meningkatkan pengurangan damage dari semua skill elemen Angin,Tăng khả năng giảm sát thương của tất cả kỹ năng hệ Phong Tốc của tướng.,Reduce increased damage from Wind skills,Kurangkan peningkatan kerosakan dari skill Elemen Angin,Reduce increased damage from Wind skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลธาตุลม,Bawas dagdag damage mula sa Wind skills,Kurangi peningkatan damage dari skill Elemen Angin,Giảm sát thương từ kỹ năng hệ Tật Phong tăng lên.,,,,,,,,,,310,7,65,7,3,,,57,100,,,,,
312,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_dq.png,3,Increase HP for all Thunder heroes,Tambah HP untuk semua hero elemen Petir,Increase HP for all Thunder heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุสายฟ้าทั้งหมด,Dagdag HP para sa lahat ng Thunder heroes,Meningkatkan HP untuk semua hero elemen Petir,Tăng máu cho tất cả các tướng hệ Lôi Đình,Increase lifespan,Tambah jangka hayat,Increase lifespan,เพิ่มอายุการใช้งาน,Dagdag lifespan,Tambah umur pakai,Gia tăng tuổi thọ,,,,,,,,,,,,65,5,4,5,,1,0.50%,,,,,
313,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dq.png,3,Enhance lightning damage for all hero skills,Tingkatkan damage petir untuk semua skill hero,Enhance lightning damage for all hero skills,เสริมความเสียหายจากสกิลสายฟ้าของฮีโร่ทั้งหมด,Pinalakas ang damage ng kidlat para sa lahat ng skill ng bayani,Meningkatkan damage petir untuk semua skill hero,Tăng cường thêm sát thương sét cho tất cả các kỹ năng của tướng.,Increase buff damage for Thunder skills,Tambah buff kerosakan untuk skill Elemen Petir,Increase buff damage for Thunder skills,เพิ่มบัฟความเสียหายของสกิลสายฟ้า,Dagdag buff ng damage sa Thunder skills,Tambah buff damage untuk skill Elemen Petir,Tăng thêm buff sát thương kỹ năng hệ Lôi Đình.,,,,,,,,,,312,7,65,6,3,,,40,100,,,,,
314,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dq.png,3,Increase damage reduction from Thunder skills for all heroes,Tingkatkan pengurangan damage dari skill elemen Petir untuk semua hero,Increase damage reduction from Thunder skills for all heroes,เพิ่มลดความเสียหายจากสกิลสายฟ้าของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa lahat ng Thunder na skill ng bayani,Meningkatkan pengurangan damage dari skill elemen Petir untuk semua hero,Tăng khả năng giảm sát thương Lôi hệ của tất cả các tướng.,Reduce increased damage from Thunder skills,Kurangkan peningkatan kerosakan dari skill Elemen Petir,Reduce increased damage from Thunder skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลสายฟ้า,Bawas dagdag damage mula sa Thunder skills,Kurangi peningkatan damage dari skill Elemen Petir,Giảm sát thương từ kỹ năng hệ Lôi tăng lên.,,,,,,,,,,313,7,65,7,3,,,58,100,,,,,
315,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_bx.png,3,Increase HP for all Ice heroes,Tambah HP untuk semua hero elemen Ais,Increase HP for all Ice heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุน้ำแข็งทั้งหมด,Dagdag HP para sa lahat ng Ice heroes,Meningkatkan HP untuk semua hero elemen Es,Tăng máu cho tất cả các tướng hệ Băng.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,6,,1,0.50%,,,,,
316,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_bx.png,3,Enhance all Ice skill damage for all heroes,Tingkatkan semua damage skill elemen Ais untuk semua hero,Enhance all Ice skill damage for all heroes,เสริมความเสียหายจากสกิลน้ำแข็งของฮีโร่ทั้งหมด,Pinalakas ang damage ng lahat ng Ice na skill ng bayani,Meningkatkan semua damage skill elemen Es untuk semua hero,Tăng cường thêm sát thương kỹ năng hệ Băng cho tất cả tướng.,Increase buff damage for Ice skills,Tambah buff kerosakan untuk skill Elemen Ais,Increase buff damage for Ice skills,เพิ่มบัฟความเสียหายของสกิลน้ำแข็ง,Dagdag buff ng damage sa Ice skills,Tambah buff damage untuk skill Elemen Es,Tăng thêm buff sát thương kỹ năng hệ Băng Sương,,,,,,,,,,315,7,65,6,3,,,41,100,,,,,
317,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_bx.png,3,Increase damage reduction from Ice skills for all heroes,Tingkatkan pengurangan damage dari skill elemen Ais untuk semua hero,Increase damage reduction from Ice skills for all heroes,เพิ่มลดความเสียหายจากสกิลน้ำแข็งของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa lahat ng Ice na skill ng bayani,Meningkatkan pengurangan damage dari skill elemen Es untuk semua hero,Tăng khả năng giảm sát thương kỹ năng hệ Băng của tất cả tướng.,Reduce increased damage from Ice skills,Kurangkan peningkatan kerosakan dari skill Elemen Ais,Reduce increased damage from Ice skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลน้ำแข็ง,Bawas dagdag damage mula sa Ice skills,Kurangi peningkatan damage dari skill Elemen Es,Giảm sát thương kỹ năng hệ Băng tăng lên.,,,,,,,,,,316,7,65,7,3,,,59,100,,,,,
318,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_gd.png,3,Increase HP for all Warrior heroes,Tambah HP untuk semua hero jenis Pejuang,Increase HP for all Warrior heroes,เพิ่มพลังชีวิตให้ฮีโร่สายต่อสู้ทั้งหมด,Dagdag HP para sa lahat ng Warrior heroes,Meningkatkan HP untuk semua hero tipe Petarung,Tăng máu cho tất cả tướng hệ Đấu Sĩ.,Increase lifespan,Tambah jangka hayat,Increase lifespan,เพิ่มอายุการใช้งาน,Dagdag lifespan,Tambah umur pakai,Gia tăng tuổi thọ,,,,,,,,,,,,65,5,4,7,,1,0.50%,,,,,
319,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_gd.png,3,Enhance all combat skill damage effects for heroes,Tingkatkan semua kesan damage skill Pejuang untuk hero,Enhance all combat skill damage effects for heroes,เสริมเอฟเฟกต์ความเสียหายจากสกิลต่อสู้ของฮีโร่ทั้งหมด,Pinalakas ang lahat ng epekto ng damage ng mga fighting skill ng bayani,Meningkatkan semua efek damage skill pertarungan untuk hero,Tăng cường tất cả các hiệu ứng sát thương kỹ năng đánh nhau của tướng.,Increase damage bonus for combat skills,Tambah bonus kerosakan untuk skill tempur,Increase damage bonus for combat skills,เพิ่มโบนัสความเสียหายของสกิลต่อสู้,Dagdag bonus damage sa combat skills,Tambah bonus damage untuk skill pertarungan,Tăng phần thưởng sát thương của kỹ năng chiến đấu,,,,,,,,,,318,7,65,6,3,,,42,100,,,,,
320,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_gd.png,3,Increase damage reduction from all Warrior skills for heroes,Tingkatkan pengurangan damage dari semua skill jenis Pejuang,Increase damage reduction from all Warrior skills for heroes,เพิ่มลดความเสียหายจากสกิลต่อสู้ของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa lahat ng Warrior na skill ng bayani,Meningkatkan pengurangan damage dari semua skill tipe Petarung,Tăng khả năng giảm sát thương của tất cả các kỹ năng hệ Đấu Sĩ của tướng.,Increase damage reduction for combat skills,Tambah pengurangan kerosakan untuk skill tempur,Increase damage reduction for combat skills,เพิ่มการลดความเสียหายของสกิลต่อสู้,Dagdag bawas damage sa combat skills,Tambah pengurangan damage untuk skill pertarungan,Tăng khả năng giảm sát thương cho các kỹ năng chiến đấu,,,,,,,,,,319,7,65,7,3,,,60,100,,,,,
321,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_dx.png,3,Increase HP for all Poison heroes,Tambah HP untuk semua hero jenis Racun,Increase HP for all Poison heroes,เพิ่มพลังชีวิตให้ฮีโร่สายพิษทั้งหมด,Dagdag HP para sa lahat ng Poison heroes,Meningkatkan HP untuk semua hero tipe Racun,Tăng máu cho tất cả tướng hệ Độc.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,8,,1,0.50%,,,,,
322,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dx.png,3,Enhance all poison damage stacking effects for heroes,Tingkatkan semua kesan tumpukan damage racun untuk hero,Enhance all poison damage stacking effects for heroes,เสริมเอฟเฟกต์สะสมความเสียหายจากพิษของฮีโร่ทั้งหมด,Pinalakas ang lahat ng epekto ng stacked poison damage ng bayani,Meningkatkan semua efek tumpukan damage racun untuk hero,Tăng cường tất cả các hiệu ứng cộng dồn sát thương độc của tướng.,Increase buff damage for Poison skills,Tambah buff kerosakan untuk skill Racun,Increase buff damage for Poison skills,เพิ่มบัฟความเสียหายของสกิลพิษ,Dagdag buff ng damage sa Poison skills,Tambah buff damage untuk skill Racun,Tăng thêm buff sát thương kỹ năng hệ Kịch Độc.,,,,,,,,,,321,7,65,6,3,,,43,100,,,,,
323,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dx.png,3,Increase damage reduction from poison effects for all heroes,Tingkatkan pengurangan damage dari kesan racun untuk semua hero,Increase damage reduction from poison effects for all heroes,เพิ่มลดความเสียหายจากพิษของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa poison effects para sa lahat ng bayani,Meningkatkan pengurangan damage dari efek racun untuk semua hero,Tăng khả năng giảm sát thương độc tố của tất cả các tướng,Reduce increased damage from Poison skills,Kurangkan peningkatan kerosakan dari skill Racun,Reduce increased damage from Poison skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลพิษ,Bawas dagdag damage mula sa Poison skills,Kurangi peningkatan damage dari skill Racun,Giảm sát thương kỹ năng hệ kịch độc tăng lên,,,,,,,,,,322,7,65,7,3,,,61,100,,,,,
324,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_dm.png,3,Increase HP for all Earth heroes,Tambah HP untuk semua hero elemen Bumi,Increase HP for all Earth heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุดินทั้งหมด,Dagdag HP para sa lahat ng Earth heroes,Meningkatkan HP untuk semua hero elemen Tanah,Tăng máu cho tất cả các tướng hệ Địa.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Gia tăng sinh lực,,,,,,,,,,,,65,5,4,9,,1,0.50%,,,,,
325,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dm.png,3,Enhance all Earth skill damage buffs for heroes,Tingkatkan semua buff damage skill elemen Bumi,Enhance all Earth skill damage buffs for heroes,เสริมบัฟความเสียหายจากสกิลธาตุดินของฮีโร่ทั้งหมด,Pinalakas ang lahat ng buff ng damage mula sa Earth skills ng bayani,Meningkatkan semua buff damage skill elemen Tanah,Tăng cường tất cả buff sát thương kỹ năng hệ mặt đất của tướng.,Increase buff damage for Earth skills,Tambah buff kerosakan untuk skill Elemen Tanah,Increase buff damage for Earth skills,เพิ่มบัฟความเสียหายของสกิลธาตุดิน,Dagdag buff ng damage sa Earth skills,Tambah buff damage untuk skill Elemen Tanah,Tăng thêm buff sát thương kỹ năng hệ Đất.,,,,,,,,,,324,7,65,6,3,,,44,100,,,,,
326,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dm.png,3,Increase damage reduction from Earth skills for all heroes,Tingkatkan pengurangan damage dari skill elemen Bumi untuk semua hero,Increase damage reduction from Earth skills for all heroes,เพิ่มลดความเสียหายจากสกิลธาตุดินของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa Earth skills para sa lahat ng bayani,Meningkatkan pengurangan damage dari skill elemen Tanah untuk semua hero,Tăng khả năng giảm sát thương kỹ năng hệ Địa lên tất cả tướng,Reduce increased damage from Earth skills,Kurangkan peningkatan kerosakan dari skill Elemen Tanah,Reduce increased damage from Earth skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลธาตุดิน,Bawas dagdag damage mula sa Earth skills,Kurangi peningkatan damage dari skill Elemen Tanah,Giảm sát thương từ kỹ năng hệ Đất tăng lên,,,,,,,,,,325,7,65,7,3,,,62,100,,,,,
327,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_fx.png,3,Increase HP for all Flying heroes,Tambah HP untuk semua hero jenis Terbang,Increase HP for all Flying heroes,เพิ่มพลังชีวิตให้ฮีโร่สายบินทั้งหมด,Dagdag HP para sa lahat ng Flying heroes,Meningkatkan HP untuk semua hero tipe Terbang,Tăng máu cho tất cả các tướng hệ Phi Hành.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,10,,1,0.50%,,,,,
328,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_fx.png,3,Enhance all Flying skill damage effects for heroes,Tingkatkan semua kesan damage skill jenis Terbang,Enhance all Flying skill damage effects for heroes,เสริมเอฟเฟกต์ความเสียหายจากสกิลสายบินของฮีโร่ทั้งหมด,Pinalakas ang lahat ng epekto ng damage mula sa Flying skills ng bayani,Meningkatkan semua efek damage skill tipe Terbang,Tăng cường tất cả các hiệu ứng sát thương kỹ năng hệ Phi hành của anh hùng.,Increase damage bonus for Flying skills,Tambah bonus kerosakan untuk skill Terbang,Increase damage bonus for Flying skills,เพิ่มเอฟเฟกต์ความเสียหายสกิลธาตุบิน,Dagdag damage bonus sa Flying skills,Tambah bonus damage untuk skill Terbang,Tăng thêm hiệu ứng tăng sát thương kỹ năng hệ Bay,,,,,,,,,,327,7,65,6,3,,,45,100,,,,,
329,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_fx.png,3,Increase damage reduction from Flying skills for all heroes,Tingkatkan pengurangan damage dari skill jenis Terbang untuk semua hero,Increase damage reduction from Flying skills for all heroes,เพิ่มลดความเสียหายจากสกิลสายบินของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa Flying skills para sa lahat ng bayani,Meningkatkan pengurangan damage dari skill tipe Terbang untuk semua hero,Tăng khả năng giảm sát thương kỹ năng hệ Phi Hành của tất cả anh hùng.,Reduce increased damage from Flying skills,Kurangkan peningkatan kerosakan dari skill Terbang,Reduce increased damage from Flying skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลธาตุบิน,Bawas dagdag damage mula sa Flying skills,Kurangi peningkatan damage dari skill Terbang,Giảm sát thương từ kỹ năng hệ Bay tăng lên,,,,,,,,,,328,7,65,7,3,,,63,100,,,,,
330,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_cn.png,3,Increase HP for all Psychic heroes,Tambah HP untuk semua hero jenis Psikik,Increase HP for all Psychic heroes,เพิ่มพลังชีวิตให้ฮีโร่สายจิตทั้งหมด,Dagdag HP para sa lahat ng Psychic heroes,Meningkatkan HP untuk semua hero tipe Psikis,Tăng Máu cho toàn bộ tướng Siêu Năng.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng thêm sinh lực,,,,,,,,,,,,65,5,4,11,,1,0.50%,,,,,
331,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cn.png,3,Enhance all Psychic skill damage buffs for heroes,Tingkatkan semua buff damage skill jenis Psikik,Enhance all Psychic skill damage buffs for heroes,เสริมบัฟความเสียหายจากสกิลสายจิตของฮีโร่ทั้งหมด,Pinalakas ang lahat ng buff ng damage mula sa Psychic skills ng bayani,Meningkatkan semua buff damage skill tipe Psikis,Tăng cường tất cả các buff sát thương kỹ năng Siêu năng của anh hùng.,Increase buff damage for Psychic skills,Tambah buff kerosakan untuk skill Psionik,Increase buff damage for Psychic skills,เพิ่มบัฟความเสียหายของสกิลพลังจิต,Dagdag buff ng damage sa Psychic skills,Tambah buff damage untuk skill Psikis,Tăng thêm buff sát thương kỹ năng hệ Siêu năng.,,,,,,,,,,330,7,65,6,3,,,46,100,,,,,
332,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cn.png,3,Increase damage reduction from Psychic skills for all heroes,Tingkatkan pengurangan damage dari skill jenis Psikik untuk semua hero,Increase damage reduction from Psychic skills for all heroes,เพิ่มลดความเสียหายจากสกิลสายจิตของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa Psychic skills para sa lahat ng bayani,Meningkatkan pengurangan damage dari skill tipe Psikis untuk semua hero,Tăng khả năng giảm sát thương kỹ năng Siêu Năng của tất cả các tướng.,Reduce increased damage from Psychic skills,Kurangkan peningkatan kerosakan dari skill Psionik,Reduce increased damage from Psychic skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลพลังจิต,Bawas dagdag damage mula sa Psychic skills,Kurangi peningkatan damage dari skill Psikis,Giảm sát thương kỹ năng hệ Siêu Năng tăng lên.,,,,,,,,,,331,7,65,7,3,,,64,100,,,,,
333,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_cx1.png,3,Increase HP for all Sword heroes,Tambah HP untuk semua hero jenis Pedang,Increase HP for all Sword heroes,เพิ่มพลังชีวิตให้ฮีโร่สายดาบทั้งหมด,Dagdag HP para sa lahat ng Sword heroes,Meningkatkan HP untuk semua hero tipe Pedang,Tăng máu cho tất cả các tướng hệ Kiếm Thuật,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng thêm sinh lực,,,,,,,,,,,,65,5,4,12,,1,0.50%,,,,,
334,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cx1.png,3,Increase skill damage percentage for all Sword skills,Tingkatkan peratusan damage untuk semua skill jenis Pedang,Increase skill damage percentage for all Sword skills,เพิ่มเปอร์เซ็นต์ความเสียหายของสกิลสายดาบทั้งหมด,Dagdag porsyento ng damage para sa lahat ng Sword skills,Meningkatkan persentase damage semua skill tipe Pedang,Tăng thêm phần trăm sát thương cho tất cả các kỹ năng hệ Kiếm Thuật của tướng.,Increase buff damage for Sword skills,Tambah buff kerosakan untuk skill Pedang,Increase buff damage for Sword skills,เพิ่มบัฟความเสียหายของสกิลดาบ,Dagdag buff ng damage sa Sword skills,Tambah buff damage untuk skill Pedang,Tăng thêm buff sát thương kỹ năng hệ Kiếm Thuật,,,,,,,,,,333,7,65,6,3,,,47,100,,,,,
335,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cx1.png,3,Increase damage reduction from all Sword skills for heroes,Tingkatkan pengurangan damage dari semua skill jenis Pedang,Increase damage reduction from all Sword skills for heroes,เพิ่มลดความเสียหายจากสกิลสายดาบทั้งหมด,Dagdag bawas pinsala mula sa lahat ng Sword skills ng bayani,Meningkatkan pengurangan damage dari semua skill tipe Pedang,Tăng giảm sát thương của tất cả các kỹ năng hệ Kiếm Thuật của tướng.,Reduce increased damage from Sword skills,Kurangkan peningkatan kerosakan dari skill Pedang,Reduce increased damage from Sword skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลดาบ,Bawas dagdag damage mula sa Sword skills,Kurangi peningkatan damage dari skill Pedang,Giảm sát thương của kỹ năng hệ Kiếm thuật tăng lên,,,,,,,,,,334,7,65,7,3,,,65,100,,,,,
336,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_ys1.png,3,Increase HP for all Rock heroes,Tambah HP untuk semua hero elemen Batu,Increase HP for all Rock heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุหินทั้งหมด,Dagdag HP para sa lahat ng Rock heroes,Meningkatkan HP untuk semua hero elemen Batu,Tăng máu cho tất cả các tướng hệ Nham Thạch.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Gia tăng sinh lực,,,,,,,,,,,,65,5,4,13,,1,0.50%,,,,,
337,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_ys1.png,3,Enhance all Rock skill damage buffs for heroes,Tingkatkan semua buff damage skill elemen Batu,Enhance all Rock skill damage buffs for heroes,เสริมบัฟความเสียหายจากสกิลธาตุหินของฮีโร่ทั้งหมด,Pinalakas ang lahat ng buff ng damage mula sa Rock skills ng bayani,Meningkatkan semua buff damage skill elemen Batu,Tăng cường tất cả buff sát thương kỹ năng hệ Đá của anh hùng.,Increase buff damage for Rock skills,Tambah buff kerosakan untuk skill Batu,Increase buff damage for Rock skills,เพิ่มบัฟความเสียหายของสกิลหิน,Dagdag buff ng damage sa Rock skills,Tambah buff damage untuk skill Batu,Tăng thêm buff sát thương kỹ năng hệ Đá,,,,,,,,,,336,7,65,6,3,,,48,100,,,,,
338,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_ys1.png,3,Increase damage reduction from Rock skills for all heroes,Tingkatkan pengurangan damage dari skill elemen Batu untuk semua hero,Increase damage reduction from Rock skills for all heroes,เพิ่มลดความเสียหายจากสกิลธาตุหินของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa Rock skills para sa lahat ng bayani,Meningkatkan pengurangan damage dari skill elemen Batu untuk semua hero,Tăng khả năng giảm sát thương kỹ năng hệ Nham của tất cả các tướng.,Reduce increased damage from Rock skills,Kurangkan peningkatan kerosakan dari skill Batu,Reduce increased damage from Rock skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลหิน,Bawas dagdag damage mula sa Rock skills,Kurangi peningkatan damage dari skill Batu,Giảm sát thương kỹ năng hệ Đá tăng lên,,,,,,,,,,337,7,65,7,3,,,66,100,,,,,
339,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_yl.png,3,Increase HP for all Demon heroes,Tambah HP untuk semua hero jenis Iblis,Increase HP for all Demon heroes,เพิ่มพลังชีวิตให้ฮีโร่สายปีศาจทั้งหมด,Dagdag HP para sa lahat ng Demon heroes,Meningkatkan HP untuk semua hero tipe Iblis,Tăng máu cho tất cả các tướng hệ Ma.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,14,,1,0.50%,,,,,
