VariableName,sceneName_cn,sceneName,sceneName_vn,sceneName_en,sceneName_th,sceneName_in,sceneName_ph,sceneName_ma,sceneName_kr,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag,unitID
11508,,Ideal Land,Miền đất lý tưởng,Ideal Land,แผ่นดินในฝัน,Tanah Ideal,Tanah Ideal,Tanah Ideal,,,<{unitId=52593;level=83;advance=12};{unitId=52633;level=83;advance=12};{unitId=53283;level=83;advance=12};{unitId=52593;level=83;advance=12}>,<{unitId=70701;level=83;advance=12}>,config/portrait/simple/img_701.png,,4,,,,,,,,battle/scene/battle_map_22.png,config/big_hero/normal/img_701.png,,25,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,83,437,437,,,,,6,120,18,{5021=0;5000=0},2520,,,,,,,,,,{13=2;30=1;12=2;31=1},{13=3;30=1;12=1;31=1},,,,1,{gold=100000;rmb=100;talent_point=1},{y=669;x=2153},{y=841;x=1953},<<1774;591>;<2153;669>>,,,,1,,70701
11509,,Ideal Land,Miền đất lý tưởng,Ideal Land,แผ่นดินในฝัน,Tanah Ideal,Tanah Ideal,Tanah Ideal,,,<{unitId=52593;level=84;advance=13};{unitId=52963;level=84;advance=13};{unitId=50273;level=84;advance=13};{unitId=50053;level=84;advance=13};{unitId=53683;level=84;advance=13}>,<{unitId=82233;level=84;advance=13}>,,,4,,,,,,,,battle/scene/battle_map_22.png,config/big_hero/normal/img_2233.png,,25,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,84,441,441,,,,,6,120,18,{5021=0;5000=0},2520,,,,,,,,,,{13=2;30=1;12=2;31=1},{13=3;30=1;12=1;31=1},,,,,,{y=953;x=1702},,<<2153;669>;<1953;841>;<1702;953>>,,,,,,
11510,,Ideal Land,Miền đất lý tưởng,Ideal Land,แผ่นดินในฝัน,Tanah Ideal,Tanah Ideal,Tanah Ideal,,,,<{unitId=81951;level=85;advance=13}>,config/portrait/simple/img_1951.png,,4,,,,,,,,battle/scene/battle_map_22.png,config/big_hero/normal/img_1951.png,,25,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,85,445,445,,,,,6,120,18,{5021=0;5000=0},2520,,,,,,,,,,{13=2;30=1;12=2;31=1},{13=3;30=1;12=1;31=1},,,,,,{y=930;x=1469},,<<1702;953>;<1469;930>>,,,,,,81951
11601,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=52683;level=86;advance=12};{unitId=53511;level=86;advance=12};{unitId=52963;level=86;advance=12};{unitId=53432;level=86;advance=12};{unitId=50402;level=86;advance=12}>,<{unitId=71231;level=86;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_1231.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,86,449,449,,,,,6,120,18,{5014=0;5022=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,1,,{y=453;x=553},,<<553;453>>,,,,1,,
11602,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=53432;level=87;advance=12};{unitId=50493;level=87;advance=12};{unitId=53342;level=87;advance=12};{unitId=50013;level=87;advance=12};{unitId=53293;level=87;advance=12}>,<{unitId=73181;level=87;advance=12}>,config/portrait/simple/img_3181.png,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_3181.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,87,453,453,,,,,6,120,18,{5014=0;5022=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=405;x=1119},{y=453;x=1532},<<553;453>;<1119;405>>,,,,,,73181
11603,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=50692;level=88;advance=12};{unitId=52683;level=88;advance=12};{unitId=50082;level=88;advance=12};{unitId=53342;level=88;advance=12};{unitId=53342;level=88;advance=12}>,<{unitId=70611;level=88;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_611.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,88,457,457,,,,,6,120,18,{5014=0;5022=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,,,{y=777;x=1222},,<<1119;405>;<1532;453>;<1222;777>>,,,,,,
11604,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=52683;level=89;advance=12};{unitId=50493;level=89;advance=12};{unitId=53511;level=89;advance=12};{unitId=50044;level=89;advance=12};{unitId=53472;level=89;advance=12}>,<{unitId=72023;level=89;advance=12}>,config/portrait/simple/img_2023.png,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_2023.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,89,461,461,,,,,6,120,18,{5014=0;5022=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=542;x=854},{y=789;x=587},<<1222;777>;<854;542>>,,,,,,72023
11605,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=50692;level=90;advance=12};{unitId=50273;level=90;advance=12};{unitId=50013;level=90;advance=12};{unitId=53342;level=90;advance=12};{unitId=53342;level=90;advance=12}>,<{unitId=73181;level=90;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_3181.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,90,465,465,,,,,6,120,18,{5015=0;5023=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,1,,{y=1059;x=637},,<<854;542>;<587;789>;<637;1059>>,,,,1,,
11606,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=50082;level=91;advance=12};{unitId=50692;level=91;advance=12};{unitId=52633;level=91;advance=12};{unitId=50044;level=91;advance=12};{unitId=53772;level=91;advance=12}>,<{unitId=83021;level=91;advance=12}>,config/portrait/simple/img_3021.png,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_3021.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,91,469,469,,,,,6,120,18,{5015=0;5023=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=940;x=981},{y=926;x=1280},<<637;1059>;<981;940>>,,,,,,83021
11607,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=50402;level=92;advance=12};{unitId=50044;level=92;advance=12};{unitId=50044;level=92;advance=12};{unitId=53472;level=92;advance=12};{unitId=53432;level=92;advance=12}>,<{unitId=71231;level=92;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_1231.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,92,473,473,,,,,6,120,18,{5015=0;5023=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,,,{y=809;x=1522},,<<981;940>;<1280;926>;<1522;809>>,,,,,,
11608,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=50013;level=93;advance=12};{unitId=53772;level=93;advance=12};{unitId=52593;level=93;advance=12};{unitId=53283;level=93;advance=12};{unitId=53283;level=93;advance=12}>,<{unitId=71423;level=93;advance=12}>,config/portrait/simple/img_1423.png,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_1423.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,93,477,477,,,,,6,120,18,{5024=0;5013=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,1,{gold=100000;rmb=100;talent_point=1},{y=460;x=1804},{y=404;x=2050},<<1522;809>;<1804;460>>,,,,1,,71423
11609,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,<{unitId=52843;level=94;advance=13};{unitId=60333;level=94;advance=13};{unitId=50692;level=94;advance=13};{unitId=53342;level=94;advance=13};{unitId=50402;level=94;advance=13}>,<{unitId=80701;level=94;advance=13}>,,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_701.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,94,481,481,,,,,6,120,18,{5024=0;5013=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,,,{y=864;x=1876},,<<1804;460>;<2050;404>;<1876;864>>,,,,,,
11610,,Road Obstacle,Hiểm trở đường đi,Road Obstacle,อุปสรรคบนเส้นทาง,Rintangan Jalan,Hadlang sa Daan,Halangan Jalan,,,,<{unitId=80572;level=95;advance=13}>,config/portrait/simple/img_572.png,,4,,,,,,,,battle/scene/battle_map_27.png,config/big_hero/normal/img_572.png,,26,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,95,485,485,,,,,6,120,18,{5024=0;5013=0;5000=0},2730,,,,,,,,,,{14=1;30=1;31=1},{14=1;30=1;12=3;31=1},,,,,,{y=952;x=2111},,<<1876;864>;<2111;952>>,,,,,,80572
11701,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=50053;level=96;advance=12};{unitId=53293;level=96;advance=12};{unitId=53283;level=96;advance=12};{unitId=50793;level=96;advance=12};{unitId=52963;level=96;advance=12}>,<{unitId=73171;level=96;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_3171.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,96,490,490,,,,,6,120,18,{5022=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,1,,{y=1043;x=620},,<<620;1043>>,,,,1,,
11702,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=53432;level=97;advance=12};{unitId=53472;level=97;advance=12};{unitId=53683;level=97;advance=12};{unitId=50552;level=97;advance=12};{unitId=50273;level=97;advance=12}>,<{unitId=70333;level=97;advance=12}>,config/portrait/simple/img_333.png,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_333.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,97,495,495,,,,,6,120,18,{5022=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=663;x=536},{y=455;x=560},<<620;1043>;<536;663>>,,,,,,70333
11703,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=50793;level=98;advance=12};{unitId=53472;level=98;advance=12};{unitId=52593;level=98;advance=12};{unitId=53293;level=98;advance=12};{unitId=50013;level=98;advance=12}>,<{unitId=71941;level=98;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_1941.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,98,500,500,,,,,6,120,18,{5022=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,,,{y=425;x=788},,<<536;663>;<560;455>;<788;425>>,,,,,,
11704,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=50053;level=99;advance=12};{unitId=50692;level=99;advance=12};{unitId=52843;level=99;advance=12};{unitId=50044;level=99;advance=12};{unitId=50053;level=99;advance=12}>,<{unitId=70242;level=99;advance=12}>,config/portrait/simple/img_242.png,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_242.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,,505,505,,,,,6,120,18,{5022=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=421;x=1147},{y=356;x=1458},<<788;425>;<1147;421>>,,,,,,70242
11705,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=53472;level=100;advance=12};{unitId=53772;level=100;advance=12};{unitId=52843;level=100;advance=12};{unitId=52013;level=100;advance=12};{unitId=50273;level=100;advance=12}>,<{unitId=73673;level=100;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_3673.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,100,510,510,,,,,6,120,18,{5023=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,1,,{y=483;x=1744},,<<1147;421>;<1458;356>;<1744;483>>,,,,1,,
11706,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=52843;level=101;advance=12};{unitId=50082;level=101;advance=12};{unitId=50692;level=101;advance=12};{unitId=50044;level=101;advance=12};{unitId=52963;level=101;advance=12}>,<{unitId=81503;level=101;advance=12}>,config/portrait/simple/img_1503.png,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_1503.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,101,515,515,,,,,6,120,18,{5023=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=553;x=2134},{y=665;x=1746},<<1744;483>;<2134;553>>,,,,,,81503
11707,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=52612;level=102;advance=12};{unitId=52612;level=102;advance=12};{unitId=50552;level=102;advance=12};{unitId=53283;level=102;advance=12};{unitId=53283;level=102;advance=12}>,<{unitId=73021;level=102;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_3021.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,102,520,520,,,,,6,120,18,{5023=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,,,{y=966;x=1970},,<<2134;553>;<1746;665>;<1970;966>>,,,,,,
11708,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=52963;level=103;advance=12};{unitId=50402;level=103;advance=12};{unitId=52013;level=103;advance=12};{unitId=50273;level=103;advance=12};{unitId=52612;level=103;advance=12}>,<{unitId=70883;level=103;advance=12}>,config/portrait/simple/img_883.png,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_883.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,103,525,525,,,,,6,120,18,{5024=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,1,{gold=100000;rmb=100;talent_point=1},{y=927;x=1683},{y=927;x=1336},<<1970;966>;<1683;927>>,,,,1,,70883
11709,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,<{unitId=52843;level=104;advance=13};{unitId=53511;level=104;advance=13};{unitId=53293;level=104;advance=13};{unitId=53342;level=104;advance=13};{unitId=52683;level=104;advance=13}>,<{unitId=81423;level=104;advance=13}>,,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_1423.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,104,530,530,,,,,6,120,18,{5024=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,,,{y=975;x=1031},,<<1683;927>;<1336;927>;<1031;975>>,,,,,,
11710,,Broken Situation,Tình hình tan vỡ,Broken Situation,สถานการณ์แตกสลาย,Situasi Pecah,Pagsabog ng Kalagayan,Keadaan Pecah,,,,<{unitId=81241;level=105;advance=13}>,config/portrait/simple/img_1241.png,,4,,,,,,,,battle/scene/battle_map_29.png,config/big_hero/normal/img_1241.png,,27,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,105,535,535,,,,,6,120,18,{5024=0;5000=0},2940,,,,,,,,,,{14=1;13=1;31=1;30=1},{14=1;13=2;31=1;30=1},,,,,,{y=693;x=836},,<<1031;975>;<836;693>>,,,,,,81241
11801,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=50013;level=106;advance=12};{unitId=50402;level=106;advance=12};{unitId=53772;level=106;advance=12};{unitId=50053;level=106;advance=12};{unitId=50044;level=106;advance=12}>,<{unitId=70263;level=106;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_263.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,106,540,540,,,,,6,120,18,{5025=0;5017=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,1,,{y=710;x=506},,<<506;710>>,,,,1,,
11802,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=50053;level=107;advance=12};{unitId=50013;level=107;advance=12};{unitId=53472;level=107;advance=12};{unitId=52843;level=107;advance=12};{unitId=52612;level=107;advance=12}>,<{unitId=70771;level=107;advance=12}>,config/portrait/simple/img_771.png,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_771.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,107,545,545,,,,,6,120,18,{5025=0;5017=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=545;x=706},{y=594;x=930},<<506;710>;<706;545>>,,,,,,70771
11803,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=50053;level=108;advance=12};{unitId=50082;level=108;advance=12};{unitId=50402;level=108;advance=12};{unitId=52593;level=108;advance=12};{unitId=53772;level=108;advance=12}>,<{unitId=72233;level=108;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_2233.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,108,550,550,,,,,6,120,18,{5025=0;5017=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,,,{y=848;x=988},,<<706;545>;<930;594>;<988;848>>,,,,,,
11804,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=53432;level=109;advance=12};{unitId=52683;level=109;advance=12};{unitId=50493;level=109;advance=12};{unitId=50493;level=109;advance=12};{unitId=50053;level=109;advance=12}>,<{unitId=72493;level=109;advance=12}>,config/portrait/simple/img_2493.png,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_2493.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,109,555,555,,,,,6,120,18,{5025=0;5017=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=942;x=642},{y=1078;x=882},<<988;848>;<642;942>>,,,,,,72493
11805,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=52633;level=110;advance=12};{unitId=52683;level=110;advance=12};{unitId=50082;level=110;advance=12};{unitId=50692;level=110;advance=12};{unitId=50402;level=110;advance=12}>,<{unitId=72033;level=110;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_2033.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,110,560,560,,,,,6,120,18,{5026=0;5018=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,1,,{y=1088;x=1223},,<<642;942>;<882;1078>;<1223;1088>>,,,,1,,
11806,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=53772;level=111;advance=12};{unitId=52593;level=111;advance=12};{unitId=50044;level=111;advance=12};{unitId=52013;level=111;advance=12};{unitId=50552;level=111;advance=12}>,<{unitId=81503;level=111;advance=12}>,config/portrait/simple/img_1503.png,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_1503.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,111,565,565,,,,,6,120,18,{5026=0;5018=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,,{gold=100000;rmb=100;talent_point=1},{y=849;x=1644},{y=762;x=1382},<<1223;1088>;<1644;849>>,,,,,,81503
11807,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=53683;level=112;advance=12};{unitId=53293;level=112;advance=12};{unitId=52593;level=112;advance=12};{unitId=53293;level=112;advance=12};{unitId=52843;level=112;advance=12}>,<{unitId=71313;level=112;advance=12}>,,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_1313.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,112,570,570,,,,,6,120,18,{5026=0;5018=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,,,{y=474;x=1358},,<<1644;849>;<1382;762>;<1358;474>>,,,,,,
11808,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=52073;level=113;advance=12};{unitId=50082;level=113;advance=12};{unitId=50053;level=113;advance=12};{unitId=53683;level=113;advance=12};{unitId=50793;level=113;advance=12}>,<{unitId=71241;level=113;advance=12}>,config/portrait/simple/img_1241.png,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_1241.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,113,575,575,,,,,6,120,18,{5027=0;5016=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,1,{gold=100000;rmb=100;talent_point=1},{y=415;x=1678},{y=435;x=1963},<<1358;474>;<1678;415>>,,,,1,,71241
11809,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,<{unitId=52073;level=114;advance=13};{unitId=53342;level=114;advance=13};{unitId=52683;level=114;advance=13};{unitId=52633;level=114;advance=13};{unitId=53683;level=114;advance=13}>,<{unitId=80572;level=114;advance=13}>,,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_572.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,114,580,580,,,,,6,120,18,{5027=0;5016=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,,,{y=693;x=1884},,<<1678;415>;<1963;435>;<1884;693>>,,,,,,
11810,,Red Earth Thousands of Miles,đất đỏ ngàn dặm,Red Earth Thousands of Miles,ดินแดงพันไมล์,Darat Merah Ribuan Mil,Libong Milyang Pulang Lupa,Tanah Merah Ribuan Batu,,,,<{unitId=80771;level=115;advance=13}>,config/portrait/simple/img_771.png,,4,,,,,,,,battle/scene/battle_map_26.png,config/big_hero/normal/img_771.png,,28,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,115,585,585,,,,,6,120,18,{5027=0;5016=0;5000=0},3150,,,,,,,,,,{14=1;13=2;31=1;30=1},{14=2;30=1;31=1},,,,,,{y=926;x=2056},,<<1884;693>;<2056;926>>,,,,,,80771
11901,,Disoriented,Mất phương hướng,Disoriented,สับสน,Kecewa,Nalilito,Keliru,,,<{unitId=52843;level=116;advance=15};{unitId=50013;level=116;advance=15};{unitId=52073;level=116;advance=15};{unitId=50402;level=116;advance=15};{unitId=50053;level=116;advance=15}>,<{unitId=72401;level=116;advance=15}>,,,4,,,,,,,,battle/scene/battle_map_31.png,config/big_hero/normal/img_2401.png,,29,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,116,590,590,,,,,6,120,18,{5028=0;5000=0},3360,,,,,,,,,,{14=2;30=1;31=1},{14=2;13=2;31=1;30=1},,,,1,,{y=425;x=1554},,<<1554;425>>,,,,1,,
