VariableName,name_cn,name_tw,name,name_vn,name_ma,name_en,name_in,name_th,name_ph,name_kr,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_in,desc_th,desc_ph,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
33,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Đấu Sĩ toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Pejuang untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Pejuang untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนักสู้ให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Fighter type para sa lahat ng bayani ng #C0xD38D22#1%,,2,3,7,,42,100,
34,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Đấu Sĩ toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Pejuang untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Pejuang untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนักสู้ให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Fighter type para sa lahat ng bayani ng #C0xD38D22#1%,,2,6,7,,42,100,
35,,,Collect 12 heroes collected,Thu thập đủ 12 anh hùng.,Kumpul 12 wira lengkap,Collect 12 heroes collected,Kumpulkan 12 pahlawan lengkap,รวบรวมฮีโร่ครบ 12 ตัว,Kolektahin ang 12 bayani kumpleto,,,,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Đấu Sĩ toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Pejuang untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Pejuang untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนักสู้ให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Fighter type para sa lahat ng bayani ng #C0xD38D22#1%,,2,12,7,,42,100,
36,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Đấu Sĩ toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Pejuang untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Fighter-type damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Pejuang untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนักสู้ให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Fighter type para sa lahat ng bayani ng #C0xD38D22#1%,,2,18,7,,42,100,
37,,,Collect 5 heroes,Thu thập 5 anh hùng,Kumpul 5 wira,Collect 5 heroes,Kumpulkan 5 pahlawan,รวบรวมฮีโร่ 5 ตัว,Kolektahin ang 5 bayani,,,,#C0xFF5B545B#All heroes increase Poison damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương độc hệ #C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Racun sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Poison damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Racun sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายพิษ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Lason ng #C0xD38D22#1%,,2,5,8,,43,100,
38,,,Collect 10 heroes,Thu thập 10 anh hùng.,Kumpul 10 wira,Collect 10 heroes,Kumpulkan 10 pahlawan,รวบรวมฮีโร่ 10 ตัว,Kolektahin ang 10 bayani,,,,#C0xFF5B545B#All heroes gain increased Poison damage by #C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng được tăng thêm sát thương hệ Độc#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat peningkatan kerosakan Racun sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain increased Poison damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan kerusakan Racun sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายพิษเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng Lason ng #C0xD38D22#1%,,2,10,8,,43,100,
39,,,Collect 15 heroes,Thu thập 15 anh hùng.,Kumpul 15 wira,Collect 15 heroes,Kumpulkan 15 pahlawan,รวบรวมฮีโร่ 15 ตัว,Kolektahin ang 15 bayani,,,,#C0xFF5B545B#All heroes increase Toxic damage by #C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng tăng thêm sát thương độc tố#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Toksik sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Toxic damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Toksik sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายสารพิษ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Toksiko ng #C0xD38D22#1%,,2,15,8,,43,100,
40,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#All heroes increase Poison damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Độc#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Racun sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Poison damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Racun sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายพิษ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Lason ng #C0xD38D22#1%,,2,25,8,,43,100,
41,,,Collect 5 heroes,Thu thập 5 anh hùng,Kumpul 5 wira,Collect 5 heroes,Kumpulkan 5 pahlawan,รวบรวมฮีโร่ 5 ตัว,Kolektahin ang 5 bayani,,,,#C0xFF5B545B#All heroes increase Earth damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Đất#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Tanah sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Earth damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Tanah sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายธาตุดิน #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Lupa ng #C0xD38D22#1%,,2,5,9,,44,100,
42,,,Collect 10 heroes,Thu thập 10 anh hùng.,Kumpul 10 wira,Collect 10 heroes,Kumpulkan 10 pahlawan,รวบรวมฮีโร่ 10 ตัว,Kolektahin ang 10 bayani,,,,#C0xFF5B545B#Increase Earth damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng thêm sát thương hệ Đất cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Tanah untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Earth damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan Tanah untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุดินให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Lupa para sa lahat ng bayani ng #C0xD38D22#1%,,2,10,9,,44,100,
43,,,Collect 15 heroes collected,Thu thập đủ 15 anh hùng.,Kumpul 15 wira lengkap,Collect 15 heroes collected,Kumpulkan 15 pahlawan lengkap,รวบรวมฮีโร่ครบ 15 ตัว,Kolektahin ang 15 bayani kumpleto,,,,#C0xFF5B545B#All heroes increase Earth damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Đất#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Tanah sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Earth damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Tanah sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายธาตุดิน #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Lupa ng #C0xD38D22#1%,,2,15,9,,44,100,
44,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#All heroes increase Earth damage by #C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng tăng thêm sát thương hệ Đất#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Tanah sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Earth damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Tanah sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายธาตุดิน #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Lupa ng #C0xD38D22#1%,,2,25,9,,44,100,
45,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All heroes increase Space damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Phi Hành#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Angkasa sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Space damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Ruang Angkasa sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายธาตุอวกาศ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Espasyo ng #C0xD38D22#1%,,2,3,10,,45,100,
46,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#Increase Space damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Phi Hành cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Angkasa untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Space damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan Ruang Angkasa untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุอวกาศให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Espasyo para sa lahat ng bayani ng #C0xD38D22#1%,,2,6,10,,45,100,
47,,,Collect 12 heroes,Thu thập 12 anh hùng.,Kumpul 12 wira,Collect 12 heroes,Kumpulkan 12 pahlawan,รวบรวมฮีโร่ 12 ตัว,Kolektahin ang 12 bayani,,,,#C0xFF5B545B#Increase Space damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Phi Hành cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Angkasa untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Space damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan Ruang Angkasa untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุอวกาศให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Espasyo para sa lahat ng bayani ng #C0xD38D22#1%,,2,12,10,,45,100,
48,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#All heroes increase Space damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Phi Hành#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Angkasa sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Space damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Ruang Angkasa sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายธาตุอวกาศ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Espasyo ng #C0xD38D22#1%,,2,18,10,,45,100,
49,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All heroes gain extra Superpower damage by #C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng được tăng thêm sát thương siêu năng#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat tambahan kerosakan Kuasa Super sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain extra Superpower damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapat tambahan kerusakan Superpower sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายพลังเหนือธรรมชาติเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng Superpower ng #C0xD38D22#1%,,2,3,11,,46,100,
50,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All heroes increase Superpower damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Siêu năng#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Kuasa Super sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Superpower damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Superpower sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายพลังเหนือธรรมชาติ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Superpower ng #C0xD38D22#1%,,2,6,11,,46,100,
51,,,Collect 12 heroes collected,Thu thập đủ 12 anh hùng.,Kumpul 12 wira lengkap,Collect 12 heroes collected,Kumpulkan 12 pahlawan lengkap,รวบรวมฮีโร่ครบ 12 ตัว,Kolektahin ang 12 bayani kumpleto,,,,#C0xFF5B545B#All heroes gain extra Superpower attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương thuộc tính Siêu Năng#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat tambahan kerosakan atribut Kuasa Super sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain extra Superpower attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapat tambahan kerusakan atribut Superpower sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายคุณสมบัติพลังเหนือธรรมชาติเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng katangian ng Superpower ng #C0xD38D22#1%,,2,12,11,,46,100,
52,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All Sword Technique heroes increase damage by #C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Kiếm Thuật được tăng sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua wira teknik Pedang meningkatkan kerosakan sebanyak #C0xD38D22#1%,#C0xFF5B545B#All Sword Technique heroes increase damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan teknik Pedang meningkatkan kerusakan sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ระบบดาบทั้งหมดเพิ่มความเสียหาย #C0xD38D22#1%,#C0xFF5B545B#Lahat ng Sword Technique na bayani ay tumataas ang pinsala ng #C0xD38D22#1%,,2,3,12,,47,100,
53,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All Sword Technique heroes increase damage by #C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Kiếm Thuật tăng sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua wira teknik Pedang meningkatkan kerosakan sebanyak #C0xD38D22#1%,#C0xFF5B545B#All Sword Technique heroes increase damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan teknik Pedang meningkatkan kerusakan sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ระบบดาบทั้งหมดเพิ่มความเสียหาย #C0xD38D22#1%,#C0xFF5B545B#Lahat ng Sword Technique na bayani ay tumataas ang pinsala ng #C0xD38D22#1%,,2,6,12,,47,100,
54,,,Collect 12 heroes collected,Thu thập đủ 12 anh hùng.,Kumpul 12 wira lengkap,Collect 12 heroes collected,Kumpulkan 12 pahlawan lengkap,รวบรวมฮีโร่ครบ 12 ตัว,Kolektahin ang 12 bayani kumpleto,,,,#C0xFF5B545B#Increase Sword Technique damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Kiếm Thuật cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan teknik Pedang untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Sword Technique damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan teknik Pedang untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายระบบดาบให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Sword Technique para sa lahat ng bayani ng #C0xD38D22#1%,,2,12,12,,47,100,
55,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All heroes gain extra Rock damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương hệ Nham#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat tambahan kerosakan Batu sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain extra Rock damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapat tambahan kerusakan Batu sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายธาตุหินเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng Bato ng #C0xD38D22#1%,,2,3,13,,48,100,
56,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All heroes gain extra Rock attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương thuộc tính Nham thạch#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat tambahan kerosakan atribut Batu sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain extra Rock attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapat tambahan kerusakan atribut Batu sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายคุณสมบัติธาตุหินเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng katangian ng Bato ng #C0xD38D22#1%,,2,6,13,,48,100,
57,,,Collect 12 heroes collected,Thu thập đủ 12 anh hùng.,Kumpul 12 wira lengkap,Collect 12 heroes collected,Kumpulkan 12 pahlawan lengkap,รวบรวมฮีโร่ครบ 12 ตัว,Kolektahin ang 12 bayani kumpleto,,,,#C0xFF5B545B#All heroes gain extra Rock attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương thuộc tính Nham thạch#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat tambahan kerosakan atribut Batu sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain extra Rock attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapat tambahan kerusakan atribut Batu sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายคุณสมบัติธาตุหินเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng katangian ng Bato ng #C0xD38D22#1%,,2,12,13,,48,100,
58,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#All heroes gain extra Rock attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương thuộc tính Nham Thạch#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat tambahan kerosakan atribut Batu sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain extra Rock attribute damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapat tambahan kerusakan atribut Batu sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายคุณสมบัติธาตุหินเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng katangian ng Bato ng #C0xD38D22#1%,,2,18,13,,48,100,
59,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#Increase Spirit damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ vong linh cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Roh untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Spirit damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan Roh untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายระบบวิญญาณให้กับฮีโร่ทั้งหมด #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang pinsala ng Spirit para sa lahat ng bayani ng #C0xD38D22#1%,,2,3,14,,49,100,
60,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#Increase undead-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ vong linh cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis undead untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase undead-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe undead untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทอันเดดให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Undead-type na pinsala sa lahat ng bayani#C0xD38D22#1%,,2,6,14,,49,100,
61,,,Collect 9 heroes,Thu thập 9 anh hùng.,Kumpul 9 wira,Collect 9 heroes,Kumpulkan 9 pahlawan,รวบรวมฮีโร่ 9 ตัว,Kolektahin ang 9 bayani,,,,#C0xFF5B545B#Increase undead-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ vong linh cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis undead untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase undead-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe undead untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทอันเดดให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Undead-type na pinsala sa lahat ng bayani#C0xD38D22#1%,,2,9,14,,49,100,
