VariableName,name,name_my,name_en,name_th,name_in,name_ph,name_vn,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_ma,unlockDesc_en,unlockDesc_th,unlockDesc_in,unlockDesc_ph,unlockDesc_vn
42,Tendo (Heavenly Great),Tian Dai,Tendo (Heavenly Great),เทียนได,Tian Dai,Dakilang Langit,Thiên Đại,config/portrait/toptouxiang/img_hy_2081.png,,,42,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
43,Shonen (Little Boy),Xiao Nan,Shonen (Little Boy),เสี่ยวหนาน,Xiao Nan,Maliit na Timog,Tiểu Nam,config/portrait/toptouxiang/img_hy_2091.png,,,43,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
44,Scorpion,Kala,Scorpion,แมงป่อง,Kalajengking,Alakdan,Bò cạp,config/portrait/toptouxiang/img_hy_2101.png,,,44,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
45,Shimura Danzō,Shimura Danzō,Shimura Danzō,Shimura Danzō,Shimura Danzō,Shimura Danzō,Shimura Danzō,config/portrait/toptouxiang/img_hy_2111.png,,,45,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
46,Sarutobi Asuma,Sarutobi Asuma,Sarutobi Asuma,Sarutobi Asuma,Sarutobi Asuma,Sarutobi Asuma,Sarutobi Asuma,config/portrait/toptouxiang/img_hy_2121.png,,,46,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
47,Yamato,Yamato,Yamato,Yamato,Yamato,Yamato,Yamato,config/portrait/toptouxiang/img_hy_2131.png,,,47,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
48,Jiraiya,Jiraiya,Jiraiya,Jiraiya,Jiraiya,Jiraiya,Jiraiya,config/portrait/toptouxiang/img_hy_2141.png,,,48,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
49,Yuhi Kurenai,Yuhi Kurenai,Yuhi Kurenai,Yuhi Kurenai,Yuhi Kurenai,Yuhi Kurenai,Yuhi Kurenai,config/portrait/toptouxiang/img_hy_2151.png,,,49,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
50,Uchiha Itachi,Uchiha Itachi,Uchiha Itachi,Uchiha Itachi,Uchiha Itachi,Uchiha Itachi,Uchiha Itachi,config/portrait/toptouxiang/img_hy_2161.png,,,50,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
51,Maito Gai,Maito Gai,Maito Gai,Maito Gai,Maito Gai,Maito Gai,Maito Gai,config/portrait/toptouxiang/img_hy_2171.png,,,51,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
52,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,config/portrait/toptouxiang/img_hy_2181.png,,,52,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
53,Tsunade,Tsunade,Tsunade,Tsunade,Tsunade,Tsunade,Tsunade,config/portrait/toptouxiang/img_hy_2191.png,,,53,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
54,Orochimaru,Orochimaru,Orochimaru,Orochimaru,Orochimaru,Orochimaru,Orochimaru,config/portrait/toptouxiang/img_hy_2201.png,,,54,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
55,Gaara,Gaara,Gaara,Gaara,Gaara,Gaara,Gaara,config/portrait/toptouxiang/img_hy_2211.png,,,55,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
56,Naruto Uzumaki (Sage),Naruto Uzumaki (Sage),Naruto Uzumaki (Sage),Naruto Uzumaki (เซนเซย์),Naruto Uzumaki (Sage),Naruto Uzumaki (Sage),Naruto Uzumaki (Tiên nhân),config/portrait/toptouxiang/img_hy_3001.png,,,56,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
57,Minato Namikaze,Minato Namikaze,Minato Namikaze,Minato Namikaze,Minato Namikaze,Minato Namikaze,Minato Namikaze,config/portrait/toptouxiang/img_hy_3011.png,,,57,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
58,Kakashi (Kamui),Kakashi (Kamui),Kakashi (Kamui),Kakashi (Kamui),Kakashi (Kamui),Kakashi (Kamui),Kakashi (Kamui),config/portrait/toptouxiang/img_hy_3021.png,,,58,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
59,Kai (Eight Gates),Kai (Lapan Gerbang),Kai (Eight Gates),Kai (แปดประตู),Kai (Delapan Gerbang),Kai (Walong Gate),Khải (Bát Môn),config/portrait/toptouxiang/img_hy_3031.png,,,59,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
60,Tsunade (Byakugo),Tsunade (Byakugo),Tsunade (Byakugo),Tsunade (Byakugo),Tsunade (Byakugo),Tsunade (Byakugo),Tsunade (Byakugo),config/portrait/toptouxiang/img_hy_3041.png,,,60,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
61,Jiraiya (Sage),Jiraiya (Sage),Jiraiya (Sage),Jiraiya (เซนเซย์),Jiraiya (Sage),Jiraiya (Sage),Jiraiya (Tiên nhân),config/portrait/toptouxiang/img_hy_3051.png,,,61,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
62,Sarutobi Hiruzen,Sarutobi Hiruzen,Sarutobi Hiruzen,Sarutobi Hiruzen,Sarutobi Hiruzen,Sarutobi Hiruzen,Sarutobi Hiruzen,config/portrait/toptouxiang/img_hy_3061.png,,,62,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
63,Senju Tobirama,Senju Tobirama,Senju Tobirama,Senju Tobirama,Senju Tobirama,Senju Tobirama,Senju Tobirama,config/portrait/toptouxiang/img_hy_3071.png,,,63,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
68,Gru,Gru,Gru,Gru,Gru,Gru,Gru,config/portrait/toptouxiang/img_44.png,44,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
69,Batman,Batman,Batman,Batman,Batman,Batman,Batman,config/portrait/toptouxiang/img_53.png,53,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
70,Zombie,Zombie,Zombie,ซอมบี้,Zombie,Zombie,Zombie,config/portrait/toptouxiang/img_82.png,82,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
71,Gokudera,Gokudera,Gokudera,Gokudera,Gokudera,Gokudera,Gokudera,config/portrait/toptouxiang/img_692.png,692,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
72,Huyen Hue,Huy Huyen,Huyen Hue,ฮุ่ย ฮวียน,Huy Huyen,Huy Huyen,Huy Huyện,config/portrait/toptouxiang/img_2683.png,2683,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
73,Genie,Jin Lampu,Genie,จินไฟ,Dewa Lampu,Diyos ng Lampara,Thần đèn,config/portrait/toptouxiang/img_2843.png,2843,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
74,Drunkard,Mabuk,Drunkard,เมามาย,Mabuk,Lasing,Say Rượu,config/portrait/toptouxiang/img_3432.png,3432,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
75,Shrek,Shrek,Shrek,Shrek,Shrek,Shrek,Shrek,config/portrait/toptouxiang/img_3772.png,3772,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
77,Mario,Mario,Mario,Mario,Mario,Mario,Mario,config/portrait/toptouxiang/img_13.png,13,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
78,Ken,Ken,Ken,Ken,Ken,Ken,Ken,config/portrait/toptouxiang/img_273.png,273,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
79,Hades,Hades,Hades,Hades,Hades,Hades,Hades,config/portrait/toptouxiang/img_402.png,402,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
80,Predator,Raksasa Pemburu,Predator,สัตว์ประหลาดนักล่า,Monster Pemburu,Manghuhuli ng Halimaw,Quái vật săn mồi,config/portrait/toptouxiang/img_493.png,493,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
81,Illya,Illya,Illya,Illya,Illya,Illya,Illya,config/portrait/toptouxiang/img_552.png,552,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
82,Men in Black,Men in Black,Men in Black,Men in Black,Men in Black,Men in Black,Men in Black,config/portrait/toptouxiang/img_793.png,793,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
83,Link,Link,Link,Link,Link,Link,Link,config/portrait/toptouxiang/img_2013.png,2013,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
84,InuYasha,InuYasha,InuYasha,InuYasha,InuYasha,InuYasha,InuYasha,config/portrait/toptouxiang/img_2073.png,2073,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
85,Teenage Mutant Ninja Turtles,Turtle Ninja,Teenage Mutant Ninja Turtles,เต่านินจา,Ninja Kura-kura,Ninja Turtle,Ninja Rùa,config/portrait/toptouxiang/img_2593.png,2593,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
86,Sakuragi,Sakuragi,Sakuragi,Sakuragi,Sakuragi,Sakuragi,Sakuragi,config/portrait/toptouxiang/img_2612.png,2612,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
87,Ho Lo De,Ho Lo De,Ho Lo De,Ho Lo De,Ho Lo De,Ho Lo De,Hồ Lô Đệ,config/portrait/toptouxiang/img_2633.png,2633,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
88,Cowboy,Koboi,Cowboy,คาวบอย,Koboi,Cowboy,Cao Bồi,config/portrait/toptouxiang/img_2963.png,2963,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
89,Wind Messenger,Utusan Angin,Wind Messenger,ผู้ส่งลม,Utusan Angin,Sugo ng Hangin,Sứ Giả Gió,config/portrait/toptouxiang/img_3283.png,3283,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
90,Chris,Chris,Chris,Chris,Chris,Chris,Chris,config/portrait/toptouxiang/img_3293.png,3293,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
91,Pilot,Juruterbang,Pilot,นักบิน,Pilot,Piloto,Phi Công,config/portrait/toptouxiang/img_3342.png,3342,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
92,Scientist,Saintis,Scientist,นักวิทยาศาสตร์,Ilmuwan,Siyentipiko,Nhà Khoa Học,config/portrait/toptouxiang/img_3472.png,3472,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
