VariableName,name_cn,name_th,name,name_vn,name_in,name_my,name_en,name_ph,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSkinScale,shiny,extraSkillList,shinyPos,cardSpine,cardSpineNeedStar,cardSpineScale,frontPriority,fakePassiveSkillList,cardSkinPos,cardSpinePos,shinyRes,showOpen,showOpenOffsetY,scaleY,ShowScale,cardIcon3,cardShowPosY,cardShowPos,cardShowRes,showRes
71032,,ชิโร่ อามาคุสะ  ,Shiro Amakusa  ,Shiro Amakusa,Shiro Amakusa  ,Shiro Amakusa  ,Shiro Amakusa  ,Shiro Amakusa  ,elites,3,8,16,,<99>,,,,1032,,config/portrait/speedranktouxiang/img_1032.png,config/portrait/jinglingtouxiang/img_1032.png,config/portrait/jinglingtouxiang2/img_1032.png,config/portrait/simple/img_1032.png,config/big_hero/normal/img_1032.png,,,tiancaosilangshizhen/tiancaosilangshizhen.json,,config/big_hero/normal/img_1032.png,,,,<10321;10322;10323>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_tiancao.png,240,,,,,,,
71071,,ชินสุเกะ ทาคาสุงิ  ,Shinsuke Takasugi  ,Shinsuke Takasugi,Shinsuke Takasugi  ,Shinsuke Takasugi  ,Shinsuke Takasugi  ,Shinsuke Takasugi  ,elites,3,12,7,,<99>,,,,1071,,config/portrait/speedranktouxiang/img_1071.png,config/portrait/jinglingtouxiang/img_1071.png,config/portrait/jinglingtouxiang2/img_1071.png,config/portrait/simple/img_1071.png,config/big_hero/normal/img_1071.png,,,gaoshanjinzhu/gaoshanjinzhu.json,,config/big_hero/normal/img_1071.png,,,,<10711;10712;10713>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_gaoshan.png,240,,,,,,,
71082,,มากะ  ,Maka  ,Maka,Maka  ,Maka  ,Maka  ,Maka  ,elites,3,16,6,,<99>,,,,1082,,config/portrait/speedranktouxiang/img_1082.png,config/portrait/jinglingtouxiang/img_1082.png,config/portrait/jinglingtouxiang2/img_1082.png,config/portrait/simple/img_1082.png,config/big_hero/normal/img_1082.png,,,majia/majia.json,,config/big_hero/normal/img_1082.png,,,,<10821;10822;10823>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_majia.png,240,,,,,,,
71221,,ธอร์  ,Thor  ,Thor,Thor  ,Thor  ,Thor  ,Thor  ,elites,3,14,5,,<99>,,,,1221,,config/portrait/speedranktouxiang/img_1221.png,config/portrait/jinglingtouxiang/img_1221.png,config/portrait/jinglingtouxiang2/img_1221.png,config/portrait/simple/img_1221.png,config/big_hero/normal/img_1221.png,,,suoer/suoer.json,,config/big_hero/normal/img_1221.png,,,,<12211;12212;12213>,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_leishen.png,240,,,,,,,
71231,,อิจิโกะ คุโรซากิ  ,Ichigo Kurosaki  ,Ichigo Kurosaki,Ichigo Kurosaki  ,Ichigo Kurosaki  ,Ichigo Kurosaki  ,Ichigo Kurosaki  ,elites,4,12,15,,<99>,,,,1231,,config/portrait/speedranktouxiang/img_1231.png,config/portrait/jinglingtouxiang/img_1231.png,config/portrait/jinglingtouxiang2/img_1231.png,config/portrait/simple/img_1231.png,config/big_hero/normal/img_1231.png,,,heiqiyihu/heiqiyihu.json,,config/big_hero/normal/img_1231.png,,,,<12311;12312;12313>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_heiqiyihu.skel,260,,,,,,,
71241,,ฮัทสึเนะ มิกุ  ,Hatsune Miku  ,Hatsune Miku,Hatsune Miku  ,Hatsune Miku  ,Hatsune Miku  ,Hatsune Miku  ,elites,4,11,1,,<99>,,,,1241,,config/portrait/speedranktouxiang/img_1241.png,config/portrait/jinglingtouxiang/img_1241.png,config/portrait/jinglingtouxiang2/img_1241.png,config/portrait/simple/img_1241.png,config/big_hero/normal/img_1241.png,,,chuyinweilai/chuyinweilai.json,,config/big_hero/normal/img_1241.png,,,,<12411;12412;12413>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_chuyinweilai.skel,270,,,,,,,
71253,,เฮอร์คิวลิส  ,Heracles  ,Heracles,Heracles  ,Heracles  ,Heracles  ,Heracles  ,elites,3,15,14,,<99>,,,,1253,,config/portrait/speedranktouxiang/img_1253.png,config/portrait/jinglingtouxiang/img_1253.png,config/portrait/jinglingtouxiang2/img_1253.png,config/portrait/simple/img_1253.png,config/big_hero/normal/img_1253.png,,,helakelesi/helakelesi.json,,config/big_hero/normal/img_1253.png,,,,<12531;12532;12533>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_hela.png,240,,,,,,,
71293,,โยรุอิจิ ชิโฮอิน  ,Yoruichi Shihouin  ,Yoruichi Shihouin,Yoruichi Shihouin  ,Yoruichi Shihouin  ,Yoruichi Shihouin  ,Yoruichi Shihouin  ,elites,3,16,7,,<99>,,,,1293,,config/portrait/speedranktouxiang/img_1293.png,config/portrait/jinglingtouxiang/img_1293.png,config/portrait/jinglingtouxiang2/img_1293.png,config/portrait/simple/img_1293.png,config/big_hero/normal/img_1293.png,,,sifengyuanyeyi/sifengyuanyeyi.json,,config/big_hero/normal/img_1293.png,,,,<12931;12932;12933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yeyi.png,240,,,,,,,
71303,,โกอูกิ  ,Gouki  ,Gouki,Gouki  ,Gouki  ,Gouki  ,Gouki  ,elites,3,2,7,,<99>,,,,1303,,config/portrait/speedranktouxiang/img_1303.png,config/portrait/jinglingtouxiang/img_1303.png,config/portrait/jinglingtouxiang2/img_1303.png,config/portrait/simple/img_1303.png,config/big_hero/normal/img_1303.png,,,haogui/haogui.json,,config/big_hero/normal/img_1303.png,,,<13034>,<13031;13032;13033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_haogui.png,240,,,,,,,
71313,,อาโทเรีย  ,Artoria  ,Artoria,Artoria  ,Artoria  ,Artoria  ,Artoria  ,elites,4,12,1,,<99>,,,,1313,,config/portrait/speedranktouxiang/img_1313.png,config/portrait/jinglingtouxiang/img_1313.png,config/portrait/jinglingtouxiang2/img_1313.png,config/portrait/simple/img_1313.png,config/big_hero/normal/img_1313.png,,,aertuoliya/aertuoliya.json,,config/big_hero/normal/img_1313.png,,,,<13131;13132;13133>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_saber.skel,250,,,,,,,
71393,,โฮมุระ อาเคมิ  ,Homura Akemi  ,Homura Akemi,Homura Akemi  ,Homura Akemi  ,Homura Akemi  ,Homura Akemi  ,elites,4,2,16,,<99>,,,,1393,,config/portrait/speedranktouxiang/img_1393.png,config/portrait/jinglingtouxiang/img_1393.png,config/portrait/jinglingtouxiang2/img_1393.png,config/portrait/simple/img_1393.png,config/big_hero/normal/img_1393.png,,,xiaomeiyan/xiaomeiyan.json,,config/big_hero/normal/img_1393.png,,,,<13931;13932;13933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_xiaomeiyan.skel,260,,,,,,,
71394,,เออร์ซ่า  ,Erza  ,Erza,Erza  ,Erza  ,Erza  ,Erza  ,elites,3,9,12,,<99>,,,,1381,,config/portrait/speedranktouxiang/img_1381.png,config/portrait/jinglingtouxiang/img_1381.png,config/portrait/jinglingtouxiang2/img_1381.png,config/portrait/simple/img_1381.png,config/big_hero/normal/img_1381.png,,,ailusha/ailusha.json,,config/big_hero/normal/img_1381.png,,,,<13941;13942;13943>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_ailusha.png,240,,,,,,,
71423,,ไซตามะ  ,Saitama  ,Saitama,Saitama  ,Saitama  ,Saitama  ,Saitama  ,elites,4,7,9,,<99>,,,,1423,,config/portrait/speedranktouxiang/img_1423.png,config/portrait/jinglingtouxiang/img_1423.png,config/portrait/jinglingtouxiang2/img_1423.png,config/portrait/simple/img_1423.png,config/big_hero/normal/img_1423.png,,,qiyu/qiyu.json,,config/big_hero/normal/img_1423.png,,,,<14231;14232;14233>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_qiyv.skel,260,,,,,,,
71503,,เมเปิ้ล  ,Maple  ,Maple,Maple  ,Maple  ,Maple  ,Maple  ,elites,4,8,9,,<99>,,,,1503,,config/portrait/speedranktouxiang/img_1503.png,config/portrait/jinglingtouxiang/img_1503.png,config/portrait/jinglingtouxiang2/img_1503.png,config/portrait/simple/img_1503.png,config/big_hero/normal/img_1503.png,,,meipulu/meipulu.json,,config/big_hero/normal/img_1503.png,,,,<15031;15032;15033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_meipulu.skel,260,,,,,,,
71612,,แบล็ก ร็อก ชูตเตอร์  ,Black Rock Shooter  ,Black Rock Shooter,Black Rock Shooter  ,Black Rock Shooter  ,Black Rock Shooter  ,Black Rock Shooter  ,elites,3,13,2,,<99>,,,,1612,,config/portrait/speedranktouxiang/img_1612.png,config/portrait/jinglingtouxiang/img_1612.png,config/portrait/jinglingtouxiang2/img_1612.png,config/portrait/simple/img_1612.png,config/big_hero/normal/img_1612.png,,,heiyansheshou/heiyansheshou.json,,config/big_hero/normal/img_1612.png,,,,<16121;16122;16123>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_heiyansheshou.png,240,,,,,,,
71772,,ฌาน  ,Jeanne  ,Jeanne,Jeanne  ,Jeanne  ,Jeanne  ,Jeanne  ,elites,3,,14,,<99>,,,,1772,,config/portrait/speedranktouxiang/img_1772.png,config/portrait/jinglingtouxiang/img_1772.png,config/portrait/jinglingtouxiang2/img_1772.png,config/portrait/simple/img_1772.png,config/big_hero/normal/img_1772.png,,,zhende/zhende.json,,config/big_hero/normal/img_1772.png,,,<17727>,<17721;17722;17723>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_zhende.png,240,,,,,,,
71813,,ไอนซ์ อูล โกว์น  ,Ainz Ooal Gown  ,Ainz Ooal Gown,Ainz Ooal Gown  ,Ainz Ooal Gown  ,Ainz Ooal Gown  ,Ainz Ooal Gown  ,elites,3,14,16,,<99>,,,,1813,,config/portrait/speedranktouxiang/img_1813.png,config/portrait/jinglingtouxiang/img_1813.png,config/portrait/jinglingtouxiang2/img_1813.png,config/portrait/simple/img_1813.png,config/big_hero/normal/img_1813.png,,,guwang/guwang.json,,config/big_hero/normal/img_1813.png,,,,<18131;18132;18133>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_anzi.png,240,,,,,,,
71841,,ดวงจันทร์แห่งความเป็นและความตาย  ,Death Moon  ,Tử Sinh Nguyệt,Bulan Kelahiran dan Kematian  ,Bulan Hidup Mati  ,Death Moon  ,Death Moon  ,elites,3,4,15,,<99>,,,,1841,,config/portrait/speedranktouxiang/img_1841.png,config/portrait/jinglingtouxiang/img_1841.png,config/portrait/jinglingtouxiang2/img_1841.png,config/portrait/simple/img_1841.png,config/big_hero/normal/img_1841.png,,,shashengwan/shashengwan.json,,config/big_hero/normal/img_1841.png,,,,<18411;18412;18413>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_shashengwan.png,240,,,,,,,
71893,,อิคารุส  ,Icarus  ,Icarus,Icarus  ,Icarus  ,Icarus  ,Icarus  ,elites,4,17,10,,<99>,,,,1893,,config/portrait/speedranktouxiang/img_1893.png,config/portrait/jinglingtouxiang/img_1893.png,config/portrait/jinglingtouxiang2/img_1893.png,config/portrait/simple/img_1893.png,config/big_hero/normal/img_1893.png,,,yikaluosi/yikaluosi.json,,config/big_hero/normal/img_1893.png,,,,<18931;18932;18933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_yikaluosi.skel,260,,,,,,,
71903,,กัปตันอเมริกา  ,Captain America  ,Đội Trưởng Mỹ,Kapten Amerika  ,Kapten Amerika  ,Captain America  ,Captain America  ,elites,3,14,7,,<99>,,,,1903,,config/portrait/speedranktouxiang/img_1903.png,config/portrait/jinglingtouxiang/img_1903.png,config/portrait/jinglingtouxiang2/img_1903.png,config/portrait/simple/img_1903.png,config/big_hero/normal/img_1903.png,,,meiguoduizhangjiangshi/meiguoduizhangjiangshi.json,,config/big_hero/normal/img_1903.png,,,,<19031;19032;19033>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_meidui.png,240,,,,,,,
71911,,เคนจิโร่  ,Kenjiro  ,Kenjiro,Kenjiro  ,Kenjiro  ,Kenjiro  ,Kenjiro  ,elites,3,13,7,,<99>,,,,1911,,config/portrait/speedranktouxiang/img_1911.png,config/portrait/jinglingtouxiang/img_1911.png,config/portrait/jinglingtouxiang2/img_1911.png,config/portrait/simple/img_1911.png,config/big_hero/normal/img_1911.png,,,jiancilang/jiancilang.json,,config/big_hero/normal/img_1911.png,,,<19114>,<19111;19112;19113>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_jiancilang.png,240,,,,,,,
71931,,ซูเปอร์แมน  ,Superman  ,Siêu Nhân,Superman  ,Superman  ,Superman  ,Superhero  ,elites,3,14,11,,<99>,,,,1931,,config/portrait/speedranktouxiang/img_1931.png,config/portrait/jinglingtouxiang/img_1931.png,config/portrait/jinglingtouxiang2/img_1931.png,config/portrait/simple/img_1931.png,config/big_hero/normal/img_1931.png,,,chaorenjiangshi/chaorenjiangshi.json,,config/big_hero/normal/img_1931.png,,,,<19311;19312;19313>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_chaoren.png,210,,,,,,,
71941,,สัตว์สาวสวรรค์  ,Celestial Beast  ,Thiên Nữ Thú,Binatang Surgawi Wanita  ,Binatang Perawan Syurga  ,Celestial Beast  ,Heavenly Maiden Beast  ,elites,4,10,1,,<99>,,,,1941,,config/portrait/speedranktouxiang/img_1941.png,config/portrait/jinglingtouxiang/img_1941.png,config/portrait/jinglingtouxiang2/img_1941.png,config/portrait/simple/img_1941.png,config/big_hero/normal/img_1941.png,,,tiannvshou/tiannvshou.json,,config/big_hero/normal/img_1941.png,,,,<19411;19412;19413>,1951,19414,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_tiannvshou.skel,260,,,,,,,
71951,,สัตว์ผู้สื่อสารจากสวรรค์  ,Celestial Angel Beast  ,Thiên Sứ Thú,Binatang Malaikat  ,Binatang Malaikat  ,Celestial Angel Beast  ,Heavenly Messenger Beast  ,elites,4,10,1,,<99>,,,,1951,,config/portrait/speedranktouxiang/img_1951.png,config/portrait/jinglingtouxiang/img_1951.png,config/portrait/jinglingtouxiang2/img_1951.png,config/portrait/simple/img_1951.png,config/big_hero/normal/img_1951.png,,,tianshishou/tianshishou.json,,config/big_hero/normal/img_1951.png,,,,<19511;19512;19513>,1941,19514,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_tianshishou.skel,260,,,,,,,
72023,,เครโทส  ,Kratos  ,Kratos,Kratos  ,Kratos  ,Kratos  ,Kratos  ,elites,3,15,2,,<99>,,,,2023,,config/portrait/speedranktouxiang/img_2023.png,config/portrait/jinglingtouxiang/img_2023.png,config/portrait/jinglingtouxiang2/img_2023.png,config/portrait/simple/img_2023.png,config/big_hero/normal/img_2023.png,,,kuituosi/kuituosi.json,putong,config/big_hero/normal/img_2023.png,,,,<20231;20232;20233>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_kuituosi.png,240,,,,,,,
72033,,คาเนกิ เคน  ,Kaneki Ken  ,Kaneki Ken,Kaneki Ken  ,Kaneki Ken  ,Kaneki Ken  ,Kaneki Ken  ,elites,3,16,9,,<99>,,,,2033,,config/portrait/speedranktouxiang/img_2033.png,config/portrait/jinglingtouxiang/img_2033.png,config/portrait/jinglingtouxiang2/img_2033.png,config/portrait/simple/img_2033.png,config/big_hero/normal/img_2033.png,,,jinmuyan/jinmuyan.json,,config/big_hero/normal/img_2033.png,,,,<20331;20332;20333>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_jinmuyan.png,240,,,,,,,
72233,,เบจิต้า  ,Vegeta  ,Vegeta,Vegeta  ,Vegeta  ,Vegeta  ,Vegeta  ,elites,4,11,7,,<99>,,,,2233,,config/portrait/speedranktouxiang/img_2233.png,config/portrait/jinglingtouxiang/img_2233.png,config/portrait/jinglingtouxiang2/img_2233.png,config/portrait/simple/img_2233.png,config/big_hero/normal/img_2233.png,,,beijita/beijita.json,,config/big_hero/normal/img_2233.png,,,,<22331;22332;22333>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_beijita.skel,240,,,,,,,
72242,,ฮินาตะ ฮยูงะ  ,Hinata Hyuga  ,Hinata Hyuga,Hinata Hyuga  ,Hinata Hyuga  ,Hinata Hyuga  ,Hinata Hyuga  ,elites,3,18,7,,<99>,,,,2242,,config/portrait/speedranktouxiang/img_2242.png,config/portrait/jinglingtouxiang/img_2242.png,config/portrait/jinglingtouxiang2/img_2242.png,config/portrait/simple/img_2242.png,config/big_hero/normal/img_2242.png,,,rixiangchutian/rixiangchutian.json,,config/big_hero/normal/img_2242.png,,,,<22421;22422;22423>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_rixiang.png,240,,,,,,,
72401,,สึกิโนะ อุซางิ (กระต่ายแห่งดวงจันทร์)  ,Tsukino Usagi (Moon Rabbit)  ,Tsukino Usagi (Tháng Dã Thỏ),Tsukino Usagi (Kelinci Tháng)  ,Tsukino Usagi (Arnab Bulan)  ,Tsukino Usagi (Moon Rabbit)  ,Tsukino Usagi (Wild Month Rabbit)  ,elites,4,3,11,,<99>,,,,2401,,config/portrait/speedranktouxiang/img_2401.png,config/portrait/jinglingtouxiang/img_2401.png,config/portrait/jinglingtouxiang2/img_2401.png,config/portrait/simple/img_2401.png,config/big_hero/normal/img_2401.png,,,yueyetu/yueyetu.json,xinyue,config/big_hero/normal/img_2401.png,,,<24017>,<24011;24012;24013>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_yueyetu.skel,260,,,,,,,
72493,,กิลกาเมช  ,Gilgamesh  ,Gilgamesh,Gilgamesh  ,Gilgamesh  ,Gilgamesh  ,Gilgamesh  ,elites,4,11,15,,<99>,,,,2493,,config/portrait/speedranktouxiang/img_2493.png,config/portrait/jinglingtouxiang/img_2493.png,config/portrait/jinglingtouxiang2/img_2493.png,config/portrait/simple/img_2493.png,config/big_hero/normal/img_2493.png,,,jinshanshan/jinshanshan.json,,config/big_hero/normal/img_2493.png,,,,<24931;24932;24933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_jierjiameishi.skel,260,,,,,,,
72723,,เอ็ดเวิร์ด  ,Edward  ,Edward,Edward  ,Edward  ,Edward  ,Edward  ,elites,3,13,9,,<99>,,,,2723,,config/portrait/speedranktouxiang/img_2723.png,config/portrait/jinglingtouxiang/img_2723.png,config/portrait/jinglingtouxiang2/img_2723.png,config/portrait/simple/img_2723.png,config/big_hero/normal/img_2723.png,,,aidehua/aidehua.json,,config/big_hero/normal/img_2723.png,,,,<27231;27232;27233>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_aidehua.png,240,,,,,,,
73003,,เรย์ อายานามิ  ,Rei Ayanami  ,Rei Ayanami,Rei Ayanami  ,Rei Ayanami  ,Rei Ayanami  ,Rei Ayanami  ,elites,3,4,17,,<99>,,,,3003,,config/portrait/speedranktouxiang/img_3003.png,config/portrait/jinglingtouxiang/img_3003.png,config/portrait/jinglingtouxiang2/img_3003.png,config/portrait/simple/img_3003.png,config/big_hero/normal/img_3003.png,,,lingboli/lingboli.json,,config/big_hero/normal/img_3003.png,,,,<30031;30032;30033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_lingboli.png,240,,,,,,,
73021,,ลิชคิง  ,Lich King  ,Lich King,Lich King  ,Raja Lich  ,Lich King  ,Lich King  ,elites,4,6,11,,<99>,,,,3021,,config/portrait/speedranktouxiang/img_3021.png,config/portrait/jinglingtouxiang/img_3021.png,config/portrait/jinglingtouxiang2/img_3021.png,config/portrait/simple/img_3021.png,config/big_hero/normal/img_3021.png,,,wuyaowang/wuyaowang.json,,config/big_hero/normal/img_3021.png,,,<30214>,<30211;30212;30213>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_wuyaowang.skel,240,,,,,,,
73143,,คิริซาเมะ มาริสะ  ,Kirisame Marisa  ,Kirisame Marisa,Kirisame Marisa  ,Kirisame Marisa  ,Kirisame Marisa  ,Kirisame Marisa  ,elites,4,2,13,,<99>,,,,3143,,config/portrait/speedranktouxiang/img_3143.png,config/portrait/jinglingtouxiang/img_3143.png,config/portrait/jinglingtouxiang2/img_3143.png,config/portrait/simple/img_3143.png,config/big_hero/normal/img_3143.png,,,wuyumolisha/wuyumolisha.json,,config/big_hero/normal/img_3143.png,,,,<31431;31432;31433>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_wuyvmolisha.skel,240,,,,,,,
73152,,ชานะ  ,Shana  ,Shana,Shana  ,Shana  ,Shana  ,Shana  ,elites,3,12,2,,<99>,,,,3152,,config/portrait/speedranktouxiang/img_3152.png,config/portrait/jinglingtouxiang/img_3152.png,config/portrait/jinglingtouxiang2/img_3152.png,config/portrait/simple/img_3152.png,config/big_hero/normal/img_3152.png,,,xiana/xiana.json,,config/big_hero/normal/img_3152.png,,,,<31521;31522;31523>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_xiana.png,240,,,,,,,
73161,,เบลล์แดนดี้  ,Belldandy  ,Belldandy,Belldandy  ,Belldandy  ,Belldandy  ,Belldandy  ,elites,3,,15,,<99>,,,,3161,,config/portrait/speedranktouxiang/img_3161.png,config/portrait/jinglingtouxiang/img_3161.png,config/portrait/jinglingtouxiang2/img_3161.png,config/portrait/simple/img_3161.png,config/big_hero/normal/img_3161.png,,,beiludandi/beiludandi.json,,config/big_hero/normal/img_3161.png,,,,<31611;31612;31613>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_beilu.png,240,,,,,,,
