VariableName,advanceIndex,advanceLevel,advanceName,advanceName_vn,advanceName_tw,advanceName_kr,advanceName_en,advanceName_th,advanceName_in,advanceName_ph,advanceName_ma,advanceLimitType,advanceLimitNum,advanceSeqID,sceneType,attrType1,attrNum1,attrType2,attrNum2
5111,17,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,17,<2>,25,750,,
5201,18,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
5202,18,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,18,<6>,9,10%,10,10%
5203,18,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,18,<6>,7,10%,8,10%
5204,18,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,18,<6>,1,10%,,
5205,18,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,18,<6>,11,500,12,500
5206,18,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,18,<6>,14,500,,
5207,18,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,18,<6>,16,500,,
5208,18,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,18,<6>,22,750,,
5209,18,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,18,<6>,23,750,,
5210,18,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,18,<6>,24,750,,
5211,18,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,18,<6>,25,750,,
5301,19,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
5302,19,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,19,<10>,9,10%,10,10%
5303,19,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,19,<10>,7,10%,8,10%
5304,19,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,19,<10>,1,10%,,
5305,19,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,19,<10>,11,500,12,500
5306,19,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,19,<10>,14,500,,
5307,19,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,19,<10>,16,500,,
5308,19,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,19,<10>,22,750,,
5309,19,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,19,<10>,23,750,,
5310,19,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,19,<10>,24,750,,
5311,19,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,19,<10>,25,750,,
5401,20,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
5402,20,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,20,<12>,9,10%,10,10%
5403,20,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,20,<12>,7,10%,8,10%
5404,20,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,20,<12>,1,10%,,
5405,20,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,20,<12>,11,500,12,500
5406,20,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,20,<12>,14,500,,
5407,20,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,20,<12>,16,500,,
5408,20,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,20,<12>,22,750,,
5409,20,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,20,<12>,23,750,,
5410,20,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,20,<12>,24,750,,
5411,20,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,20,<12>,25,750,,
