VariableName,groupID,type,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,unlock,isShow,targetType,targetType2,targetArg1,targetArg2,award,sort
315,301,,Total 50 heroes fallen,Tổng cộng có 50 anh hùng tử trận,Total 50 heroes fallen,มีฮีโร่ตายรวม 50 คน,Total 50 pahlawan gugur,May kabuuang 50 bayani na namatay,Jumlah 50 wira gugur,,,5,,50,,{901=10;gold=150000;526=2},
316,301,,Total earn 30 badges,Tổng cộng nhận được 30 huy hiệu,Total earn 30 badges,ได้รับเหรียญรางวัลรวม 30 เหรียญ,Total mendapatkan 30 lencana,Nakakuha ng kabuuang 30 badge,Total memperolehi 30 lencana,,,6,,30,,{901=5;951=5;gold=50000},
317,301,,Total earn 50 badges,Tổng cộng nhận được 50 huy hiệu,Total earn 50 badges,ได้รับเหรียญรางวัลรวม 50 เหรียญ,Total mendapatkan 50 lencana,Nakakuha ng kabuuang 50 badge,Total memperolehi 50 lencana,,,6,,50,,{901=5;951=5;gold=100000},
318,301,,Total earn 100 badges,Tổng cộng nhận được 100 huy hiệu,Total earn 100 badges,ได้รับเหรียญรางวัลรวม 100 เหรียญ,Total mendapatkan 100 lencana,Nakakuha ng kabuuang 100 badge,Total memperolehi 100 lencana,,,6,,100,,{901=10;gold=150000;526=2},
319,301,2,Unlock Dialga,Mở khóa Dialga,Unlock Dialga,ปลดล็อก Dialga,Membuka Dialga,I-unlock ang Dialga,Buka kunci Dialga,,,2,,72351,,{930=10;901=5;503=1},
320,301,2,Unlock Palkia,Mở khóa Palkia,Unlock Palkia,ปลดล็อก Palkia,Membuka Palkia,I-unlock ang Palkia,Buka kunci Palkia,,,2,,72361,,{930=10;901=5;503=1},
321,301,2,Unlock Giratina,Mở khóa Giratina,Unlock Giratina,ปลดล็อก Giratina,Membuka Giratina,I-unlock ang Giratina,Buka kunci Giratina,,,2,,72391,,{502=3;901=5;503=1},
322,301,2,Unlock Zekrom,Mở khóa Zekrom,Unlock Zekrom,ปลดล็อก Zekrom,Membuka Zekrom,I-unlock ang Zekrom,Buka kunci Zekrom,,,2,,73221,,{930=10;901=5;503=1},
323,301,2,Unlock Reshiram,Mở khóa Reshiram,Unlock Reshiram,ปลดล็อก Reshiram,Membuka Reshiram,I-unlock ang Reshiram,Buka kunci Reshiram,,,2,,73211,,{502=3;503=1;gold=150000},
324,301,2,Unlock Kyurem,Mở khóa Kyurem,Unlock Kyurem,ปลดล็อก Kyurem,Membuka Kyurem,I-unlock ang Kyurem,Buka kunci Kyurem,,,2,,73241,,{502=5;503=1;5000=10},
325,301,2,Unlock Rayquaza,Mở khóa Rayquaza,Unlock Rayquaza,ปลดล็อก Rayquaza,Membuka Rayquaza,I-unlock ang Rayquaza,Buka kunci Rayquaza,,,2,,71981,,{502=5;503=1;5000=10},
326,301,2,Unlock Mega Rayquaza,Mở khóa Mega Rayquaza,Unlock Mega Rayquaza,ปลดล็อก Mega Rayquaza,Membuka Mega Rayquaza,I-unlock ang Mega Rayquaza,Buka kunci Mega Rayquaza,,,2,,71982,,{502=5;503=2;gold=250000},
327,301,2,Unlock Regigigas,Mở khóa Regigigas,Unlock Regigigas,ปลดล็อก Regigigas,Membuka Regigigas,I-unlock ang Regigigas,Buka kunci Regigigas,,,2,,72381,,{930=10;901=5;503=1},
401,401,,Clear the stage 2 times,Vượt ải 2 lần,Clear the stage 2 times,ผ่านด่าน 2 ครั้ง,Menyelesaikan stage 2 kali,Nalampasan ang yugto ng 2 beses,Melepasi peringkat 2 kali,,,,,2,,{901=5;951=5;gold=50000},
402,401,,Clear the stage 3 times,Vượt ải 3 lần,Clear the stage 3 times,ผ่านด่าน 3 ครั้ง,Menyelesaikan stage 3 kali,Nalampasan ang yugto ng 3 beses,Melepasi peringkat 3 kali,,,,,3,,{901=5;951=5;gold=80000},
403,401,,Clear the stage 5 times,Vượt ải 5 lần,Clear the stage 5 times,ผ่านด่าน 5 ครั้ง,Menyelesaikan stage 5 kali,Nalampasan ang yugto ng 5 beses,Melepasi peringkat 5 kali,,,,,5,,{901=5;951=5;gold=100000},
404,401,,Clear the stage 10 times,Vượt ải 10 lần,Clear the stage 10 times,ผ่านด่าน 10 ครั้ง,Menyelesaikan stage 10 kali,Nalampasan ang yugto ng 10 beses,Melepasi peringkat 10 kali,,,,,10,,{901=10;gold=150000;526=1},
405,401,,Shortest rounds less than or equal to 60,Số lượt ngắn nhất nhỏ hơn hoặc bằng 60,Shortest rounds less than or equal to 60,จำนวนรอบสั้นที่สุดไม่เกิน 60,Jumlah putaran tercepat kurang dari atau sama dengan 60,Pinakamaikling bilang ng round ay hindi lalampas sa 60,Round terpendek kurang dari atau sama dengan 60,,,3,,60,,{901=5;951=5;gold=50000},
406,401,,Shortest rounds less than or equal to 48,Số lượt ngắn nhất nhỏ hơn hoặc bằng 48,Shortest rounds less than or equal to 48,จำนวนรอบสั้นที่สุดไม่เกิน 48,Jumlah putaran tercepat kurang dari atau sama dengan 48,Pinakamaikling bilang ng round ay hindi lalampas sa 48,Round terpendek kurang dari atau sama dengan 48,,,3,,48,,{901=5;951=5;gold=80000},
407,401,,Shortest rounds less than or equal to 36,Số lượt ngắn nhất nhỏ hơn hoặc bằng 36,Shortest rounds less than or equal to 36,จำนวนรอบสั้นที่สุดไม่เกิน 36,Jumlah putaran tercepat kurang dari atau sama dengan 36,Pinakamaikling bilang ng round ay hindi lalampas sa 36,Round terpendek kurang dari atau sama dengan 36,,,3,,36,,{901=5;951=5;gold=100000},
408,401,,Shortest rounds less than or equal to 24,Số lượt ngắn nhất nhỏ hơn hoặc bằng 24,Shortest rounds less than or equal to 24,จำนวนรอบสั้นที่สุดไม่เกิน 24,Jumlah putaran tercepat kurang dari atau sama dengan 24,Pinakamaikling bilang ng round ay hindi lalampas sa 24,Round terpendek kurang dari atau sama dengan 24,,,3,,24,,{901=10;gold=150000;526=1},
409,401,,Total kill 120 monsters,Tổng cộng tiêu diệt 120 quái vật,Total kill 120 monsters,รวมกำจัดมอนสเตอร์ 120 ตัว,Total membunuh 120 monster,Tinanggal ang kabuuang 120 halimaw,Jumlah membunuh 120 monster,,,4,,120,,{901=5;951=5;gold=50000},
410,401,,Total kill 240 monsters,Tổng cộng tiêu diệt 240 quái vật,Total kill 240 monsters,รวมกำจัดมอนสเตอร์ 240 ตัว,Total membunuh 240 monster,Tinanggal ang kabuuang 240 halimaw,Jumlah membunuh 240 monster,,,4,,240,,{901=5;951=5;gold=100000},
411,401,,Total kill 480 monsters,Tổng cộng tiêu diệt 480 quái vật,Total kill 480 monsters,รวมกำจัดมอนสเตอร์ 480 ตัว,Total membunuh 480 monster,Tinanggal ang kabuuang 480 halimaw,Jumlah membunuh 480 monster,,,4,,480,,{901=10;gold=150000;526=1},
412,401,,Total 5 heroes fallen,Tổng cộng có 5 anh hùng tử trận,Total 5 heroes fallen,มีฮีโร่ตายรวม 5 คน,Total 5 pahlawan gugur,May kabuuang 5 bayani na namatay,Jumlah 5 wira gugur,,,5,,5,,{901=5;951=5;gold=50000},
413,401,,Total 15 heroes fallen,Tổng cộng có 15 anh hùng tử trận,Total 15 heroes fallen,มีฮีโร่ตายรวม 15 คน,Total 15 pahlawan gugur,May kabuuang 15 bayani na namatay,Jumlah 15 wira gugur,,,5,,15,,{901=5;951=5;gold=80000},
414,401,,Total 30 heroes fallen,Tổng cộng có 30 anh hùng tử trận,Total 30 heroes fallen,มีฮีโร่ตายรวม 30 คน,Total 30 pahlawan gugur,May kabuuang 30 bayani na namatay,Jumlah 30 wira gugur,,,5,,30,,{901=5;951=5;gold=100000},
415,401,,Total 50 heroes fallen,Tổng cộng có 50 anh hùng tử trận,Total 50 heroes fallen,มีฮีโร่ตายรวม 50 คน,Total 50 pahlawan gugur,May kabuuang 50 bayani na namatay,Jumlah 50 wira gugur,,,5,,50,,{901=10;gold=150000;526=2},
416,401,,Total earn 30 badges,Tổng cộng nhận được 30 huy hiệu,Total earn 30 badges,ได้รับเหรียญรางวัลรวม 30 เหรียญ,Total mendapatkan 30 lencana,Nakakuha ng kabuuang 30 badge,Total memperolehi 30 lencana,,,6,,30,,{901=5;951=5;gold=50000},
417,401,,Total earn 50 badges,Tổng cộng nhận được 50 huy hiệu,Total earn 50 badges,ได้รับเหรียญรางวัลรวม 50 เหรียญ,Total mendapatkan 50 lencana,Nakakuha ng kabuuang 50 badge,Total memperolehi 50 lencana,,,6,,50,,{901=5;951=5;gold=100000},
418,401,,Total earn 100 badges,Tổng cộng nhận được 100 huy hiệu,Total earn 100 badges,ได้รับเหรียญรางวัลรวม 100 เหรียญ,Total mendapatkan 100 lencana,Nakakuha ng kabuuang 100 badge,Total memperolehi 100 lencana,,,6,,100,,{901=10;gold=150000;526=2},
419,401,2,Unlock Mewtwo,Mở khóa Mewtwo,Unlock Mewtwo,ปลดล็อก Mewtwo,Membuka Mewtwo,I-unlock ang Mewtwo,Buka kunci Mewtwo,,,2,,90761,,{930=10;901=5;503=1},
420,401,2,Unlock Groudon,Mở khóa Groudon,Unlock Groudon,ปลดล็อก Groudon,Membuka Groudon,I-unlock ang Groudon,Buka kunci Groudon,,,2,,91971,,{930=10;901=5;503=1},
421,401,2,Unlock Rayquaza,Mở khóa Rayquaza,Unlock Rayquaza,ปลดล็อก Rayquaza,Membuka Rayquaza,I-unlock ang Rayquaza,Buka kunci Rayquaza,,,2,,91981,,{502=3;901=5;503=1},
422,401,2,Unlock Hoopa (Unleashed),Mở khóa Hoopa (Giải phóng),Unlock Hoopa (Unleashed),ปลดล็อก Hoopa (ปลดปล่อย),Membuka Hoopa (Dilepaskan),I-unlock ang Hoopa (Pinakawalan),Buka kunci Hoopa (Dilepaskan),,,2,,93642,,{930=10;901=5;503=1},
423,401,2,Unlock Kyurem,Mở khóa Kyurem,Unlock Kyurem,ปลดล็อก Kyurem,Membuka Kyurem,I-unlock ang Kyurem,Buka kunci Kyurem,,,2,,93241,,{502=3;503=1;gold=150000},
424,401,2,Unlock Melmetal,Mở khóa Melmetal,Unlock Melmetal,ปลดล็อก Melmetal,Membuka Melmetal,I-unlock ang Melmetal,Buka kunci Melmetal,,,2,,94172,,{502=5;503=1;5000=10},
425,401,2,Unlock Zekrom,Mở khóa Zekrom,Unlock Zekrom,ปลดล็อก Zekrom,Membuka Zekrom,I-unlock ang Zekrom,Buka kunci Zekrom,,,2,,93221,,{502=5;503=1;5000=10},
426,401,2,Unlock Dialga,Mở khóa Dialga,Unlock Dialga,ปลดล็อก Dialga,Membuka Dialga,I-unlock ang Dialga,Buka kunci Dialga,,,2,,92351,,{502=5;503=2;gold=250000},
427,401,2,Unlock Palkia,Mở khóa Palkia,Unlock Palkia,ปลดล็อก Palkia,Membuka Palkia,I-unlock ang Palkia,Buka kunci Palkia,,,2,,92361,,{930=10;901=5;503=1},
