VariableName,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_vn,weatherDesc_en,weatherDesc_th,weatherDesc_in,weatherDesc_ph,weatherDesc_ma,palce,palce_vn,palce_en,palce_th,palce_in,palce_ph,palce_ma,placeDesc,placeDesc_vn,placeDesc_en,placeDesc_th,placeDesc_in,placeDesc_ph,placeDesc_ma,specialEff,specialEffDesc,specialEffDesc_vn,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_th,specialEffDesc_in,specialEffDesc_ph,specialEffDesc_ma
80125,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80126,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80131,,,2,14,1,,,,,12,,,"Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,,"Enemy spirits’ speed increases widely /n Cavalry, archers, and warriors’ attack increases widely",Địch quân toàn thể tinh linh tốc độ tăng lên trên diện rộng /n Mã nữu kéo thủ hiệp vật công tăng lên trên diện rộng,,"Enemy spirits’ speed increases widely /n Cavalry, archers, and warriors’ attack increases widely",ความเร็วของจิตวิญญาณศัตรูทั้งหมดเพิ่มขึ้นอย่างกว้างขวาง /n การโจมตีของทหารม้า ธนู และนักรบเพิ่มขึ้นอย่างกว้างขวาง,"Kecepatan semua roh musuh meningkat secara luas /n Serangan kavaleri, pemanah, dan prajurit meningkat secara luas","Ang bilis ng lahat ng kaluluwa ng kalaban ay tumataas nang malawakan /n Ang atake ng mga kabalyero, mamamana, at mandirigma ay tumataas nang malawakan","Kelajuan semua roh musuh meningkat secara meluas /n Serangan kavaleri, pemanah, dan pahlawan meningkat secara meluas"
80132,,,2,14,,,,,,12,,,"Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Mưa (Tăng tốc độ cho linh thú hệ nước, giảm sát thương của linh thú hệ lửa, vào cuối mỗi vòng lớn sẽ xóa bỏ một phần hiệu ứng xấu của toàn bộ linh thú) /n Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",ฝน (เพิ่มความเร็วให้สัตว์เลี้ยงธาตุน้ำ ลดความเสียหายจากสัตว์เลี้ยงธาตุไฟ ในตอนท้ายของแต่ละรอบใหญ่จะลบผลกระทบเชิงลบบางส่วนจากสัตว์เลี้ยงทั้งหมด) /n หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Hujan (Meningkatkan kecepatan untuk hewan peliharaan elemen Air, mengurangi kerusakan dari hewan peliharaan elemen Api, di akhir setiap ronde besar menghapus beberapa efek negatif dari semua hewan peliharaan) /n Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Ulan (Pinapataas ang bilis para sa mga Water element na alagang hayop, binabawasan ang pinsala mula sa Fire element na alagang hayop, sa katapusan ng bawat malaking round ay tinatanggal ang ilang negatibong epekto mula sa lahat ng alagang hayop) /n Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Hujan (Meningkatkan kelajuan untuk haiwan peliharaan elemen Air, mengurangkan kerosakan dari haiwan peliharaan elemen Api, pada akhir setiap pusingan besar menghapuskan sebahagian kesan negatif dari semua haiwan peliharaan) /n Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,<<<3>;1;0;6%>>,,,,,,,,
80133,,,2,14,1,,,,,12,,,"Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Mưa (Tăng tốc độ cho linh thú hệ nước, giảm sát thương của linh thú hệ lửa, vào cuối mỗi vòng lớn sẽ xóa bỏ một phần hiệu ứng xấu của toàn bộ linh thú) /n Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",ฝน (เพิ่มความเร็วให้สัตว์เลี้ยงธาตุน้ำ ลดความเสียหายจากสัตว์เลี้ยงธาตุไฟ ในตอนท้ายของแต่ละรอบใหญ่จะลบผลกระทบเชิงลบบางส่วนจากสัตว์เลี้ยงทั้งหมด) /n หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Hujan (Meningkatkan kecepatan untuk hewan peliharaan elemen Air, mengurangi kerusakan dari hewan peliharaan elemen Api, di akhir setiap ronde besar menghapus beberapa efek negatif dari semua hewan peliharaan) /n Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Ulan (Pinapataas ang bilis para sa mga Water element na alagang hayop, binabawasan ang pinsala mula sa Fire element na alagang hayop, sa katapusan ng bawat malaking round ay tinatanggal ang ilang negatibong epekto mula sa lahat ng alagang hayop) /n Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Hujan (Meningkatkan kelajuan untuk haiwan peliharaan elemen Air, mengurangkan kerosakan dari haiwan peliharaan elemen Api, pada akhir setiap pusingan besar menghapuskan sebahagian kesan negatif dari semua haiwan peliharaan) /n Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,<<<3>;14;0;4000>;<<3>;15;0;5000>;<<3>;5;0;5000>;<<3>;24;0;2000>>,,,,,,,,
80134,,,2,14,,,,,,12,,,"Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Mưa (Tăng tốc độ cho linh thú hệ nước, giảm sát thương của linh thú hệ lửa, vào cuối mỗi vòng lớn sẽ xóa bỏ một phần hiệu ứng xấu của toàn bộ linh thú) /n Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",ฝน (เพิ่มความเร็วให้สัตว์เลี้ยงธาตุน้ำ ลดความเสียหายจากสัตว์เลี้ยงธาตุไฟ ในตอนท้ายของแต่ละรอบใหญ่จะลบผลกระทบเชิงลบบางส่วนจากสัตว์เลี้ยงทั้งหมด) /n หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Hujan (Meningkatkan kecepatan untuk hewan peliharaan elemen Air, mengurangi kerusakan dari hewan peliharaan elemen Api, di akhir setiap ronde besar menghapus beberapa efek negatif dari semua hewan peliharaan) /n Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Ulan (Pinapataas ang bilis para sa mga Water element na alagang hayop, binabawasan ang pinsala mula sa Fire element na alagang hayop, sa katapusan ng bawat malaking round ay tinatanggal ang ilang negatibong epekto mula sa lahat ng alagang hayop) /n Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Hujan (Meningkatkan kelajuan untuk haiwan peliharaan elemen Air, mengurangkan kerosakan dari haiwan peliharaan elemen Api, pada akhir setiap pusingan besar menghapuskan sebahagian kesan negatif dari semua haiwan peliharaan) /n Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,<<<3>;15;0;5000>;<<3>;24;0;2000>>,"The fierce red Lý Long normally does not compete for power, but if provoked......","Màu đỏ bạo Lý Long bình thường không tranh quyền thế, nhưng nếu như chọc giận nó......",,"The fierce red Lý Long normally does not compete for power, but if provoked......",สีแดงดุดันของลี่หลงโดยปกติไม่แย่งชิงอำนาจ แต่ถ้าทำให้มันโกรธ......,"Merah garang Lý Long biasanya tidak bersaing untuk kekuasaan, tapi jika diprovokasi......","Ang matinding pulang Lý Long ay karaniwang hindi nakikipagpaligsahan para sa kapangyarihan, pero kung inisahin......","Merah ganas Lý Long biasanya tidak berebut kuasa, tetapi jika diprovokasi......"
80135,,,2,14,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80136,,,2,14,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80141,,,2,15,1,,,,,13,12,,"Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Mưa (Tăng tốc độ cho linh thú hệ nước, giảm sát thương của linh thú hệ lửa, vào cuối mỗi vòng lớn sẽ xóa bỏ một phần hiệu ứng xấu của toàn bộ linh thú) /n Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",ฝน (เพิ่มความเร็วให้สัตว์เลี้ยงธาตุน้ำ ลดความเสียหายจากสัตว์เลี้ยงธาตุไฟ ในตอนท้ายของแต่ละรอบใหญ่จะลบผลกระทบเชิงลบบางส่วนจากสัตว์เลี้ยงทั้งหมด) /n หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Hujan (Meningkatkan kecepatan untuk hewan peliharaan elemen Air, mengurangi kerusakan dari hewan peliharaan elemen Api, di akhir setiap ronde besar menghapus beberapa efek negatif dari semua hewan peliharaan) /n Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Ulan (Pinapataas ang bilis para sa mga Water element na alagang hayop, binabawasan ang pinsala mula sa Fire element na alagang hayop, sa katapusan ng bawat malaking round ay tinatanggal ang ilang negatibong epekto mula sa lahat ng alagang hayop) /n Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Hujan (Meningkatkan kelajuan untuk haiwan peliharaan elemen Air, mengurangkan kerosakan dari haiwan peliharaan elemen Api, pada akhir setiap pusingan besar menghapuskan sebahagian kesan negatif dari semua haiwan peliharaan) /n Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,<<<3>;1;0;10%>;<<3>;16;0;3000>>,,,,,,,,
80142,,,2,15,1,,,,,13,12,,"Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,<<<6>;1;0;10%>;<<6>;13;0;15%>>,,,,,,,,
80143,,,2,15,,,,,,13,12,,"Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Mưa (Tăng tốc độ cho linh thú hệ nước, giảm sát thương của linh thú hệ lửa, vào cuối mỗi vòng lớn sẽ xóa bỏ một phần hiệu ứng xấu của toàn bộ linh thú) /n Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets) /n Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",ฝน (เพิ่มความเร็วให้สัตว์เลี้ยงธาตุน้ำ ลดความเสียหายจากสัตว์เลี้ยงธาตุไฟ ในตอนท้ายของแต่ละรอบใหญ่จะลบผลกระทบเชิงลบบางส่วนจากสัตว์เลี้ยงทั้งหมด) /n หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Hujan (Meningkatkan kecepatan untuk hewan peliharaan elemen Air, mengurangi kerusakan dari hewan peliharaan elemen Api, di akhir setiap ronde besar menghapus beberapa efek negatif dari semua hewan peliharaan) /n Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Ulan (Pinapataas ang bilis para sa mga Water element na alagang hayop, binabawasan ang pinsala mula sa Fire element na alagang hayop, sa katapusan ng bawat malaking round ay tinatanggal ang ilang negatibong epekto mula sa lahat ng alagang hayop) /n Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Hujan (Meningkatkan kelajuan untuk haiwan peliharaan elemen Air, mengurangkan kerosakan dari haiwan peliharaan elemen Api, pada akhir setiap pusingan besar menghapuskan sebahagian kesan negatif dari semua haiwan peliharaan) /n Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,,"The super-level violent Snow King greatly enhances its power during the snowy weather, and releases an ultimate killing skill that eternally freezes a target (Cannot be dispelled)","Siêu cấp bạo tuyết vương tại tuyết thiên thời có thể lực lớn bức tăng cường, lại phóng thích tất sát kỹ lúc vĩnh cửu đóng băng một mục tiêu ( Không thể xua tan )",,"The super-level violent Snow King greatly enhances its power during the snowy weather, and releases an ultimate killing skill that eternally freezes a target (Cannot be dispelled)",ราชาหิมะโหดระดับซูเปอร์เพิ่มพลังอย่างมากในช่วงฤดูหิมะ และปล่อยทักษะสังหารขั้นสุดท้ายที่ทำให้เป้าหมายแข็งแกร่งตลอดกาล (ไม่สามารถขจัดได้),"Raja Salju ganas tingkat super sangat meningkatkan kekuatannya saat cuaca bersalju, dan melepaskan skill pembunuhan pamungkas yang membekukan target selamanya (Tidak bisa dihapus)","Ang super-level na marahas na Hari ng Snow King ay malaki ang pinapalakas na lakas sa panahon ng snow, at nagpapakawala ng ultimate killing skill na eternally nag-freeze ng isang target (Hindi maaaring alisin)","Raja Salji ganas tahap super meningkatkan kekuatannya dengan ketara semasa cuaca salji, dan melepaskan kemahiran pembunuhan utama yang membekukan sasaran untuk selama-lamanya (Tidak boleh dibersihkan)"
80144,,,2,15,,,,,,13,12,,,,,,,,,Field Ice Wind:,Băng phong sân bãi:,Field Ice Wind:,ลมเย็นสนามรบ:,Angin Es Lapangan:,Yelong Hangin sa Labanan:,Angin Ais Medan:,"Tù Rem activates Ice-Sealed Duel Arena: /n Prioritizes using ultimate attack on the target for a one-on-one execution duel, /n Also eternally freezes and hunts the target outside of the main one until death, /n The execution and eternal freeze cannot be immunized or dispelled.","Tù Rem mở ra băng phong giác đấu trường: /n Lựa chọn sử dụng công kích tối cao mục tiêu vì săn giết mục tiêu một đối một quyết đấu, /n Cũng vĩnh cửu đóng băng săn giết mục tiêu bên ngoài toàn bộ mục tiêu, đến chết mới thôi /n Săn giết cùng vĩnh cửu đóng băng không cách nào miễn dịch cùng xua tan","Tù Rem activates Ice-Sealed Duel Arena: /n Prioritizes using ultimate attack on the target for a one-on-one execution duel, /n Also eternally freezes and hunts the target outside of the main one until death, /n The execution and eternal freeze cannot be immunized or dispelled.","ทู เรม เปิดใช้เวทีต่อสู้พันธนาการน้ำแข็ง: /n เลือกใช้การโจมตีสูงสุดกับเป้าหมายเพื่อล่าศัตรูแบบดวลตัวต่อตัว, /n และยังแช่แข็งตลอดกาลพร้อมกับล่าเป้าหมายอื่นนอกเหนือจากเป้าหมายหลักจนกว่าจะตาย, /n การล่าและการแช่แข็งถาวรไม่สามารถต้านทานหรือขจัดได้","Tù Rem mengaktifkan Arena Duel Beku: /n Memilih menggunakan serangan pamungkas pada target dalam duel satu lawan satu untuk memburu, /n Juga membekukan secara permanen dan memburu target lain di luar target utama hingga mati, /n Pemburuan dan pembekuan abadi tidak bisa diimunisasi atau dihilangkan.","Ina-activate ni Tù Rem ang Ice-Sealed Duel Arena: /n Pinipili ang paggamit ng ultimate attack sa target para sa one-on-one na pagpatay, /n At isinabay ang walang hanggang pagyeyelo at paghabol sa lahat ng target maliban sa pangunahing isa hanggang mamatay, /n Ang pagpatay at walang hanggang freeze ay hindi maaaring ma-immunize o matanggal.","Tù Rem mengaktifkan Arena Duel Beku: /n Memilih untuk menggunakan serangan utama terhadap sasaran dalam pertarungan satu lawan satu, /n Juga membekukan secara kekal dan memburu sasaran lain di luar sasaran utama sehingga mati, /n Pemburuan dan pembekuan kekal tidak boleh diimunisasi atau dibersihkan.",<<<6>;1;0;10%>>,/n The strongest dragon & Ice Wind duel,/n Mạnh nhất chi long & Băng phong quyết đấu,,/n The strongest dragon & Ice Wind duel,/n มังกรที่แข็งแกร่งที่สุด & การตัดสินใจลมเย็น,/n Naga terkuat & Duel Angin Es,/n Ang pinakamalakas na dragon & Duel ng Ice Wind,/n Naga terkuat & Duel Angin Ais
80145,,,2,15,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80146,,,2,15,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80151,,TRUE,2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80201,,,3,21,1,,,,,,,,,,,,,,,Gentle Breeze Field:,Gió nhẹ sân bãi:,Gentle Breeze Field:,สายลมอ่อนสนามรบ:,Angin Sepoi-sepoi Lapangan:,Banayad na Simoy ng Hangin sa Labanan:,Bayu Lembut Medan:,Wind-element spirit restores a certain amount of HP each time fusion continues.,Phong hệ tinh linh mỗi lần hợp tiếp tục khôi phục nhất định HP,Wind-element spirit restores a certain amount of HP each time fusion continues.,วิญญาณธาตุลมจะฟื้นฟู HP ในปริมาณหนึ่งทุกครั้งที่รวมร่างต่อเนื่องกัน,Roh elemen angin memulihkan sejumlah HP setiap kali melakukan fusi berkelanjutan.,Ang espiritu ng elementong hangin ay nagpapagaling ng tiyak na HP sa bawat sunod-sunod na pagsasanib.,Roh elemen angin akan memulihkan sejumlah HP setiap kali gabungan diteruskan.,<<<4>;1;0;5%>>,,,,,,,,
80202,,,3,21,1,,,,,,,,"Turbulence (Increases speed for Flying element pets, each turn pets may be Blown Away, non-Flying pets will lose some HP upon landing)","Loạn Lưu (Tăng tốc độ cho linh thú hệ bay, mỗi lượt linh thú có khả năng bị Thổi Bay, linh thú không thuộc hệ bay sẽ mất một phần sinh mệnh khi tiếp đất)","Turbulence (Increases speed for Flying element pets, each turn pets may be Blown Away, non-Flying pets will lose some HP upon landing)",กระแสปั่นป่วน (เพิ่มความเร็วให้สัตว์เลี้ยงธาตุบิน แต่ละเทิร์นสัตว์เลี้ยงมีโอกาสถูกพัดลอย สัตว์เลี้ยงที่ไม่ใช่ธาตุบินจะสูญเสียพลังชีวิตบางส่วนเมื่อตกถึงพื้น),"Arus Kacau (Meningkatkan kecepatan untuk hewan peliharaan elemen Terbang, setiap giliran hewan peliharaan bisa Terhembus, hewan non-Terbang akan kehilangan sebagian HP saat mendarat)","Kaguluhan ng Hangin (Pinapataas ang bilis ng mga alagang may Flying element, bawat turn ay maaaring matangay sila, ang mga hindi Flying ay mawawalan ng HP sa paglapag)","Aliran Kacau (Meningkatkan kelajuan untuk haiwan peliharaan elemen Terbang, setiap pusingan haiwan mungkin akan Ditiup Terbang, haiwan bukan elemen Terbang akan kehilangan sebahagian nyawa ketika mendarat)",,,,,,,,,,,,,,,<<<10>;1;0;5%>>,Damage of all killing skills of Quang Giac Ung increased widely,Quẳng Giác Ưng người tất sát kỹ tổn thương tăng lên trên diện rộng,,Damage of all killing skills of Quang Giac Ung increased widely,ความเสียหายของทักษะสังหารทั้งหมดของ Quang Giac Ung เพิ่มขึ้นอย่างกว้างขวาง,Kerusakan semua skill membunuh Quang Giac Ung meningkat secara luas,Lakas ng pinsala ng lahat ng killing skills ng Quang Giac Ung ay malawak na tumaas,Kerosakan semua kemahiran membunuh Quang Giac Ung meningkat secara meluas
80203,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<1>;1;0;5%>>,,,,,,,,
80204,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<1>;1;0;5%>>,,,,,,,,
80205,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80206,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80211,,,3,22,1,,,,,,,,,,,,,,,Green Grass Field:,Cỏ xanh sân bãi:,Green Grass Field:,ทุ่งหญ้าสีเขียว:,Ladang Rumput Hijau:,Luntiang Damuhan sa Labanan:,Padang Rumput Hijau:,Wind-element spirit restores a certain amount of HP with each continued fusion.,Phong hệ tinh linh mỗi lần hợp tiếp tục khôi phục nhất định HP,Wind-element spirit restores a certain amount of HP with each continued fusion.,วิญญาณธาตุลมฟื้นฟู HP ในปริมาณหนึ่งทุกครั้งที่รวมร่างต่อเนื่อง,Roh elemen angin memulihkan sejumlah HP setiap kali fusi berlanjut.,Ang espiritu ng elementong hangin ay nagbabalik ng tiyak na HP sa bawat tuloy-tuloy na pagsasanib.,Roh elemen angin akan memulihkan sejumlah HP setiap kali gabungan diteruskan.,<<<4>;1;0;6%>>,/n Evolution of Meaning,/n Tiến hóa の Áo nghĩa,,/n Evolution of Meaning,/n วิวัฒนาการของความหมาย,/n Evolusi Makna,/n Ebolusyon ng Kahulugan,/n Evolusi Makna
80212,,,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
