VariableName,name,name_en,name_th,name_in,name_ph,name_ma,name_vn,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn
25,Thorny II,Thorny II,มีหนาม II,Berbuah Duri II,Maputik II,Berbuah Duri II,Gai Góc II,1301,8,200,2,city/develop/talent/icon_shjm.png,,81025,"Your front row organization gains 10% Reflection effect #L0##C0xFF3D3D#(When other same-type effects are present, Reflection increases by 5%)#L0##C0xFF3D3D#","Your front row organization gains 10% Reflection effect #L0##C0xFF3D3D#(When other same-type effects are present, Reflection increases by 5%)#L0##C0xFF3D3D#",องค์กรแนวหน้าของคุณเพิ่มเอฟเฟกต์สะท้อนอีก 10% #L0##C0xFF3D3D#(เมื่อมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์สะท้อนจะเพิ่มอีก 5%)#L0##C0xFF3D3D#,"Organisasi barisan depanmu mendapatkan tambahan 10% efek Refleksi #L0##C0xFF3D3D#(Jika ada efek sejenis lainnya, Refleksi meningkat 5%)#L0##C0xFF3D3D#","Ang front row organization mo ay tumataas ng 10% Reflection effect #L0##C0xFF3D3D#(Kung may parehong uri ng epekto, Reflection tataas ng 5%)#L0##C0xFF3D3D#","Organisasi barisan hadapan anda meningkat 10% kesan Refleksi #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, Refleksi meningkat 5%)#L0##C0xFF3D3D#","Hiệu ứng bật lại của tổ chức hàng trước của bạn tăng thêm 10%#L0##C0xFF3D3D#(Khi bạn có các hiệu ứng khác cùng loại, hiệu ứng bật lại tăng thêm 5%)#L0##C0xFF3D3D#"
26,Light Shield I,Light Shield I,โล่แสง I,Perisai Cahaya I,Kalasag ng Liwanag I,Perisai Cahaya I,Quang Thuẫn I,1101,9,300,3,city/adventure/random_tower/icon/icon_xingxiangskill_6.png,,81026,"All allied ninjas receive a shield equal to 10% of their max HP before entering the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, shield coefficient increases by 5%)#L0##C0xFF3D3D#  ","All allied ninjas receive a shield equal to 10% of their max HP before entering the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, shield coefficient increases by 5%)#L0##C0xFF3D3D#  ",นินจาฝ่ายคุณทั้งหมดจะได้รับโล่เท่ากับ 10% ของ HP สูงสุดก่อนเข้าสนามรบ #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน ค่าสัมประสิทธิ์โล่เพิ่มขึ้น 5%)#L0##C0xFF3D3D#  ,"Semua ninja di timmu menerima perisai sebesar 10% dari HP maksimum sebelum memasuki medan tempur #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, koefisien perisai meningkat 5%)#L0##C0xFF3D3D#  ","Lahat ng ninja sa panig mo ay makakatanggap ng shield na katumbas ng 10% ng kanilang max HP bago pumasok sa labanan #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, tataas ang shield coefficient ng 5%)#L0##C0xFF3D3D#  ","Semua ninja di pihak anda menerima perisai sebanyak 10% daripada HP maksimum sebelum memasuki medan perang #L0##C0xFF3D3D# (Jika terdapat kesan lain yang sama jenis, pekali perisai meningkat sebanyak 5%)#L0##C0xFF3D3D#  ","Tất cả ninja bên phe bạn đều nhận được một lá chắn 10% máu tối đa trước khi vào chiến trường #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, hệ số lá chắn tăng thêm 5%)#L0##C0xFF3D3D#"
27,Light Shield II,Light Shield II,โล่แสง II,Perisai Cahaya II,Kalasag ng Liwanag II,Perisai Cahaya II,Quang Thuẫn II,301,9,200,3,city/adventure/random_tower/icon/icon_xingxiangskill_6.png,,81027,"At the start of battle, the organization unit with the lowest HP on your side receives a shield equal to 15% of its max HP #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ","At the start of battle, the organization unit with the lowest HP on your side receives a shield equal to 15% of its max HP #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ",เมื่อเริ่มการต่อสู้ หน่วยองค์กรที่มี HP ต่ำสุดในฝั่งคุณจะได้รับโล่เท่ากับ 15% ของ HP สูงสุด #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Saat pertempuran dimulai, unit organisasi dengan HP terendah di pihakmu akan menerima perisai sebesar 15% dari HP maksimum #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, efek akan digandakan)#L0##C0xFF3D3D#  ","Sa simula ng laban, ang yunit ng organisasyon na may pinakamababang HP sa panig mo ay makakatanggap ng shield na katumbas ng 15% ng max HP nito #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, dodoble ang epekto)#L0##C0xFF3D3D#  ","Apabila pertempuran bermula, unit organisasi dengan HP terendah di pihak anda akan menerima perisai sebanyak 15% daripada HP maksimum #L0##C0xFF3D3D# (Jika terdapat kesan lain yang sama jenis, kesan akan digandakan)#L0##C0xFF3D3D#  ","Khi bắt đầu trận chiến, tổ chức có lượng máu thấp nhất bên bạn sẽ nhận được một tấm khiên bằng 15% lượng máu tối đa #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, hiệu ứng sẽ tăng gấp đôi)#L0##C0xFF3D3D#"
28,Erosion I,Erosion I,การกัดกร่อน I,Erosi I,Pagkabulok I,Erosi I,Xâm Thực I,1201,10,300,6,city/develop/talent/icon_bsjc.png,,81028,"All enemy Physical and Ninjutsu skills are reduced by 15% throughout the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ","All enemy Physical and Ninjutsu skills are reduced by 15% throughout the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ",ทักษะกายภาพและนินจุตสุทั้งหมดของศัตรูลดลง 15% ทั่วสนามรบ #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Semua skill Fisik dan Ninjutsu musuh dikurangi 15% di seluruh medan pertempuran #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, efek akan digandakan)#L0##C0xFF3D3D#  ","Lahat ng Physical at Ninjutsu skill ng kalaban ay nabawasan ng 15%, tumatagal sa buong labanan #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, dodoble ang epekto)#L0##C0xFF3D3D#  ","Semua kemahiran Fizikal dan Ninjutsu musuh dikurangkan sebanyak 15% di seluruh medan pertempuran #L0##C0xFF3D3D# (Jika terdapat kesan lain yang sama jenis, kesan akan digandakan)#L0##C0xFF3D3D#  ","Tất cả các kỹ năng vật lý và nhẫn thuật của kẻ thù đều bị giảm 15%, kéo dài trong toàn bộ sân đấu #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, hiệu ứng sẽ tăng gấp đôi)#L0##C0xFF3D3D#."
29,Erosion II,Erosion II,การกัดกร่อน II,Erosi II,Pagkabulok II,Erosi II,Xâm Thực II,301,10,200,6,city/develop/talent/icon_bsjc.png,,81029,"Enemy Defense and Resistance are reduced by 20% across the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ","Enemy Defense and Resistance are reduced by 20% across the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ",พลังป้องกันและต้านทานของศัตรูลดลง 20% ทั่วสนามรบ #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Pertahanan dan Ketahanan musuh dikurangi 20% di seluruh medan tempur #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, efek akan digandakan)#L0##C0xFF3D3D#  ","Defense at Resistance ng mga kalaban ay nabawasan ng 20%, tumatagal sa buong labanan #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, dodoble ang epekto)#L0##C0xFF3D3D#  ","Pertahanan dan Ketahanan musuh dikurangkan sebanyak 20% di seluruh medan perang #L0##C0xFF3D3D# (Jika terdapat kesan lain yang sama jenis, kesan akan digandakan)#L0##C0xFF3D3D#  ","Khả năng phòng thủ và kháng cự của kẻ địch bị giảm 20%, kéo dài toàn sân #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, hiệu ứng sẽ tăng gấp đôi)#L0##C0xFF3D3D#"
30,Oppression I,Oppression I,การกดขี่ I,Penindasan I,Pang-aapi I,Penindasan I,Áp Chế I,1201,11,200,5,city/develop/talent/icon_ysg.png,,81030,"All allied ninjas' Control Rate is increased by 10% across the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ","All allied ninjas' Control Rate is increased by 10% across the battlefield #L0##C0xFF3D3D# (When there are other same-type effects, the effect is doubled)#L0##C0xFF3D3D#  ",อัตราการควบคุมของนินจาฝ่ายคุณทั้งหมดเพิ่มขึ้น 10% ทั่วสนามรบ #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Tingkat Kontrol semua ninja timmu meningkat 10% di seluruh medan #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, efek akan digandakan)#L0##C0xFF3D3D#  ","Control rate ng lahat ng ninja sa panig mo ay tumataas ng 10%, tumatagal sa buong labanan #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, dodoble ang epekto)#L0##C0xFF3D3D#  ","Kadar Kawalan semua ninja pihak anda meningkat sebanyak 10% di seluruh medan #L0##C0xFF3D3D# (Jika terdapat kesan lain yang sama jenis, kesan akan digandakan)#L0##C0xFF3D3D#  ","Tỷ lệ kiểm soát của tất cả ninja bên phe bạn tăng thêm 10%, kéo dài trên toàn sân #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, hiệu ứng sẽ tăng gấp đôi)#L0##C0xFF3D3D#"
31,Oppression II,Oppression II,การกดขี่ II,Penindasan II,Pang-aapi II,Penindasan II,Áp Chế II,1301,11,200,5,city/develop/talent/icon_ysg.png,,81031,"When all allied ninjas attack, there is a 10% chance to stun the target for 1 turn #L0##C0xFF3D3D# (When there are other same-type effects, the control chance is doubled)#L0##C0xFF3D3D#","When all allied ninjas attack, there is a 10% chance to stun the target for 1 turn #L0##C0xFF3D3D# (When there are other same-type effects, the control chance is doubled)#L0##C0xFF3D3D#",เมื่อทุกนินจาฝ่ายคุณโจมตี มีโอกาส 10% ที่จะทำให้เป้าหมายติดสตัน 1 เทิร์น #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน โอกาสควบคุมจะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#,"Saat semua ninja timmu menyerang, ada peluang 10% untuk membuat musuh terkena stun selama 1 giliran #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, peluang kontrol akan digandakan)#L0##C0xFF3D3D#","Kapag umatake ang lahat ng ninja mo, may 10% chance na ma-stun ang target ng 1 turn #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, dodoble ang chance ng control)#L0##C0xFF3D3D#","Apabila semua ninja anda menyerang, terdapat 10% peluang untuk menyebabkan sasaran terkena stun selama 1 pusingan #L0##C0xFF3D3D# (Jika terdapat kesan lain yang sama jenis, kadar kawalan akan digandakan)#L0##C0xFF3D3D#","Khi tất cả ninja bên bạn tấn công, có 10% cơ hội làm choáng mục tiêu trong 1 lượt #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, xác suất khống chế sẽ tăng gấp đôi)#L0##C0xFF3D3D#"
32,Oppression III,Oppression III,การกดขี่ III,Penindasan III,Pang-aapi III,Penindasan III,Áp Chế III,1301,11,100,5,city/develop/talent/icon_ysg.png,,81032,"When all allied ninjas attack, there is a 10% chance to confuse the target for 1 turn #L0##C0xFF3D3D# (When there are other same-type effects, control chance is doubled)#L0##C0xFF3D3D#  ","When all allied ninjas attack, there is a 10% chance to confuse the target for 1 turn #L0##C0xFF3D3D# (When there are other same-type effects, control chance is doubled)#L0##C0xFF3D3D#  ",เมื่อทุกนินจาฝ่ายคุณโจมตี มีโอกาส 10% ที่จะทำให้เป้าหมายสับสนเป็นเวลา 1 เทิร์น #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน โอกาสควบคุมจะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Saat semua ninja timmu menyerang, ada peluang 10% untuk membuat target kebingungan selama 1 giliran #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, peluang kontrol akan digandakan)#L0##C0xFF3D3D#  ","Kapag lahat ng ninja sa panig mo ay umatake, may 10% chance na ma-confuse ang target ng 1 turn #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, dodoble ang chance ng control)#L0##C0xFF3D3D#  ","Apabila semua ninja pihak anda menyerang, terdapat 10% peluang untuk menyebabkan kekeliruan kepada sasaran selama 1 pusingan #L0##C0xFF3D3D# (Jika terdapat kesan sejenis lain, peluang kawalan akan digandakan)#L0##C0xFF3D3D#  ","Khi tất cả ninja bên phe bạn tấn công, có 10% khả năng gây nhầm lẫn mục tiêu trong 1 lượt #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, xác suất khống chế sẽ tăng gấp đôi)#L0##C0xFF3D3D#"
33,Oppression IV,Oppression IV,การกดขี่ IV,Penindasan IV,Pang-aapi IV,Penindasan IV,Áp Chế IV,1301,11,100,5,city/develop/talent/icon_ysg.png,,81033,"All allied ninjas have a 15% chance to silence the target for 1 turn when attacking #L0##C0xFF3D3D# (When there are other same-type effects, control chance is doubled) #L0##C0xFF3D3D#  ","All allied ninjas have a 15% chance to silence the target for 1 turn when attacking #L0##C0xFF3D3D# (When there are other same-type effects, control chance is doubled) #L0##C0xFF3D3D#  ",นินจาฝ่ายคุณทั้งหมดมีโอกาส 15% ที่จะทำให้เป้าหมายติดใบ้ 1 เทิร์นเมื่อโจมตี #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์ประเภทเดียวกัน โอกาสควบคุมจะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#  ,"Semua ninja timmu memiliki peluang 15% untuk membuat target terkena silence selama 1 giliran saat menyerang #L0##C0xFF3D3D# (Jika ada efek sejenis lainnya, peluang kontrol akan digandakan) #L0##C0xFF3D3D#  ","Lahat ng ninja sa panig mo ay may 15% chance na patahimikin ang target ng 1 turn kapag umatake #L0##C0xFF3D3D# (Kapag may parehong uri ng epekto, dodoble ang chance ng control) #L0##C0xFF3D3D#  ","Semua ninja pihak anda mempunyai 15% peluang untuk menyenyapkan sasaran selama 1 pusingan ketika menyerang #L0##C0xFF3D3D# (Jika terdapat kesan sejenis lain, peluang kawalan akan digandakan) #L0##C0xFF3D3D#  ","Tất cả ninja bên phe bạn có 15% cơ hội làm mục tiêu bị câm lặng trong 1 lượt khi tấn công #L0##C0xFF3D3D# (Khi có các hiệu ứng khác cùng loại, xác suất khống chế sẽ tăng gấp đôi) #L0##C0xFF3D3D#."
101,Unrivaled MAX,Unrivaled MAX,ไร้เทียมทาน MAX,Tanpa Tanding MAX,Walang Kapantay MAX,Tiada Tandingan MAX,Vô Song MAX,301,1,50,7,city/adventure/random_tower/icon/icon_xingxiangskill_3.png,0,81101,"All allies ignore 100% of the target’s Defense, Resistance, and Damage Avoidance #L0##C0xFF3D3D#(Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#  ","All allies ignore 100% of the target’s Defense, Resistance, and Damage Avoidance #L0##C0xFF3D3D#(Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#  ",พันธมิตรทั้งหมดจะเพิกเฉยต่อการป้องกัน ความต้านทาน และการหลบหลีกความเสียหายของเป้าหมาย 100% #L0##C0xFF3D3D#(สามารถเปิดใช้งานได้ก็ต่อเมื่อมีข่าวลือของนินจาคนเดียวกันอย่างน้อย 1 ข่าว)#L0##C0xFF3D3D#  ,"Semua sekutu mengabaikan 100% Pertahanan, Ketahanan, dan Penghindaran Kerusakan target #L0##C0xFF3D3D#(Hanya dapat diaktifkan jika terdapat minimal satu rumor dari ninja yang sama)#L0##C0xFF3D3D#  ","Lahat ng kakampi ay binabalewala ang 100% ng Defense, Resistance, at Damage Avoidance ng target #L0##C0xFF3D3D#(Maaaring ma-activate lamang kung may kahit isang bulung-bulungan tungkol sa parehong ninja)#L0##C0xFF3D3D#  ","Semua sekutu mengabaikan 100% Pertahanan, Ketahanan dan Pengelakan Kerosakan sasaran #L0##C0xFF3D3D#(Hanya boleh diaktifkan jika ada sekurang-kurangnya satu khabar angin tentang ninja yang sama)#L0##C0xFF3D3D#  ","Tất cả đồng minh bỏ qua 100% khả năng phòng thủ, kháng cự và tránh sát thương của mục tiêu#L0##C0xFF3D3D#(chỉ có thể được kích hoạt nếu có ít nhất một tin đồn của cùng một ninja)#L0##C0xFF3D3D#"
102,Cold Blood MAX,Cold Blood MAX,เลือดเย็น MAX,Darah Dingin MAX,Malamig na Dugo MAX,Darah Sejuk MAX,Lãnh Huyết MAX,301,2,50,4,city/adventure/random_tower/icon/icon_xingxiangskill_4.png,0,81102,"All allies gain 60% Critical Rate and increased Critical Damage at the start, with the effect reducing by 20% at the end of each round #L0##C0xFF3D3D# (Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#  ","All allies gain 60% Critical Rate and increased Critical Damage at the start, with the effect reducing by 20% at the end of each round #L0##C0xFF3D3D# (Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#  ",พันธมิตรทั้งหมดได้รับอัตราคริติคอล 60% และเพิ่มความเสียหายคริติคอลเมื่อต่อสู้เริ่มต้น และเอฟเฟกต์จะลดลง 20% ทุกสิ้นเทิร์น #L0##C0xFF3D3D# (สามารถเปิดใช้งานได้ก็ต่อเมื่อมีข่าวลือของนินจาคนเดียวกันอย่างน้อย 1 ข่าว)#L0##C0xFF3D3D#  ,"Semua sekutu mendapatkan 60% Critical Rate dan tambahan Damage Critical saat mulai bertempur, efek berkurang 20% di akhir setiap ronde #L0##C0xFF3D3D# (Hanya dapat diaktifkan jika terdapat minimal satu rumor dari ninja yang sama)#L0##C0xFF3D3D#  ","Lahat ng kakampi ay nakakakuha ng 60% Critical Rate at karagdagang Critical Damage sa simula, at nababawasan ng 20% sa dulo ng bawat round #L0##C0xFF3D3D# (Maaaring ma-activate lamang kung may kahit isang bulung-bulungan tungkol sa parehong ninja)#L0##C0xFF3D3D#  ","Semua sekutu menerima 60% Kadar Kritikal dan tambahan Kerosakan Kritikal pada permulaan, dan kesan dikurangkan 20% pada akhir setiap pusingan #L0##C0xFF3D3D# (Hanya boleh diaktifkan jika ada sekurang-kurangnya satu khabar angin tentang ninja yang sama)#L0##C0xFF3D3D#  ",Tất cả đồng minh đều nhận được 60% tỷ lệ chí mạng và tăng sát thương chí mạng khi bắt đầu và hiệu ứng giảm đi 20% vào cuối mỗi hiệp #L0##C0xFF3D3D# (chỉ có thể được kích hoạt nếu bạn có ít nhất một tin đồn về cùng một ninja)#L0##C0xFF3D3D#
103,Bloodthirsty MAX,Bloodthirsty MAX,กระหายเลือด MAX,Kehausan Darah MAX,Pagkahalimaw MAX,Kehausan Darah MAX,Khát Máu MAX,1301,3,50,7,city/adventure/random_tower/icon/icon_xingxiangskill_8.png,0,81103,Allies’ Lifesteal Rate and Chakra Recovery Speed increase by 20% #L0##C0xFF3D3D#(Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#  ,Allies’ Lifesteal Rate and Chakra Recovery Speed increase by 20% #L0##C0xFF3D3D#(Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#  ,อัตราการดูดเลือดและฟื้นฟูจักระของพันธมิตรทั้งหมดเพิ่มขึ้น 20% #L0##C0xFF3D3D#(สามารถเปิดใช้งานได้ก็ต่อเมื่อมีข่าวลือของนินจาคนเดียวกันอย่างน้อย 1 ข่าว)#L0##C0xFF3D3D#  ,Tingkat Lifesteal dan Kecepatan Pemulihan Chakra semua sekutu meningkat 20% #L0##C0xFF3D3D#(Hanya dapat diaktifkan jika terdapat minimal satu rumor dari ninja yang sama)#L0##C0xFF3D3D#  ,Ang Lifesteal at Chakra Recovery Speed ng lahat ng kakampi ay tumataas ng 20% #L0##C0xFF3D3D#(Maaaring ma-activate lamang kung may kahit isang bulung-bulungan tungkol sa parehong ninja)#L0##C0xFF3D3D#  ,Kadar Hisap Nyawa dan Kelajuan Pemulihan Chakra semua sekutu meningkat 20% #L0##C0xFF3D3D#(Hanya boleh diaktifkan jika ada sekurang-kurangnya satu khabar angin tentang ninja yang sama)#L0##C0xFF3D3D#  ,Tốc độ hút máu và tốc độ phục hồi charka của tất cả đồng minh tăng thêm 20%#L0##C0xFF3D3D#(chỉ có thể được kích hoạt nếu bạn có ít nhất một tin đồn về cùng một ninja)#L0##C0xFF3D3D#
104,Wind Veil MAX,Wind Veil MAX,ผ้าคลุมลม MAX,Selimut Angin MAX,Pananakip ng Hangin MAX,Selimut Angin MAX,Phong Mang MAX,301,4,50,7,city/adventure/random_tower/icon/icon_xingxiangskill_7.png,0,81104,"When your active skill attack reduces an enemy’s HP below 20%, the enemy will be instantly eliminated #L0##C0xFF3D3D# (Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#","When your active skill attack reduces an enemy’s HP below 20%, the enemy will be instantly eliminated #L0##C0xFF3D3D# (Can only be triggered if there is at least one rumor of the same ninja)#L0##C0xFF3D3D#",เมื่อสกิลแอคทีฟของคุณลด HP ศัตรูต่ำกว่า 20% ศัตรูนั้นจะถูกกำจัดทันที #L0##C0xFF3D3D# (สามารถเปิดใช้งานได้ก็ต่อเมื่อมีข่าวลือของนินจาคนเดียวกันอย่างน้อย 1 ข่าว)#L0##C0xFF3D3D#,"Saat serangan skill aktif milikmu menurunkan HP musuh di bawah 20%, musuh langsung dieliminasi #L0##C0xFF3D3D# (Hanya dapat diaktifkan jika terdapat minimal satu rumor dari ninja yang sama)#L0##C0xFF3D3D#","Kapag ang active skill mo ay nagpapababa ng HP ng kalaban sa ilalim ng 20%, siya ay agad na matatanggal #L0##C0xFF3D3D# (Maaaring ma-activate lamang kung may kahit isang bulung-bulungan tungkol sa parehong ninja)#L0##C0xFF3D3D#","Apabila serangan kemahiran aktif anda mengurangkan HP musuh di bawah 20%, ia akan dihapuskan serta-merta #L0##C0xFF3D3D# (Hanya boleh diaktifkan jika ada sekurang-kurangnya satu khabar angin tentang ninja yang sama)#L0##C0xFF3D3D#","Khi đòn tấn công kỹ năng chủ động của chính bạn làm giảm lượng máu của kẻ địch xuống dưới 20%, nó sẽ bị loại bỏ trực tiếp #L0##C0xFF3D3D# (nó chỉ có thể được kích hoạt nếu bạn có ít nhất một tin đồn của cùng một ninja)#L0##C0xFF3D3D#"
105,Inner Strength MAX,Inner Strength MAX,พลังภายใน MAX,Kekuatan Dalam MAX,Lakas sa Loob MAX,Kekuatan Dalam MAX,Nội Dung Chi Lực MAX,1001,5,50,3,city/develop/talent/icon_sg.png,0,81105,All your internal power effects are doubled #L0##C0xFF3D3D# (Can only be triggered if you have at least one rumor about the same ninja)#L0##C0xFF3D3D#  ,All your internal power effects are doubled #L0##C0xFF3D3D# (Can only be triggered if you have at least one rumor about the same ninja)#L0##C0xFF3D3D#  ,เอฟเฟกต์พลังภายในทั้งหมดของคุณเพิ่มเป็นสองเท่า #L0##C0xFF3D3D# (สามารถเปิดใช้งานได้ก็ต่อเมื่อคุณมีข่าวลือเกี่ยวกับนินจาคนเดียวกันอย่างน้อย 1 ข่าว)#L0##C0xFF3D3D#  ,Semua efek kekuatan internal milikmu akan dilipatgandakan #L0##C0xFF3D3D# (Hanya dapat diaktifkan jika kamu memiliki setidaknya satu rumor tentang ninja yang sama)#L0##C0xFF3D3D#  ,Lahat ng epekto ng kapangyarihang panloob mo ay madodoble #L0##C0xFF3D3D# (Maaaring ma-activate lamang kung mayroon kang kahit isang bulung-bulungan tungkol sa parehong ninja)#L0##C0xFF3D3D#  ,Semua kesan kekuatan dalaman anda akan digandakan #L0##C0xFF3D3D# (Hanya boleh diaktifkan jika anda mempunyai sekurang-kurangnya satu khabar angin tentang ninja yang sama)#L0##C0xFF3D3D#  ,Hiệu ứng sức mạnh của tất cả nội dung của chính bạn được nhân đôi #L0##C0xFF3D3D# (chỉ có thể được kích hoạt nếu bạn có ít nhất một tin đồn về cùng một ninja)#L0##C0xFF3D3D#
106,Wisdom MAX,Wisdom MAX,ปัญญา MAX,Kebijaksanaan MAX,Katalinuhan MAX,Kebijaksanaan MAX,Thông Tuệ MAX,301,6,50,,city/develop/talent/icon_wf.png,0,81106,"At the end of the battle, all surviving ninjas recover 60% of their lost HP #L0##C0xFF3D3D# (Can only be triggered if they have at least one rumor about the same ninja)#L0##C0xFF3D3D#  ","At the end of the battle, all surviving ninjas recover 60% of their lost HP #L0##C0xFF3D3D# (Can only be triggered if they have at least one rumor about the same ninja)#L0##C0xFF3D3D#  ",เมื่อจบการต่อสู้ นินจาทุกตัวที่รอดชีวิตจะฟื้นฟู HP ที่หายไป 60% #L0##C0xFF3D3D# (สามารถเปิดใช้งานได้ก็ต่อเมื่อพวกเขามีข่าวลือเกี่ยวกับนินจาคนเดียวกันอย่างน้อย 1 ข่าว)#L0##C0xFF3D3D#  ,"Saat pertempuran berakhir, semua ninja yang masih hidup memulihkan 60% HP yang hilang #L0##C0xFF3D3D# (Hanya dapat diaktifkan jika mereka memiliki setidaknya satu rumor tentang ninja yang sama)#L0##C0xFF3D3D#  ","Sa pagtatapos ng laban, lahat ng buhay na ninja ay magre-recover ng 60% ng nawalang HP #L0##C0xFF3D3D# (Maaaring ma-activate lamang kung mayroon silang kahit isang bulung-bulungan tungkol sa parehong ninja)#L0##C0xFF3D3D#  ","Apabila pertempuran tamat, semua ninja yang masih hidup akan memulihkan 60% daripada HP yang hilang #L0##C0xFF3D3D# (Hanya boleh diaktifkan jika mereka mempunyai sekurang-kurangnya satu khabar angin tentang ninja yang sama)#L0##C0xFF3D3D#  ","Khi trận chiến kết thúc, tất cả các ninja sống sót sẽ phục hồi 60% lượng máu đã mất #L0##C0xFF3D3D# (chỉ có thể được kích hoạt nếu họ có ít nhất một tin đồn về cùng một ninja)#L0##C0xFF3D3D#"
