id,key,key_tw
453,相逢即是有缘，亲爱的朋友，你好！,相逢即是有緣，親愛的朋友，你好！
454,好友数量:,好友數量:
455,体力领取：,體力領取：
456,这个人很懒，什么也没有留下,這個人很懶，什麼也沒有留下
457,战队签名最多20字,戰隊簽名最多20字
458,最多输入65个字,最多輸入65個字
459,当前申请人数:,當前申請人數:
460,还没有人申请～ 可以去【添加好友】主动加其他玩家哦～,還沒有人申請～ 可以去【添加好友】主動加其他玩家哦～
461,点击输入玩家名称或UID,點擊輸入玩家名稱或UID
462,我的uid：,我的uid：
463,洲泉晚晚,洲泉晚晚
464,资质：,資質：
465,丧尸暴龙兽皮肤（永久）,喪屍暴龍獸皮膚（永久）
466,随便打六个字,隨便打六個字
467,定位：,定位：
468,可补领VIP双倍的奖励可补领VIP双倍的奖励可补领VIP双倍的奖励可补领VIP双倍的奖励可补领VIP双倍的奖励可补领VIP双倍的奖励,可補領VIP雙倍的獎勵可補領VIP雙倍的獎勵可補領VIP雙倍的獎勵可補領VIP雙倍的獎勵可補領VIP雙倍的獎勵可補領VIP雙倍的獎勵
469,可补领VIP双倍的奖励,可補領VIP雙倍的獎勵
470,经验卡小经验卡小,經驗卡小經驗卡小
471,拥有:,擁有:
472,最高排名奖励,最高排名獎勵
473,排名奖励,排名獎勵
474,第10名:,第10名:
475,保持当前排名（3000名外），即可获得以下奖励：,保持當前排名（3000名外），即可獲得以下獎勵：
476,历史最高排名：,歷史最高排名：
477,胜利：积分+2,勝利：積分+2
478,在竞技场与对手战斗即可获得积分，每天5：00重置,在競技場與對手戰鬥即可獲得積分，每天5：00重置
479, 失败：积分+1, 失敗：積分+1
480,当前积分：,當前積分：
481,挑战次数：,挑戰次數：
482,冷却时间,冷卻時間
483,一键膜拜,一鍵膜拜
484,我的排名：,我的排名：
485,名字名字,名字名字
486,排名进入1000,排名進入1000
487,刚刚,剛剛
488,战斗力:,戰鬥力:
489,速度:,速度:
490,数码兽达到究极形态时解锁,數碼獸達到究極形態時解鎖
491,数码兽达到究极体后实力大增，有了更多的可能,數碼獸達到究極體後實力大增，有了更多的可能
492,未来，可以对数码兽的技能进行更多个性化强化,未來，可以對數碼獸的技能進行更多個性化強化
493,百式鬼挠,百式鬼撓
494,类型：必杀技,類型：必殺技
495,百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠百式鬼挠,百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓百式鬼撓
496,全体加攻，整列击杀,全體加攻，整列擊殺
497,定位,定位
498,属性,屬性
499,生命：,生命：
500,防御：,防禦：
501,等级：,等級：
502,攻击：,攻擊：
503,技能,技能
504,3星解锁,3星解鎖
505,简介,簡介
506,文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字,文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字
507,羁绊,羈絆
508,奥奥奥奥奥奥奥奥奥奥奥奥奥奥奥奥奥奥,奧奧奧奧奧奧奧奧奧奧奧奧奧奧奧奧奧奧
509,暴击率：,暴擊率：
510,暴伤加成：,暴傷加成：
511,抗暴率：,抗暴率：
512,格挡率：,格擋率：
513,格挡加成：,格擋加成：
514,破格挡率：,破格擋率：
515,伤害加成：,傷害加成：
516,伤害减免：,傷害減免：
517,机械暴龙兽 +1,機械暴龍獸 +1
518,达成条件后，完成指定关卡即可进化～,達成條件後，完成指定關卡即可進化～
519,已达到目前版本最高形态,已達到目前版本最高形態
520,数码兽名字,數碼獸名字
521,新技能：不告诉你,新技能：不告訴你
522,老技能：必杀一击,老技能：必殺一擊
523,攻,攻
524,格,格
525,数码五小强,數碼五小強
526,爆满,爆滿
527,1区--内网1区,1區--內網1區
528,001-012区,001-012區
529,1区 内网1区,1區 內網1區
530,名字一号,名字一號
531,18区,18區
532,钢铁加鲁鲁,鋼鐵加魯魯
533,锁屏,鎖屏
534,发送给,發送給
535,请选择私聊目标,請選擇私聊目標
536,该频道为系统频道，不能发言,該頻道為系統頻道，不能發言
537,上进小青年,上進小青年
538,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
539,悄悄对你说,悄悄對你說
540,拳霸耶稣宝宝,拳霸耶穌寶寶
541,"1.初始每天可玩5次，在研究院中提升\""摇取火神兽\""科技等级，可增加","1.初始每天可玩5次，在研究院中提升\""搖取火神獸\""科技等級，可增加"
542,玩法次数,玩法次數
543,2.初始本玩法可免费改摇5次，同样，在研究院中提升相关科技，可增,2.初始本玩法可免費改搖5次，同樣，在研究院中提升相關科技，可增
544,加免费改摇次数,加免費改搖次數
545,3.已经摇出的火神兽不会消失,3.已經搖出的火神獸不會消失
546,4.火神兽数量越多，奖励越丰厚，可获得火神兽碎片和大量公会币,4.火神獸數量越多，獎勵越豐厚，可獲得火神獸碎片和大量公會幣
547,奖励,獎勵
548,6个火神兽:,6個火神獸:
549,5个火神兽:,5個火神獸:
550,4个火神兽:,4個火神獸:
551,3个火神兽:,3個火神獸:
552,2个火神兽:,2個火神獸:
553,1个火神兽:,1個火神獸:
554,0个火神兽:,0個火神獸:
555,火神兽碎片、公会币等,火神獸碎片、公會幣等
556,跳过动画,跳過動畫
557,ACE’部落,ACE’部落
558,来自社团：汽车总动员,來自社團：汽車總動員
559,您暂时还没有加入公会哦~,您暫時還沒有加入公會哦~
560,颓废的金,頹廢的金
561,积分：,積分：
562,速度：,速度：
563,当日奖励已领取,當日獎勵已領取
564,升级至,升級至
565,本月累计签到,本月累計簽到
566,输用户名前缀:,輸用戶名首碼:
567,登陆人数设置:,登陸人數設置:
568,开始测试,開始測試
569,测试状态：                               1：登录测试（默认，自动先完成）          2：完成新手关卡并完成一些流程             3：公会流程测试,測試狀態：                               1：登錄測試（默認，自動先完成）          2：完成新手關卡並完成一些流程             3：公會流程測試
570,输入测试状态:,輸入測試狀態:
571,超级爱好者,超級愛好者
572,奖励：,獎勵：
573,完成三次精英关卡完成三次完成三次精英关卡完成三次,完成三次精英關卡完成三次完成三次精英關卡完成三次
574,每开一个宝箱获得一个装备觉醒碎片,每開一個寶箱獲得一個裝備覺醒碎片
575,觉醒石,覺醒石
576,亚古兽[碎片] x 1,亞古獸[碎片] x 1
577,刷新商店需消耗,刷新商店需消耗
578,熔火攻击宝石X50,熔火攻擊寶石X50
579,8折,8折
580,把这些没用的道具卖给商人可以换很多钱哦~,把這些沒用的道具賣給商人可以換很多錢哦~
581,可获得：,可獲得：
582,星海宝石,星海寶石
583,装备觉醒的必备道具，可供装备提升觉醒等级,裝備覺醒的必備道具，可供裝備提升覺醒等級
584,购买,購買
585,需消耗,需消耗
586,任意,任意
587,万能碎片可以转化为,萬能碎片可以轉化為
588,数码兽碎片,數碼獸碎片
589,主界面刷新神秘商店，快来抢购吧！ ,主介面刷新神秘商店，快來搶購吧！
590,购买觉醒碎片， 可获得觉醒合金,購買覺醒碎片， 可獲得覺醒合金
591,每日首次免费,每日首次免費
592,必得装备觉醒合金,必得裝備覺醒合金
593,碎片说明,碎片說明
594,每开一次宝箱获得一个觉醒碎片,每開一次寶箱獲得一個覺醒碎片
595,获得该数码兽后就能使用该皮肤了哦～,獲得該數碼獸後就能使用該皮膚了哦～
596,期限：,期限：
597,永久,永久
598,皮肤属性加成,皮膚屬性加成
599,拥有额外皮肤即可获得相应属性加成（无需使用）,擁有額外皮膚即可獲得相應屬性加成（無需使用）
600,期限：永久,期限：永久
601,未达到解锁条件,未達到解鎖條件
602,皮肤简介：,皮膚簡介：
603,文字描述文字描述文字描述文字描述,文字描述文字描述文字描述文字描述
604,攻击：+280,攻擊：+280
605,X月X日,X月X日
606,凌晨5点上架,淩晨5點上架
607,默认形象,默認形象
608,积分=历史总积分*8%+今日积分,積分=歷史總積分*8%+今日積分
609,积分达到108000,積分達到108000
610,剩余：,剩餘：
611,全体数码兽攻击力增加2%,全體數碼獸攻擊力增加2%
612,全体数码兽防御力增加2%,全體數碼獸防禦力增加2%
613,全体数码兽生命值增加2%,全體數碼獸生命值增加2%
614,基础积分：,基礎積分：
615,得星倍率：,得星倍率：
616,10级以上数码兽才能参加数码试炼,10級以上數碼獸才能參加數碼試煉
617,我的小贝贝,我的小貝貝
618,初级经验指环,初級經驗指環
619,提示,提示
620,有未购买的BUFF，是否退出？,有未購買的BUFF，是否退出？
621,1.挑战每层的不同玩家，追求更高层数，争取更多奖励。,1.挑戰每層的不同玩家，追求更高層數，爭取更多獎勵。
622,2.试炼的部分楼层中包含保险箱，除了获得固定奖励外，更能通过消费钻石开启更加丰厚的奖励。,2.試煉的部分樓層中包含保險箱，除了獲得固定獎勵外，更能通過消費鑽石開啟更加豐厚的獎勵。
623,3.保险箱中有概率获得格斗家,3.保險箱中有概率獲得格鬥家
624,4.部分楼层可消耗试炼得星购买增益buff，对后续的挑战有巨大帮助哦。,4.部分樓層可消耗試煉得星購買增益buff，對後續的挑戰有巨大幫助哦。
625,5.终极试炼玩法每日凌晨5点重置。,5.終極試煉玩法每日淩晨5點重置。
626,6.重置时，为上榜玩法发送邮件奖励。,6.重置時，為上榜玩法發送郵件獎勵。
627,7.当历史积分达到某一值时，还能够获得额外的积分奖励。,7.當歷史積分達到某一值時，還能夠獲得額外的積分獎勵。
628,当前排名：,當前排名：
629,跳过战斗,跳過戰鬥
630,鉴于您昨日试炼的英勇表现，可直接跳过该层战斗，并获得满星和最高积分，是否继续？（今日最多可跳过,鑒於您昨日試煉的英勇表現，可直接跳過該層戰鬥，並獲得滿星和最高積分，是否繼續？（今日最多可跳過
631,层）,層）
632,本次登陆不再提示,本次登陸不再提示
633,集齐同种精神的数码兽可获得额外速度,集齊同種精神的數碼獸可獲得額外速度
634,下一级提升,下一級提升
635,蓝莓香肠,藍莓香腸
636,红酒棒棒糖,紅酒棒棒糖
637,海带香蕉汤,海帶香蕉湯
638,钢铁加撸撸禽兽,鋼鐵加擼擼禽獸
639,钢铁加撸撸,鋼鐵加擼擼
640,<拖动数码兽，可进行阵容顺序调换>,<拖動數碼獸，可進行陣容順序調換>
641,我的名字六字 Lv.98,我的名字六字 Lv.98
642,离线,離線
643,战况：,戰況：
644,11胜1负 ,11勝1負
645,20万,20萬
646,当前拥有：,當前擁有：
647,参赛人数：,參賽人數：
648,报名时间：10:00-19:50,報名時間：10:00-19:50
649,今日王者之战已结束,今日王者之戰已結束
650,当前：王者之战第五场比赛正在准备中,當前：王者之戰第五場比賽正在準備中
651,名字名字名字不敌XXX,名字名字名字不敵XXX
652,基本规则,基本規則
653,1.报名时间：,1.報名時間：
654,2.比赛时间：,2.比賽時間：
655,3.报名时最多选择10名数码兽上场，报名成功后可更换阵容,3.報名時最多選擇10名數碼獸上場，報名成功後可更換陣容
656,4.比赛分为预选赛和巅峰对决两部分，预选赛的8强可进入巅峰对决,4.比賽分為預選賽和巔峰對決兩部分，預選賽的8強可進入巔峰對決
657,5.比赛开始前1分钟，玩家无法调整上阵阵容,5.比賽開始前1分鐘，玩家無法調整上陣陣容
658,6.VIP5以上的玩家每天可以自动报名,6.VIP5以上的玩家每天可以自動報名
659,7.战斗阶段双方最多战斗10回合，若回合结束双方未分胜负，则残留血量百分比高的一方获胜,7.戰鬥階段雙方最多戰鬥10回合，若回合結束雙方未分勝負，則殘留血量百分比高的一方獲勝
660,8.比赛存在积分排行，积分由数码兽造成的伤害决定，伤害越高，积分越高,8.比賽存在積分排行，積分由數碼獸造成的傷害決定，傷害越高，積分越高
661,9.每天10点可以开始下注，赔率越高，回报越丰厚，每天最高可获得100w金币,9.每天10點可以開始下注，賠率越高，回報越豐厚，每天最高可獲得100w金幣
662,10.若下注对象进入八强，未获冠军，会返还部分下注金额；若未进入八强，则不返还金额,10.若下注物件進入八強，未獲冠軍，會返還部分下注金額；若未進入八強，則不返還金額
663,预选赛,預選賽
664,1.预选赛为淘汰制，一共10场比赛，每场比赛4分钟，根据胜利场次进行排名，胜利场次一样按照积分排名,1.預選賽為淘汰制，一共10場比賽，每場比賽4分鐘，根據勝利場次進行排名，勝利場次一樣按照積分排名
665,2.每场比赛派出一名数码兽，如果没有数码兽，则自动判定该场比赛失败,2.每場比賽派出一名數碼獸，如果沒有數碼獸，則自動判定該場比賽失敗
666,3.预选赛累计,3.預選賽累計
667,3负,3負
668,直接淘汰出局,直接淘汰出局
669,4.每场比赛玩家可获得积分，预选赛结束后根据胜利场次、积分排名得出8强，晋级巅峰对决,4.每場比賽玩家可獲得積分，預選賽結束後根據勝利場次、積分排名得出8強，晉級巔峰對決
670,5.数码兽不能重复使用,5.數碼獸不能重複使用
671,巅峰对决,巔峰對決
672,1.巅峰对决阶段同样为淘汰制，包含四强赛、半决赛，决赛三场比赛，每场比赛5分钟,1.巔峰對決階段同樣為淘汰制，包含四強賽、半決賽，決賽三場比賽，每場比賽5分鐘
673,2.每场比赛，玩家需派出3名数码兽，采用车轮战，依顺序出场,2.每場比賽，玩家需派出3名數碼獸，採用車輪戰，依順序出場
674,3.3名数码兽全部被击败则判负,3.3名數碼獸全部被擊敗則判負
675,4.数码兽不能重复使用,4.數碼獸不能重複使用
676,比赛时间,比賽時間
677,报名,報名
678,1.每进行一场比赛，玩家可获得一个宝箱奖励,1.每進行一場比賽，玩家可獲得一個寶箱獎勵
679,2.胜利获得黄金宝箱，失败获得白银宝箱,2.勝利獲得黃金寶箱，失敗獲得白銀寶箱
680,3.两种宝箱均有概率开出指环、徽章等物品,3.兩種寶箱均有概率開出指環、徽章等物品
681,4.根据当天王者之战排名可获得排名奖励，包括天使兽碎片等稀有物品,4
682,战况：暂无,戰況：暫無
683,积分：暂无,積分：暫無
684,阵容已锁定,陣容已鎖定
685,您已成功报名，预祝您征战顺利！,您已成功報名，預祝您征戰順利！
686,望日,望日
687,王者之战已结束，您获得了X胜X负，未能晋级下一轮,王者之戰已結束，您獲得了X勝X負，未能晉級下一輪
688,<报名后直到19:50均可点击布阵进行更换>,<報名後直到19:50均可點擊佈陣進行更換>
689,神器能量之魂：17,神器能量之魂：17
690,拥有六个紫色品质格斗家,擁有六個紫色品質格鬥家
691,神器说明,神器說明
692,1.培养神器能够提升全体数码兽的综合战斗力！,1.培養神器能夠提升全體數碼獸的綜合戰鬥力！
693,2.所有神器对数码兽的战斗力加成同时生效。解锁的神器越多，战队战斗力越强。,2.所有神器對數碼獸的戰鬥力加成同時生效。解鎖的神器越多，戰隊戰鬥力越強。
694,3.战队等级越高，神器的培养潜力越多，能够为数码兽提升更多战斗力加成。,3.戰隊等級越高，神器的培養潛力越多，能夠為數碼獸提升更多戰鬥力加成。
695,4.神器有多种培养方式，养成效果各不相同。高级培养的养成效果最高。,4.神器有多種培養方式，養成效果各不相同。高級培養的養成效果最高。
696,刷新商店,刷新商店
697,立即刷新商店需花费,立即刷新商店需花費
698,今日已用XX/XX,今日已用XX/XX
699,综合强化,綜合強化
700,未开启,未開啟
701,已达最高等级,已達最高等級
702,天赋点说明,天賦點說明
703,1.主线关卡宝箱中能够获得天赋点,1.主線關卡寶箱中能夠獲得天賦點
704,2.竞技场排名奖励中能够获得天赋点,2.競技場排名獎勵中能夠獲得天賦點
705,3.其他活动中也能获得天赋点，敬请期待,3.其他活動中也能獲得天賦點，敬請期待
706,强加不同类型数码兽的特性天赋,強加不同類型數碼獸的特性天賦
707,天赋文字描述,天賦文字描述
708,天赋点：,天賦點：
709,升品道具不足，点击道具图标可查看道具来源。,升品道具不足，點擊道具圖示可查看道具來源。
710,集齐50个便可以合成亚古兽，同时也是亚古兽盛行的必备材料。,集齊50個便可以合成亞古獸，同時也是亞古獸盛行的必備材料。
711,亚古兽（碎片）,亞古獸（碎片）
712,件:,件:
713,购买价格：,購買價格：
714,99999.9万,99999.9萬
715,开放时间,開放時間
716,每周二、四、六、日开放,每週二、四、六、日開放
717,1.37级以上玩家可参加，每天凌晨5点重置挑战次数,1.37級以上玩家可參加，每天淩晨5點重置挑戰次數
718,2.只允许【技】型数码兽参加,2.只允許【技】型數碼獸參加
719,3.掉落数码兽礼物，可在数码精神中增加战队速度,3.掉落數碼獸禮物，可在數碼精神中增加戰隊速度
720,每周一，三，五，日开放,每週一，三，五，日開放
721,2.使用与敌方相同的数码兽可获得相应的数码兽碎片,2.使用與敵方相同的數碼獸可獲得相應的數碼獸碎片
722,每天开放,每天開放
723,1.15级以上可参加，每天凌晨5点重置挑战次数,1.15級以上可參加，每天淩晨5點重置挑戰次數
724,2.难度越高，奖励越丰富,2.難度越高，獎勵越豐富
725,3.可出售掉落道具获得大量金币,3.可出售掉落道具獲得大量金幣
726,3.掉落大量经验道具，可用于提升数码兽等级,3.掉落大量經驗道具，可用於提升數碼獸等級
727,每周一、三、五、六日开启,每週一、三、五、六日開啟
728,25级开启,25級開啟
729,今日排名,今日排名
730,今天剩余次数：,今天剩餘次數：
731,特殊规则：5星以上数码兽攻击+20,特殊規則：5星以上數碼獸攻擊+20
732,VIP等级不足,VIP等級不足
733,当前VIP等级不足，是否前往充值？,當前VIP等級不足，是否前往储值？
734,账 户 ID   ：,賬 戶 ID   ：
735,战 队 总 战 斗 力：,戰 隊 總 戰 鬥 力：
736,数码兽等级上限 ：,數碼獸等級上限 ：
737,所属公会 ：,所屬公會 ：
738,公 会 ID   ：,公 會 ID   ：
739,公会 ID ：,公會 ID ：
740,这是一个快乐的地方，没有世界的纷扰,這是一個快樂的地方，沒有世界的紛擾
741,个性签名：,個性簽名：
742,版本号: 1.0.0.0,版本號: 1.0.0.0
743,游戏音乐,遊戲音樂
744,游戏音效,遊戲音效
745,黑名单,黑名單
746,推送设置,推送設置
747,兑换码,兌換碼
748,BUG反馈,BUG回饋
749,游戏公告,遊戲公告
750,显示敌方血量,顯示敵方血量
751,体力回满,體力回滿
752,竞技场,競技場
753,公会红包,公會紅包
754,王者之战,王者之戰
755,签名最多20个字,簽名最多20個字
756,请输入文字,請輸入文字
757,首次改名是免费的哦！,首次改名是免費的哦！
758,点此输入,點此輸入
759,请在上方输入兑换码,請在上方輸入兌換碼
760,基础头像,基礎頭像
761,解锁条件：,解鎖條件：
762,获得加鲁鲁兽,獲得加魯魯獸
763,不想受到来自某位玩家的消息，可将其加入黑名单,不想受到來自某位元玩家的消息，可將其加入黑名單
764,公会：,公會：
765,几十年,幾十年
766,（关闭弹框后点击电池上的+号可以购买）,（關閉彈框後點擊電池上的+號可以購買）
767,没有电池可供使用,沒有電池可供使用
768,提升至下一等级需消耗：,提升至下一等級需消耗：
769,当前等级所需经验：,當前等級所需經驗：
770,经验总额：999999,經驗總額：999999
771,电池不足，无法提升等级，点击确定使用完所有电池：,電池不足，無法提升等級，點擊確定使用完所有電池：
772,竞技场军需言,競技場軍需言
773,竞技场奖励,競技場獎勵
774,主题：社团战社团奖励,主題：社團戰社團獎勵
775,来自：社团站组委员会,來自：社團站組委員會
776,日期：2015-12-9,日期：2015-12-9
777,高级经验秘籍,高級經驗秘笈
778,战斗力,戰鬥力
779,微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑微软雅黑,微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑微軟雅黑
780,机械暴龙兽 +2,機械暴龍獸 +2
781,爆裂拳套,爆裂拳套
782,觉醒可大幅提升装备属性的成长值，能够高效提升角色的综合战斗力。,覺醒可大幅提升裝備屬性的成長值，能夠高效提升角色的綜合戰鬥力。
783,觉醒材料,覺醒材料
784,已达到觉醒上限,已達到覺醒上限
785,升龙长裤,升龍長褲
786,需要达到战队等级,需要達到戰隊等級
787,拥有,擁有
788,试炼币可在终级试炼中获得,試煉幣可在終級試煉中獲得
789,加布兽,加布獸
790,获得物品：,獲得物品：
791,点击任意位置退出,點擊任意位置退出
792,数码骑士,數碼騎士
793,毒辣的魔法师,毒辣的魔法師
794,战队等级：,戰隊等級：
795,当前体力：,當前體力：
796,体力上限：,體力上限：
797,布阵,佈陣
798,开启功能：,開啟功能：
799,钻石不足,鑽石不足
800,当前钻石不足，是否前往购买？,當前鑽石不足，是否前往購買？
802,3.可重生的系统包括：数码兽阶数、技能、斗魂、装备、数码兽等级、徽章/指环等级；,3.可重生的系統包括：數碼獸階數、技能、鬥魂、裝備、數碼獸等級、徽章/指環等級；
803,2.每次重生需要消耗相应的重生石或者相应货币；,2.每次重生需要消耗相應的重生石或者相應貨幣；
804,消耗钻石,消耗鑽石
805,人， 可获得额外奖励,人， 可獲得額外獎勵
806,普通重生返还90%的材料。,普通重生返還90%的材料。
807,战魂精华,戰魂精華
808,可供经验：10,可供經驗：10
809,已添加：0/126,已添加：0/126
810,未添加材料,未添加材料
811,敬请期待,敬請期待
812,星座加成：,星座加成：
813,星座总数达到,星座總數達到
814,2.战队等级越高，能够激活越高品质的星座，同品质下，越贵的星座越强；,2.戰隊等級越高，能夠啟動越高品質的星座，同品質下，越貴的星座越強；
815,5.部分星座需要获得相应数码兽后才能激活。,5.部分星座需要獲得相應數碼獸後才能啟動。
816,10万,10萬
817,30万,30萬
818,获得积分：,獲得積分：
819,120分,120分
820,10胜,10勝
821,公会战绩：,公會戰績：
822,我的战绩：,我的戰績：
823,今天比赛已结束，请明天准时参加,今天比賽已結束，請明天準時參加
824,仅允许男性数码兽上阵,僅允許男性數碼獸上陣
825,第2轮比赛结束，成功进入下一轮继续厮杀,第2輪比賽結束，成功進入下一輪繼續廝殺
826,奖励将在21：30准时发放～,獎勵將在21：30準時發放～
827,第4场,第4場
828,无公会,無公會
829,战场情况(当前战场1),戰場情況(當前戰場1)
830,第一战场,第一戰場
831,战 况,戰 況
832,第二战场,第二戰場
833,第三战场,第三戰場
834,报名时间:10:00-20:50，比赛开始时间21:00,報名時間:10:00-20:50，比賽開始時間21:00
835,总积分：,總積分：
836,报名人数：,報名人數：
837,允许男性数码兽上阵,允許男性數碼獸上陣
838,暂无公会报名,暫無公會報名
839,公会获得积分：,公會獲得積分：
840,个人排名：,個人排名：
841,1.公会战分为,1.公會戰分為
842,预选赛、复赛、决赛,預選賽、複賽、決賽
843,三个阶段：预选赛3天（周二至周,三個階段：預選賽3天（週二至周
844,四），复赛1天（周五），决赛1天（周六）；,四），複賽1天（週五），決賽1天（週六）；
845,2.比赛报名时间：,2.比賽報名時間：
846,4.报名条件：,4.報名條件：
847,35级及以上,35級及以上
848,玩家、,玩家、
849,才能参加当日比赛；,才能參加當日比賽；
850,3级及以上,3級及以上
851,公会可报名，只有报名了,公會可報名，只有報名了
852,V5及以上,V5及以上
853,玩家每天可自动报名,玩家每天可自動報名
854,3.比赛开始时间：,3.比賽開始時間：
855,欢迎来到公会战，公会战一周为一个赛季，每个赛季都有丰厚奖励哟。公会战考验整个公会的整体实力，团结你的战友，一起战斗吧！,歡迎來到公會戰，公會戰一周為一個賽季，每個賽季都有豐厚獎勵喲。公會戰考驗整個公會的整體實力，團結你的戰友，一起戰鬥吧！
856,周一,週一
857,周二,週二
858,周三,週三
859,攻击型数码兽,攻擊型數碼獸
860,防御型数码兽,防禦型數碼獸
861,周四,週四
862,周五,週五
863,技能型数码兽,技能型數碼獸
864,所有数码兽,所有數碼獸
865,周六,週六
866,周日,周日
867,总排行8强,總排行8強
868,休息,休息
869,预选赛1,預選賽1
870,预选赛2,預選賽2
871,预选赛3,預選賽3
872,复赛,複賽
873,决赛,決賽
874,10.决赛中的胜场不计入个人排行。,10.決賽中的勝場不計入個人排行。
875,7.整个决赛系列赛数码兽状态均会保留，包括：4强赛打完晋级半决赛时，半决赛晋级决赛时，均会保存数码兽状态；,7.整個決賽系列賽數碼獸狀態均會保留，包括：4強賽打完晉級半決賽時，半決賽晉級決賽時，均會保存數碼獸狀態；
876,1.预选赛和复赛共4场比赛积分和的前8强进入决赛；,1.預選賽和複賽共4場比賽積分和的前8強進入決賽；
877,2.决赛中，所有类型数码兽均可出场；,2.決賽中，所有類型數碼獸均可出場；
878,3.决赛为公会VS公会，淘汰晋级模式，直至决出冠军；,3.決賽為公會VS公會，淘汰晉級模式，直至決出冠軍；
879,4.决赛分战场组进行，玩家可设定,4.決賽分戰場組進行，玩家可設定
880,3组,3組
881,别对应一、二、三战场；,別對應一、二、三戰場；
882,数码兽进行比赛，1、2、3组分,數碼獸進行比賽，1、2、3組分
883,决赛规则,決賽規則
884,5.每个战场组的比赛独立进行，例如：【小明的公会】VS【小灰的公会】，则两公会的第1组数码兽全部在第一战场战斗，第2组数码兽全部在第二战场战斗，第3组数码兽全部在第三战场战斗。战场组内存活到最后的公会获得该战场组的胜利；,5.每個戰場組的比賽獨立進行，例如：【小明的公會】VS【小灰的公會】，則兩公會的第1組數碼獸全部在第一戰場戰鬥，第2組數碼獸全部在第二戰場戰鬥，第3組數碼獸全部在第三戰場戰鬥。戰場組內存活到最後的公會獲得該戰場組的勝利；
885,6.3局两胜，赢得两个战场组胜利的公会赢得系列比赛胜利；,6.3局兩勝，贏得兩個戰場組勝利的公會贏得系列比賽勝利；
886,8.战场组内的战斗规则与预选赛一致，请参见预选赛；,8.戰場組內的戰鬥規則與預選賽一致，請參見預選賽；
887,9.决赛排名额外获得积分--第1名：20000；第2名：10000；第3-4名：3000；第5-8名：100；,9.決賽排名額外獲得積分--第1名：20000；第2名：10000；第3-4名：3000；第5-8名：100；
888,11.决赛前可以针对8强进行冠军下注，若下注对象进入决赛而未赢得冠军，返还一半金币，若下注对象赢得冠军，则按照赔率获得相应金币，奖励上限为100w。,11.決賽前可以針對8強進行冠軍下注，若下注對象進入決賽而未贏得冠軍，返還一半金幣，若下注物件贏得冠軍，則按照賠率獲得相應金幣，獎勵上限為100w。
889,1.比赛结束后，奖励均通过邮件发送；,1.比賽結束後，獎勵均通過郵件發送；
890,2.每天的比赛包括报名奖励、个人胜场奖励、公会排行奖励，其中公会排行奖励为该公会参赛人员可获得；,2.每天的比賽包括報名獎勵、個人勝場獎勵、公會排行獎勵，其中公會排行獎勵為該公會參賽人員可獲得；
891,3.预选赛和复赛报名奖励为金币*100000、钻石*20、公会战荣誉宝箱*5；决赛报名奖励为金币*200000、钻石*50、公会战荣耀宝箱*5；,3.預選賽和複賽報名獎勵為金幣*100000、鑽石*20、公會戰榮譽寶箱*5；決賽報名獎勵為金幣*200000、鑽石*50、公會戰榮耀寶箱*5；
892,4.个人胜利奖励为公会战荣誉宝箱，胜利一次，获得一个，该项奖励每天最多可获得6个；,4.個人勝利獎勵為公會戰榮譽寶箱，勝利一次，獲得一個，該項獎勵每天最多可獲得6個；
893,5.公会排名奖励为金币、经验电池、公会战宝箱等，详见以下奖励展示,5.公會排名獎勵為金幣、經驗電池、公會戰寶箱等，詳見以下獎勵展示
894,丢一名,丟一名
895,决赛奖励,決賽獎勵
896,预选赛和复赛奖励,預選賽和複賽獎勵
897,1.复赛中，所有类型数码兽均可出场；,1.複賽中，所有類型數碼獸均可出場；
898,2.复赛同样可以派出,2.複賽同樣可以派出
899,2组,2組
900,数码兽出战，每组,數碼獸出戰，每組
901,4个,4個
902,数码兽；,數碼獸；
903,3.复赛的其他规则同预选赛，请参见预选赛。,3.複賽的其他規則同預選賽，請參見預選賽。
904,复赛规则,複賽規則
905,预选赛规则,預選賽規則
