VariableName,_beizhu,huodongID,periodType,weekParam,taskAttribute,taskType,taskParam,taskSpecialParam,title,title_th,title_en,title_vn,title_kr,desc,desc_th,desc_en,desc_vn,desc_kr,exp,goToPanel
3308,,1003,2,3,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
3309,,1003,2,3,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
3310,,1003,2,3,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
3311,,1003,2,3,,21,3000,,Spend 3000 Primogems,ใช้ 3000 ตราประทับ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
3312,,1003,2,3,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกแอนบุ ชั้น 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
3313,,1003,2,3,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
3401,,1003,2,4,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบสะสม 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
3402,,1003,2,4,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
3403,,1003,2,4,,21,1000,,Spend 1000 Primogems,ใช้ 1000 ตราประทับ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
3404,,1003,2,4,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
3405,,1003,2,4,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษแอนบุ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
3406,,1003,2,4,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
3407,,1003,2,4,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่ม 20 ครั้งในการสุ่มบัตรตราประทับ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
3408,,1003,2,4,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
3409,,1003,2,4,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
3410,,1003,2,4,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
3411,,1003,2,4,,21,3000,,Spend 3000 Primogems,ใช้ 3000 ตราประทับ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
3412,,1003,2,4,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกแอนบุ ชั้น 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
3413,,1003,2,4,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
3501,,1003,2,5,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบสะสม 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
3502,,1003,2,5,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
3503,,1003,2,5,,21,1000,,Spend 1000 Primogems,ใช้ 1000 ตราประทับ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
3504,,1003,2,5,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
3505,,1003,2,5,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษแอนบุ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
3506,,1003,2,5,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
3507,,1003,2,5,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่ม 20 ครั้งในการสุ่มบัตรตราประทับ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
3508,,1003,2,5,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
3509,,1003,2,5,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
3510,,1003,2,5,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
3511,,1003,2,5,,21,3000,,Spend 3000 Primogems,ใช้ 3000 ตราประทับ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
3512,,1003,2,5,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกแอนบุ ชั้น 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
3513,,1003,2,5,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
3601,,1003,2,6,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบสะสม 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
3602,,1003,2,6,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
3603,,1003,2,6,,21,1000,,Spend 1000 Primogems,ใช้ 1000 ตราประทับ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
3604,,1003,2,6,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
3605,,1003,2,6,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษแอนบุ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
3606,,1003,2,6,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
3607,,1003,2,6,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่ม 20 ครั้งในการสุ่มบัตรตราประทับ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
3608,,1003,2,6,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
3609,,1003,2,6,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
3610,,1003,2,6,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
3611,,1003,2,6,,21,3000,,Spend 3000 Primogems,ใช้ 3000 ตราประทับ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
3612,,1003,2,6,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกแอนบุ ชั้น 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
3613,,1003,2,6,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
3701,,1003,2,7,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบสะสม 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
3702,,1003,2,7,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
3703,,1003,2,7,,21,1000,,Spend 1000 Primogems,ใช้ 1000 ตราประทับ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
3704,,1003,2,7,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
3705,,1003,2,7,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษแอนบุ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
3706,,1003,2,7,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
3707,,1003,2,7,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่ม 20 ครั้งในการสุ่มบัตรตราประทับ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
3708,,1003,2,7,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
3709,,1003,2,7,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
3710,,1003,2,7,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
3711,,1003,2,7,,21,3000,,Spend 3000 Primogems,ใช้ 3000 ตราประทับ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
3712,,1003,2,7,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกแอนบุ ชั้น 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
3713,,1003,2,7,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
3801,,1003,2,8,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบสะสม 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
3802,,1003,2,8,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
3803,,1003,2,8,,21,1000,,Spend 1000 Primogems,ใช้ 1000 ตราประทับ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
3804,,1003,2,8,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
3805,,1003,2,8,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษแอนบุ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
3806,,1003,2,8,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
3807,,1003,2,8,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่ม 20 ครั้งในการสุ่มบัตรตราประทับ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
3808,,1003,2,8,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
3809,,1003,2,8,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
3810,,1003,2,8,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
3811,,1003,2,8,,21,3000,,Spend 3000 Primogems,ใช้ 3000 ตราประทับ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
3812,,1003,2,8,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกแอนบุ ชั้น 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
3813,,1003,2,8,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
3901,,1003,2,9,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบสะสม 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
3902,,1003,2,9,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
3903,,1003,2,9,,21,1000,,Spend 1000 Primogems,ใช้ 1000 ตราประทับ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
3904,,1003,2,9,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
3905,,1003,2,9,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษแอนบุ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
3906,,1003,2,9,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
3907,,1003,2,9,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่ม 20 ครั้งในการสุ่มบัตรตราประทับ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
3908,,1003,2,9,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
3909,,1003,2,9,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
3910,,1003,2,9,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
3911,,1003,2,9,,21,3000,,Spend 3000 Primogems,ใช้ 3000 ตราประทับ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
3912,,1003,2,9,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกแอนบุ ชั้น 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
3913,,1003,2,9,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
4001,,1003,2,10,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบรวม 3 วัน  ,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
4002,,1003,2,10,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง  ,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
4003,,1003,2,10,,21,1000,,Spend 1000 Primogems,ใช้ 1000 คริสตัล  ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
4004,,1003,2,10,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน  ,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
4005,,1003,2,10,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษหน่วยลับ  ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
4006,,1003,2,10,,55,20,,Donate 20 times,บริจาค 20 ครั้ง  ,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
4007,,1003,2,10,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่มการ์ดด้วยคริสตัล 20 ครั้ง  ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
4008,,1003,2,10,,29,300,,Fight in the normal stage 300 times,ต่อสู้ด่านปกติ 300 ครั้ง  ,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
4009,,1003,2,10,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง  ,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
4010,,1003,2,10,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง  ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
4011,,1003,2,10,,21,3000,,Spend 3000 Primogems,ใช้ 3000 คริสตัล  ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
4012,,1003,2,10,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกหน่วยลับ ชั้นที่ 7  ,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
4013,,1003,2,10,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง  ,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
4101,,1003,2,11,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบรวม 3 วัน  ,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,1000,
4102,,1003,2,11,,36,50,,Upgrade Ninja 50 times.,อัปเกรดฮีโร่ 50 ครั้ง  ,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,1000,strengthen-1
4103,,1003,2,11,,21,1000,,Spend 1000 Primogems,ใช้ 1000 คริสตัล  ,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,2000,
4104,,1003,2,11,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน  ,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,1000,
4105,,1003,2,11,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสม 50000 แต้มฝึกพิเศษหน่วยลับ  ,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,1000,
4106,,1003,2,11,,55,20,,Donate 20 times,บริจาค 20 ครั้ง  ,Donate 20 times,Quyên góp 20 lần,,,,,,,1000,
4107,,1003,2,11,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,สุ่มการ์ดด้วยคริสตัล 20 ครั้ง  ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,2000,
4108,,1003,2,11,,29,300,,Fight in the normal stage 300 times,ต่อสู้ด่านปกติ 300 ครั้ง  ,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,2000,10000
4109,,1003,2,11,,30,60,,Challenge 60 Hard Levels,ท้าทายด่านยาก 60 ครั้ง  ,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,2000,20000
4110,,1003,2,11,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจมอบหมายสำเร็จ 30 ครั้ง  ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,1000,
4111,,1003,2,11,,21,3000,,Spend 3000 Primogems,ใช้ 3000 คริสตัล  ,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,2000,
4112,,1003,2,11,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกหน่วยลับ ชั้นที่ 7  ,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,2000,
4113,,1003,2,11,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจมอบหมายระดับ S สำเร็จ 6 ครั้ง  ,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,2000,
5001,,1004,,,,15,1,,Daily Login,เข้าสู่ระบบรายวัน,Daily Login,Đăng nhập hàng ngày,,,,,,,30,
5002,,1004,,,,29,30,,Fight in the normal stage 30 times,ต่อสู้ที่ด่านปกติ 30 ครั้ง,Fight in the normal stage 30 times,Chiến đấu ở ải bình thường 30 lần,,,,,,,30,10000
5003,,1004,,,,39,1,,Accessory Breakthrough Once,เจาะผ่านอุปกรณ์ครั้งเดียว,Accessory Breakthrough Once,Đột phá phụ kiện 1 lần,,,,,,,30,
5004,,1004,,,,41,5,,Participate in the arena 5 times,เข้าร่วมสนามประลอง 5 ครั้ง,Participate in the arena 5 times,Tham đấu trường 5 lần,,,,,,,30,
5005,,1004,,,,66,2,,Participate in Illusion Challenge 2 times,เข้าร่วมท้าทายภาพลวงตา 2 ครั้ง,Participate in Illusion Challenge 2 times,Tham gia Khiêu chiến ảo ảnh 2 lần,,,,,,,30,
5006,,1004,,,,20,1000000,,"Spend 1,000,000 Xu coins","ใช้ 1,000,000 เหรียญ Xu","Spend 1,000,000 Xu coins",Tiêu 1000000 Xu đồng,,,,,,,30,
5007,,1004,,,,21,300,,Spend 300 Primogems,ใช้ 300 เพชร,Spend 300 Primogems,Tiêu 300 Nguyên bảo,,,,,,,30,
5008,,1004,,,4,15,1,,Marster daily login.,Marster เข้าสู่ระบบรายวัน.,Marster daily login.,Marster đăng nhập hàng ngày.,,,,,,,30,
5101,,1004,2,,,17,2,,Logged in for a total of 2 days,ล็อกอินครบทั้งหมด 2 วัน,Logged in for a total of 2 days,Đăng nhập tổng cộng 2 ngày,,,,,,,100,
5102,,1004,2,,,36,30,,Upgrade Ninja 30 times,อัปเกรดนินจา 30 ครั้ง,Upgrade Ninja 30 times,Nâng cấp Ninja 30 lần,,,,,,,100,strengthen-1
5103,,1004,2,,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,100,
5104,,1004,2,,,43,25,,Arena points: 25 points,คะแนนสนามประลอง: 25 คะแนน,Arena points: 25 points,Điểm đấu trường: 25 điểm,,,,,,,100,
5105,,1004,2,,,63,25000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,100,
5106,,1004,2,,,55,10,,Donate 10 times,บริจาค 10 ครั้ง,Donate 10 times,Quyên góp 10 lần,,,,,,,100,
5107,,1004,2,,,50,10,,Draw 10 times in Primogem Banner,หมุน 10 ครั้งในกาชา Primogem,Draw 10 times in Primogem Banner,Rút 10 lần trong Rút thẻ Nguyên bảo,,,,,,,100,
5108,,1004,2,,,29,150,,Fight in the normal stage 150 times,ต่อสู้ในด่านปกติ 150 ครั้ง,Fight in the normal stage 150 times,Chiến đấu ở ải bình thường 150 lần,,,,,,,100,10000
5109,,1004,2,,,30,30,,Challenge the hard stage 30 times,ท้าทายด่านยาก 30 ครั้ง,Challenge the hard stage 30 times,Thử thách ải khó 30 lần,,,,,,,100,20000
5110,,1004,2,,,85,15,,Complete the dispatch mission 15 times,ทำภารกิจส่งสายงานให้สำเร็จ 15 ครั้ง,Complete the dispatch mission 15 times,Hoàn thành nhiệm điều phái 15 lần,,,,,,,100,
5111,,1004,2,,,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,100,
5112,,1004,2,,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกอบรมอันบู ชั้นที่ 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,100,
5113,,1004,2,,,86,3,{3=4},Complete the S-rank dispatch mission 3 times,ทำภารกิจส่งกำลังระดับ S ให้ครบ 3 ครั้ง,Complete the S-rank dispatch mission 3 times,Hoàn thành nhiệm vụ điều phái bậc S 3 lần,,,,,,,100,
5201,,1004,2,2,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบทั้งหมด 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,100,
5202,,1004,2,2,,36,50,,Upgrade Ninja 50 times.,อัปเกรดนินจา 50 ครั้ง.,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,100,strengthen-1
5203,,1004,2,2,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,200,
5204,,1004,2,2,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,100,
5205,,1004,2,2,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,100,
5206,,1004,2,2,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,100,
