VariableName,huodongID,_beizhu,name_cn,name,name_en,name_vn,name_th,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages,group,costMap,unlock
2397,23228,,印记礼包,Dojo Package,Dojo Package,Niêm phong gói quà,Dojo Package,2,,{529=3000;531=30;rmb=1980},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,,,,
2398,23228,,道场礼包,Ascension Jewelry Package,Ascension Jewelry Package,gói võ đường,Ascension Jewelry Package,2,68,{151=1500;rmb=1980;152=150},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,<cn>,,,
2399,23228,,饰品升星礼包,Engraved Gift Bag,Engraved Gift Bag,Gói trang sức thăng thiên,Engraved Gift Bag,2,,{rmb=3280;501=8;6059=1},112,,2,,1,activity/direct_gift/icon_zjbx8.png,,,,,,
2400,23228,,刻印礼包,Tips Package,Tips Package,túi quà tặng khắc,Tips Package,2,78,{112=150;111=750;rmb=1980},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,<cn>,,,
2401,23228,,秘笈礼包,Free Gift Bag,Free Gift Bag,gói mẹo,Free Gift Bag,2,80,{537=30;rmb=1980;124=45},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,<cn>,,,
2410,23229,,免费礼包,Tips Package,Tips Package,túi quà tặng miễn phí,Tips Package,1,,{537=1;123=1;gold=50000},,0,,,,activity/direct_gift/icon_cjbx.png,,,,,,
2411,23229,,秘笈礼包,Tips Package,Tips Package,gói mẹo,Tips Package,1,,{537=2;124=2;rmb=120},102,,,,,activity/direct_gift/icon_cjbx.png,,,,,,
2412,23229,,秘笈礼包,Tips Package,Tips Package,gói mẹo,Tips Package,2,,{537=10;7323=1;rmb=200},106,,,,,activity/direct_gift/icon_zjbx.png,,,,,,
2413,23229,,秘笈礼包,Tips Package,Tips Package,gói mẹo,Tips Package,2,,{537=30;7324=2;rmb=500},111,,,,,activity/direct_gift/icon_zjbx.png,,,,,,
2414,23229,,秘笈礼包,Tips Package,Tips Package,gói mẹo,Tips Package,2,,{537=80;7325=2;rmb=2000},113,,,,,activity/direct_gift/icon_gjbx.png,,,,,,
2420,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,1,,{rmb=60;stamina=50;gold=10000},,0,,,,activity/direct_gift/box_khqd1.png,,,,,,
2421,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2422,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,1,,{519=1;rmb=120;gold=20000},102,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2423,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,1,,{rmb=600;451=200;452=100},106,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2424,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2425,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,1,,{925=1;rmb=1680},108,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2426,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,,{520=10;rmb=1680;4000=100},108,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2427,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,,{501=1;rmb=1680;503=20},108,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2428,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2429,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2430,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,,{502=50;13=20;gold=150000;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2431,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,80,{537=30;7324=2;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2432,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,66,{993=2;531=30;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2433,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,,{rmb=3980;501=5;6059=2},112,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2434,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,66,{529=20000;994=1;rmb=3980},112,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2435,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,2,80,{537=40;7325=1;rmb=3980},112,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2436,23230,,端午特惠礼包,,,Gói quà lễ hội thuyền rồng,,3,,{13=50;gold=500000;521=50;rmb=7280},113,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2440,23231,,胡帕皮肤礼包,,,Gói Da Hoopa,,1,,{521=50;8012=1;rmb=6480},113,,,,,activity/direct_gift/icon_gjbx.png,,,,,,
2450,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,1,,{rmb=60;stamina=50;gold=10000},,0,,,,activity/direct_gift/icon_xjhd1.png,,,,,,
2451,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_xjhd1.png,,,,,,
2452,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,1,,{519=1;rmb=120;gold=20000},102,,,,,activity/direct_gift/icon_xjhd1.png,,,,,,
2453,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,1,,{rmb=600;451=200;452=100},106,,,,,activity/direct_gift/icon_xjhd1.png,,,,,,
2454,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_xjhd1.png,,,,,,
2455,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,1,,{rmb=1680;6216=1},108,,,,,activity/direct_gift/icon_xjhd2.png,,,<cn>,,,
2456,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{520=10;rmb=1680;4000=100},108,,,,,activity/direct_gift/icon_xjhd2.png,,,,,,
2457,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{501=1;rmb=1680;503=20},108,,,,,activity/direct_gift/icon_xjhd2.png,,,,,,
2458,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_xjhd2.png,,,,,,
2459,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_xjhd2.png,,,,,,
2460,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{502=50;13=20;gold=150000;rmb=2680},111,,,,,activity/direct_gift/icon_xjhd2.png,,,,,,
2461,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,70,{537=30;7324=2;rmb=2680},111,,,,,activity/direct_gift/icon_xjhd2.png,,,<cn>,,,
2462,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{993=2;531=30;rmb=2680},111,,,,,activity/direct_gift/icon_xjhd2.png,,,,,,
2463,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{rmb=3980;501=5;6059=2},112,,,,,activity/direct_gift/icon_xjhd3.png,,,,,,
2464,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,,{529=20000;994=1;rmb=3980},112,,,,,activity/direct_gift/icon_xjhd3.png,,,,,,
2465,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,2,70,{537=40;7325=1;rmb=3980},112,,,,,activity/direct_gift/icon_xjhd3.png,,,<cn>,,,
2466,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,3,,{13=50;gold=500000;521=50;rmb=6480},113,,,,,activity/direct_gift/icon_xjhd3.png,,,,,,
2467,23232,,夏日特惠礼包,,,gói đặc biệt mùa hè,,1,,{521=50;8002=1;rmb=6480},113,,,,,activity/direct_gift/icon_xjhd3.png,,,<cn>,,,
2470,23233,,七夕玫瑰礼包,,,Gói quà hoa hồng Tanabata,,2,,{6323=9;rmb=60},102,,,,,activity/direct_gift/icon_qxlb.png,,,,,,
2471,23233,,七夕玫瑰礼包,,,Gói quà hoa hồng Tanabata,,2,,{6323=36;rmb=300},106,,,,,activity/direct_gift/icon_qxlb.png,,,,,,
2472,23233,,七夕玫瑰礼包,,,Gói quà hoa hồng Tanabata,,2,,{6323=66;rmb=600},107,,,,,activity/direct_gift/icon_qxlb.png,,,,,,
2473,23233,,七夕玫瑰礼包,,,Gói quà hoa hồng Tanabata,,2,,{6323=99;rmb=980},108,,,,,activity/direct_gift/icon_qxlb.png,,,,,,
2480,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{521=3;rmb=120;gold=100000},102,,,,,activity/direct_gift/icon_sc_zqlb1.png,,,<en>,,,
2481,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{rmb=600;503=10},106,,,,,activity/direct_gift/icon_sc_zqlb1.png,,,,,,
2482,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{rmb=900;527=10},107,,,,,activity/direct_gift/icon_sc_zqlb1.png,,,,,,
2483,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{rmb=1280;501=2;6059=1},108,,,,,activity/direct_gift/icon_sc_zqlb2.png,,,,,,
2484,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{rmb=1280;942=1;gold=500000},108,,,,,activity/direct_gift/icon_sc_zqlb2.png,,,,,,
2485,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{2152=1;rmb=2280;945=1},111,,,,,activity/direct_gift/icon_sc_zqlb3.png,,,,,,
2486,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{529=10000;994=1;rmb=2280},111,,,,,activity/direct_gift/icon_sc_zqlb3.png,,,,,,
2487,23234,,中秋特惠礼包,,,gói quà tết trung thu,,1,,{521=50;rmb=3280;gold=1000000},112,,,,,activity/direct_gift/icon_sc_zqlb3.png,,,,,,
2490,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=60;stamina=50;gold=10000},,0,,,,activity/direct_gift/box_khqd1.png,,,,,,
2491,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2492,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{519=1;rmb=120;gold=20000},102,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2493,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=600;451=200;452=100},106,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2494,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2495,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=1680;6215=1},108,,,,,activity/direct_gift/box_khqd2.png,,,<cn;in;kr>,,,
2496,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,2,,{520=10;rmb=1680;4000=100},108,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2497,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,2,,{501=1;rmb=1680;503=20},108,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2498,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2499,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2500,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{502=50;13=20;gold=150000;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2501,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{993=2;531=30;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2502,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,4,,{rmb=3980;501=5;6059=2},112,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2503,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,4,,{529=20000;994=1;rmb=3980},112,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2504,23235,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,4,,{13=50;gold=500000;521=50;rmb=6480},113,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2510,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=60;stamina=50;gold=10000},,0,,,,activity/direct_gift/box_khqd1.png,,,,,,
2511,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2512,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{519=1;rmb=120;gold=20000},102,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2513,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=600;451=200;452=100},106,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2514,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/box_khqd1.png,,,,,,
2515,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{rmb=1680;6215=1},108,,,,,activity/direct_gift/box_khqd2.png,,,<cn;in;kr>,,,
2516,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,2,,{520=10;rmb=1680;4000=100},108,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2517,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,2,,{501=1;rmb=1680;503=20},108,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2518,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2519,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2520,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{502=50;13=20;gold=150000;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2521,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,,{993=2;531=30;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,,,,
2522,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,3,70,{537=30;7324=2;rmb=2680},111,,,,,activity/direct_gift/box_khqd2.png,,,<cn>,,,
2523,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,4,,{rmb=3980;501=5;6059=2},112,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2524,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,4,,{529=20000;994=1;rmb=3980},112,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2525,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,4,70,{537=40;7325=1;rmb=3980},112,,,,,activity/direct_gift/box_khqd3.png,,,<cn>,,,
2526,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,6,,{13=50;gold=500000;521=50;rmb=6480},113,,,,,activity/direct_gift/box_khqd3.png,,,,,,
2527,23236,,盛典特惠礼包,Grand Package,Grand Package,Gói Đại Lễ,Grand Package,1,,{521=50;8018=1;rmb=6480},113,,,,,activity/direct_gift/box_khqd3.png,,,<cn>,,,
2530,23237,,时拉比皮肤礼包,,,Gói da Rabi,,1,,{521=50;8016=1;rmb=6480},113,,,,,activity/direct_gift/icon_gjbx.png,,,,,,
2540,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,1,,{502=1;rmb=60;59002=2},,0,,,,activity/direct_gift/icon_cjbx.png,,,,,,
2541,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,2,,{502=10;rmb=300;gold=100000},106,,,,,activity/direct_gift/icon_cjbx.png,,,,,,
2542,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,2,,{59002=40;rmb=980;gold=300000},108,,,,,activity/direct_gift/icon_zjbx.png,,,,,,
2543,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,2,,{502=50;rmb=1980;gold=200000},111,,,,,activity/direct_gift/icon_zjbx.png,,,,,,
2544,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,2,,{rmb=1980;501=5;6059=1},111,,,,,activity/direct_gift/icon_zjbx.png,,,,,,
2545,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,2,,{521=30;rmb=3280;gold=300000},112,,,,,activity/direct_gift/icon_gjbx.png,,,,,,
2546,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,2,,{59003=50;rmb=3280;gold=300000},112,,,,,activity/direct_gift/icon_gjbx.png,,,,,,
2547,23238,,Z觉醒养成礼包,,,Gói tu luyện thức tỉnh Z,,2,,{521=50;rmb=6480;gold=600000},113,,,,,activity/direct_gift/icon_gjbx.png,,,,,,
2550,23239,,皮肤礼包,,,gói da,,1,,{521=50;rmb=6480;8006=1},113,,,,,activity/direct_gift/icon_year3.png,,,,,,
2560,23240,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=5;gold=10000;rmb=10;526=1},,0,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2561,23240,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=10;gold=60000;rmb=600;526=1},107,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2562,23240,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=15;gold=150000;rmb=1280;526=2},109,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2563,23240,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=20;gold=200000;rmb=1980;526=3},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2564,23240,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=30;gold=350000;rmb=3280;526=5},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2565,23240,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;2250=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2566,23240,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;949=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2570,23241,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=5;gold=10000;rmb=10;526=1},,0,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2571,23241,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=10;gold=60000;rmb=600;526=1},107,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2572,23241,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=15;gold=150000;rmb=1280;526=2},109,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2573,23241,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=20;gold=200000;rmb=1980;526=3},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2574,23241,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=30;gold=350000;rmb=3280;526=5},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2575,23241,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;2251=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2576,23241,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;954=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2580,23242,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=5;gold=10000;rmb=10;526=1},,0,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2581,23242,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=10;gold=60000;rmb=600;526=1},107,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2582,23242,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=15;gold=150000;rmb=1280;526=2},109,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2583,23242,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=20;gold=200000;rmb=1980;526=3},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2584,23242,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=30;gold=350000;rmb=3280;526=5},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2585,23242,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;2252=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2586,23242,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;955=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2590,23243,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=5;gold=10000;rmb=10;526=1},,0,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2591,23243,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=10;gold=60000;rmb=600;526=1},107,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2592,23243,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=15;gold=150000;rmb=1280;526=2},109,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2593,23243,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=20;gold=200000;rmb=1980;526=3},111,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2594,23243,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,1,,{14=30;gold=350000;rmb=3280;526=5},112,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2595,23243,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;2253=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
2596,23243,,限时特惠礼包,,,Gói đặc biệt giới hạn thời gian,,2,,{14=40;956=1;rmb=7280;526=10},113,,,,,activity/direct_gift/icon_tehuilibao3.png,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2597,27001,,,Free Pack,Free Pack,Free Pack,Free Pack,1,,{stamina=100;rmb=100;gold=100000},,0,,,,,,,,,,
2598,27001,,,Jewelry Pack 0.99$,Jewelry Pack 0.99$,Jewelry Pack 0.99$,Jewelry Pack 30฿,1,,{gold=10000000;100=30;111=200;112=100;501=30;6059=2},102,,1,,,,,,,,{536=125},
2599,27001,,,Jewelry Pack 2.99$,Jewelry Pack 2.99$,Jewelry Pack 2.99$,Jewelry Pack 90฿,1,,{gold=30000000;100=50;111=500;112=300;501=50;6059=5},104,,2,,,,,,,,{536=250},
2600,27001,,,Jewelry Pack 4.99$,Jewelry Pack 4.99$,Jewelry Pack 4.99$,Jewelry Pack 150฿,2,,{gold=40000000;100=100;111=1000;112=500;501=80;6059=10},106,,3,,,,,,,,{536=500},
2601,27001,,,Jewelry Pack 14.99$,Jewelry Pack 14.99$,Jewelry Pack 14.99$,Jewelry Pack 450฿,2,,{gold=80000000;100=200;111=2000;112=1000;501=160;6059=20},108,,4,,,,,,,,{536=1000},
2602,27001,,,Jewelry Pack 19.99$,Jewelry Pack 19.99$,Jewelry Pack 19.99$,Jewelry Pack 600฿,2,,{gold=100000000;100=300;111=4000;112=2000;501=250;6059=30},109,,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2603,27002,,,Free Pack,Free Pack,Free Pack,Free Pack,1,,{stamina=100;rmb=100;gold=100000},,0,,,,,,,,,,
2604,27002,,,Special Star-Up Pack 0.99$,Special Star-Up Pack 0.99$,Special Star-Up Pack 0.99$,Special Star-Up Pack 30฿,1,,{rmb=3888;521=30;501=20;2152=5;500=1},102,,1,,,,,,,,{536=500},
2605,27002,,,Special Star-Up Pack 1.99$,Special Star-Up Pack 1.99$,Special Star-Up Pack 1.99$,Special Star-Up Pack 60฿,1,,{rmb=6888;521=60;501=40;2152=10;6059=1},103,,2,,,,,,,,{536=1000},
2606,27002,,,Special Star-Up Pack 4.99$,Special Star-Up Pack 4.99$,Special Star-Up Pack 4.99$,Special Star-Up Pack 150฿,1,,{rmb=12888;card={id=9003};521=30;501=80;2153=3;6059=2},106,,3,,,,,,,,{536=1000},
2607,27002,,,Special Star-Up Pack 8.99$,Special Star-Up Pack 8.99$,Special Star-Up Pack 8.99$,Special Star-Up Pack 300฿,2,,{rmb=18888;card={id=9003};521=50;501=100;2153=6;6059=4},107,,4,,,,,,,,{536=2500},
2608,27002,,,Special Star-Up Pack 19.99$,Special Star-Up Pack 19.99$,Special Star-Up Pack 19.99$,Special Star-Up Pack 600฿,2,,{rmb=26888;card={id=9003};521=120;501=150;2153=10;6059=7},109,,5,,,,,,,,{536=5000},
2609,27002,,,Special Star-Up Pack 25.99$,Special Star-Up Pack 25.99$,Special Star-Up Pack 25.99$,Special Star-Up Pack 750฿,2,,{rmb=30888;card={id=9003};521=160;501=200;2153=15;6059=10},110,,6,,,,,,,,{536=7500},
,,,,,,,,,,,,,,,,,,,,,,
2610,27003,,,Free Pack,Free Pack,Free Pack,Free Pack,1,,{520=10;rmb=500;gold=200000},,0,,,,,,,,,,
2611,27003,,,Beast Upgrade Pack 2.99$,Beast Upgrade Pack 2.99$,Beast Upgrade Pack 2.99$,Beast Upgrade Pack 90฿,2,,{gold=30000000;4000=500;520=20;6119=5},104,,1,,,,,,,,{536=500},
2612,27003,,,Beast Upgrade Pack 4.99$,Beast Upgrade Pack 4.99$,Beast Upgrade Pack 4.99$,Beast Upgrade Pack 150฿,2,,{gold=50000000;4000=1000;520=50;6119=10},106,,2,,,,,,,,{536=1000},
2613,27003,,,Beast Upgrade Pack 14.99$,Beast Upgrade Pack 14.99$,Beast Upgrade Pack 14.99$,Beast Upgrade Pack 450฿,2,,{gold=100000000;4000=3000;520=100;6117=15},108,,3,,,,,,,,{536=1000},
