VariableName,leastLevel,active,type,huodongID,openDuration,beginDate,beginTime,endTime,endDate,desc,desc_en,desc_vn,desc_th,icon1,name,languages,icon,servers,redpoint,paramMap,openType,leastVipLevel,serverDayRange,relativeDayRange,clientParam,clientParam_th,independent,rDesc,rDesc_th,countType,sortWeight,validServerOpenDateRange,roleDayRange,validRoleCreatedDateRange
680,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<1;41>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
681,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<42;82>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
682,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<83;123>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
683,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<124;164>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
684,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<165;205>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
685,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<206;246>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
686,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<247;287>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
687,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<288;328>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
688,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<329;369>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
689,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<370;410>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
690,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<411;451>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
691,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<452;492>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
692,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<493;533>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
693,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<534;574>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
694,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<575;615>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
695,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<616;656>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
696,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<657;697>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
697,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<698;738>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
698,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<739;779>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
699,40,1,59,3001,5000000,20250329,0,0,20290101,Dimension Tower Pass,Dimension Tower Pass,Thẻ Tháp Chiều Không Gian,Dimension Tower Pass,,Dimension Tower Pass,,activity/play_passport/icon_yttxz.png,,1,{dailyBuyTimes=10;oneKeyReceive=true;type=3;buyUnlock=false},3,,,<780;820>,{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},{banner=activity/play_passport/passport_banner_yitai.png;buyExpShowDay=7;topText=BATTLE PASS;res=city/adventure/random_tower/bg_ytly.jpg;showLastUnlock=true;icon=activity/play_passport/icon_yitai_passport},1,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,1,0,14,1020,5000000,20250329,0,0,20290101,Gifts When Drawing Cards,Gifts When Drawing Cards,Gifts When Drawing Cards,Gifts When Drawing Cards,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,16,,,
10201,1,0,33,23111,5000000,20250329,0,0,20290101,Goods Package day,Goods Package day,Goods Package day,Goods Package day,1,,,,,1,,4,,,,,,1,,,,19,,,
10202,1,0,33,23112,5000000,20250329,0,0,20290101,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,1,,,,,1,,4,,,,,,1,,,,19,,,
10203,1,0,14,2001,5000000,20250329,0,0,20290101,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,18,,,
10204,1,0,14,1005,5000000,20250329,0,0,20290101,Draw Accessory,Draw Accessory,Draw Accessory,Draw Accessory,2,_BAOHONG_,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,17,,,
10303,1,0,14,2001,5000000,20250329,0,0,20290101,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,18,,,
10304,1,0,14,1011,5000000,20250329,0,0,20290101,Draw Pet Card,Draw Pet Card,Draw Pet Card,Draw Pet Card,2,_BAOHONG_,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,17,,,
10305,1,0,33,23111,5000000,20250329,0,0,20290101,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,1,,,,,1,,4,,,,,,1,,,,19,,,
10306,1,0,33,23112,5000000,20250329,0,0,20290101,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,1,,,,,1,,4,,,,,,1,,,,19,,,
10401,1,0,33,23111,5000000,20250329,0,0,20290101,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,1,,,,,1,,4,,,,,,1,,,,19,,,
10402,1,0,33,23112,5000000,20250329,0,0,20290101,Draw Card Gift,Draw Card Gift,Draw Card Gift,Draw Card Gift,1,,,,,1,,4,,,,,,1,,,,19,,,
10403,1,0,14,2001,5000000,20250329,0,0,20290101,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,18,,,
10404,1,0,14,1020,5000000,20250329,0,0,20290101,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,16,,,
10501,1,0,33,23111,5000000,20250329,0,0,20290101,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,1,,,,,1,,4,,,,,,1,,,,19,,,
10502,1,0,33,23112,5000000,20250329,0,0,20290101,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,1,,,,,1,,4,,,,,,1,,,,19,,,
10503,1,0,14,2001,5000000,20250329,0,0,20290101,Return Card,Return Card,Return Card,Return Card,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,18,,,
10505,1,0,14,1002,5000000,20250329,0,0,20290101,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,3,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,17,,,
10601,1,0,33,23111,5000000,20250329,0,0,20290101,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,1,,,,,1,,4,,,,{isShowCountDown=false},{isShowCountDown=false},1,,,,19,,,
10602,1,0,33,23112,5000000,20250329,0,0,20290101,Daily Top-up Reward,Daily Top-up Reward,Daily Top-up Reward,Daily Top-up Reward,1,,,,,1,,4,,,,{isShowCountDown=false},{isShowCountDown=false},1,,,,19,,,
10603,1,0,14,2001,5000000,20250329,0,0,20290101,Top-up Reward,Top-up Reward,Top-up Reward,Top-up Reward,2,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,18,,,
10605,1,0,14,1002,5000000,20250329,0,0,20290101,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,Daily Gift Pack,3,,,,,,,4,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,17,,,
20001,1,0,14,2051,5000000,20250329,0,0,20290101,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,Weekly Gift Pack,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
20002,1,0,14,3007,5000000,20250329,0,0,20290101,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,Daily Top-up Gift,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
20003,1,0,14,3001,5000000,20250329,0,0,20290101,Top-up Reward,Top-up Reward,Top-up Reward,Top-up Reward,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
20004,1,0,-3,,5000000,20250329,0,0,20290101,Daily Activities,Daily Activities,Daily Activities,Daily Activities,,,,,,,{extraVersion=1},0,,,,,,-1,Log in on the first day of server launch to receive a free 10x draw! Go summon your Ninjas now!  ,ล็อกอินวันแรกที่เซิร์ฟเวอร์เปิด รับฟรี 10 ครั้งสุ่ม! ไปอัญเชิญนินจาของคุณกันเลย!  ,,1,,,
20005,1,0,8,,5000000,20250329,0,0,20290101,Competition Points,Competition Points,Competition Points,Competition Points,3,,,,,,,0,,,,,,,"During the event, winning battles in Normal and Hard stages has a chance to drop extra Green Vouchers (can be exchanged for rare resources)! Go fight now!  ",ในช่วงเวลากิจกรรม ชนะการต่อสู้ในด่านปกติและด่านยากมีโอกาสดรอปคูปองสีเขียวพิเศษ (สามารถแลกทรัพยากรหายากได้)! ไปต่อสู้กันเลย!  ,,1,,,
20006,1,0,14,10003,5000000,20250329,0,0,20290101,Normal Challenge,Normal Challenge,Normal Challenge,Normal Challenge,3,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,14,,,
20007,1,0,12,10201,5000000,20250329,0,0,20290101,Timed Discount Coupon,Timed Discount Coupon,Timed Discount Coupon,Timed Discount Coupon,3,,,,,1,,0,,,,,,,"During the event, you can exchange for designated items!  ",ในช่วงเวลากิจกรรม คุณสามารถแลกไอเทมที่กำหนดได้!  ,,14,,,
20008,1,0,23,23201,5000000,20250329,0,0,20290101,Mission Voucher,Mission Voucher,Mission Voucher,Mission Voucher,3,,,,,1,,0,,,,,,,"During the event, items are sold at a discount!  ",ในช่วงเวลากิจกรรม ไอเทมลดราคาขาย!  ,,14,,,
20009,1,0,14,10001,5000000,20250329,0,0,20290101,Exchange Timed Discount Coupon,Exchange Timed Discount Coupon,Exchange Timed Discount Coupon,Exchange Timed Discount Coupon,3,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,14,,,
20010,1,0,14,10002,5000000,20250329,0,0,20290101,Discount Gift Pack,Discount Gift Pack,Discount Gift Pack,Discount Gift Pack,3,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,14,,,
20011,1,0,14,2052,5000000,20250329,0,0,20290101,Top-up Reward,Top-up Reward,Top-up Reward,Top-up Reward,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
20012,1,0,14,3003,5000000,20250329,0,0,20290101,Ingot Spending Refund,Ingot Spending Refund,Ingot Spending Refund,Ingot Spending Refund,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
20013,1,0,14,3002,5000000,20250329,0,0,20290101,Daily Activities,Daily Activities,Daily Activities,Daily Activities,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,,,,
20014,1,0,17,17001,5000000,20250329,0,0,20290101,Anbu Training Challenge,Anbu Training Challenge,Anbu Training Challenge,Anbu Training Challenge,,_BAOHONG_,,city/main/icon_zcm@.png,,1,{type=rmb},0,,,,,,1,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,40,,,
20015,1,0,8,,5000000,20250329,0,0,20290101,Hard Dungeon Challenge,Hard Dungeon Challenge,Hard Dungeon Challenge,Hard Dungeon Challenge,,,,,,,,0,,,,{res=config/poster/img_zcm.png},{res=config/poster/img_zcm.png},-1,,,,1,,,
20016,1,0,14,10004,5000000,20250329,0,0,20290101,Lucky Cat,Lucky Cat,Lucky Cat,Lucky Cat,3,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,14,,,
20021,1,0,14,2053,5000000,20250329,0,0,20290101,Phuc Loc Vien Poster,Phuc Loc Vien Poster,Phuc Loc Vien Poster,Phuc Loc Vien Poster,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
20022,1,0,14,3007,5000000,20250329,0,0,20290101,Competition Points,Competition Points,Competition Points,Competition Points,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
20023,1,0,14,3001,5000000,20250329,0,0,20290101,Common Dungeon Challenge,Common Dungeon Challenge,Common Dungeon Challenge,Common Dungeon Challenge,2,,,,,,,0,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,0,15,,,
