VariableName,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,award,award_en,award_vn
10221,10015,1,累计登录1天,累計登錄1天,404,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{gold=100000;520=2;2320=1;rmb=100},{gold=100000;520=2;2320=1;rmb=100},{gold=100000;520=2;2320=1;rmb=100}
10222,10015,2,累计登录2天,累計登錄2天,404,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3}
10223,10015,3,累计登录3天,累計登錄3天,404,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{13=15;519=2;gold=100000;rmb=100},{13=15;519=2;gold=100000;rmb=100},{13=15;519=2;gold=100000;rmb=100}
10224,10015,4,累计登录4天,累計登錄4天,404,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{502=3;2021=1;gold=100000;rmb=188},{502=3;2021=1;gold=100000;rmb=188},{502=3;2021=1;gold=100000;rmb=188}
10225,10015,5,累计登录5天,累計登錄5天,404,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100}
10226,10015,6,累计登录6天,累計登錄6天,404,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{13=20;gold=100000;501=2;rmb=100},{13=20;gold=100000;501=2;rmb=100},{13=20;gold=100000;501=2;rmb=100}
10227,10015,7,累计登录7天,累計登錄7天,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{502=6;2410=1;gold=100000;rmb=188},{502=6;2410=1;gold=100000;rmb=188},{502=6;2410=1;gold=100000;rmb=188}
10230,10016,1,累计登录1天,累計登錄1天,404,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{gold=100000;520=2;2321=1;rmb=188},{gold=100000;520=2;2321=1;rmb=188},{gold=100000;520=2;2321=1;rmb=188}
10231,10016,2,累计登录2天,累計登錄2天,404,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{13=10;gold=100000;rmb=188;503=3},{13=10;gold=100000;rmb=188;503=3},{13=10;gold=100000;rmb=188;503=3}
10232,10016,3,累计登录3天,累計登錄3天,404,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{2023=1;519=2;gold=100000;rmb=188},{2023=1;519=2;gold=100000;rmb=188},{2023=1;519=2;gold=100000;rmb=188}
10233,10016,4,累计登录4天,累計登錄4天,404,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{502=3;13=15;gold=100000;rmb=188},{502=3;13=15;gold=100000;rmb=188},{502=3;13=15;gold=100000;rmb=188}
10234,10016,5,累计登录5天,累計登錄5天,404,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{13=20;19=5;gold=100000;rmb=188},{13=20;19=5;gold=100000;rmb=188},{13=20;19=5;gold=100000;rmb=188}
10235,10016,6,累计登录6天,累計登錄6天,404,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{13=20;6050=1;gold=100000;rmb=188},{13=20;6050=1;gold=100000;rmb=188},{13=20;6050=1;gold=100000;rmb=188}
10236,10016,7,累计登录7天,累計登錄7天,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{2412=1;gold=100000;501=2;rmb=188},{2412=1;gold=100000;501=2;rmb=188},{2412=1;gold=100000;501=2;rmb=188}
10237,10016,8,累计登录8天,累計登錄8天,404,Tích luỹ đăng nhập 8 ngày,누적 8일 로그인,{502=50;13=25;gold=100000;rmb=188},{502=50;13=25;gold=100000;rmb=188},{502=50;13=25;gold=100000;rmb=188}
10238,10016,9,累计登录9天,累計登錄9天,404,Tích luỹ đăng nhập 9 ngày,누적 9일 로그인,{502=10;13=30;gold=100000;rmb=188},{502=10;13=30;gold=100000;rmb=188},{502=10;13=30;gold=100000;rmb=188}
10240,10017,1,周年庆登录大礼领一次,周年慶登錄大禮領一次,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{502=10;gold=3880000;519=10;rmb=388},{502=10;gold=3880000;519=10;rmb=388},{502=10;gold=3880000;519=10;rmb=388}
10250,10018,1,累计登录1天,累計登錄1天,404,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{gold=100000;520=2;2325=1;rmb=100},{gold=100000;520=2;2325=1;rmb=100},{gold=100000;520=2;2325=1;rmb=100}
10251,10018,2,累计登录2天,累計登錄2天,404,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3}
10252,10018,3,累计登录3天,累計登錄3天,404,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{13=15;519=2;gold=100000;rmb=100},{13=15;519=2;gold=100000;rmb=100},{13=15;519=2;gold=100000;rmb=100}
10253,10018,4,累计登录4天,累計登錄4天,404,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{502=3;13=15;gold=100000;rmb=188},{502=3;13=15;gold=100000;rmb=188},{502=3;13=15;gold=100000;rmb=188}
10254,10018,5,累计登录5天,累計登錄5天,404,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100}
10255,10018,6,累计登录6天,累計登錄6天,404,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{13=20;gold=100000;501=2;rmb=100},{13=20;gold=100000;501=2;rmb=100},{13=20;gold=100000;501=2;rmb=100}
10256,10018,7,累计登录7天,累計登錄7天,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{502=6;13=20;gold=100000;rmb=188},{502=6;13=20;gold=100000;rmb=188},{502=6;13=20;gold=100000;rmb=188}
10260,10019,1,累计登录1天,累計登錄1天,404,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{gold=100000;520=2;2328=1;rmb=100},{gold=100000;520=2;2328=1;rmb=100},{gold=100000;520=2;2328=1;rmb=100}
10261,10019,2,累计登录2天,累計登錄2天,404,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3},{13=10;gold=100000;rmb=100;503=3}
10262,10019,3,累计登录3天,累計登錄3天,404,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{13=15;519=2;gold=100000;rmb=100},{13=15;519=2;gold=100000;rmb=100},{13=15;519=2;gold=100000;rmb=100}
10263,10019,4,累计登录4天,累計登錄4天,404,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{502=3;13=15;gold=100000;rmb=188},{502=3;13=15;gold=100000;rmb=188},{502=3;13=15;gold=100000;rmb=188}
10264,10019,5,累计登录5天,累計登錄5天,404,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100},{13=20;19=5;gold=100000;rmb=100}
10265,10019,6,累计登录6天,累計登錄6天,404,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{13=20;gold=100000;501=2;rmb=100},{13=20;gold=100000;501=2;rmb=100},{13=20;gold=100000;501=2;rmb=100}
10266,10019,7,累计登录7天,累計登錄7天,404,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{13=20;gold=100000;521=3;rmb=188},{13=20;gold=100000;521=3;rmb=188},{13=20;gold=100000;521=3;rmb=188}
20001,20001,1,Day 1 Login,,Day 1 Login,Đăng nhập ngày 1,Day 1 Login,{95=1},{95=1},{95=1}
20002,20001,2,Day 2 Login,,Day 2 Login,Đăng nhập ngày 2,Day 2 Login,{95=1},{95=1},{95=1}
20003,20001,3,Day 3 Login,,Day 3 Login,Đăng nhập ngày 3,Day 3 Login,{95=1},{95=1},{95=1}
20004,20001,4,Day 4 Login,,Day 4 Login,Đăng nhập ngày 4,Day 4 Login,{95=1},{95=1},{95=1}
20005,20001,5,Day 5 Login,,Day 5 Login,Đăng nhập ngày 5,Day 5 Login,{95=2},{95=2},{95=2}
20006,20001,6,Day 6 Login,,Day 6 Login,Đăng nhập ngày 6,Day 6 Login,{95=2},{95=2},{95=2}
20007,20001,7,Day 7 Login,,Day 7 Login,Đăng nhập ngày 7,Day 7 Login,{95=2},{95=2},{95=2}
,,,,,,,,,,
20008,20004,1,Day 1 Login,,Day 1 Login,Đăng nhập ngày 1,Day 1 Login,{103=1},{103=1},{103=1}
20009,20004,2,Day 2 Login,,Day 2 Login,Đăng nhập ngày 2,Day 2 Login,{103=1},{103=1},{103=1}
20010,20004,3,Day 3 Login,,Day 3 Login,Đăng nhập ngày 3,Day 3 Login,{103=1},{103=1},{103=1}
20011,20004,4,Day 4 Login,,Day 4 Login,Đăng nhập ngày 4,Day 4 Login,{103=1},{103=1},{103=1}
20012,20004,5,Day 5 Login,,Day 5 Login,Đăng nhập ngày 5,Day 5 Login,{103=2},{103=2},{103=2}
20013,20004,6,Day 6 Login,,Day 6 Login,Đăng nhập ngày 6,Day 6 Login,{103=2},{103=2},{103=2}
20014,20004,7,Day 7 Login,,Day 7 Login,Đăng nhập ngày 7,Day 7 Login,{103=2},{103=2},{103=2}
,,,,,,,,,,
40001,40001,1,Login Day 1,,Login Day 1,Đăng nhập ngày 1,,{526=10},{526=10},{526=10}
40002,40001,2,Login Day 2,,Login Day 2,Đăng nhập ngày 2,,{526=10},{526=10},{526=10}
40003,40001,3,Login Day 3,,Login Day 3,Đăng nhập ngày 3,,{526=10},{526=10},{526=10}
40004,40001,4,Login Day 4,,Login Day 4,Đăng nhập ngày 4,,{526=10},{526=10},{526=10}
40005,40001,5,Login Day 5,,Login Day 5,Đăng nhập ngày 5,,{526=10},{526=10},{526=10}
40006,40001,6,Login Day 6,,Login Day 6,Đăng nhập ngày 6,,{526=10},{526=10},{526=10}
40007,40001,7,Login Day 7,,Login Day 7,Đăng nhập ngày 7,,{526=10},{526=10},{526=10}
40008,40001,8,Login Day 8,,Login Day 8,Đăng nhập ngày 8,,{526=10},{526=10},{526=10}
40009,40001,9,Login Day 9,,Login Day 9,Đăng nhập ngày 9,,{526=10},{526=10},{526=10}
40010,40001,10,Login Day 10,,Login Day 10,Đăng nhập ngày 10,,{526=10},{526=10},{526=10}
40011,40001,11,Login Day 11,,Login Day 11,Đăng nhập ngày 11,,{526=10},{526=10},{526=10}
40012,40001,12,Login Day 12,,Login Day 12,Đăng nhập ngày 12,,{526=10},{526=10},{526=10}
40013,40001,13,Login Day 13,,Login Day 13,Đăng nhập ngày 13,,{526=10},{526=10},{526=10}
40014,40001,14,Login Day 14,,Login Day 14,Đăng nhập ngày 14,,{526=10},{526=10},{526=10}
40015,40001,15,Login Day 15,,Login Day 15,Đăng nhập ngày 15,,{526=10},{526=10},{526=10}
40016,40001,16,Login Day 16,,Login Day 16,Đăng nhập ngày 16,,{526=10},{526=10},{526=10}
40017,40001,17,Login Day 17,,Login Day 17,Đăng nhập ngày 17,,{526=10},{526=10},{526=10}
40018,40001,18,Login Day 18,,Login Day 18,Đăng nhập ngày 18,,{526=10},{526=10},{526=10}
40019,40001,19,Login Day 19,,Login Day 19,Đăng nhập ngày 19,,{526=10},{526=10},{526=10}
40020,40001,20,Login Day 20,,Login Day 20,Đăng nhập ngày 20,,{526=10},{526=10},{526=10}
40021,40001,21,Login Day 21,,Login Day 21,Đăng nhập ngày 21,,{526=10},{526=10},{526=10}
40022,40001,22,Login Day 22,,Login Day 22,Đăng nhập ngày 22,,{526=10},{526=10},{526=10}
40023,40001,23,Login Day 23,,Login Day 23,Đăng nhập ngày 23,,{526=10},{526=10},{526=10}
40024,40001,24,Login Day 24,,Login Day 24,Đăng nhập ngày 24,,{526=10},{526=10},{526=10}
40025,40001,25,Login Day 25,,Login Day 25,Đăng nhập ngày 25,,{526=10},{526=10},{526=10}
40026,40001,26,Login Day 26,,Login Day 26,Đăng nhập ngày 26,,{526=10},{526=10},{526=10}
40027,40001,27,Login Day 27,,Login Day 27,Đăng nhập ngày 27,,{526=10},{526=10},{526=10}
40028,40001,28,Login Day 28,,Login Day 28,Đăng nhập ngày 28,,{526=10},{526=10},{526=10}
40029,40001,29,Login Day 29,,Login Day 29,Đăng nhập ngày 29,,{526=10},{526=10},{526=10}
40030,40001,30,Login Day 30,,Login Day 30,Đăng nhập ngày 30,,{526=10},{526=10},{526=10}
40031,40001,31,Login Day 31,,Login Day 31,Đăng nhập ngày 31,,{526=10},{526=10},{526=10}
40032,40001,32,Login Day 32,,Login Day 32,Đăng nhập ngày 32,,{526=10},{526=10},{526=10}
40033,40001,33,Login Day 33,,Login Day 33,Đăng nhập ngày 33,,{526=10},{526=10},{526=10}
40034,40001,34,Login Day 34,,Login Day 34,Đăng nhập ngày 34,,{526=10},{526=10},{526=10}
40035,40001,35,Login Day 35,,Login Day 35,Đăng nhập ngày 35,,{526=10},{526=10},{526=10}
40036,40001,36,Login Day 36,,Login Day 36,Đăng nhập ngày 36,,{526=10},{526=10},{526=10}
40037,40001,37,Login Day 37,,Login Day 37,Đăng nhập ngày 37,,{526=10},{526=10},{526=10}
40038,40001,38,Login Day 38,,Login Day 38,Đăng nhập ngày 38,,{526=10},{526=10},{526=10}
40039,40001,39,Login Day 39,,Login Day 39,Đăng nhập ngày 39,,{526=10},{526=10},{526=10}
40040,40001,40,Login Day 40,,Login Day 40,Đăng nhập ngày 40,,{526=10},{526=10},{526=10}
40041,40001,41,Login Day 41,,Login Day 41,Đăng nhập ngày 41,,{526=10},{526=10},{526=10}
40042,40001,42,Login Day 42,,Login Day 42,Đăng nhập ngày 42,,{526=10},{526=10},{526=10}
40043,40001,43,Login Day 43,,Login Day 43,Đăng nhập ngày 43,,{526=10},{526=10},{526=10}
40044,40001,44,Login Day 44,,Login Day 44,Đăng nhập ngày 44,,{526=10},{526=10},{526=10}
40045,40001,45,Login Day 45,,Login Day 45,Đăng nhập ngày 45,,{526=10},{526=10},{526=10}
40046,40001,46,Login Day 46,,Login Day 46,Đăng nhập ngày 46,,{526=10},{526=10},{526=10}
40047,40001,47,Login Day 47,,Login Day 47,Đăng nhập ngày 47,,{526=10},{526=10},{526=10}
40048,40001,48,Login Day 48,,Login Day 48,Đăng nhập ngày 48,,{526=10},{526=10},{526=10}
40049,40001,49,Login Day 49,,Login Day 49,Đăng nhập ngày 49,,{526=10},{526=10},{526=10}
40050,40001,50,Login Day 50,,Login Day 50,Đăng nhập ngày 50,,{526=10},{526=10},{526=10}
40051,40001,51,Login Day 51,,Login Day 51,Đăng nhập ngày 51,,{526=10},{526=10},{526=10}
40052,40001,52,Login Day 52,,Login Day 52,Đăng nhập ngày 52,,{526=10},{526=10},{526=10}
40053,40001,53,Login Day 53,,Login Day 53,Đăng nhập ngày 53,,{526=10},{526=10},{526=10}
40054,40001,54,Login Day 54,,Login Day 54,Đăng nhập ngày 54,,{526=10},{526=10},{526=10}
40055,40001,55,Login Day 55,,Login Day 55,Đăng nhập ngày 55,,{526=10},{526=10},{526=10}
40056,40001,56,Login Day 56,,Login Day 56,Đăng nhập ngày 56,,{526=10},{526=10},{526=10}
40057,40001,57,Login Day 57,,Login Day 57,Đăng nhập ngày 57,,{526=10},{526=10},{526=10}
40058,40001,58,Login Day 58,,Login Day 58,Đăng nhập ngày 58,,{526=10},{526=10},{526=10}
40059,40001,59,Login Day 59,,Login Day 59,Đăng nhập ngày 59,,{526=10},{526=10},{526=10}
40060,40001,60,Login Day 60,,Login Day 60,Đăng nhập ngày 60,,{526=10},{526=10},{526=10}
40061,40001,61,Login Day 61,,Login Day 61,Đăng nhập ngày 61,,{526=10},{526=10},{526=10}
40062,40001,62,Login Day 62,,Login Day 62,Đăng nhập ngày 62,,{526=10},{526=10},{526=10}
40063,40001,63,Login Day 63,,Login Day 63,Đăng nhập ngày 63,,{526=10},{526=10},{526=10}
40064,40001,64,Login Day 64,,Login Day 64,Đăng nhập ngày 64,,{526=10},{526=10},{526=10}
40065,40001,65,Login Day 65,,Login Day 65,Đăng nhập ngày 65,,{526=10},{526=10},{526=10}
40066,40001,66,Login Day 66,,Login Day 66,Đăng nhập ngày 66,,{526=10},{526=10},{526=10}
40067,40001,67,Login Day 67,,Login Day 67,Đăng nhập ngày 67,,{526=10},{526=10},{526=10}
40068,40001,68,Login Day 68,,Login Day 68,Đăng nhập ngày 68,,{526=10},{526=10},{526=10}
40069,40001,69,Login Day 69,,Login Day 69,Đăng nhập ngày 69,,{526=10},{526=10},{526=10}
40070,40001,70,Login Day 70,,Login Day 70,Đăng nhập ngày 70,,{526=10},{526=10},{526=10}
40071,40001,71,Login Day 71,,Login Day 71,Đăng nhập ngày 71,,{526=10},{526=10},{526=10}
40072,40001,72,Login Day 72,,Login Day 72,Đăng nhập ngày 72,,{526=10},{526=10},{526=10}
40073,40001,73,Login Day 73,,Login Day 73,Đăng nhập ngày 73,,{526=10},{526=10},{526=10}
40074,40001,74,Login Day 74,,Login Day 74,Đăng nhập ngày 74,,{526=10},{526=10},{526=10}
40075,40001,75,Login Day 75,,Login Day 75,Đăng nhập ngày 75,,{526=10},{526=10},{526=10}
40076,40001,76,Login Day 76,,Login Day 76,Đăng nhập ngày 76,,{526=10},{526=10},{526=10}
40077,40001,77,Login Day 77,,Login Day 77,Đăng nhập ngày 77,,{526=10},{526=10},{526=10}
40078,40001,78,Login Day 78,,Login Day 78,Đăng nhập ngày 78,,{526=10},{526=10},{526=10}
40079,40001,79,Login Day 79,,Login Day 79,Đăng nhập ngày 79,,{526=10},{526=10},{526=10}
40080,40001,80,Login Day 80,,Login Day 80,Đăng nhập ngày 80,,{526=10},{526=10},{526=10}
40081,40001,81,Login Day 81,,Login Day 81,Đăng nhập ngày 81,,{526=10},{526=10},{526=10}
40082,40001,82,Login Day 82,,Login Day 82,Đăng nhập ngày 82,,{526=10},{526=10},{526=10}
40083,40001,83,Login Day 83,,Login Day 83,Đăng nhập ngày 83,,{526=10},{526=10},{526=10}
40084,40001,84,Login Day 84,,Login Day 84,Đăng nhập ngày 84,,{526=10},{526=10},{526=10}
40085,40001,85,Login Day 85,,Login Day 85,Đăng nhập ngày 85,,{526=10},{526=10},{526=10}
40086,40001,86,Login Day 86,,Login Day 86,Đăng nhập ngày 86,,{526=10},{526=10},{526=10}
40087,40001,87,Login Day 87,,Login Day 87,Đăng nhập ngày 87,,{526=10},{526=10},{526=10}
40088,40001,88,Login Day 88,,Login Day 88,Đăng nhập ngày 88,,{526=10},{526=10},{526=10}
40089,40001,89,Login Day 89,,Login Day 89,Đăng nhập ngày 89,,{526=10},{526=10},{526=10}
40090,40001,90,Login Day 90,,Login Day 90,Đăng nhập ngày 90,,{526=10},{526=10},{526=10}
40091,40001,91,Login Day 91,,Login Day 91,Đăng nhập ngày 91,,{526=10},{526=10},{526=10}
40092,40001,92,Login Day 92,,Login Day 92,Đăng nhập ngày 92,,{526=10},{526=10},{526=10}
40093,40001,93,Login Day 93,,Login Day 93,Đăng nhập ngày 93,,{526=10},{526=10},{526=10}
40094,40001,94,Login Day 94,,Login Day 94,Đăng nhập ngày 94,,{526=10},{526=10},{526=10}
40095,40001,95,Login Day 95,,Login Day 95,Đăng nhập ngày 95,,{526=10},{526=10},{526=10}
40096,40001,96,Login Day 96,,Login Day 96,Đăng nhập ngày 96,,{526=10},{526=10},{526=10}
40097,40001,97,Login Day 97,,Login Day 97,Đăng nhập ngày 97,,{526=10},{526=10},{526=10}
40098,40001,98,Login Day 98,,Login Day 98,Đăng nhập ngày 98,,{526=10},{526=10},{526=10}
40099,40001,99,Login Day 99,,Login Day 99,Đăng nhập ngày 99,,{526=10},{526=10},{526=10}
40100,40001,100,Login Day 100,,Login Day 100,Đăng nhập ngày 100,,{526=10},{526=10},{526=10}
,,,,,,,,,,
40200,40002,1,Login Day 1,,Login Day 1,Đăng nhập ngày 1,,{526=20},{526=20},{526=20}
40201,40002,2,Login Day 2,,Login Day 2,Đăng nhập ngày 2,,{rmb=3888},{rmb=3888},{rmb=3888}
40202,40002,3,Login Day 3,,Login Day 3,Đăng nhập ngày 3,,{6050=3},{6050=3},{6050=3}
40203,40002,4,Login Day 4,,Login Day 4,Đăng nhập ngày 4,,{500=5},{500=5},{500=5}
40204,40002,5,Login Day 5,,Login Day 5,Đăng nhập ngày 5,,{963=5},{963=5},{963=5}
40205,40002,6,Login Day 6,,Login Day 6,Đăng nhập ngày 6,,{521=20},{521=20},{521=20}
40206,40002,7,Login Day 7,,Login Day 7,Đăng nhập ngày 7,,{526=20},{526=20},{526=20}
40207,40002,8,Login Day 8,,Login Day 8,Đăng nhập ngày 8,,{rmb=3888},{rmb=3888},{rmb=3888}
40208,40002,9,Login Day 9,,Login Day 9,Đăng nhập ngày 9,,{6050=3},{6050=3},{6050=3}
40209,40002,10,Login Day 10,,Login Day 10,Đăng nhập ngày 10,,{500=5},{500=5},{500=5}
40210,40002,11,Login Day 11,,Login Day 11,Đăng nhập ngày 11,,{963=5},{963=5},{963=5}
40211,40002,12,Login Day 12,,Login Day 12,Đăng nhập ngày 12,,{521=20},{521=20},{521=20}
40212,40002,13,Login Day 13,,Login Day 13,Đăng nhập ngày 13,,{526=20},{526=20},{526=20}
40213,40002,14,Login Day 14,,Login Day 14,Đăng nhập ngày 14,,{rmb=3888},{rmb=3888},{rmb=3888}
40214,40002,15,Login Day 15,,Login Day 15,Đăng nhập ngày 15,,{6050=3},{6050=3},{6050=3}
40215,40002,16,Login Day 16,,Login Day 16,Đăng nhập ngày 16,,{500=5},{500=5},{500=5}
40216,40002,17,Login Day 17,,Login Day 17,Đăng nhập ngày 17,,{963=5},{963=5},{963=5}
40217,40002,18,Login Day 18,,Login Day 18,Đăng nhập ngày 18,,{521=20},{521=20},{521=20}
40218,40002,19,Login Day 19,,Login Day 19,Đăng nhập ngày 19,,{526=20},{526=20},{526=20}
40219,40002,20,Login Day 20,,Login Day 20,Đăng nhập ngày 20,,{rmb=3888},{rmb=3888},{rmb=3888}
40220,40002,21,Login Day 21,,Login Day 21,Đăng nhập ngày 21,,{6050=3},{6050=3},{6050=3}
40221,40002,22,Login Day 22,,Login Day 22,Đăng nhập ngày 22,,{500=5},{500=5},{500=5}
40222,40002,23,Login Day 23,,Login Day 23,Đăng nhập ngày 23,,{963=5},{963=5},{963=5}
40223,40002,24,Login Day 24,,Login Day 24,Đăng nhập ngày 24,,{521=20},{521=20},{521=20}
40224,40002,25,Login Day 25,,Login Day 25,Đăng nhập ngày 25,,{526=20},{526=20},{526=20}
40225,40002,26,Login Day 26,,Login Day 26,Đăng nhập ngày 26,,{rmb=3888},{rmb=3888},{rmb=3888}
40226,40002,27,Login Day 27,,Login Day 27,Đăng nhập ngày 27,,{6050=3},{6050=3},{6050=3}
40227,40002,28,Login Day 28,,Login Day 28,Đăng nhập ngày 28,,{500=5},{500=5},{500=5}
40228,40002,29,Login Day 29,,Login Day 29,Đăng nhập ngày 29,,{963=5},{963=5},{963=5}
40229,40002,30,Login Day 30,,Login Day 30,Đăng nhập ngày 30,,{8888=1},{8888=1},{8888=1}
,,,,,,,,,,
40300,40003,1,Login Day 1,,Login Day 1,Đăng nhập ngày 1,,{526=50},{526=50},{526=50}
40301,40003,2,Login Day 2,,Login Day 2,Đăng nhập ngày 2,,{rmb=8888},{rmb=8888},{rmb=8888}
40302,40003,3,Login Day 3,,Login Day 3,Đăng nhập ngày 3,,{6059=5},{6059=5},{6059=5}
40303,40003,4,Login Day 4,,Login Day 4,Đăng nhập ngày 4,,{500=10},{500=10},{500=10}
40304,40003,5,Login Day 5,,Login Day 5,Đăng nhập ngày 5,,{967=5},{967=5},{967=5}
40305,40003,6,Login Day 6,,Login Day 6,Đăng nhập ngày 6,,{2153=3},{2153=3},{2153=3}
40306,40003,7,Login Day 7,,Login Day 7,Đăng nhập ngày 7,,{526=50},{526=50},{526=50}
40307,40003,8,Login Day 8,,Login Day 8,Đăng nhập ngày 8,,{rmb=8888},{rmb=8888},{rmb=8888}
40308,40003,9,Login Day 9,,Login Day 9,Đăng nhập ngày 9,,{6059=5},{6059=5},{6059=5}
40309,40003,10,Login Day 10,,Login Day 10,Đăng nhập ngày 10,,{500=10},{500=10},{500=10}
40310,40003,11,Login Day 11,,Login Day 11,Đăng nhập ngày 11,,{967=5},{967=5},{967=5}
40311,40003,12,Login Day 12,,Login Day 12,Đăng nhập ngày 12,,{2153=3},{2153=3},{2153=3}
40312,40003,13,Login Day 13,,Login Day 13,Đăng nhập ngày 13,,{526=50},{526=50},{526=50}
40313,40003,14,Login Day 14,,Login Day 14,Đăng nhập ngày 14,,{rmb=8888},{rmb=8888},{rmb=8888}
40314,40003,15,Login Day 15,,Login Day 15,Đăng nhập ngày 15,,{6059=5},{6059=5},{6059=5}
40315,40003,16,Login Day 16,,Login Day 16,Đăng nhập ngày 16,,{500=10},{500=10},{500=10}
40316,40003,17,Login Day 17,,Login Day 17,Đăng nhập ngày 17,,{967=5},{967=5},{967=5}
40317,40003,18,Login Day 18,,Login Day 18,Đăng nhập ngày 18,,{2153=3},{2153=3},{2153=3}
40318,40003,19,Login Day 19,,Login Day 19,Đăng nhập ngày 19,,{526=50},{526=50},{526=50}
40319,40003,20,Login Day 20,,Login Day 20,Đăng nhập ngày 20,,{rmb=8888},{rmb=8888},{rmb=8888}
40320,40003,21,Login Day 21,,Login Day 21,Đăng nhập ngày 21,,{6059=5},{6059=5},{6059=5}
40321,40003,22,Login Day 22,,Login Day 22,Đăng nhập ngày 22,,{500=10},{500=10},{500=10}
40322,40003,23,Login Day 23,,Login Day 23,Đăng nhập ngày 23,,{967=5},{967=5},{967=5}
40323,40003,24,Login Day 24,,Login Day 24,Đăng nhập ngày 24,,{2153=3},{2153=3},{2153=3}
40324,40003,25,Login Day 25,,Login Day 25,Đăng nhập ngày 25,,{526=50},{526=50},{526=50}
40325,40003,26,Login Day 26,,Login Day 26,Đăng nhập ngày 26,,{rmb=8888},{rmb=8888},{rmb=8888}
40326,40003,27,Login Day 27,,Login Day 27,Đăng nhập ngày 27,,{6059=5},{6059=5},{6059=5}
40327,40003,28,Login Day 28,,Login Day 28,Đăng nhập ngày 28,,{500=10},{500=10},{500=10}
40328,40003,29,Login Day 29,,Login Day 29,Đăng nhập ngày 29,,{card={id=9003}},{card={id=9003}},{card={id=9003}}
40329,40003,30,Login Day 30,,Login Day 30,Đăng nhập ngày 30,,{6108=1},{6108=1},{6108=1}
,,,,,,,,,,
40400,40004,1,Login Day 1,,Login Day 1,Đăng nhập ngày 1,,{87=1},{87=1},{87=1}
40401,40004,2,Login Day 2,,Login Day 2,Đăng nhập ngày 2,,{87=1},{87=1},{87=1}
40402,40004,3,Login Day 3,,Login Day 3,Đăng nhập ngày 3,,{87=1},{87=1},{87=1}
40403,40004,4,Login Day 4,,Login Day 4,Đăng nhập ngày 4,,{87=1},{87=1},{87=1}
40404,40004,5,Login Day 5,,Login Day 5,Đăng nhập ngày 5,,{87=2},{87=2},{87=2}
40405,40004,6,Login Day 6,,Login Day 6,Đăng nhập ngày 6,,{87=2},{87=2},{87=2}
40406,40004,7,Login Day 7,,Login Day 7,Đăng nhập ngày 7,,{87=2},{87=2},{87=2}
