VariableName,huodongID,daySum,themeType,themeName,themeName_en,themeName_th,themeName_in,themeName_ph,themeName_ma,themeName_vn,tabIndex,tabName,tabName_vn,tabName_en,tabName_th,tabName_in,tabName_ph,tabName_ma,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,award,costMap,priceShow,buyMax
10205,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{10=2},10件饰品升级至绿色品质,,Nâng cấp 10 đồ trang sức lên Thường,Upgrade 10 Accessories to Normal  ,อัปเกรดเครื่องประดับ 10 ชิ้นเป็น ธรรมดา  ,Tingkatkan 10 Aksesori ke Biasa  ,I-upgrade ang 10 Alahas sa Karaniwan  ,Naik taraf 10 Barang Kemas ke Biasa  ,{gold=10000;100=2;6109=1;850=20},,,
10206,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=2},20件饰品升级至绿色品质,,Nâng cấp 20 đồ trang sức lên Thường,Upgrade 20 Accessories to Normal  ,อัปเกรดเครื่องประดับ 20 ชิ้นเป็น ธรรมดา  ,Tingkatkan 20 Aksesori ke Biasa  ,I-upgrade ang 20 Alahas sa Karaniwan  ,Naik taraf 20 Barang Kemas ke Biasa  ,{gold=20000;100=2;6109=1;850=20},,,
10207,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{10=3},10件饰品升级至绿色+1品质,,Tăng 10 đồ trang sức lên Thường +1,Enhance 10 Accessories to Normal +1  ,เสริมพลังเครื่องประดับ 10 ชิ้นเป็น ธรรมดา +1  ,Tingkatkan 10 Aksesori ke Biasa +1  ,Palakasin ang 10 Alahas sa Karaniwan +1  ,Tingkatkan 10 Barang Kemas ke Biasa +1  ,{gold=30000;100=2;6109=1;850=20},,,
10208,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=3},20件饰品升级至绿色+1品质,,Tăng 20 đồ trang sức lên Thường +1,Enhance 20 Accessories to Normal +1  ,เสริมพลังเครื่องประดับ 20 ชิ้นเป็น ธรรมดา +1  ,Tingkatkan 20 Aksesori ke Biasa +1  ,Palakasin ang 20 Alahas sa Karaniwan +1  ,Tingkatkan 20 Barang Kemas ke Biasa +1  ,{gold=40000;100=2;6109=1;850=20},,,
10209,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{10=4},10件饰品升级至绿色+2品质,,Tăng 10 đồ trang sức lên Thường +2,Enhance 10 Accessories to Normal +2  ,เสริมพลังเครื่องประดับ 10 ชิ้นเป็น ธรรมดา +2  ,Tingkatkan 10 Aksesori ke Biasa +2  ,Palakasin ang 10 Alahas sa Karaniwan +2  ,Tingkatkan 10 Barang Kemas ke Biasa +2  ,{gold=50000;100=2;6109=1;850=20},,,
10210,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=4},20件饰品升级至绿色+2品质,,Tăng 20 đồ trang sức lên Thường +2,Enhance 20 Accessories to Normal +2  ,เสริมพลังเครื่องประดับ 20 ชิ้นเป็น ธรรมดา +2  ,Tingkatkan 20 Aksesori ke Biasa +2  ,Palakasin ang 20 Alahas sa Karaniwan +2  ,Tingkatkan 20 Barang Kemas ke Biasa +2  ,{gold=60000;100=2;6109=1;850=20},,,
10211,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{10=5},10件饰品升级至蓝色品质,,Tăng 10 đồ trang sức lên Hiếm,Enhance 10 Accessories to Rare  ,เสริมพลังเครื่องประดับ 10 ชิ้นเป็น หายาก  ,Tingkatkan 10 Aksesori ke Langka  ,Palakasin ang 10 Alahas sa Bihira  ,Tingkatkan 10 Barang Kemas ke Jarang  ,{gold=70000;100=2;6109=1;850=20},,,
10212,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=5},20件饰品升级至蓝色品质,,Tăng 20 đồ trang sức lên Hiếm,Enhance 20 Accessories to Rare  ,เสริมพลังเครื่องประดับ 20 ชิ้นเป็น หายาก  ,Tingkatkan 20 Aksesori ke Langka  ,Palakasin ang 20 Alahas sa Bihira  ,Tingkatkan 20 Barang Kemas ke Jarang  ,{gold=80000;100=2;6109=1;850=20},,,
10213,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=6},20件饰品升级至蓝色+1品质,,Tăng 20 đồ trang sức lên Hiếm +1,Enhance 20 Accessories to Rare +1  ,เสริมพลังเครื่องประดับ 20 ชิ้นเป็น หายาก +1  ,Tingkatkan 20 Aksesori ke Langka +1  ,Palakasin ang 20 Alahas sa Bihira +1  ,Tingkatkan 20 Barang Kemas ke Jarang +1  ,{gold=90000;100=2;6109=1;850=20},,,
10214,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=7},20件饰品升级至蓝色+2品质,,Tăng 20 đồ trang sức lên Hiếm +2,Enhance 20 Accessories to Rare +2  ,เสริมพลังเครื่องประดับ 20 ชิ้นเป็น หายาก +2  ,Tingkatkan 20 Aksesori ke Langka +2  ,Palakasin ang 20 Alahas sa Bihira +2  ,Tingkatkan 20 Barang Kemas ke Jarang +2  ,{gold=100000;100=2;6109=1;850=20},,,
10215,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=8},20件饰品升级至蓝色+3品质,,Tăng 20 đồ trang sức lên Hiếm +3,Enhance 20 Accessories to Rare +3  ,เสริมพลังเครื่องประดับ 20 ชิ้นเป็น หายาก +3  ,Tingkatkan 20 Aksesori ke Langka +3  ,Palakasin ang 20 Alahas sa Bihira +3  ,Tingkatkan 20 Barang Kemas ke Jarang +3  ,{gold=100000;100=3;6109=1;850=20},,,
10216,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,1,饰品进阶,Nâng cấp trang sức,Jewelry Upgrade,อัปเกรดเครื่องประดับ,Upgrade Perhiasan,Pag-upgrade ng Alahas,Naik Taraf Barang Kemas,,11,,{20=9},20件饰品升级至紫色品质,,Nâng cấp 20 đồ trang sức lên Huyền thoại,Upgrade 20 Accessories to Legendary  ,อัปเกรดเครื่องประดับ 20 ชิ้นเป็น ตำนาน  ,Tingkatkan 20 Aksesori ke Legendaris  ,I-upgrade ang 20 Alahas sa Alamat  ,Naik taraf 20 Barang Kemas ke Lagenda  ,{gold=100000;100=3;6109=1;850=20},,,
10217,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{3=1},3件饰品升级到1星,,Nâng cấp 3 đồ trang sức lên 1 sao,Upgrade 3 Accessories to 1-Star  ,อัปเกรดเครื่องประดับ 3 ชิ้นเป็น 1 ดาว  ,Tingkatkan 3 Aksesori ke Bintang 1  ,I-upgrade ang 3 Alahas sa 1 Bituin  ,Naik taraf 3 Barang Kemas ke 1 Bintang  ,{501=1;6109=1;gold=10000;503=2},,,
10218,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{8=1},8件饰品升级到1星,,Nâng cấp 8 đồ trang sức lên 1 sao,Upgrade 8 Accessories to 1-Star  ,อัปเกรดเครื่องประดับ 8 ชิ้นเป็น 1 ดาว  ,Tingkatkan 8 Aksesori ke Bintang 1  ,I-upgrade ang 8 Alahas sa 1 Bituin  ,Naik taraf 8 Barang Kemas ke 1 Bintang  ,{501=1;6109=1;gold=30000;503=2},,,
10219,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{15=1},15件饰品升级到1星,,Nâng cấp 15 đồ trang sức lên 1 sao,Upgrade 15 Accessories to 1-Star  ,อัปเกรดเครื่องประดับ 15 ชิ้นเป็น 1 ดาว  ,Tingkatkan 15 Aksesori ke Bintang 1  ,I-upgrade ang 15 Alahas sa 1 Bituin  ,Naik taraf 15 Barang Kemas ke 1 Bintang  ,{501=1;6109=1;gold=50000;503=2},,,
10220,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{3=2},3件饰品升级到2星,,Nâng cấp 3 đồ trang sức lên 2 sao,Upgrade 3 Accessories to 2-Star  ,อัปเกรดเครื่องประดับ 3 ชิ้นเป็น 2 ดาว  ,Tingkatkan 3 Aksesori ke Bintang 2  ,I-upgrade ang 3 Alahas sa 2 Bituin  ,Naik taraf 3 Barang Kemas ke 2 Bintang  ,{501=1;6109=1;gold=70000;503=2},,,
10221,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{8=2},8件饰品升级到2星,,Nâng cấp 8 đồ trang sức lên 2 sao,Upgrade 8 Accessories to 2-Star  ,อัปเกรดเครื่องประดับ 8 ชิ้นเป็น 2 ดาว  ,Tingkatkan 8 Aksesori ke Bintang 2  ,I-upgrade ang 8 Alahas sa 2 Bituin  ,Naik taraf 8 Barang Kemas ke 2 Bintang  ,{501=1;6109=1;gold=90000;503=2},,,
10222,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{15=2},15件饰品升级到2星,,Nâng cấp 15 đồ trang sức lên 2 sao,Upgrade 15 Accessories to 2-Star  ,อัปเกรดเครื่องประดับ 15 ชิ้นเป็น 2 ดาว  ,Tingkatkan 15 Aksesori ke Bintang 2  ,I-upgrade ang 15 Alahas sa 2 Bituin  ,Naik taraf 15 Barang Kemas ke 2 Bintang  ,{501=1;6109=1;gold=100000;503=2},,,
10223,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{3=3},3件饰品升级到3星,,Nâng cấp 3 đồ trang sức lên 3 sao,Upgrade 3 Accessories to 3-Star  ,อัปเกรดเครื่องประดับ 3 ชิ้นเป็น 3 ดาว  ,Tingkatkan 3 Aksesori ke Bintang 3  ,I-upgrade ang 3 Alahas sa 3 Bituin  ,Naik taraf 3 Barang Kemas ke 3 Bintang  ,{501=1;6109=1;gold=100000;503=2},,,
10224,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{8=3},8件饰品升级到3星,,Nâng cấp 8 đồ trang sức lên 3 sao,Upgrade 8 Accessories to 3-Star  ,อัปเกรดเครื่องประดับ 8 ชิ้นเป็น 3 ดาว  ,Tingkatkan 8 Aksesori ke Bintang 3  ,I-upgrade ang 8 Alahas sa 3 Bituin  ,Naik taraf 8 Barang Kemas ke 3 Bintang  ,{501=1;6109=1;gold=100000;503=2},,,
10225,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{15=3},15件饰品升级到3星,,Nâng cấp 15 đồ trang sức lên 3 sao,Upgrade 15 Accessories to 3-Star  ,อัปเกรดเครื่องประดับ 15 ชิ้นเป็น 3 ดาว  ,Tingkatkan 15 Aksesori ke Bintang 3  ,I-upgrade ang 15 Alahas sa 3 Bituin  ,Naik taraf 15 Barang Kemas ke 3 Bintang  ,{501=2;6109=1;gold=100000;503=2},,,
10226,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,2,饰品升星,Ngôi sao trang sức,Jewelry Star,ดาวเครื่องประดับ,Bintang Perhiasan,Bituin ng Alahas,Bintang Barang Kemas,,12,,{8=4},8件饰品升级到4星,,Nâng cấp 8 đồ trang sức lên 4 sao,Upgrade 8 Accessories to 4-Star  ,อัปเกรดเครื่องประดับ 8 ชิ้นเป็น 4 ดาว  ,Tingkatkan 8 Aksesori ke Bintang 4  ,I-upgrade ang 8 Alahas sa 4 Bituin  ,Naik taraf 8 Barang Kemas ke 4 Bintang  ,{501=2;6109=1;gold=100000;503=2},,,
10227,12002,3,2,Day 3,Day 3,วันที่ 3,Hari ke-3,Araw 3,Hari 3,Ngày 3,3,限时折扣,Giảm giá hạn giờ,Limited-Time Discount,ส่วนลดเวลาจำกัด,Diskon Waktu Terbatas,Diskwento sa Limitadong Oras,Diskaun Masa Terhad,3,72,,,限时折扣,,Giảm giá hạn giờ,Limited-time Discount  ,ส่วนลดจำกัดเวลา  ,Diskon Terbatas  ,Diskwento sa Limitadong Oras  ,Diskaun Masa Terhad  ,{19=15;500=1;520=10},{rmb=480},{rmb=1500},
10301,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,4,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,ล็อกอินรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{13=10;451=10;gold=12000;rmb=50},,,
10302,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,1,34,,等级达到34,,Đạt cấp 34,Reach Level 34  ,ถึงเลเวล 34  ,Capai Level 34  ,Maabot ang Antas 34  ,Capai Tahap 34  ,{gold=10000;rmb=50;12=20;502=2},,,
10303,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,22,5000,,累积充值5000元宝,,Mua tổng cộng 5000 Kim cương,Total 5000 Diamonds Purchased  ,ซื้อเพชรรวม 5000 เพชร  ,Total 5000 Berlian Dibeli  ,Kabuuang 5000 Diamante ang Binili  ,Jumlah 5000 Berlian Dibeli  ,{520=10;4000=500;14=10;19=1},,,
10304,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,6,,获得积分6,,Đạt được 6 điểm,Reach 6 Points  ,ได้รับ 6 คะแนน  ,Capai 6 Poin  ,Makamit ang 6 na Puntos  ,Capai 6 Mata  ,{coin1=100;6109=1;4000=500;14=10},,,
10305,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,12,,获得积分12,,Đạt được 12 điểm,Reach 12 Points  ,ได้รับ 12 คะแนน  ,Capai 12 Poin  ,Makamit ang 12 na Puntos  ,Capai 12 Mata  ,{coin1=200;4000=500;14=10;6109=1},,,
10306,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,24,,获得积分24,,Đạt được 24 điểm,Reach 24 Points  ,ได้รับ 24 คะแนน  ,Capai 24 Poin  ,Makamit ang 24 na Puntos  ,Capai 24 Mata  ,{coin1=200;4000=500;14=10;6109=1},,,
10307,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,36,,获得积分36,,Đạt được 36 điểm,Reach 36 Points  ,ได้รับ 36 คะแนน  ,Capai 36 Poin  ,Makamit ang 36 na Puntos  ,Capai 36 Mata  ,{6109=1;coin1=300;talent_point=1;4000=20},,,
10308,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,48,,获得积分48,,Đạt được 48 điểm,Reach 48 Points  ,ได้รับ 48 คะแนน  ,Capai 48 Poin  ,Makamit ang 48 na Puntos  ,Capai 48 Mata  ,{6109=1;coin1=300;talent_point=1;4000=40},,,
10309,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,60,,获得积分60,,Đạt được 60 điểm,Reach 60 Points  ,ได้รับ 60 คะแนน  ,Capai 60 Poin  ,Makamit ang 60 na Puntos  ,Capai 60 Mata  ,{6109=1;coin1=400;talent_point=1;4000=60},,,
10310,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,80,,获得积分80,,Đạt được 80 điểm,Reach 80 Points  ,ได้รับ 80 คะแนน  ,Capai 80 Poin  ,Makamit ang 80 na Puntos  ,Capai 80 Mata  ,{6109=1;coin1=800;talent_point=1;4000=80},,,
10311,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,1,竞技积分,Điểm đấu trường,Arena Points,แต้มอารีน่า,Poin Arena,Arena Points,Mata Arena,,43,100,,获得积分100,,Đạt được 100 điểm,Reach 100 Points  ,ได้รับ 100 คะแนน  ,Capai 100 Poin  ,Makamit ang 100 na Puntos  ,Capai 100 Mata  ,{6109=1;coin1=1000;talent_point=1;4000=100},,,
10312,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,3000,,获得排名3000,,Đạt được hạng 3000,Reach Rank 3000  ,ถึงอันดับ 3000  ,Capai Peringkat 3000  ,Maabot ang Ranggo 3000  ,Capai Kedudukan 3000  ,{talent_point=1;6109=1;gold=5000;2103=1},,,
10313,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,1000,,获得排名1000,,Đạt được hạng 1000,Reach Rank 1000  ,ถึงอันดับ 1000  ,Capai Peringkat 1000  ,Maabot ang Ranggo 1000  ,Capai Kedudukan 1000  ,{talent_point=1;6109=1;gold=8000;2103=1},,,
10314,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,300,,获得排名300,,Đạt được hạng 300,Reach Rank 300  ,ถึงอันดับ 300  ,Capai Peringkat 300  ,Maabot ang Ranggo 300  ,Capai Kedudukan 300  ,{talent_point=1;6109=1;gold=20000;2103=1},,,
10315,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,100,,获得排名100,,Đạt được hạng 100,Reach Rank 100  ,ถึงอันดับ 100  ,Capai Peringkat 100  ,Maabot ang Ranggo 100  ,Capai Kedudukan 100  ,{talent_point=1;6109=1;gold=30000;2103=1},,,
10316,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,30,,获得排名30,,Đạt được hạng 30,Reach Rank 30  ,ถึงอันดับ 30  ,Capai Peringkat 30  ,Maabot ang Ranggo 30  ,Capai Kedudukan 30  ,{talent_point=1;6109=1;gold=50000;2103=1},,,
10317,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,10,,获得排名10,,Đạt được hạng 10,Reach Rank 10  ,ถึงอันดับ 10  ,Capai Peringkat 10  ,Maabot ang Ranggo 10  ,Capai Kedudukan 10  ,{talent_point=1;6109=1;gold=60000;2103=1},,,
10318,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,3,,获得排名3,,Đạt được hạng 3,Reach Rank 3  ,ถึงอันดับ 3  ,Capai Peringkat 3  ,Maabot ang Ranggo 3  ,Capai Kedudukan 3  ,{talent_point=1;6109=1;gold=80000;2103=1},,,
10319,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,2,竞技排名,Xếp hạng đấu trường,Arena Ranking,อันดับอารีน่า,Peringkat Arena,Ranggo sa Arena,Peringkat Arena,,44,1,,获得排名1,,Đạt được hạng 1,Reach Rank 1  ,ถึงอันดับ 1  ,Capai Peringkat 1  ,Maabot ang Ranggo 1  ,Capai Kedudukan 1  ,{talent_point=1;6109=1;gold=100000;2103=1},,,
10320,12002,4,3,Day 4,Day 4,วันที่ 4,Hari ke-4,Araw 4,Hari 4,Ngày 4,3,限时折扣,Giảm giá hạn giờ,Limited-Time Discount,ส่วนลดเวลาจำกัด,Diskon Waktu Terbatas,Diskwento sa Limitadong Oras,Diskaun Masa Terhad,3,72,,,限时折扣,,Giảm giá hạn giờ,Limited-time Discount  ,ส่วนลดจำกัดเวลา  ,Diskon Terbatas  ,Diskwento sa Limitadong Oras  ,Diskaun Masa Terhad  ,{941=1;940=2;500=1},{rmb=580},{rmb=1680},
10401,12002,5,4,Day 5,Day 5,วันที่ 5,Hari ke-5,Araw 5,Hari 5,Ngày 5,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,5,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,ล็อกอินรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{13=20;4000=20;gold=15000;rmb=50},,,
10402,12002,5,4,Day 5,Day 5,วันที่ 5,Hari ke-5,Araw 5,Hari 5,Ngày 5,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,1,38,,等级达到38,,Đạt cấp 38,Reach Level 38  ,ถึงเลเวล 38  ,Capai Level 38  ,Maabot ang Antas 38  ,Capai Tahap 38  ,{gold=10000;rmb=50;12=20;851=50},,,
10403,12002,5,4,Day 5,Day 5,วันที่ 5,Hari ke-5,Araw 5,Hari 5,Ngày 5,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,22,10000,,累积充值10000元宝,,Mua tổng cộng 10000 Kim cương,Total 10000 Diamonds Purchased  ,ซื้อเพชรรวม 10000 เพชร  ,Total 10000 Berlian Dibeli  ,Kabuuang 10000 Diamante ang Binili  ,Jumlah 10000 Berlian Dibeli  ,{451=300;452=60;902=30;521=1},,,
