VariableName,name,name_tw,name_en,name_vn,name_th,name_in,name_ph,name_ma,type,classify,attrAdd,stackMax,theme,icon,res,startResScale,attr,interactivityAttr,roleActionDatas,size,touchSize,relSize,startPos,position,quality,currentNum,languages
52048,沙堡,沙堡,Sandcastle,Lâu đài cát,ปราสาททราย  ,Istana Pasir  ,Sand Castle  ,Istana Pasir  ,3,0,{7=905},,3,city/homeland/home/icon/furniture/img_3shabao.png,city/homeland/home/item/furniture/img_3shabao.png,1.2,{flip=True},,,{width=2;height=2},{height=2;width=2;off={offHeight=1;offWidth=2}},{height=2;width=2;off={offHeight=1;offWidth=2}},{y=40;x=-134},4,,,
52049,休闲沙发,休閒沙發,Leisure Couch,Sofo thường,โซฟาธรรมดา  ,Sofa Biasa  ,Karaniwang Sofa  ,Sofa Biasa  ,3,0,{8=380},,3,city/homeland/home/icon/furniture/img_3shafa01.png,city/homeland/home/item/furniture/img_3shafa01.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=65;x=15}},,{width=3;height=2},{height=2;width=3;off={offHeight=4;offWidth=3}},{height=3;width=2;off={offHeight=-0.5;offWidth=1}},{y=20;x=-160},4,,,
52050,沙桶,沙桶,Sand Bucket,Xô cát,ถังทราย  ,Ember Pasir  ,Balde ng Buhangin  ,Baldi Pasir  ,3,2,{7=400},2,3,city/homeland/home/icon/furniture/img_3shuiyong.png,city/homeland/home/item/furniture/img_3shuiyong.png,1.2,{flip=True},,,{width=1;height=2},{height=2;width=1;off={offHeight=1;offWidth=1}},{height=2;width=1;off={offHeight=1;offWidth=1}},{y=20;x=-65},4,,,
52051,水蓝躺椅,水藍躺椅,Blue Lounge,Ghế nằm xanh,เก้าอี้ชายหาดสีน้ำเงิน  ,Kursi Pantai Biru  ,Asul na Beach Chair  ,Kerusi Pantai Biru  ,3,1,{8=145},2,3,city/homeland/home/icon/furniture/img_3tangyi01.png,city/homeland/home/item/furniture/img_3tangyi01.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=50;x=-25}},,{width=2;height=3},{height=3;width=2;off={offHeight=0;offWidth=0}},{height=3;width=2;off={offHeight=-0.5;offWidth=1}},{y=14;x=-133},4,,,
52052,玫红躺椅,玫紅躺椅,Rosy Lounge,Ghế nằm đỏ,เก้าอี้ชายหาดสีแดง  ,Kursi Pantai Merah  ,Pulang Beach Chair  ,Kerusi Pantai Merah  ,3,2,{1=3950},2,3,city/homeland/home/icon/furniture/img_3tangyi02.png,city/homeland/home/item/furniture/img_3tangyi02.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=51;x=-25}},,{width=2;height=3},{height=3;width=2;off={offHeight=2;offWidth=3}},{height=3;width=2;off={offHeight=-0.5;offWidth=1}},{y=15;x=-120},4,,,
52053,西瓜躺椅,西瓜躺椅,Watermelon Lounge,Ghế nằm dưa hấu,เก้าอี้ชายหาดลายแตงโม  ,Kursi Pantai Semangka  ,Pakwan na Beach Chair  ,Kerusi Pantai Tembikai  ,3,0,{1=4150},2,3,city/homeland/home/icon/furniture/img_3tangyi03.png,city/homeland/home/item/furniture/img_3tangyi03.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=48;x=-20}},,{width=2;height=3},{height=3;width=2;off={offHeight=2;offWidth=3}},{height=3;width=2;off={offHeight=-0.5;offWidth=1}},{y=15;x=-120},4,,,
52054,救生圈,救生圈,Life Buoy,Phao cứu sinh,ห่วงยางช่วยชีวิต  ,Pelampung Penyelamat  ,Lifesaver Float  ,Pelampung Keselamatan  ,3,2,{1=4940},,3,city/homeland/home/icon/furniture/img_3yongquan01.png,city/homeland/home/item/furniture/img_3yongquan01.png,1.1,{flip=True},,,{width=2;height=2},{height=1.5;width=1.5;off={offHeight=0;offWidth=0}},{height=1.5;width=1.5;off={offHeight=0;offWidth=0}},{y=24;x=-70},4,,,
52055,明黄泳圈,明黃泳圈,Spry Life Buoy,Phao vàng,ห่วงยางสีทอง  ,Pelampung Emas  ,Gintong Salbabida  ,Pelampung Emas  ,3,1,{1=5775},,3,city/homeland/home/icon/furniture/img_3yongquan02.png,city/homeland/home/item/furniture/img_3yongquan02.png,1.1,{flip=True},,,{width=2;height=2},{height=1.5;width=1.5;off={offHeight=0;offWidth=0}},{height=1.5;width=1.5;off={offHeight=0;offWidth=0}},{y=24;x=-70},4,,,
52056,友谊小船,友誼小船,Friendship Boat,Thuyền tình bạn,เรือมิตรภาพ  ,Perahu Persahabatan  ,Friendship Boat  ,Bot Persahabatan  ,3,2,{7=760},,3,city/homeland/home/icon/furniture/img_3zaopen01.png,home/zaopen.json,,{interactivityTime=300;flip=True;interactivity=True},{off={y=100;x=85};interactivityName=standby_loop;clip=True;interactFurnName=kaiqi_loop},,{width=5;height=6},{height=6;width=5;off={offHeight=0;offWidth=0}},{height=6;width=5;off={offHeight=0;offWidth=0}},{y=200;x=40},4,,,
52057,休闲餐桌,休閒餐桌,Casual Table,Bàn ăn thường,โต๊ะอาหารธรรมดา  ,Meja Makan Biasa  ,Karaniwang Dining Table  ,Meja Makan Biasa  ,3,0,{7=720},,3,city/homeland/home/icon/furniture/img_3zhuozi01.png,city/homeland/home/item/furniture/img_3zhuozi01.png,,{flip=True},,,{width=2;height=1},{height=1;width=2;off={offHeight=2;offWidth=2}},{height=1;width=2;off={offHeight=1;offWidth=2}},{y=20;x=-150},4,,,
52058,雪橇大床,雪橇大床,Sleigh Bed,Giường Xe Tuyết,เตียงรถเลื่อนหิมะ  ,Tempat Tidur Kereta Salju  ,Snow Sled na Kama  ,Katil Kereta Salji  ,3,2,{1=6080},,4,city/homeland/home/icon/furniture/icon_bed.png,city/homeland/home/item/furniture/img_bed.png,,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=70;x=15}},,{width=4;height=3},{height=3;width=4;off={offHeight=2;offWidth=2}},{height=3;width=3;off={offHeight=2;offWidth=2}},{y=15;x=-255},3,,,
52059,墨绿方垫,墨綠方墊,Jesper Cusion,Đệm Xanh Đen,เบาะสีน้ำเงินเข้ม  ,Bantal Biru Gelap  ,Madilim na Asul na Unan  ,Kusyen Biru Gelap  ,3,0,{1=1795},3,4,city/homeland/home/icon/furniture/icon_dianzi.png,city/homeland/home/item/furniture/img_dianzi.png,0.7,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=42;x=-10}},,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1;width=1;off={offHeight=0;offWidth=0}},{y=6;x=-70},3,,,
52060,圣诞地毯,聖誕地毯,Christmas Carpet,Thảm Noel,พรมคริสต์มาส,Karpet Natal,Christmas Rug,Permaidani Krismas,3,1,{8=170},,4,city/homeland/home/icon/furniture/icon_ditan.png,city/homeland/home/item/furniture/img_ditan.png,2,{walk=True;flip=True},,,{width=4;height=2},{height=2;width=4;off={offHeight=0;offWidth=0}},{height=1;width=3;off={offHeight=1;offWidth=2}},{y=30;x=-247},3,,,
52061,床头柜,床頭櫃,Bedside Table,Tủ Đầu Giường,โต๊ะหัวเตียง  ,Meja Samping Tempat Tidur  ,Mesa sa tabi ng kama  ,Meja Sisi Katil  ,3,2,{8=115},2,4,city/homeland/home/icon/furniture/icon_guizi.png,city/homeland/home/item/furniture/img_guizi.png,0.9,{flip=True},,,,{height=1;width=1;off={offHeight=2;offWidth=2}},{height=1;width=1;off={offHeight=2;offWidth=2}},{y=5;x=-60},3,,,
52062,一品红,一品紅,Poinsettia,Nhất Phẩm Hồng,แดงอันดับหนึ่ง  ,Merah Tingkat Satu  ,Unang Klase na Pula  ,Merah Gred Satu  ,3,0,{8=85},3,4,city/homeland/home/icon/furniture/icon_huapen1.png,city/homeland/home/item/furniture/img_huapen1.png,1.1,{flip=True},,,,{height=1;width=1;off={offHeight=2;offWidth=2}},{height=1;width=1;off={offHeight=2;offWidth=2}},{y=12;x=-55},3,,,
52063,小饰品,小飾品,Decoration,Sức Phẩm Nhỏ,ไอเท็มพลังเล็ก  ,Barang Daya Kecil  ,Maliit na Bagay ng Lakas  ,Item Kuasa Kecil  ,3,1,{7=175},4,4,city/homeland/home/icon/furniture/icon_huapen2.png,city/homeland/home/item/furniture/img_huapen2.png,1.1,{flip=True},,,,{height=1;width=1;off={offHeight=2;offWidth=2}},{height=1;width=1;off={offHeight=2;offWidth=2}},{y=13;x=-38},3,,,
52064,鲜花盆景,鮮花盆景,Flower Minigarden,Cây Cảnh Hoa Tươi,ต้นไม้ดอกไม้สด  ,Tanaman Bunga Segar  ,Sariwang Bulaklak na Halaman  ,Tumbuhan Bunga Segar  ,3,2,{7=215},4,4,city/homeland/home/icon/furniture/icon_huapen3.png,city/homeland/home/item/furniture/img_huapen3.png,,{flip=True},,,{width=3;height=1},{height=1;width=2;off={offHeight=2;offWidth=2}},{height=1.5;width=2;off={offHeight=2;offWidth=2}},{y=6;x=-232},3,,,
52065,摆架,擺架,Shelf,Giá Để,ชั้นวางของ  ,Rak  ,Istante  ,Rak  ,3,0,{7=585},,4,city/homeland/home/icon/furniture/icon_jiazi.png,city/homeland/home/item/furniture/img_jiazi.png,,{flip=True},,,{width=1;height=2},{height=2;width=1;off={offHeight=2;offWidth=2}},{height=2;width=2;off={offHeight=1;offWidth=2}},{y=2;x=-55},3,,,
52066,圣诞礼物,聖誕禮物,Christmas Gifts,Quà Noel,ของขวัญคริสต์มาส  ,Hadiah Natal  ,Regalo ng Pasko  ,Hadiah Krismas  ,3,1,{1=4695},,4,city/homeland/home/icon/furniture/icon_lihe.png,city/homeland/home/item/furniture/img_lihe.png,1.6,{flip=True},,,{width=2;height=3},{height=2;width=1;off={offHeight=2;offWidth=2}},{height=2;width=1;off={offHeight=2;offWidth=2}},{y=12;x=-90},3,,,
52067,浅色驯鹿,淺色馴鹿,Reindeer,Tuần Lộc Màu Nhạt,กวางเรนเดียร์สีอ่อน  ,Rusa Kutub Warna Terang  ,Matingkad na Kulay na Reindeer  ,Rusa Kutub Warna Cerah  ,3,2,{1=3210},2,4,city/homeland/home/icon/furniture/icon_lu1.png,city/homeland/home/item/furniture/img_lu1.png,0.9,{flip=True},,,,{height=2;width=1;off={offHeight=2;offWidth=2}},{height=2;width=1;off={offHeight=2;offWidth=2}},{y=5;x=-65},3,,,
52068,深色驯鹿,深色馴鹿,Dark Reindeer,Tuần Lộc Màu Đậm,กวางเรนเดียร์สีเข้ม  ,Rusa Kutub Warna Gelap  ,Maitim na Kulay na Reindeer  ,Rusa Kutub Warna Gelap  ,3,0,{1=3370},2,4,city/homeland/home/icon/furniture/icon_lu2.png,city/homeland/home/item/furniture/img_lu2.png,0.9,{flip=True},,,,{height=2;width=1;off={offHeight=2;offWidth=2}},{height=2;width=1;off={offHeight=2;offWidth=2}},{y=5;x=-65},3,,,
52069,落地灯,落地燈,Floor-Lamp,Đèn Để Sàn,โคมไฟตั้งพื้น  ,Lampu Lantai  ,Lampang Panglupa  ,Lampu Lantai  ,3,2,{8=115},2,4,city/homeland/home/icon/furniture/icon_luodideng1.png,city/homeland/home/item/furniture/img_luodideng1.png,1.15,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=3}},{height=3;width=1;off={offHeight=2;offWidth=2}},{y=20;x=-45},3,,,
52070,圣诞地灯,聖誕地燈,Christmas  Floor-Lamp,Đèn Noel,โคมไฟคริสต์มาส  ,Lampu Natal  ,Ilaw ng Pasko  ,Lampu Krismas  ,3,0,{8=125},2,4,city/homeland/home/icon/furniture/icon_luodideng2.png,city/homeland/home/item/furniture/img_luodideng2.png,1.15,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=3}},{height=3;width=1;off={offHeight=2;offWidth=2}},{y=17;x=-50},3,,,
52071,木马,木馬,Hobbyhorse,Ngựa Gỗ,ม้าไม้โยก  ,Kuda Kayu  ,Kabayong Kahoy  ,Kuda Kayu  ,3,1,{8=220},,4,city/homeland/home/icon/furniture/icon_muma.png,city/homeland/home/item/furniture/img_muma.png,,{flip=True},,,{width=2;height=1},{height=2;width=2;off={offHeight=2;offWidth=2}},{height=2;width=2;off={offHeight=2;offWidth=2}},{y=14;x=-133},3,,,
52072,圣诞屏风,聖誕屏風,Christmas Screen,Bình Phong Noel,ฉากคริสต์มาส  ,Layar Natal  ,Screen ng Pasko  ,Skreen Krismas  ,3,0,{7=470},2,4,city/homeland/home/icon/furniture/icon_pingfeng.png,city/homeland/home/item/furniture/img_pingfeng.png,1.1,{flip=True},,,{width=1;height=4},{height=4;width=3;off={offHeight=2;offWidth=2}},{height=4;width=1;off={offHeight=2;offWidth=2}},{y=15;x=-53},3,,,
52073,聚会沙发,聚會沙發,Party Sofa,Sofa Tụ Tập,โซฟารวมกลุ่ม  ,Sofa Berkumpul  ,Sofang Pangkumpol  ,Sofa Berkumpul  ,3,2,{7=620},,4,city/homeland/home/icon/furniture/icon_shafa1.png,city/homeland/home/item/furniture/img_shafa1.png,1.2,{flip=True},,,{width=3;height=2},{height=2;width=3;off={offHeight=2;offWidth=2}},{height=2;width=3;off={offHeight=2;offWidth=2}},{y=2;x=-232},3,,,
52074,二手沙发,二手沙發,Second-Hand Sofa,Sofa Cũ,โซฟาเก่า  ,Sofa Lama  ,Lumang Sofa  ,Sofa Lama  ,3,1,{7=325},2,4,city/homeland/home/icon/furniture/icon_shafa2.png,city/homeland/home/item/furniture/img_shafa2.png,,{flip=True},,,{width=2;height=2},{height=2;width=2;off={offHeight=2;offWidth=2}},{height=2;width=2;off={offHeight=2;offWidth=2}},{y=10;x=-120},3,,,
52075,圣诞书架,聖誕書架,Christmas Bookcase,Kệ Sách Noel,ชั้นหนังสือคริสต์มาส  ,Rak Buku Natal  ,Bookshelf ng Pasko  ,Rak Buku Krismas  ,3,0,{1=5185},,4,city/homeland/home/icon/furniture/icon_shujia.png,city/homeland/home/item/furniture/img_shujia.png,,{flip=True},,,{width=1;height=2},{height=3;width=1;off={offHeight=2;offWidth=2}},{height=3;width=1;off={offHeight=2;offWidth=2}},{y=24;x=-63},3,,,
52076,乐高熊仔,樂高熊仔,Lego Bear,Gấu Con Lego,หมีเลโก้  ,Beruang Lego  ,Lego na Bear  ,Beruang Lego  ,3,2,{1=3800},,4,city/homeland/home/icon/furniture/icon_toy01.png,city/homeland/home/item/furniture/img_toy01.png,0.9,{flip=True},,,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1.5;width=1.5;off={offHeight=1;offWidth=1}},{y=4;x=-50},3,,,
52077,乐高熊猫,樂高熊貓,Lego Panda,Gấu Trúc Lego,หมีแพนด้าเลโก้  ,Panda Lego  ,Lego na Panda  ,Panda Lego  ,3,0,{8=190},,4,city/homeland/home/icon/furniture/icon_toy02.png,city/homeland/home/item/furniture/img_toy02.png,0.9,{flip=True},,,,{height=1;width=1;off={offHeight=1;offWidth=1}},{height=1.5;width=1.5;off={offHeight=1;offWidth=1}},{y=6;x=-50},3,,,
52078,玩具火车,玩具火車,Toy Train,Xe Lửa Đồ Chơi,รถไฟของเล่น  ,Kereta Mainan  ,Tren na Laruan  ,Kereta Mainan  ,3,1,{1=4695},,4,city/homeland/home/icon/furniture/icon_toy03.png,city/homeland/home/item/furniture/img_toy03.png,1.2,{flip=True},,,{width=4;height=4},{height=3;width=3;off={offHeight=2;offWidth=2}},{height=3;width=3;off={offHeight=2;offWidth=2}},{y=50;x=-223},3,,,
52079,PS Xmax,PS Xmax,Ps Xmax,PS Xmax,PS Xmax  ,PS Xmax  ,PS Xmax  ,PS Xmax  ,3,1,{8=275},,4,city/homeland/home/icon/furniture/icon_tv.png,city/homeland/home/item/furniture/img_tv.png,0.75,{flip=True},,,{width=3;height=1},{height=1;width=3;off={offHeight=2;offWidth=2}},{height=1;width=3;off={offHeight=2;offWidth=2}},{y=20;x=-187},3,,,
52080,圣诞浴缸,聖誕浴缸,Christmas Bathtub,Bồn Tắm Noel,อ่างอาบน้ำคริสต์มาส  ,Bak Mandi Natal  ,Bathtub ng Pasko  ,Tab Mandi Krismas  ,3,2,{8=290},,4,city/homeland/home/icon/furniture/icon_yupen.png,home/christub.json,,{interactivityTime=300;flip=True;interactivity=True},{off={y=80;x=-35};interactivityName=standby_loop;clip=True;interactFurnName=kaiqi_loop},,{width=4;height=3},{height=3;width=4;off={offHeight=2;offWidth=2}},{height=3;width=4;off={offHeight=2;offWidth=2}},{y=114;x=-65},3,,,
52081,纪念小桌,紀念小桌,Souvenir Table,Bàn Kỉ Niệm,โต๊ะที่ระลึก  ,Meja Kenangan  ,Mesa ng Alaala  ,Meja Kenangan  ,3,1,{7=500},,4,city/homeland/home/icon/furniture/icon_zhuozi1.png,city/homeland/home/item/furniture/img_zhuozi1.png,,{flip=True},,,{width=3;height=2},{height=2;width=2;off={offHeight=2;offWidth=2}},{height=2;width=2;off={offHeight=2;offWidth=2}},{y=10;x=-182},3,,,
52082,备用餐桌,備用餐桌,Standby Table,Bàn Ăn Dự Bị,โต๊ะกินข้าวสำรอง  ,Meja Makan Cadangan  ,Pamalit na Mesa Kainan  ,Meja Makan Simpanan  ,3,2,{7=475},,4,city/homeland/home/icon/furniture/icon_zhuozi2.png,city/homeland/home/item/furniture/img_zhuozi2.png,,{flip=True},,,{width=4;height=3},{height=3;width=4;off={offHeight=2;offWidth=2}},{height=3;width=4;off={offHeight=2;offWidth=2}},{y=25;x=-279},3,,,
52083,圣诞树,聖誕樹,Christmas Tree,Cây Noel,ต้นคริสต์มาส  ,Pohon Natal  ,Puno ng Pasko  ,Pokok Krismas  ,3,2,{1=7600},,4,city/homeland/home/icon/furniture/icon_tree.png,home/tree.json,,{flip=True},,,{width=3;height=3},{height=3;width=3;off={offHeight=2;offWidth=2}},{height=3;width=3;off={offHeight=2;offWidth=2}},{y=-10;x=0},3,,,
52084,吧台椅子,吧台椅子,Christmas bar,Ghế Bar,เก้าอี้บาร์  ,Kursi Bar  ,Upuang Bar  ,Kerusi Bar  ,3,0,{8=300},2,4,city/homeland/home/icon/furniture/2019_1.png,city/homeland/home/item/furniture/2019_1.png,1.15,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=3}},{height=1;width=1;off={offHeight=2;offWidth=2}},{y=17;x=-50},3,,,
52085,圣诞吧台,聖誕吧台,Bar Chair,Bar Noel,บาร์คริสต์มาส  ,Bar Natal  ,Bar ng Pasko  ,Bar Krismas  ,3,2,{7=480},,4,city/homeland/home/icon/furniture/2019_2.png,city/homeland/home/item/furniture/2019_2.png,,{flip=True},,,{width=1;height=4},{height=4;width=1;off={offHeight=2;offWidth=2}},{height=4;width=1;off={offHeight=1;offWidth=2}},{y=2;x=-55},3,,,
52086,圣诞餐桌,聖誕餐桌,Christmas Table,Bàn Ăn Noel,โต๊ะกินข้าวคริสต์มาส  ,Meja Makan Natal  ,Mesa Kainan ng Pasko  ,Meja Makan Krismas  ,3,1,{7=585},,4,city/homeland/home/icon/furniture/2019_3.png,city/homeland/home/item/furniture/2019_3.png,,{flip=True},,,{width=2;height=4},{height=4;width=2;off={offHeight=2;offWidth=2}},{height=4;width=2;off={offHeight=1;offWidth=2}},{y=-15;x=-155},3,,,
52087,圣诞椅子,聖誕椅子,Christmas Chair,Ghế Noel,เก้าอี้คริสต์มาส  ,Kursi Natal  ,Upuan ng Pasko  ,Kerusi Krismas  ,3,0,{8=320},2,4,city/homeland/home/icon/furniture/2019_4.png,city/homeland/home/item/furniture/2019_4.png,,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=3}},{height=1;width=4;off={offHeight=2;offWidth=2}},{y=-32;x=-50},3,,,
52088,宠物坐垫,寵物坐墊,Pet Cushion,Lót Ngồi Pet,เบาะนั่งสัตว์เลี้ยง  ,Alas Duduk Hewan  ,Pet Seat Pad  ,Alas Duduk Haiwan  ,3,2,{1=5500},,4,city/homeland/home/icon/furniture/2019_5.png,city/homeland/home/item/furniture/2019_5.png,,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=3}},{height=1;width=1;off={offHeight=2;offWidth=2}},{y=10;x=-70},3,,,
52089,圣诞衣架,聖誕衣架,Christmas Hanger,Kệ Áo Noel,ราวแขวนเสื้อคริสต์มาส  ,Rak Baju Natal  ,Rak ng Damit ng Pasko  ,Rak Baju Krismas  ,3,1,{8=300},2,4,city/homeland/home/icon/furniture/2019_6.png,city/homeland/home/item/furniture/2019_6.png,,{flip=True},,,,{height=1;width=1;off={offHeight=3;offWidth=3}},{height=3;width=1;off={offHeight=2;offWidth=2}},{y=-10;x=-70},3,,,
52090,卡通床,卡通床,Cartoon Bed,Giường Cartoon,เตียงการ์ตูน  ,Tempat Tidur Kartun  ,Cartoon na Kama  ,Katil Kartun  ,3,2,{1=5500},,4,city/homeland/home/icon/furniture/2019_7.png,city/homeland/home/item/furniture/2019_7.png,0.75,{flip=True},,,{width=3;height=2},{height=2;width=3;off={offHeight=2;offWidth=2}},{height=2;width=3;off={offHeight=2;offWidth=2}},{y=0;x=-240},3,,,
52091,圣诞新壁炉,聖誕新壁爐,Christmas New Fireplace,Lò Sưởi Noel Mới,เตาผิงคริสต์มาสใหม่  ,Perapian Natal Baru  ,Bagong Fireplace ng Pasko  ,Perapian Krismas Baru  ,3,0,{7=585},,4,city/homeland/home/icon/furniture/2019_8.png,city/homeland/home/item/furniture/2019_8.png,1.1,{flip=True},,,{width=1;height=3},{height=3;width=3;off={offHeight=2;offWidth=2}},{height=3;width=1;off={offHeight=2;offWidth=2}},{y=0;x=-100},3,,,
53001,身高尺,身高尺,Height Ruler,Thước đo chiều cao,ไม้บรรทัดวัดส่วนสูง  ,Penggaris Ukur Tinggi  ,Panukat ng Taas  ,Pembaris Ukur Ketinggian  ,4,1,{7=650},,2,city/homeland/home/icon/wall_painting/chi.png,city/homeland/home/item/wall_painting/chi.png,,{right=True;flip=True},,,{width=1;height=5},{height=5;width=1;off={offHeight=0;offWidth=0}},{height=3;width=1;off={offHeight=0;offWidth=0}},{y=50;x=-85},,,,
53002,白色木门,白色木門,White Wooden Door,Cửa gỗ trắng,ประตูไม้สีขาว  ,Pintu Kayu Putih  ,Puting Pintong Kahoy  ,Pintu Kayu Putih  ,4,0,{1=3990},,2,city/homeland/home/icon/wall_painting/door.png,city/homeland/home/item/wall_painting/door.png,,{right=True;flip=False},,,{width=2;height=5},{height=5;width=2;off={offHeight=0;offWidth=0}},{height=5;width=2;off={offHeight=0;offWidth=0}},{y=10;x=-160},,,,
53003,钥匙挂件,鑰匙掛件,Key Pendant,Móc chìa khóa,ที่แขวนกุญแจ  ,Gantungan Kunci  ,Sabit ng Susi  ,Penyangkut Kunci  ,4,2,{8=150},2,2,city/homeland/home/icon/wall_painting/guajian.png,city/homeland/home/item/wall_painting/guajian.png,,{right=True;flip=True},,,{width=2;height=5},{height=5;width=2;off={offHeight=0;offWidth=0}},{height=1;width=2;off={offHeight=0;offWidth=0}},{y=180;x=-140},,,,
53004,白色木窗,白色木窗,White Wooden Window,Cửa sổ trắng,หน้าต่างสีขาว  ,Jendela Putih  ,Puting Bintana  ,Tingkap Putih  ,4,1,{1=3610},,2,city/homeland/home/icon/wall_painting/chuang.png,city/homeland/home/item/wall_painting/chuang.png,,{flip=True;left=True},,,{width=3;height=5},{height=5;width=3;off={offHeight=0;offWidth=0}},{height=2.8;width=2.8;off={offHeight=0;offWidth=0}},{y=85;x=-250},,,,
53005,日式拉门·大,日式拉門·大,Japanese Slide Door·L,Cửa trượt kiểu Nhật - lớn,ประตูเลื่อนสไตล์ญี่ปุ่น - ใหญ่,Pintu Geser Gaya Jepang - Besar,Sliding Door na Japanese Style - Malaki,Pintu Gelangsar Gaya Jepun - Besar,4,1,{7=800},,1,city/homeland/home/icon/wall_painting/door1.png,city/homeland/home/item/wall_painting/door1.png,,{right=True},,,{width=5;height=5},{height=5;width=5;off={offHeight=0;offWidth=0}},{height=5;width=5;off={offHeight=0;offWidth=0}},{y=0;x=-400},,,,
53006,壁灯,壁燈,Wall Lamp,Đèn tường,โคมไฟติดผนัง  ,Lampu Dinding  ,Ilaw sa Pader  ,Lampu Dinding  ,4,0,{8=85},4,2,city/homeland/home/icon/wall_painting/light.png,city/homeland/home/item/wall_painting/light.png,,{flip=True;left=True},,,{width=1;height=5},{height=5;width=1;off={offHeight=-4;offWidth=0}},{height=1;width=1;off={offHeight=0;offWidth=0}},{y=180;x=-70},,,,
53007,相框墙,相框牆,Photo Frame Wall,Tường treo ảnh,ผนังรูปภาพ  ,Dinding Foto  ,Pader ng mga Larawan  ,Dinding Gambar  ,4,1,{1=2110},3,2,city/homeland/home/icon/wall_painting/picture.png,city/homeland/home/item/wall_painting/picture.png,,{flip=True;left=True},,,{width=3;height=5},{height=5;width=3;off={offHeight=0;offWidth=0}},{height=1;width=3;off={offHeight=0;offWidth=0}},{y=170;x=-230},,,,
53008,窗外桃花,窗外桃花,Spring Scenery Window,Hoa đào ngoài cửa sổ,ดอกพีชนอกหน้าต่าง  ,Bunga Persik di Luar Jendela  ,Bulaklak ng Peach sa Labas ng Bintana  ,Bunga Pic di Luar Tingkap  ,4,2,{1=2470},2,1,city/homeland/home/icon/wall_painting/chuang1.png,city/homeland/home/item/wall_painting/chuang1.png,,{flip=True;left=True},,,{width=4;height=5},{height=5;width=4;off={offHeight=0;offWidth=0}},{height=3;width=3.8;off={offHeight=0;offWidth=0}},{y=80;x=-315},,,TRUE,
53009,日式拉门·小,日式拉門·小,Japanese Slide Door·S,Cửa trượt kiểu Nhật - nhỏ,ประตูเลื่อนสไตล์ญี่ปุ่น - เล็ก  ,Pintu Geser Gaya Jepang - Kecil  ,Japanese Sliding Door - Maliit  ,Pintu Gelangsar Gaya Jepun - Kecil  ,4,,{8=45},2,1,city/homeland/home/icon/wall_painting/door2.png,city/homeland/home/item/wall_painting/door2.png,,{right=True},,,{width=4;height=5},{height=5;width=4;off={offHeight=0;offWidth=0}},{height=5;width=4;off={offHeight=0;offWidth=0}},{y=5;x=-310},,,TRUE,
53010,内嵌摆台,內嵌擺台,Nested Table,Đồ trưng bày khảm chìm,ของตกแต่งฝัง  ,Barang Pajangan Inlay  ,Palamuti ng Inlay  ,Hiasan Terbenam  ,4,2,{7=950},,1,city/homeland/home/icon/wall_painting/neiqian.png,city/homeland/home/item/wall_painting/neiqian.png,,{right=True;flip=True},,,{width=4;height=5},{height=5;width=4;off={offHeight=0;offWidth=0}},{height=3;width=3.6;off={offHeight=0;offWidth=0}},{y=85;x=-310},,,,
53011,腊梅水墨画,臘梅水墨畫,Ink Painting,Tranh thủy mặc hoa Mai,ภาพวาดหมึกดอกเหมย  ,Lukisan Tinta Bunga Plum  ,Ink Painting ng Plum Blossom  ,Lukisan Dakwat Bunga Plum  ,4,2,{1=1140},5,1,city/homeland/home/icon/wall_painting/zihua.png,city/homeland/home/item/wall_painting/zihua.png,,{right=True;flip=True},,,{width=1;height=5},{height=5;width=1;off={offHeight=0;offWidth=0}},{height=2.2;width=1;off={offHeight=0;offWidth=0}},{y=90;x=-70},,,,
53012,挂扇,掛扇,Wall Fan,Quạt treo tường,พัดติดผนัง  ,Kipas Dinding  ,Pangdingding na Bentilador  ,Kipas Dinding  ,4,2,{1=1825},5,1,city/homeland/home/icon/wall_painting/shanzi.png,city/homeland/home/item/wall_painting/shanzi.png,,{flip=True;left=True},,,{width=3;height=5},{height=5;width=3;off={offHeight=0;offWidth=0}},{height=2;width=3;off={offHeight=0;offWidth=0}},{y=170;x=-210},,,,
